<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Hepco,20210908,3001.00,3001.00,3001.00,3001.00,34064311987,11350987,1065,D,3093.00,3001.00
S*Hepco,20210907,3157.00,3157.00,3063.00,3093.00,98150619593,31735529,2680,D,5261.00,3063.00
S*Hepco,20210906,5157.00,5157.00,5157.00,5261.00,329738580,63940,19,D,5262.00,5157.00
S*Hepco,20210905,5165.00,5165.00,5165.00,5262.00,3318564150,642510,82,D,5270.00,5165.00
S*Hepco,20210904,5110.00,5110.00,5110.00,5270.00,10497222610,2054251,352,D,5322.00,5110.00
S*Hepco,20210901,5217.00,5217.00,5217.00,5322.00,223971027,42931,15,D,5323.00,5217.00
S*Hepco,20210831,5217.00,5217.00,5217.00,5323.00,160088862,30686,11,D,5323.00,5217.00
S*Hepco,20210830,5218.00,5218.00,5218.00,5323.00,546439396,104722,21,D,5324.00,5218.00
S*Hepco,20210829,5124.00,5124.00,5124.00,5324.00,2704401084,527791,115,D,5337.00,5124.00
S*Hepco,20210828,5233.00,5233.00,5233.00,5337.00,894162710,170870,45,D,5339.00,5233.00
S*Hepco,20210825,5234.00,5234.00,5234.00,5339.00,327130234,62501,26,D,5340.00,5234.00
S*Hepco,20210824,5237.00,5237.00,5237.00,5340.00,1071170743,204539,47,D,5343.00,5237.00
S*Hepco,20210823,5238.00,5238.00,5238.00,5343.00,443098134,84593,20,D,5344.00,5238.00
S*Hepco,20210814,5134.00,5134.00,5134.00,5344.00,595687752,116028,38,D,5347.00,5134.00
S*Hepco,20210811,5242.00,5242.00,5242.00,5347.00,467188008,89124,23,D,5348.00,5242.00
S*Hepco,20210810,5242.00,5242.00,5242.00,5348.00,139777930,26665,12,D,5348.00,5242.00
S*Hepco,20210809,5243.00,5243.00,5243.00,5348.00,228683931,43617,10,D,5349.00,5243.00
S*Hepco,20210808,5142.00,5142.00,5142.00,5349.00,1467480522,285391,41,D,5356.00,5142.00
S*Hepco,20210807,5251.00,5251.00,5251.00,5356.00,765832095,145845,21,D,5358.00,5251.00
S*Hepco,20210804,5252.00,5252.00,5252.00,5358.00,446756128,85064,22,D,5359.00,5252.00
S*Hepco,20210803,5253.00,5253.00,5253.00,5359.00,221198577,42109,15,D,5360.00,5253.00
S*Hepco,20210802,5167.00,5167.00,5167.00,5360.00,4436412035,858605,74,D,5382.00,5167.00
S*Hepco,20210801,5275.00,5275.00,5275.00,5382.00,94137650,17846,6,D,5382.00,5275.00
S*Hepco,20210731,5275.00,5275.00,5275.00,5382.00,107731325,20423,10,D,5382.00,5275.00
S*Hepco,20210728,5275.00,5275.00,5275.00,5382.00,164442850,31174,10,D,5382.00,5275.00
S*Hepco,20210727,5275.00,5275.00,5275.00,5382.00,140378300,26612,16,D,5382.00,5275.00
S*Hepco,20210706,5278.00,5278.00,5278.00,5382.00,1301048112,246504,63,D,5385.00,5278.00
S*Hepco,20210705,5278.00,5278.00,5278.00,5385.00,106504762,20179,8,D,5385.00,5278.00
S*Hepco,20210704,5174.00,5174.00,5174.00,5385.00,818133576,158124,20,D,5389.00,5174.00
S*Hepco,20210703,5282.00,5282.00,5282.00,5389.00,171400900,32450,8,D,5389.00,5282.00
S*Hepco,20210630,5282.00,5282.00,5282.00,5389.00,195877688,37084,16,D,5389.00,5282.00
