<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Arts.DEV.GRP,20210921,4900.00,5000.00,4775.00,4816.00,43618832509,9057814,1116,D,5026.00,4775.00
Iran.Arts.DEV.GRP,20210920,5020.00,5020.00,5020.00,5026.00,8866313960,1766198,262,D,5175.00,5020.00
Iran.Arts.DEV.GRP,20210919,5185.00,5325.00,5169.00,5175.00,24755181739,4783715,819,D,5328.00,5169.00
Iran.Arts.DEV.GRP,20210918,5599.00,5599.00,5286.00,5328.00,64728341042,12148028,1742,D,5449.00,5286.00
Iran.Arts.DEV.GRP,20210915,5500.00,5669.00,5392.00,5449.00,83891322185,15396529,3178,D,5558.00,5392.00
Iran.Arts.DEV.GRP,20210914,5500.00,5758.00,5470.00,5558.00,150919543395,27155550,4668,D,5639.00,5490.00
Iran.Arts.DEV.GRP,20210913,5641.00,5770.00,5631.00,5639.00,51939133893,9210920,1348,D,5805.00,5631.00
Iran.Arts.DEV.GRP,20210912,5900.00,6069.00,5723.00,5805.00,119380789612,20564576,2944,D,5899.00,5724.00
Iran.Arts.DEV.GRP,20210911,6000.00,6150.00,5815.00,5899.00,254702523175,43178723,5730,D,6121.00,5902.00
Iran.Arts.DEV.GRP,20210908,6113.00,6198.00,6113.00,6121.00,75243210255,12293034,1693,D,6302.00,6113.00
Iran.Arts.DEV.GRP,20210907,6300.00,6385.00,6297.00,6302.00,25633338411,4067751,719,D,6491.00,6297.00
Iran.Arts.DEV.GRP,20210906,6550.00,6669.00,6478.00,6491.00,179129241076,27597223,4135,D,6678.00,6478.00
Iran.Arts.DEV.GRP,20210905,6725.00,6725.00,6540.00,6678.00,446809648680,66909124,7260,D,6530.00,6567.00
Iran.Arts.DEV.GRP,20210904,6530.00,6530.00,6530.00,6530.00,41296235870,6324079,625,D,6340.00,6530.00
Iran.Arts.DEV.GRP,20210901,6180.00,6700.00,6160.00,6340.00,624991931901,98582378,10644,D,6484.00,6606.00
Iran.Arts.DEV.GRP,20210831,6484.00,6484.00,6484.00,6484.00,11495483600,1772900,361,D,6684.00,6484.00
Iran.Arts.DEV.GRP,20210830,6678.00,6860.00,6678.00,6684.00,89945823909,13456974,1366,D,6884.00,6678.00
Iran.Arts.DEV.GRP,20210829,6842.00,7040.00,6837.00,6884.00,1441287956278,209360354,21031,D,7048.00,6837.00
Iran.Arts.DEV.GRP,20210828,7048.00,7048.00,7048.00,7048.00,14967915128,2123711,456,D,7418.00,7048.00
Iran.Arts.DEV.GRP,20210825,7204.00,7204.00,7204.00,7418.00,340345776,47244,26,D,7426.00,7204.00
Iran.Arts.DEV.GRP,20210824,7212.00,7212.00,7212.00,7426.00,402624324,55827,26,D,7435.00,7212.00
Iran.Arts.DEV.GRP,20210823,7213.00,7213.00,7213.00,7435.00,46163200,6400,5,D,7436.00,7213.00
Iran.Arts.DEV.GRP,20210822,7068.00,7068.00,7068.00,7436.00,70680000,10000,8,D,7439.00,7068.00
Iran.Arts.DEV.GRP,20210815,7216.00,7216.00,7216.00,7439.00,19555360,2710,3,D,7439.00,7216.00
Iran.Arts.DEV.GRP,20210814,7219.00,7219.00,7219.00,7439.00,111194257,15403,4,D,7442.00,7219.00
Iran.Arts.DEV.GRP,20210811,7220.00,7220.00,7220.00,7442.00,25515480,3534,4,D,7443.00,7220.00
Iran.Arts.DEV.GRP,20210810,7085.00,7085.00,7085.00,7443.00,350707500,49500,16,D,7457.00,7085.00
Iran.Arts.DEV.GRP,20210809,7237.00,7237.00,7237.00,7457.00,120018408,16584,4,D,7460.00,7237.00
Iran.Arts.DEV.GRP,20210808,7238.00,7238.00,7238.00,7460.00,55783266,7707,4,D,7461.00,7238.00
Iran.Arts.DEV.GRP,20210807,7238.00,7238.00,7238.00,7461.00,5102790,705,1,D,7461.00,7238.00
Iran.Arts.DEV.GRP,20210803,7091.00,7091.00,7091.00,7461.00,87283119,12309,4,D,7464.00,7091.00
Iran.Arts.DEV.GRP,20210802,7242.00,7242.00,7242.00,7464.00,47485794,6557,4,D,7465.00,7242.00
Iran.Arts.DEV.GRP,20210801,7250.00,7250.00,7250.00,7465.00,394291250,54385,9,D,7474.00,7250.00
Iran.Arts.DEV.GRP,20210728,7102.00,7102.00,7102.00,7474.00,31263004,4402,4,D,7475.00,7102.00
Iran.Arts.DEV.GRP,20210727,7251.00,7251.00,7251.00,7475.00,6090840,840,1,D,7475.00,7251.00
Iran.Arts.DEV.GRP,20210726,7251.00,7251.00,7251.00,7475.00,18127500,2500,2,D,7475.00,7251.00
Iran.Arts.DEV.GRP,20210717,7103.00,7103.00,7103.00,7475.00,19462220,2740,2,D,7476.00,7103.00
Iran.Arts.DEV.GRP,20210714,7256.00,7256.00,7256.00,7476.00,165951976,22871,4,D,7480.00,7256.00
Iran.Arts.DEV.GRP,20210713,7257.00,7257.00,7257.00,7480.00,52410054,7222,5,D,7481.00,7257.00
Iran.Arts.DEV.GRP,20210711,7109.00,7109.00,7109.00,7481.00,46635040,6560,7,D,7483.00,7109.00
Iran.Arts.DEV.GRP,20210710,7260.00,7260.00,7260.00,7483.00,32807940,4519,5,D,7484.00,7260.00
Iran.Arts.DEV.GRP,20210707,7262.00,7262.00,7262.00,7484.00,64965852,8946,7,D,7486.00,7262.00
Iran.Arts.DEV.GRP,20210706,7272.00,7272.00,7272.00,7486.00,445824504,61307,22,D,7496.00,7272.00
Iran.Arts.DEV.GRP,20210705,7211.00,7211.00,7211.00,7496.00,2353612712,326392,39,D,7590.00,7211.00
Iran.Arts.DEV.GRP,20210704,7363.00,7363.00,7363.00,7590.00,7363000,1000,1,D,7590.00,7363.00
Iran.Arts.DEV.GRP,20210703,7363.00,7363.00,7363.00,7590.00,17855275,2425,2,D,7590.00,7363.00
Iran.Arts.DEV.GRP,20210630,7363.00,7363.00,7363.00,7590.00,7363000,1000,1,D,7590.00,7363.00
Iran.Arts.DEV.GRP,20210629,7213.00,7213.00,7213.00,7590.00,52424084,7268,7,D,7592.00,7213.00
Iran.Arts.DEV.GRP,20210628,7365.00,7365.00,7365.00,7592.00,5892000,800,1,D,7592.00,7365.00
Iran.Arts.DEV.GRP,20210627,7366.00,7366.00,7366.00,7592.00,62279530,8455,7,D,7593.00,7366.00
Iran.Arts.DEV.GRP,20210626,7366.00,7366.00,7366.00,7593.00,10224008,1388,3,D,7593.00,7366.00
Iran.Arts.DEV.GRP,20210623,7218.00,7218.00,7218.00,7593.00,91668600,12700,4,D,7597.00,7218.00
Iran.Arts.DEV.GRP,20210622,7373.00,7373.00,7373.00,7597.00,157723216,21392,12,D,7601.00,7373.00
Iran.Arts.DEV.GRP,20210621,7374.00,7374.00,7374.00,7601.00,36641406,4969,6,D,7602.00,7374.00
Iran.Arts.DEV.GRP,20210620,7375.00,7375.00,7375.00,7602.00,29994125,4067,2,D,7603.00,7375.00
Iran.Arts.DEV.GRP,20210619,7226.00,7226.00,7226.00,7603.00,62822844,8694,5,D,7606.00,7226.00
Iran.Arts.DEV.GRP,20210616,7378.00,7378.00,7378.00,7606.00,7378000,1000,1,D,7606.00,7378.00
Iran.Arts.DEV.GRP,20210615,7401.00,7401.00,7401.00,7606.00,944597031,127631,9,D,7629.00,7401.00
Iran.Arts.DEV.GRP,20210614,7402.00,7402.00,7402.00,7629.00,55603824,7512,5,D,7630.00,7402.00
Iran.Arts.DEV.GRP,20210613,7448.00,7448.00,7448.00,7630.00,5080921328,682186,82,D,7839.00,7448.00
Iran.Arts.DEV.GRP,20210612,7619.00,7619.00,7619.00,7839.00,637580777,83683,5,D,7854.00,7619.00
Iran.Arts.DEV.GRP,20210609,7642.00,7642.00,7642.00,7854.00,996555010,130405,22,D,7878.00,7642.00
Iran.Arts.DEV.GRP,20210608,7659.00,7659.00,7659.00,7878.00,706933359,92301,5,D,7895.00,7659.00
Iran.Arts.DEV.GRP,20210607,7543.00,7543.00,7543.00,7895.00,1072780546,142222,23,D,7940.00,7543.00
Iran.Arts.DEV.GRP,20210602,7719.00,7719.00,7719.00,7940.00,665439552,86208,12,D,7957.00,7719.00
Iran.Arts.DEV.GRP,20210601,7742.00,7742.00,7742.00,7957.00,958730570,123835,5,D,7981.00,7742.00
