<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Investment.Bank,20210921,4486.00,4486.00,4352.00,4454.00,2576786502,589174,80,D,4486.00,4352.00
Investment.Bank,20210920,4485.00,4559.00,4485.00,4486.00,13523650323,3014902,295,D,4623.00,4485.00
Investment.Bank,20210919,4559.00,4650.00,4559.00,4623.00,5194815299,1139263,142,D,4700.00,4559.00
Investment.Bank,20210918,4741.00,4770.00,4699.00,4700.00,18534487697,3943248,356,D,4844.00,4699.00
Investment.Bank,20210915,4760.00,4940.00,4760.00,4844.00,17538748993,3620387,931,D,4797.00,4777.00
Investment.Bank,20210914,4791.00,4940.00,4791.00,4797.00,43990673615,9169672,1007,D,4939.00,4892.00
Investment.Bank,20210913,4940.00,4985.00,4939.00,4939.00,30090734900,6092169,452,D,5091.00,4939.00
Investment.Bank,20210912,5288.00,5288.00,5089.00,5091.00,18113373836,3557971,288,D,5246.00,5089.00
Investment.Bank,20210911,5298.00,5298.00,5100.00,5246.00,52520115102,10011811,984,D,5144.00,5170.00
Investment.Bank,20210908,5148.00,5148.00,5020.00,5144.00,55748530777,10838100,1058,D,4999.00,5148.00
Investment.Bank,20210907,4761.00,5033.00,4761.00,4999.00,52301974712,10463464,916,D,4887.00,5033.00
Investment.Bank,20210906,4720.00,4947.00,4720.00,4887.00,37337848042,7639516,967,D,4804.00,4727.00
Investment.Bank,20210905,4681.00,4821.00,4600.00,4804.00,32605326895,6786678,700,D,4681.00,4821.00
Investment.Bank,20210904,4689.00,4691.00,4601.00,4681.00,31635690136,6757767,868,D,4555.00,4691.00
Investment.Bank,20210901,4354.00,4622.00,4354.00,4555.00,39682604693,8712823,849,D,4488.00,4621.00
Investment.Bank,20210831,4470.00,4610.00,4468.00,4488.00,26696051315,5948943,631,D,4606.00,4468.00
Investment.Bank,20210830,4587.00,4780.00,4581.00,4606.00,22026931010,4782652,486,D,4722.00,4581.00
Investment.Bank,20210829,4799.00,4876.00,4602.00,4722.00,59152942610,12526863,1493,D,4744.00,4609.00
Investment.Bank,20210828,4889.00,4889.00,4670.00,4744.00,39542424262,8334497,1351,D,4747.00,4700.00
Investment.Bank,20210825,4950.00,4950.00,4692.00,4747.00,48818360656,10283642,1525,D,4837.00,4800.00
Investment.Bank,20210824,4837.00,4837.00,4837.00,4837.00,12358220595,2554935,88,D,4697.00,4837.00
Investment.Bank,20210803,4666.00,4842.00,4666.00,4697.00,20735156273,4415006,462,D,4810.00,4828.00
Investment.Bank,20210802,4889.00,4912.00,4640.00,4810.00,34875380425,7250899,947,D,4769.00,4640.00
Investment.Bank,20210801,4780.00,4803.00,4530.00,4769.00,20580221545,4315468,525,D,4664.00,4803.00
Investment.Bank,20210718,4500.00,4780.00,4326.00,4664.00,79386870763,17021790,1439,D,4553.00,4780.00
Investment.Bank,20210717,4554.00,4554.00,4500.00,4553.00,42809689908,9403107,539,D,4422.00,4554.00
Investment.Bank,20210714,4455.00,4455.00,4397.00,4422.00,8620347677,1939510,288,D,4326.00,4455.00
Investment.Bank,20210713,4310.00,4346.00,4223.00,4326.00,18840392164,4355466,521,D,4220.00,4346.00
Investment.Bank,20210712,4247.00,4248.00,4137.00,4220.00,16804575732,3981959,708,D,4125.00,4243.00
Investment.Bank,20210711,3970.00,4189.00,3970.00,4125.00,21930091684,5316653,756,D,4067.00,4189.00
Investment.Bank,20210710,4063.00,4188.00,4063.00,4067.00,47736743508,11736715,681,D,4188.00,4090.00
Investment.Bank,20210707,4210.00,4314.00,4165.00,4188.00,18009419261,4299973,557,D,4293.00,4166.00
Investment.Bank,20210706,4150.00,4323.00,4120.00,4293.00,40575980934,9451097,1027,D,4198.00,4260.00
Investment.Bank,20210705,4201.00,4324.00,4191.00,4198.00,67050006053,15970656,1252,D,4320.00,4195.00
Investment.Bank,20210704,4332.00,4332.00,4193.00,4320.00,35606293024,8241507,710,D,4206.00,4288.00
Investment.Bank,20210629,4216.00,4216.00,4216.00,4206.00,10120824200,2400575,234,D,4094.00,4216.00
Investment.Bank,20210628,4094.00,4094.00,4094.00,4094.00,12082536226,2951279,261,D,3975.00,4094.00
Investment.Bank,20210627,3950.00,3994.00,3801.00,3975.00,22435853802,5644217,508,D,3878.00,3994.00
Investment.Bank,20210626,3800.00,3923.00,3720.00,3878.00,43858791460,11309163,863,D,3809.00,3923.00
Investment.Bank,20210623,4007.00,4007.00,3797.00,3809.00,55078582741,14461667,1331,D,3914.00,3848.00
Investment.Bank,20210622,3880.00,4006.00,3785.00,3914.00,27135457739,6933153,1207,D,3901.00,3920.00
Investment.Bank,20210621,3898.00,3988.00,3898.00,3901.00,52904148673,13563007,1163,D,4103.00,3898.00
Investment.Bank,20210620,4014.00,4138.00,4014.00,4103.00,2714600540,676040,146,D,4138.00,4014.00
Investment.Bank,20210619,4138.00,4168.00,4138.00,4138.00,28436288015,6871764,523,D,4265.00,4138.00
Investment.Bank,20210616,4296.00,4410.00,4168.00,4265.00,22407309915,5253570,537,D,4296.00,4168.00
Investment.Bank,20210615,4170.00,4309.00,4120.00,4296.00,56185660485,13078591,1247,D,4184.00,4309.00
Investment.Bank,20210614,4236.00,4236.00,4030.00,4184.00,54829508442,13104573,1397,D,4113.00,4116.00
Investment.Bank,20210602,4113.00,4113.00,4113.00,4113.00,9953826057,2420089,158,D,4240.00,4113.00
Investment.Bank,20210601,4191.00,4388.00,4184.00,4240.00,28948329487,6827795,908,D,4313.00,4184.00
Investment.Bank,20210531,4156.00,4540.00,4156.00,4313.00,136283117189,31600050,2890,D,4374.00,4300.00
Investment.Bank,20210530,4323.00,4323.00,4323.00,4374.00,5849952768,1353216,52,D,4456.00,4323.00
Investment.Bank,20210529,4414.00,4414.00,4414.00,4456.00,6728004188,1524242,58,D,4550.00,4414.00
Investment.Bank,20210526,4495.00,4495.00,4495.00,4550.00,5477179975,1218505,21,D,4634.00,4495.00
Investment.Bank,20210525,4543.00,4543.00,4543.00,4634.00,5668201154,1247678,36,D,4782.00,4543.00
Investment.Bank,20210524,4724.00,4724.00,4724.00,4782.00,5741790524,1215451,22,D,4870.00,4724.00
Investment.Bank,20210523,4815.00,4815.00,4815.00,4870.00,6098789745,1266623,33,D,4963.00,4815.00
Investment.Bank,20210522,4815.00,4815.00,4815.00,4963.00,20223000,4200,3,D,4963.00,4815.00
Investment.Bank,20210519,4720.00,4720.00,4720.00,4963.00,208954400,44270,8,D,4968.00,4720.00
Investment.Bank,20210518,4819.00,4819.00,4819.00,4968.00,20480750,4250,2,D,4968.00,4819.00
Investment.Bank,20210517,4820.00,4820.00,4820.00,4968.00,43915020,9111,5,D,4969.00,4820.00
Investment.Bank,20210516,4820.00,4820.00,4820.00,4969.00,10305160,2138,2,D,4969.00,4820.00
Investment.Bank,20210515,4722.00,4722.00,4722.00,4969.00,45113988,9554,7,D,4970.00,4722.00
Investment.Bank,20210512,4871.00,4871.00,4871.00,4970.00,30833430,6330,4,D,4970.00,4871.00
Investment.Bank,20210511,4872.00,4872.00,4872.00,4970.00,150008880,30790,4,D,4971.00,4872.00
Investment.Bank,20210510,4872.00,4872.00,4872.00,4971.00,85016400,17450,4,D,4971.00,4872.00
Investment.Bank,20210509,4774.00,4774.00,4774.00,4971.00,88156684,18466,5,D,4972.00,4774.00
Investment.Bank,20210508,4873.00,4873.00,4873.00,4972.00,78391951,16087,4,D,4972.00,4873.00
Investment.Bank,20210505,4873.00,4873.00,4873.00,4972.00,47740781,9797,3,D,4972.00,4873.00
Investment.Bank,20210503,4873.00,4873.00,4873.00,4972.00,21441200,4400,4,D,4972.00,4873.00
Investment.Bank,20210502,4804.00,4804.00,4804.00,4972.00,3068876868,638817,31,D,5004.00,4804.00
Investment.Bank,20210501,4905.00,4905.00,4905.00,5004.00,136535580,27836,14,D,5005.00,4905.00
Investment.Bank,20210428,4906.00,4906.00,4906.00,5005.00,244573912,49852,12,D,5006.00,4906.00
Investment.Bank,20210427,4906.00,4906.00,4906.00,5006.00,48903008,9968,6,D,5006.00,4906.00
Investment.Bank,20210426,4816.00,4816.00,4816.00,5006.00,993699728,206333,36,D,5016.00,4816.00
Investment.Bank,20210425,4919.00,4919.00,4919.00,5016.00,656893098,133542,15,D,5019.00,4919.00
Investment.Bank,20210424,4926.00,4926.00,4926.00,5019.00,1451130636,294586,20,D,5026.00,4926.00
Investment.Bank,20210421,4953.00,4953.00,4953.00,5026.00,5240432496,1058032,76,D,5054.00,4953.00
Investment.Bank,20210420,4979.00,4979.00,4979.00,5054.00,12224460716,2455204,143,D,5186.00,4979.00
Investment.Bank,20210419,5083.00,5083.00,5083.00,5186.00,25216763,4961,7,D,5186.00,5083.00
Investment.Bank,20210418,5083.00,5083.00,5083.00,5186.00,27366872,5384,6,D,5186.00,5083.00
Investment.Bank,20210417,5084.00,5084.00,5084.00,5186.00,156861736,30854,21,D,5187.00,5084.00
Investment.Bank,20210414,5162.00,5162.00,5162.00,5187.00,15990430640,3097720,121,D,5377.00,5162.00
Investment.Bank,20210413,5305.00,5305.00,5305.00,5377.00,6165327765,1162173,64,D,5413.00,5305.00
Investment.Bank,20210412,5350.00,5350.00,5350.00,5413.00,7885750200,1473972,86,D,5459.00,5350.00
Investment.Bank,20210411,5383.00,5383.00,5383.00,5459.00,5778779692,1073524,45,D,5492.00,5383.00
Investment.Bank,20210410,5465.00,5465.00,5465.00,5492.00,16937423110,3099254,81,D,5692.00,5465.00
Investment.Bank,20210407,5619.00,5619.00,5619.00,5692.00,6846043506,1218374,52,D,5733.00,5619.00
Investment.Bank,20210406,5681.00,5681.00,5681.00,5733.00,10662078076,1876796,83,D,5796.00,5681.00
Investment.Bank,20210405,5800.00,5898.00,5781.00,5796.00,52783573370,9107479,1012,D,5898.00,5781.00
Investment.Bank,20210404,6043.00,6043.00,5750.00,5898.00,373359555668,63303308,7583,D,5867.00,5867.00
Investment.Bank,20210403,5753.00,6040.00,5753.00,5867.00,361190503509,61563616,8854,D,5870.00,5999.00
Investment.Bank,20210331,5870.00,5870.00,5870.00,5870.00,23690310360,4035828,184,D,6114.00,5870.00
Investment.Bank,20210330,6065.00,6065.00,6065.00,6114.00,11457185290,1889066,71,D,6188.00,6065.00
Investment.Bank,20210328,6139.00,6139.00,6139.00,6188.00,11815371099,1924641,79,D,6264.00,6139.00
Investment.Bank,20210327,6207.00,6207.00,6207.00,6264.00,10761553839,1733777,69,D,6333.00,6207.00
Investment.Bank,20210317,6333.00,6333.00,6333.00,6333.00,33257445516,5251452,290,D,6596.00,6333.00
Investment.Bank,20210316,6468.00,6468.00,6468.00,6596.00,538570956,83267,44,D,6600.00,6468.00
Investment.Bank,20210315,6600.00,6600.00,6600.00,6600.00,18815682600,2850861,99,D,6734.00,6600.00
Investment.Bank,20210314,6629.00,6629.00,6629.00,6734.00,4191271427,632263,32,D,6764.00,6629.00
Investment.Bank,20210313,6764.00,6764.00,6764.00,6764.00,19415906428,2870477,106,D,7045.00,6764.00
Investment.Bank,20210310,7045.00,7045.00,7045.00,7045.00,19604276490,2782722,70,D,7188.00,7045.00
Investment.Bank,20210309,7047.00,7047.00,7047.00,7188.00,250908435,35605,11,D,7190.00,7047.00
Investment.Bank,20210308,7047.00,7047.00,7047.00,7190.00,37511181,5323,5,D,7190.00,7047.00
Investment.Bank,20210307,7048.00,7048.00,7048.00,7190.00,146654784,20808,9,D,7191.00,7048.00
Investment.Bank,20210302,7049.00,7049.00,7049.00,7191.00,124513536,17664,7,D,7192.00,7049.00
Investment.Bank,20210301,7049.00,7049.00,7049.00,7192.00,47439770,6730,3,D,7192.00,7049.00
Investment.Bank,20210228,6912.00,6912.00,6912.00,7192.00,438296832,63411,19,D,7199.00,6912.00
Investment.Bank,20210227,7056.00,7056.00,7056.00,7199.00,26361216,3736,3,D,7199.00,7056.00
Investment.Bank,20210224,7056.00,7056.00,7056.00,7199.00,48474720,6870,7,D,7199.00,7056.00
Investment.Bank,20210223,7057.00,7057.00,7057.00,7199.00,287121102,40686,9,D,7201.00,7057.00
Investment.Bank,20210222,6916.00,6916.00,6916.00,7201.00,230724676,33361,19,D,7204.00,6916.00
Investment.Bank,20210221,7061.00,7061.00,7061.00,7204.00,86334847,12227,6,D,7205.00,7061.00
Investment.Bank,20210220,7062.00,7062.00,7062.00,7205.00,129022740,18270,10,D,7206.00,7062.00
Investment.Bank,20210217,7067.00,7067.00,7067.00,7206.00,623761688,88264,16,D,7211.00,7067.00
Investment.Bank,20210216,6928.00,6928.00,6928.00,7211.00,315799024,45583,17,D,7216.00,6928.00
Investment.Bank,20210215,7073.00,7073.00,7073.00,7216.00,147026451,20787,12,D,7217.00,7073.00
Investment.Bank,20210214,7076.00,7076.00,7076.00,7217.00,414858804,58629,28,D,7220.00,7076.00
Investment.Bank,20210213,7096.00,7096.00,7096.00,7220.00,2782937664,392184,82,D,7240.00,7096.00
Investment.Bank,20210209,6928.00,6928.00,6928.00,7240.00,2691680416,388522,99,D,7292.00,6928.00
Investment.Bank,20210208,7077.00,7077.00,7077.00,7292.00,306200559,43267,35,D,7295.00,7077.00
Investment.Bank,20210207,7091.00,7091.00,7091.00,7295.00,1293986953,182483,38,D,7310.00,7091.00
Investment.Bank,20210206,7092.00,7092.00,7092.00,7310.00,107741664,15192,6,D,7311.00,7092.00
Investment.Bank,20210203,6975.00,6975.00,6975.00,7311.00,1607137650,230414,58,D,7342.00,6975.00
Investment.Bank,20210202,7135.00,7135.00,7135.00,7342.00,1149477040,161104,19,D,7355.00,7135.00
Investment.Bank,20210201,7144.00,7144.00,7144.00,7355.00,816187712,114248,41,D,7364.00,7144.00
Investment.Bank,20210124,7233.00,7233.00,7233.00,7364.00,7927165476,1095972,126,D,7456.00,7233.00
Investment.Bank,20210123,7276.00,7276.00,7276.00,7456.00,3896276172,535497,136,D,7501.00,7276.00
Investment.Bank,20210120,7297.00,7297.00,7297.00,7501.00,8828217074,1209842,192,D,7681.00,7297.00
Investment.Bank,20210119,7476.00,7476.00,7476.00,7681.00,2141081544,286394,55,D,7707.00,7476.00
Investment.Bank,20210118,7484.00,7484.00,7484.00,7707.00,645045960,86190,21,D,7715.00,7484.00
Investment.Bank,20210116,7499.00,7499.00,7499.00,7715.00,1235422755,164745,44,D,7730.00,7499.00
Investment.Bank,20210113,7415.00,7415.00,7415.00,7730.00,3620714840,488296,123,D,7805.00,7415.00
Investment.Bank,20210112,7584.00,7584.00,7584.00,7805.00,1067789280,140795,40,D,7818.00,7584.00
Investment.Bank,20210111,7641.00,7641.00,7641.00,7818.00,4849933725,634725,139,D,7877.00,7641.00
Investment.Bank,20210110,8200.00,8200.00,7803.00,7877.00,37760237196,4794011,715,D,8044.00,7803.00
Investment.Bank,20210109,7870.00,8062.00,7870.00,8044.00,241708848351,30049346,3382,D,7828.00,8062.00
Investment.Bank,20201221,8110.00,8110.00,7677.00,7828.00,101917349867,13018923,2639,D,7914.00,7677.00
Investment.Bank,20201220,7877.00,8095.00,7877.00,7914.00,385953934304,48770360,5245,D,8291.00,7900.00
Investment.Bank,20201219,8280.00,8470.00,8227.00,8291.00,42983074559,5184222,925,D,8481.00,8227.00
Investment.Bank,20201216,8458.00,8670.00,8458.00,8481.00,77406146610,9126849,1255,D,8719.00,8458.00
Investment.Bank,20201215,8526.00,8526.00,8526.00,8719.00,5485628400,643400,123,D,8789.00,8526.00
Investment.Bank,20201214,9213.00,9213.00,8337.00,8789.00,674601148985,76758532,10701,D,8775.00,8440.00
Investment.Bank,20201213,8775.00,8775.00,8775.00,8775.00,41009576400,4673456,738,D,8520.00,8775.00
Investment.Bank,20201212,8520.00,8520.00,8520.00,8520.00,34880956680,4094009,687,D,8272.00,8520.00
Investment.Bank,20201209,8135.00,8279.00,8135.00,8272.00,102699711160,12415789,1785,D,8038.00,8279.00
Investment.Bank,20201208,7985.00,8314.00,7985.00,8038.00,700993816452,87212766,12798,D,8405.00,8070.00
