<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Eghtesad.Novin,20210921,7722.00,7722.00,7320.00,7547.00,5823621505,768099,157,D,7499.00,7695.00
Eghtesad.Novin,20210920,7160.00,7583.00,7160.00,7499.00,8418513109,1118690,215,D,7363.00,7583.00
Eghtesad.Novin,20210919,7560.00,7560.00,7154.00,7363.00,6327581308,860225,283,D,7375.00,7360.00
Eghtesad.Novin,20210918,7690.00,7693.00,7245.00,7375.00,7046575167,960365,472,D,7469.00,7245.00
Eghtesad.Novin,20210915,7350.00,7760.00,7310.00,7469.00,9484803685,1270049,190,D,7536.00,7670.00
Eghtesad.Novin,20210914,7371.00,7720.00,7371.00,7536.00,4615737602,617750,288,D,7596.00,7680.00
Eghtesad.Novin,20210913,7759.00,7759.00,7474.00,7596.00,4748288133,634458,107,D,7705.00,7570.00
Eghtesad.Novin,20210912,7541.00,7750.00,7526.00,7705.00,2701735004,357070,100,D,7758.00,7700.00
Eghtesad.Novin,20210911,7569.00,7990.00,7568.00,7758.00,2945072966,384726,122,D,7802.00,7575.00
Eghtesad.Novin,20210908,8100.00,8100.00,7713.00,7802.00,6855621230,886074,231,D,7951.00,7880.00
Eghtesad.Novin,20210907,7770.00,8180.00,7769.00,7951.00,4189750660,532360,167,D,8009.00,7938.00
Eghtesad.Novin,20210906,7939.00,8237.00,7905.00,8009.00,8258268436,1035261,311,D,8149.00,7905.00
Eghtesad.Novin,20210905,8180.00,8180.00,7901.00,8149.00,16095140960,1975109,234,D,7942.00,8180.00
Eghtesad.Novin,20210904,7910.00,8070.00,7600.00,7942.00,14215483840,1789912,435,D,7835.00,8070.00
Eghtesad.Novin,20210901,7759.00,8120.00,7759.00,7835.00,7766217691,996360,275,D,7998.00,7880.00
Eghtesad.Novin,20210831,7905.00,8270.00,7905.00,7998.00,7563914213,951299,200,D,8149.00,7905.00
Eghtesad.Novin,20210830,8110.00,8360.00,8110.00,8149.00,13457304375,1651321,226,D,8360.00,8110.00
Eghtesad.Novin,20210829,8433.00,8433.00,8002.00,8360.00,24982401465,2988290,499,D,8188.00,8220.00
Eghtesad.Novin,20210828,8281.00,8281.00,8281.00,8188.00,6340057815,765615,77,D,8040.00,8281.00
Eghtesad.Novin,20210825,8157.00,8157.00,7683.00,8040.00,19942069588,2480508,553,D,7920.00,8157.00
Eghtesad.Novin,20210824,7593.00,7979.00,7593.00,7920.00,8195125819,1027731,87,D,7747.00,7979.00
Eghtesad.Novin,20210823,7792.00,7792.00,7574.00,7747.00,9498911091,1223129,356,D,7566.00,7792.00
Eghtesad.Novin,20210822,7199.00,7618.00,7199.00,7566.00,9461417463,1248163,406,D,7397.00,7618.00
Eghtesad.Novin,20210815,7690.00,7690.00,7381.00,7397.00,15316649048,2070739,365,D,7609.00,7532.00
