<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*IranKhodroDiesel,20210921,7890.00,7990.00,7624.00,7664.00,105435490724,13757030,1386,D,8025.00,7624.00
S*IranKhodroDiesel,20210920,8005.00,8194.00,8005.00,8025.00,77163486793,9615157,1001,D,8252.00,8005.00
S*IranKhodroDiesel,20210919,8250.00,8300.00,8250.00,8252.00,86022196765,10424500,910,D,8505.00,8250.00
S*IranKhodroDiesel,20210918,8590.00,8750.00,8488.00,8505.00,19054741655,2240358,364,D,8750.00,8488.00
S*IranKhodroDiesel,20210915,8830.00,9010.00,8620.00,8750.00,112000610204,12800573,2257,D,8886.00,8628.00
S*IranKhodroDiesel,20210914,8833.00,9096.00,8601.00,8886.00,107017202041,12043551,1873,D,8878.00,8830.00
S*IranKhodroDiesel,20210913,8858.00,9125.00,8858.00,8878.00,132755610183,14953725,1904,D,9131.00,8858.00
S*IranKhodroDiesel,20210912,9131.00,9299.00,9125.00,9131.00,52021178083,5697207,717,D,9407.00,9125.00
S*IranKhodroDiesel,20210911,9670.00,9810.00,9277.00,9407.00,137599811537,14627907,2320,D,9563.00,9277.00
S*IranKhodroDiesel,20210908,9589.00,9617.00,9400.00,9563.00,162824616194,17026009,2790,D,9337.00,9615.00
S*IranKhodroDiesel,20210907,8950.00,9502.00,8950.00,9337.00,323679615142,34667998,4116,D,9226.00,9497.00
S*IranKhodroDiesel,20210906,9320.00,9490.00,9174.00,9226.00,271006045601,29374727,3408,D,9457.00,9174.00
S*IranKhodroDiesel,20210905,9502.00,9502.00,9227.00,9457.00,958048643795,101301522,9447,D,9226.00,9300.00
S*IranKhodroDiesel,20210904,9226.00,9226.00,9226.00,9226.00,40298060880,4367880,322,D,8787.00,9226.00
S*IranKhodroDiesel,20210901,8787.00,8787.00,8787.00,8787.00,48793666206,5552938,428,D,8532.00,8787.00
S*IranKhodroDiesel,20210831,8532.00,8532.00,8532.00,8532.00,69669257544,8165642,479,D,8284.00,8532.00
S*IranKhodroDiesel,20210830,8101.00,8587.00,8087.00,8284.00,324412744547,39162246,3141,D,8337.00,8587.00
S*IranKhodroDiesel,20210829,8400.00,8400.00,8001.00,8337.00,250377358591,30032178,3252,D,8000.00,8101.00
S*IranKhodroDiesel,20210828,8000.00,8000.00,8000.00,8000.00,36927896000,4615987,373,D,7767.00,8000.00
S*IranKhodroDiesel,20210825,7770.00,7790.00,7650.00,7767.00,78222375742,10070715,1241,D,7564.00,7790.00
S*IranKhodroDiesel,20210824,7412.00,7639.00,7380.00,7564.00,117069190396,15476492,1567,D,7417.00,7639.00
S*IranKhodroDiesel,20210823,7650.00,7650.00,7350.00,7417.00,98589934203,13292131,1361,D,7538.00,7430.00
S*IranKhodroDiesel,20210822,7499.00,7597.00,7401.00,7538.00,102475689816,13593646,1570,D,7376.00,7468.00
S*IranKhodroDiesel,20210815,7350.00,7550.00,7270.00,7376.00,67227498368,9114770,1303,D,7404.00,7395.00
S*IranKhodroDiesel,20210814,7300.00,7569.00,7200.00,7404.00,94921228135,12820564,1796,D,7378.00,7300.00
S*IranKhodroDiesel,20210811,7565.00,7651.00,7339.00,7378.00,143665773537,19473470,1878,D,7565.00,7339.00
S*IranKhodroDiesel,20210810,7620.00,7869.00,7526.00,7565.00,111587070849,14750344,1952,D,7758.00,7550.00
S*IranKhodroDiesel,20210809,7611.00,7888.00,7600.00,7758.00,68969442755,8890180,1400,D,7695.00,7681.00
S*IranKhodroDiesel,20210808,7580.00,7830.00,7401.00,7695.00,102410454187,13308299,2008,D,7609.00,7670.00
S*IranKhodroDiesel,20210807,7580.00,7877.00,7545.00,7609.00,162634047942,21375244,2803,D,7778.00,7580.00
S*IranKhodroDiesel,20210804,7805.00,7805.00,7610.00,7778.00,309447619115,39785129,4287,D,7578.00,7661.00
S*IranKhodroDiesel,20210803,7578.00,7578.00,7578.00,7578.00,19305576396,2547582,255,D,7358.00,7578.00
S*IranKhodroDiesel,20210802,7225.00,7671.00,7225.00,7358.00,573165068717,77900952,5687,D,7448.00,7671.00
S*IranKhodroDiesel,20210801,7632.00,7638.00,7420.00,7448.00,69605985299,9345187,629,D,7649.00,7420.00
S*IranKhodroDiesel,20210731,7632.00,7900.00,7632.00,7649.00,530199501544,69314953,4326,D,7868.00,7632.00
S*IranKhodroDiesel,20210728,7857.00,8340.00,7857.00,7868.00,119428330035,15179443,850,D,8100.00,7857.00
S*IranKhodroDiesel,20210712,8100.00,8100.00,8100.00,8100.00,38510324100,4754361,171,D,7391.00,8100.00
S*IranKhodroDiesel,20210704,7063.00,7466.00,7063.00,7391.00,176886449809,23931621,1864,D,7249.00,7466.00
S*IranKhodroDiesel,20210703,7257.00,7257.00,6850.00,7249.00,851002593156,117395522,5584,D,7046.00,7200.00
S*IranKhodroDiesel,20210630,7046.00,7046.00,7046.00,7046.00,15723156046,2231501,170,D,6841.00,7046.00
S*IranKhodroDiesel,20210629,6841.00,6841.00,6841.00,6841.00,15016986945,2195145,176,D,6516.00,6841.00
S*IranKhodroDiesel,20210628,6516.00,6516.00,6516.00,6516.00,17624190096,2704756,140,D,6327.00,6516.00
