<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jami.investment,20210921,11100.00,11100.00,10655.00,10770.00,14787142807,1372939,288,D,10984.00,10655.00
Jami.investment,20210920,11000.00,11381.00,10719.00,10984.00,16636310844,1514627,260,D,11050.00,11381.00
Jami.investment,20210915,10860.00,11185.00,10860.00,11050.00,29086004974,2632333,875,D,10860.00,10990.00
Jami.investment,20210914,10755.00,11320.00,10754.00,10860.00,42509692297,3914232,1198,D,11320.00,11100.00
Jami.investment,20210913,11105.00,11105.00,11105.00,11320.00,3472800020,312724,136,D,11448.00,11105.00
Jami.investment,20210912,11271.00,11500.00,11271.00,11448.00,4676981743,414875,136,D,11619.00,11271.00
Jami.investment,20210911,12200.00,12200.00,11557.00,11619.00,18556845879,1597072,395,D,11914.00,11557.00
Jami.investment,20210908,12148.00,12200.00,11671.00,11914.00,18715569311,1570849,692,D,12027.00,11700.00
Jami.investment,20210907,11800.00,12347.00,11736.00,12027.00,22927797939,1906308,615,D,12098.00,11810.00
Jami.investment,20210906,12530.00,12530.00,11820.00,12098.00,32029602514,2647420,742,D,12185.00,11820.00
Jami.investment,20210905,12100.00,12254.00,11610.00,12185.00,54077536940,4438059,1018,D,11898.00,12254.00
Jami.investment,20210904,11900.00,12026.00,11650.00,11898.00,30364294994,2552132,713,D,11676.00,12025.00
Jami.investment,20210901,11646.00,12150.00,11644.00,11676.00,47763557582,4090609,687,D,12004.00,11650.00
Jami.investment,20210831,11992.00,12190.00,11992.00,12004.00,18965040596,1579955,315,D,12362.00,11992.00
Jami.investment,20210830,12357.00,12730.00,12357.00,12362.00,10197228573,824909,233,D,12739.00,12357.00
Jami.investment,20210829,13200.00,13200.00,12566.00,12739.00,40961656236,3215446,925,D,12954.00,12566.00
Jami.investment,20210828,12974.00,12974.00,12400.00,12954.00,44279210545,3418211,605,D,12357.00,12974.00
Jami.investment,20210825,12357.00,12357.00,12357.00,12357.00,10834667028,876804,145,D,11998.00,12357.00
Jami.investment,20210824,11970.00,11999.00,11969.00,11998.00,13735020024,1144762,189,D,11650.00,11999.00
Jami.investment,20210823,11182.00,11809.00,11182.00,11650.00,18937119914,1625492,578,D,11466.00,11809.00
Jami.investment,20210822,11660.00,11784.00,11431.00,11466.00,51599374761,4500269,1047,D,11784.00,11431.00
Jami.investment,20210815,11901.00,12050.00,11740.00,11784.00,50303905681,4268927,1070,D,12103.00,11740.00
Jami.investment,20210814,12270.00,12550.00,12062.00,12103.00,23531198491,1944302,406,D,12435.00,12062.00
Jami.investment,20210811,12321.00,12775.00,12280.00,12435.00,23823109503,1915813,787,D,12647.00,12360.00
Jami.investment,20210810,13200.00,13200.00,12607.00,12647.00,29709034505,2349113,641,D,12996.00,12700.00
Jami.investment,20210809,13090.00,13300.00,12770.00,12996.00,36047711734,2773841,608,D,13010.00,13020.00
Jami.investment,20210808,12880.00,13034.00,12700.00,13010.00,37194258441,2858942,512,D,12655.00,12980.00
Jami.investment,20210807,12202.00,12825.00,12202.00,12655.00,33978710489,2685084,444,D,12452.00,12825.00
Jami.investment,20210804,12356.00,12797.00,12349.00,12452.00,49536543037,3978192,673,D,12730.00,12349.00
Jami.investment,20210803,12980.00,12980.00,12500.00,12730.00,19599665043,1539618,403,D,12772.00,12514.00
Jami.investment,20210802,12131.00,12852.00,12131.00,12772.00,62226786749,4871949,756,D,12478.00,12852.00
Jami.investment,20210801,12390.00,12900.00,12362.00,12478.00,20179674189,1617175,478,D,12744.00,12362.00
Jami.investment,20210731,12250.00,12816.00,12250.00,12744.00,41919957226,3289308,616,D,12443.00,12790.00
Jami.investment,20210728,12345.00,12789.00,12345.00,12443.00,30153521573,2423284,669,D,12719.00,12510.00
Jami.investment,20210727,12535.00,13250.00,12535.00,12719.00,44132219852,3469826,1024,D,12922.00,12535.00
Jami.investment,20210726,12916.00,13190.00,12916.00,12922.00,14971315005,1158595,235,D,13315.00,12916.00
Jami.investment,20210719,13699.00,13762.00,12962.00,13315.00,62303287713,4679303,1445,D,13362.00,13011.00
Jami.investment,20210718,13076.00,13447.00,13076.00,13362.00,55775288083,4174291,1129,D,13056.00,13447.00
Jami.investment,20210717,13100.00,13429.00,12677.00,13056.00,84267691021,6454500,1529,D,13069.00,13290.00
Jami.investment,20210714,13499.00,13499.00,12790.00,13069.00,71140259186,5443533,1372,D,13130.00,12957.00
Jami.investment,20210713,12900.00,13163.00,12750.00,13130.00,113498183251,8643901,1741,D,12780.00,13163.00
Jami.investment,20210712,13019.00,13019.00,12261.00,12780.00,120844356619,9455795,2270,D,12640.00,12910.00
Jami.investment,20210711,12640.00,12640.00,12640.00,12640.00,26503880640,2096826,276,D,12272.00,12640.00
Jami.investment,20210710,11946.00,12684.00,11946.00,12272.00,202164125890,16473166,3543,D,12315.00,12678.00
Jami.investment,20210707,12369.00,12782.00,12269.00,12315.00,22997476427,1867451,413,D,12648.00,12269.00
Jami.investment,20210706,12623.00,12867.00,12623.00,12648.00,459560685549,36334619,5373,D,13287.00,12623.00
Jami.investment,20210705,12945.00,12945.00,12945.00,13287.00,1401632820,108276,21,D,13345.00,12945.00
Jami.investment,20210704,12988.00,12988.00,12988.00,13345.00,1053028076,81077,15,D,13389.00,12988.00
Jami.investment,20210703,13043.00,13043.00,13043.00,13389.00,1369175882,104974,19,D,13446.00,13043.00
Jami.investment,20210630,13446.00,13446.00,13446.00,13446.00,9316598940,692890,60,D,14153.00,13446.00
Jami.investment,20210629,13734.00,13734.00,13734.00,14153.00,110105478,8017,13,D,14158.00,13734.00
Jami.investment,20210628,13790.00,13790.00,13790.00,14158.00,1267866390,91941,22,D,14216.00,13790.00
Jami.investment,20210627,13794.00,13794.00,13794.00,14216.00,89523060,6490,8,D,14220.00,13794.00
Jami.investment,20210626,14182.00,14182.00,14182.00,14220.00,9010533700,635350,31,D,14928.00,14182.00
Jami.investment,20210623,14489.00,14489.00,14489.00,14928.00,187386237,12933,9,D,14937.00,14489.00
Jami.investment,20210622,14498.00,14498.00,14498.00,14937.00,186487774,12863,9,D,14946.00,14498.00
Jami.investment,20210621,14498.00,14498.00,14498.00,14946.00,6640084,458,1,D,14946.00,14498.00
