<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaf,20210919,96977.00,96977.00,96977.00,98952.00,19395400,200,1,D,98956.00,96977.00
Kaf,20210918,96986.00,96986.00,96986.00,98956.00,45389448,468,1,D,98965.00,96986.00
Kaf,20210915,95011.00,95011.00,95011.00,98965.00,10356199,109,2,D,98969.00,95011.00
Kaf,20210914,96991.00,96991.00,96991.00,98969.00,5334505,55,1,D,98970.00,96991.00
Kaf,20210911,95018.00,95018.00,95018.00,98970.00,15772988,166,4,D,98977.00,95018.00
Kaf,20210907,97001.00,97001.00,97001.00,98977.00,13580140,140,1,D,98980.00,97001.00
Kaf,20210906,97003.00,97003.00,97003.00,98980.00,9700300,100,1,D,98982.00,97003.00
Kaf,20210905,95111.00,95111.00,95111.00,98982.00,219516188,2308,11,D,99073.00,95111.00
Kaf,20210904,97099.00,97099.00,97099.00,99073.00,32722363,337,5,D,99080.00,97099.00
Kaf,20210901,97111.00,97111.00,97111.00,99080.00,59431932,612,3,D,99092.00,97111.00
Kaf,20210831,97114.00,97114.00,97114.00,99092.00,16703608,172,2,D,99095.00,97114.00
Kaf,20210830,95137.00,95137.00,95137.00,99095.00,14936509,157,2,D,99101.00,95137.00
Kaf,20210829,97123.00,97123.00,97123.00,99101.00,19424600,200,2,D,99105.00,97123.00
Kaf,20210828,97216.00,97216.00,97216.00,99105.00,464789696,4781,9,D,99200.00,97216.00
Kaf,20210825,97230.00,97230.00,97230.00,99200.00,70491750,725,6,D,99214.00,97230.00
Kaf,20210824,97383.00,97383.00,97383.00,99214.00,762703656,7832,12,D,99370.00,97383.00
Kaf,20210809,97402.00,97402.00,97402.00,99370.00,92239694,947,7,D,99389.00,97402.00
Kaf,20210808,97406.00,97406.00,97406.00,99389.00,18409734,189,3,D,99393.00,97406.00
Kaf,20210807,95420.00,95420.00,95420.00,99393.00,5057260,53,1,D,99395.00,95420.00
Kaf,20210804,97413.00,97413.00,97413.00,99395.00,29223900,300,1,D,99401.00,97413.00
Kaf,20210801,95476.00,95476.00,95476.00,99401.00,128033316,1341,7,D,99454.00,95476.00
Kaf,20210727,97473.00,97473.00,97473.00,99454.00,39768984,408,1,D,99462.00,97473.00
Kaf,20210726,97484.00,97484.00,97484.00,99462.00,55760848,572,2,D,99473.00,97484.00
Kaf,20210718,97508.00,97508.00,97508.00,99473.00,117594648,1206,5,D,99497.00,97508.00
Kaf,20210717,97514.00,97514.00,97514.00,99497.00,32862218,337,5,D,99504.00,97514.00
Kaf,20210714,97527.00,97527.00,97527.00,99504.00,63685131,653,4,D,99517.00,97527.00
Kaf,20210710,97530.00,97530.00,97530.00,99517.00,13849260,142,2,D,99520.00,97530.00
Kaf,20210707,95546.00,95546.00,95546.00,99520.00,17389372,182,3,D,99527.00,95546.00
Kaf,20210706,97542.00,97542.00,97542.00,99527.00,23117454,237,3,D,99532.00,97542.00
Kaf,20210705,97546.00,97546.00,97546.00,99532.00,19996930,205,3,D,99536.00,97546.00
Kaf,20210704,97550.00,97550.00,97550.00,99536.00,17656550,181,2,D,99540.00,97550.00
Kaf,20210703,95579.00,95579.00,95579.00,99540.00,49509922,518,6,D,99561.00,95579.00
Kaf,20210629,97577.00,97577.00,97577.00,99561.00,34151950,350,2,D,99568.00,97577.00
Kaf,20210628,97579.00,97579.00,97579.00,99568.00,10245795,105,1,D,99570.00,97579.00
Kaf,20210626,95668.00,95668.00,95668.00,99570.00,201285472,2104,7,D,99654.00,95668.00
Kaf,20210623,97694.00,97694.00,97694.00,99654.00,160706630,1645,4,D,99687.00,97694.00
Kaf,20210620,95868.00,95868.00,95868.00,99687.00,420093576,4382,6,D,99862.00,95868.00
Kaf,20210614,95891.00,95891.00,95891.00,99862.00,58301728,608,3,D,99886.00,95891.00
Kaf,20210612,97890.00,97890.00,97890.00,99886.00,2447250,25,1,D,99887.00,97890.00
Kaf,20210609,97902.00,97902.00,97902.00,99887.00,64713222,661,1,D,99900.00,97902.00
Kaf,20210608,95911.00,95911.00,95911.00,99900.00,16208959,169,3,D,99907.00,95911.00
Kaf,20210607,97913.00,97913.00,97913.00,99907.00,20659643,211,4,D,99911.00,97913.00
Kaf,20210531,96031.00,96031.00,96031.00,99911.00,290589806,3026,10,D,100032.00,96031.00
Kaf,20210530,98034.00,98034.00,98034.00,100032.00,10979808,112,2,D,100034.00,98034.00
Kaf,20210529,98249.00,98249.00,98249.00,100034.00,1077693281,10969,10,D,100254.00,98249.00
Kaf,20210525,96325.00,96325.00,96325.00,100254.00,201993525,2097,12,D,100338.00,96325.00
Kaf,20210519,96336.00,96336.00,96336.00,100338.00,26974080,280,4,D,100349.00,96336.00
Kaf,20210518,98349.00,98349.00,98349.00,100349.00,33537009,341,3,D,100356.00,98349.00
Kaf,20210517,98934.00,98934.00,98934.00,100356.00,2925775182,29573,17,D,100953.00,98934.00
Kaf,20210516,99546.00,99546.00,99546.00,100953.00,3056062200,30700,9,D,101577.00,99546.00
Kaf,20210515,101568.00,103688.00,101568.00,101577.00,21444735675,211119,259,D,105799.00,101568.00
Kaf,20210512,103688.00,103688.00,103688.00,105799.00,23951928,231,3,D,105804.00,103688.00
Kaf,20210511,103742.00,103742.00,103742.00,105804.00,271389072,2616,8,D,105859.00,103742.00
Kaf,20210510,103819.00,103819.00,103819.00,105859.00,380808092,3668,5,D,105937.00,103819.00
Kaf,20210509,101946.00,101946.00,101946.00,105937.00,613816866,6021,20,D,106193.00,101946.00
Kaf,20210508,104074.00,104074.00,104074.00,106193.00,21022948,202,2,D,106197.00,104074.00
Kaf,20210505,104489.00,104489.00,104489.00,106197.00,2077763765,19885,23,D,106621.00,104489.00
Kaf,20210503,108212.00,108212.00,103970.00,106621.00,22484513810,210883,581,D,106091.00,103970.00
Kaf,20210502,106103.00,106103.00,104150.00,106091.00,13594699579,128142,182,D,104023.00,106103.00
Kaf,20210501,104742.00,104742.00,102200.00,104023.00,21581763029,207472,439,D,102689.00,104742.00
Kaf,20210428,101096.00,105222.00,101096.00,102689.00,27629791766,269064,352,D,103159.00,105222.00
Kaf,20210427,101165.00,101165.00,101165.00,103159.00,340824885,3369,15,D,103229.00,101165.00
Kaf,20210426,99140.00,99140.00,99140.00,103229.00,97355480,982,10,D,103270.00,99140.00
Kaf,20210425,101226.00,101226.00,101226.00,103270.00,101124774,999,4,D,103291.00,101226.00
Kaf,20210424,101265.00,101265.00,101265.00,103291.00,197061690,1946,5,D,103331.00,101265.00
Kaf,20210421,101364.00,101364.00,101364.00,103331.00,492730404,4861,18,D,103432.00,101364.00
Kaf,20210420,102351.00,105000.00,102351.00,103432.00,7657278040,74807,147,D,106615.00,102351.00
Kaf,20210419,104891.00,104891.00,104891.00,106615.00,2040654405,19455,19,D,107031.00,104891.00
Kaf,20210418,104951.00,104951.00,104951.00,107031.00,297431134,2834,8,D,107092.00,104951.00
Kaf,20210417,106512.00,110858.00,106512.00,107092.00,26041736529,243172,635,D,108685.00,106512.00
Kaf,20210414,102081.00,110587.00,102081.00,108685.00,45950243136,422782,955,D,106334.00,110587.00
Kaf,20210413,104891.00,104891.00,104891.00,106334.00,3415146069,32559,64,D,107031.00,104891.00
Kaf,20210412,105201.00,105201.00,105201.00,107031.00,1550347137,14737,26,D,107347.00,105201.00
Kaf,20210411,105686.00,105686.00,105686.00,107347.00,2428664280,22980,42,D,107842.00,105686.00
Kaf,20210410,110010.00,110010.00,105696.00,107842.00,83277687036,772219,682,D,107853.00,105696.00
Kaf,20210407,107853.00,107853.00,107853.00,107853.00,12347874264,114488,70,D,103705.00,107853.00
Kaf,20210406,105068.00,105068.00,105068.00,103705.00,3712577780,35335,41,D,103008.00,105068.00
Kaf,20210405,103566.00,103566.00,103566.00,103008.00,7844813802,75747,28,D,101536.00,103566.00
Kaf,20210404,101575.00,101575.00,101575.00,101536.00,10400061100,102388,60,D,99584.00,101575.00
Kaf,20210403,99584.00,99584.00,99584.00,99584.00,12931281152,129853,57,D,95754.00,99584.00
Kaf,20210331,95754.00,95754.00,95754.00,95754.00,13719250104,143276,50,D,93877.00,95754.00
Kaf,20210330,94565.00,94565.00,94565.00,93877.00,6797332200,71880,44,D,92711.00,94565.00
Kaf,20210328,92711.00,92711.00,92711.00,92711.00,13978222892,150772,61,D,90894.00,92711.00
Kaf,20210327,90968.00,90968.00,90000.00,90894.00,20311834064,223467,227,D,87470.00,90968.00
Kaf,20210317,88255.00,88255.00,88255.00,87470.00,5734545135,64977,66,D,86525.00,88255.00
Kaf,20210316,87186.00,87186.00,86500.00,86525.00,6541601335,75072,105,D,85477.00,87186.00
Kaf,20210315,85100.00,85516.00,83841.00,85477.00,24159386978,282643,177,D,83840.00,85516.00
Kaf,20210314,84000.00,85583.00,82229.00,83840.00,9838175522,117346,224,D,83907.00,85539.00
Kaf,20210313,84027.00,85706.00,82346.00,83907.00,13241984916,157818,268,D,84026.00,83800.00
Kaf,20210310,83999.00,86310.00,82932.00,84026.00,17448771506,207660,276,D,84623.00,85990.00
Kaf,20210309,84491.00,84491.00,84491.00,84623.00,9073826454,107394,44,D,86215.00,84491.00
Kaf,20210308,86470.00,86470.00,84776.00,86215.00,13700731296,158914,340,D,84775.00,85151.00
Kaf,20210307,84180.00,87500.00,84180.00,84775.00,32528403419,383701,474,D,85897.00,86760.00
Kaf,20210306,84286.00,84286.00,84286.00,85897.00,619249242,7347,20,D,86006.00,84286.00
Kaf,20210303,86960.00,86960.00,84447.00,86006.00,1901584566,22280,90,D,86170.00,84447.00
Kaf,20210302,85574.00,89066.00,85574.00,86170.00,13193234248,153107,212,D,87320.00,85574.00
Kaf,20210301,85872.00,85872.00,85872.00,87320.00,1664285232,19381,30,D,87624.00,85872.00
Kaf,20210228,86466.00,86466.00,86466.00,87624.00,3318651546,38381,79,D,88230.00,86466.00
Kaf,20210227,90899.00,90899.00,87651.00,88230.00,13779305810,156174,261,D,89439.00,87651.00
Kaf,20210224,86936.00,90483.00,86936.00,89439.00,33132666470,370448,573,D,88710.00,90483.00
Kaf,20210223,89791.00,89791.00,83203.00,88710.00,71859922349,810057,983,D,86338.00,86910.00
Kaf,20210222,86731.00,86731.00,86731.00,86338.00,8036147536,92656,52,D,85031.00,86731.00
Kaf,20210221,85895.00,85895.00,85895.00,85031.00,5042895450,58710,79,D,84211.00,85895.00
Kaf,20210220,84630.00,84630.00,84630.00,84211.00,7621354650,90055,88,D,82971.00,84630.00
Kaf,20210217,81394.00,84716.00,81394.00,82971.00,54624259031,658353,674,D,83055.00,84716.00
Kaf,20210216,82441.00,82441.00,82441.00,83055.00,7582346093,91973,51,D,85876.00,82441.00
Kaf,20210215,85876.00,85876.00,85876.00,85876.00,14647697568,170568,58,D,87628.00,85876.00
Kaf,20210214,85989.00,85989.00,85989.00,87628.00,633308985,7365,24,D,87743.00,85989.00
Kaf,20210213,91067.00,91067.00,87497.00,87743.00,50410819742,574529,516,D,89282.00,87497.00
Kaf,20210209,88288.00,90155.00,83500.00,89282.00,45207700055,506347,689,D,86688.00,90155.00
Kaf,20210208,86921.00,86921.00,86921.00,86688.00,9122272029,104949,128,D,85217.00,86921.00
Kaf,20210207,85494.00,85494.00,85494.00,85217.00,8673366300,101450,77,D,83818.00,85494.00
Kaf,20210206,81912.00,83901.00,81912.00,83818.00,11934111116,142382,199,D,82256.00,83901.00
Kaf,20210203,81905.00,84880.00,81905.00,82256.00,42050028565,511207,638,D,83576.00,81912.00
Kaf,20210202,83155.00,83155.00,83155.00,83576.00,7394225755,88921,79,D,84852.00,83155.00
Kaf,20210201,84852.00,84852.00,84852.00,84852.00,15849250524,186787,112,D,86583.00,84852.00
Kaf,20210131,87948.00,87948.00,84500.00,86583.00,113977280276,1316400,1547,D,86224.00,84990.00
Kaf,20210130,86224.00,86224.00,86224.00,86224.00,22045493648,255677,99,D,84534.00,86224.00
Kaf,20210127,84534.00,84534.00,84534.00,84534.00,10102742874,119511,80,D,82877.00,84534.00
Kaf,20210126,82877.00,82877.00,82877.00,82877.00,10292826138,124194,196,D,81252.00,82877.00
Kaf,20210125,80800.00,84024.00,80730.00,81252.00,148693087604,1830015,1645,D,82377.00,83900.00
Kaf,20210124,82178.00,85050.00,82178.00,82377.00,138662247096,1683254,1338,D,85602.00,82178.00
Kaf,20210123,84541.00,84541.00,84541.00,85602.00,3773233912,44632,52,D,86266.00,84541.00
Kaf,20210120,86266.00,86266.00,86266.00,86266.00,32854664898,380853,114,D,88026.00,86266.00
Kaf,20210119,86638.00,86638.00,86638.00,88026.00,2107382712,24324,53,D,88406.00,86638.00
Kaf,20201228,89445.00,89445.00,89445.00,88406.00,4382715555,48999,57,D,87692.00,89445.00
Kaf,20201227,88138.00,88138.00,88138.00,87692.00,7871604780,89310,66,D,86410.00,88138.00
Kaf,20201226,86410.00,86410.00,86410.00,86410.00,16302801880,188668,147,D,83087.00,86410.00
Kaf,20201223,83986.00,83986.00,83986.00,83087.00,4932077850,58725,55,D,82340.00,83986.00
Kaf,20201222,83136.00,83136.00,83136.00,82340.00,5503187520,66195,65,D,81506.00,83136.00
Kaf,20201221,81744.00,81744.00,81744.00,81506.00,9004510320,110155,36,D,80142.00,81744.00
Kaf,20201220,81397.00,81397.00,81397.00,80142.00,6311848968,77544,45,D,78267.00,81397.00
Kaf,20201219,78814.00,78814.00,78814.00,78267.00,6586564794,83571,36,D,77269.00,78814.00
Kaf,20201216,77807.00,77807.00,77807.00,77269.00,7255658364,93252,76,D,76282.00,77807.00
Kaf,20201215,76581.00,76581.00,76581.00,76282.00,8836987914,115394,157,D,75080.00,76581.00
Kaf,20201214,75093.00,75093.00,73622.00,75080.00,85097576970,1133418,499,D,73621.00,75093.00
Kaf,20201213,73621.00,73621.00,73621.00,73621.00,12018628250,163250,51,D,70790.00,73621.00
Kaf,20201212,70790.00,70790.00,70790.00,70790.00,10786413880,152372,129,D,69402.00,70790.00
Kaf,20201209,70273.00,70273.00,70273.00,69402.00,4004296086,56982,68,D,68896.00,70273.00
Kaf,20201208,69559.00,69559.00,68235.00,68896.00,5829532302,83888,117,D,68196.00,69559.00
Kaf,20201207,68233.00,68233.00,67066.00,68196.00,24090087132,353247,428,D,66896.00,68233.00
Kaf,20201206,66896.00,66896.00,66890.00,66896.00,21308379340,318530,221,D,65585.00,66896.00
Kaf,20201205,63750.00,65726.00,63750.00,65585.00,28188985218,429810,353,D,64438.00,65726.00
Kaf,20201202,64255.00,66790.00,64255.00,64438.00,53453475168,829534,756,D,65566.00,64255.00
Kaf,20201201,65414.00,65900.00,65414.00,65566.00,8494798275,129853,268,D,66748.00,65414.00
Kaf,20201130,67050.00,67050.00,65200.00,66748.00,49913225736,747786,1001,D,65736.00,65423.00
Kaf,20201129,65000.00,67273.00,64635.00,65736.00,121566376208,1849318,1648,D,65954.00,67273.00
Kaf,20201128,65736.00,68475.00,65736.00,65954.00,254189670883,3854043,2463,D,68475.00,65736.00
Kaf,20201125,67482.00,67482.00,67482.00,68475.00,2537998020,37610,22,D,68859.00,67482.00
Kaf,20201124,68668.00,68668.00,68668.00,68859.00,8000852020,116515,45,D,70069.00,68668.00
Kaf,20201123,70069.00,70069.00,70069.00,70069.00,17733973417,253093,87,D,71498.00,70069.00
Kaf,20201122,69753.00,75565.00,69753.00,71498.00,243355499211,3403680,2361,D,72659.00,69753.00
Kaf,20201121,72659.00,72659.00,72659.00,72659.00,14499466745,199555,69,D,74141.00,72659.00
Kaf,20201118,72966.00,72966.00,72966.00,74141.00,1975627416,27076,35,D,74455.00,72966.00
Kaf,20201117,73013.00,73013.00,73013.00,74455.00,299061248,4096,16,D,74503.00,73013.00
Kaf,20201116,74503.00,74503.00,74503.00,74503.00,9967756370,133790,35,D,77607.00,74503.00
Kaf,20201115,76131.00,76131.00,76131.00,77607.00,482366016,6336,14,D,77684.00,76131.00
Kaf,20201114,76361.00,76361.00,76361.00,77684.00,1479418014,19374,31,D,77919.00,76361.00
Kaf,20201111,76576.00,76576.00,76576.00,77919.00,1337706144,17469,26,D,78138.00,76576.00
Kaf,20201110,76039.00,76039.00,76039.00,78138.00,3202230407,42113,41,D,79207.00,76039.00
Kaf,20201109,77886.00,77886.00,77886.00,79207.00,1642070538,21083,34,D,79475.00,77886.00
Kaf,20201108,78189.00,78189.00,78189.00,79475.00,1887951594,24146,48,D,79784.00,78189.00
Kaf,20201107,81680.00,81713.00,78509.00,79784.00,96493757558,1209434,608,D,80111.00,78509.00
Kaf,20201104,81247.00,81247.00,74999.00,80111.00,436411889910,5447605,2108,D,78123.00,81247.00
Kaf,20201102,78123.00,78123.00,78123.00,78123.00,17182372620,219940,70,D,76592.00,78123.00
Kaf,20201101,76592.00,76592.00,76592.00,76592.00,33987317040,443745,69,D,75091.00,76592.00
Kaf,20201031,75495.00,75495.00,75495.00,75091.00,7418289690,98262,63,D,74015.00,75495.00
Kaf,20201028,74015.00,74015.00,74015.00,74015.00,17111897925,231195,63,D,71169.00,74015.00
Kaf,20201027,72418.00,72418.00,72418.00,71169.00,1257900660,17370,24,D,70999.00,72418.00
Kaf,20201026,71662.00,71662.00,71662.00,70999.00,5492677314,76647,63,D,70257.00,71662.00
Kaf,20201024,70259.00,70259.00,70259.00,70257.00,10181793762,144918,54,D,68882.00,70259.00
Kaf,20201021,68882.00,68882.00,68882.00,68882.00,14679856312,213116,119,D,66233.00,68882.00
Kaf,20201020,66233.00,66233.00,66233.00,66233.00,10809490532,163204,42,D,64935.00,66233.00
Kaf,20201019,64935.00,64935.00,64935.00,64935.00,11742845400,180840,54,D,63662.00,64935.00
Kaf,20201018,63662.00,63662.00,63662.00,63662.00,12859278366,201993,53,D,62414.00,63662.00
Kaf,20201014,62414.00,62414.00,62414.00,62414.00,11254242824,180316,39,D,60014.00,62414.00
