<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Siman.Shargh.PR,20210921,16704.00,17255.00,16434.00,16512.00,15183791889,919566,207,D,16942.00,16434.00
Siman.Shargh.PR,20210920,17450.00,17526.00,16510.00,16942.00,28735221839,1696120,446,D,17019.00,17300.00
Siman.Shargh.PR,20210919,17200.00,17500.00,16902.00,17019.00,13923836889,818123,246,D,17424.00,16902.00
Siman.Shargh.PR,20210918,17550.00,18232.00,17171.00,17424.00,25066553467,1438585,344,D,17702.00,17600.00
Siman.Shargh.PR,20210915,18075.00,18100.00,17570.00,17702.00,20533229258,1159961,522,D,18113.00,18000.00
Siman.Shargh.PR,20210914,17892.00,18500.00,17892.00,18113.00,24524192296,1353929,548,D,18445.00,18133.00
Siman.Shargh.PR,20210913,18412.00,19341.00,18411.00,18445.00,21185055262,1148554,470,D,18980.00,18411.00
Siman.Shargh.PR,20210912,19980.00,19980.00,18958.00,18980.00,23102590799,1217235,297,D,19544.00,18958.00
Siman.Shargh.PR,20210911,19530.00,20308.00,19360.00,19544.00,34431460658,1761745,616,D,19958.00,19750.00
Siman.Shargh.PR,20210908,19750.00,20218.00,19510.00,19958.00,24096587170,1207366,527,D,20041.00,20164.00
Siman.Shargh.PR,20210907,19400.00,20398.00,19400.00,20041.00,38450029364,1918561,602,D,19962.00,19953.00
Siman.Shargh.PR,20210906,20400.00,20759.00,19849.00,19962.00,42100764956,2109053,581,D,20462.00,19849.00
Siman.Shargh.PR,20210905,20840.00,20840.00,19900.00,20462.00,44947408949,2196645,790,D,20323.00,20323.00
Siman.Shargh.PR,20210904,20450.00,20543.00,19800.00,20323.00,62491378162,3074925,869,D,19945.00,20543.00
Siman.Shargh.PR,20210901,19403.00,21104.00,19403.00,19945.00,64515097654,3234605,1288,D,20360.00,20410.00
Siman.Shargh.PR,20210831,20360.00,20360.00,20360.00,20360.00,10574556440,519379,44,D,20989.00,20360.00
Siman.Shargh.PR,20210830,20989.00,20989.00,20989.00,20989.00,11406493039,543451,33,D,21638.00,20989.00
Siman.Shargh.PR,20210829,22270.00,22270.00,21444.00,21638.00,70221830286,3245278,786,D,22107.00,21444.00
Siman.Shargh.PR,20210828,22107.00,22107.00,22107.00,22107.00,12697265985,574355,83,D,21055.00,22107.00
Siman.Shargh.PR,20210825,21055.00,21055.00,21055.00,21055.00,13820502000,656400,80,D,20442.00,21055.00
Siman.Shargh.PR,20210824,20442.00,20442.00,20442.00,20442.00,13542743232,662496,59,D,19847.00,20442.00
Siman.Shargh.PR,20210823,19425.00,20005.00,19300.00,19847.00,38247299191,1927093,670,D,19423.00,20005.00
Siman.Shargh.PR,20210822,19450.00,19786.00,18910.00,19423.00,72444076643,3729765,764,D,19211.00,18987.00
Siman.Shargh.PR,20210815,18750.00,19632.00,18500.00,19211.00,66580670261,3465734,664,D,19061.00,19450.00
Siman.Shargh.PR,20210814,19160.00,19780.00,18973.00,19061.00,51587192783,2706451,494,D,19559.00,19000.00
Siman.Shargh.PR,20210811,19381.00,20099.00,19300.00,19559.00,45592353022,2330985,526,D,19819.00,19370.00
Siman.Shargh.PR,20210810,19051.00,19935.00,19050.00,19819.00,33343648712,1682401,478,D,19355.00,19650.00
Siman.Shargh.PR,20210809,18958.00,19899.00,18958.00,19355.00,31530742700,1629051,439,D,19492.00,19700.00
Siman.Shargh.PR,20210808,19980.00,20000.00,19381.00,19492.00,40799843097,2093206,479,D,19980.00,19383.00
Siman.Shargh.PR,20210807,19520.00,20300.00,19520.00,19980.00,28378662262,1420364,492,D,19749.00,19930.00
Siman.Shargh.PR,20210804,19367.00,19855.00,18890.00,19749.00,68086503149,3447647,707,D,19277.00,19855.00
Siman.Shargh.PR,20210803,19240.00,19500.00,19020.00,19277.00,19943700699,1034587,477,D,19032.00,19330.00
Siman.Shargh.PR,20210802,19293.00,19293.00,18745.00,19032.00,31024972604,1630144,580,D,19293.00,19210.00
Siman.Shargh.PR,20210801,19848.00,19848.00,18780.00,19293.00,46690839701,2420046,952,D,19270.00,19200.00
Siman.Shargh.PR,20210731,19200.00,19292.00,19100.00,19270.00,41181246750,2137082,545,D,18731.00,19292.00
Siman.Shargh.PR,20210728,18404.00,19490.00,18404.00,18731.00,95483860864,5097591,1434,D,18973.00,18874.00
Siman.Shargh.PR,20210727,18814.00,19318.00,18813.00,18973.00,7083582388,376155,141,D,19394.00,18813.00
Siman.Shargh.PR,20210726,19400.00,19790.00,19320.00,19394.00,21402184664,1103550,379,D,19917.00,19320.00
Siman.Shargh.PR,20210719,18941.00,20081.00,18941.00,19917.00,192242228546,9651937,1655,D,19497.00,19300.00
Siman.Shargh.PR,20210718,20100.00,20370.00,19242.00,19497.00,89091468797,4569437,1722,D,19837.00,19399.00
Siman.Shargh.PR,20210717,19596.00,20500.00,19596.00,19837.00,245641055909,12382757,2688,D,20202.00,19600.00
Siman.Shargh.PR,20210714,19960.00,19960.00,19960.00,20202.00,5498740480,275488,49,D,20577.00,19960.00
Siman.Shargh.PR,20210713,20577.00,20577.00,20577.00,20577.00,19009649910,923830,108,D,21659.00,20577.00
Siman.Shargh.PR,20210712,21213.00,21213.00,21213.00,21659.00,3076754733,145041,21,D,21869.00,21213.00
Siman.Shargh.PR,20210711,21292.00,21292.00,21292.00,21869.00,1183877784,55602,13,D,21950.00,21292.00
Siman.Shargh.PR,20210710,21401.00,21401.00,21401.00,21950.00,1636855485,76485,7,D,22062.00,21401.00
Siman.Shargh.PR,20210707,21091.00,21091.00,21091.00,22062.00,1156145347,54817,10,D,22201.00,21091.00
Siman.Shargh.PR,20210706,21687.00,21687.00,21687.00,22201.00,2214849936,102128,5,D,22357.00,21687.00
Siman.Shargh.PR,20210705,21992.00,21992.00,21992.00,22357.00,4459537760,202780,7,D,22672.00,21992.00
Siman.Shargh.PR,20210704,22144.00,22144.00,22144.00,22672.00,2214400000,100000,7,D,22828.00,22144.00
Siman.Shargh.PR,20210630,21793.00,21793.00,21793.00,22828.00,906588800,41600,7,D,22940.00,21793.00
Siman.Shargh.PR,20210629,22581.00,22581.00,22581.00,22940.00,4694567319,207899,17,D,23279.00,22581.00
Siman.Shargh.PR,20210628,22665.00,22665.00,22665.00,23279.00,1193856210,52674,8,D,23365.00,22665.00
Siman.Shargh.PR,20210627,22666.00,22666.00,22666.00,23365.00,22666000,1000,1,D,23367.00,22666.00
Siman.Shargh.PR,20210626,22217.00,22217.00,22217.00,23367.00,150631260,6780,5,D,23386.00,22217.00
Siman.Shargh.PR,20210623,22702.00,22702.00,22702.00,23386.00,246089680,10840,4,D,23404.00,22702.00
Siman.Shargh.PR,20210622,22707.00,22707.00,22707.00,23404.00,66304440,2920,4,D,23409.00,22707.00
Siman.Shargh.PR,20210621,22857.00,22857.00,22857.00,23409.00,2114203929,92497,15,D,23563.00,22857.00
Siman.Shargh.PR,20210608,22386.00,22386.00,22386.00,23563.00,12088440,540,1,D,23564.00,22386.00
Siman.Shargh.PR,20210602,22880.00,22880.00,22880.00,23564.00,310504480,13571,7,D,23587.00,22880.00
Siman.Shargh.PR,20210601,22881.00,22881.00,22881.00,23587.00,10067640,440,2,D,23588.00,22881.00
Siman.Shargh.PR,20210530,22884.00,22884.00,22884.00,23588.00,47713140,2085,3,D,23591.00,22884.00
Siman.Shargh.PR,20210529,22895.00,22895.00,22895.00,23591.00,158982880,6944,11,D,23603.00,22895.00
Siman.Shargh.PR,20210525,22424.00,22424.00,22424.00,23603.00,6727200,300,1,D,23604.00,22424.00
