<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Azadegan.Co.,20210921,13840.00,14420.00,13840.00,13861.00,190771496206,13763247,1694,D,14568.00,13840.00
Azadegan.Co.,20210920,14530.00,14965.00,14530.00,14568.00,120500389210,8271840,1580,D,14979.00,14530.00
Azadegan.Co.,20210919,14752.00,14752.00,14752.00,14979.00,15891134688,1077219,338,D,15208.00,14752.00
Azadegan.Co.,20210918,15505.00,15970.00,15040.00,15208.00,58984333643,3878420,890,D,15505.00,15040.00
Azadegan.Co.,20210915,15551.00,15999.00,15250.00,15505.00,142206901681,9171858,3479,D,15804.00,15250.00
Azadegan.Co.,20210914,15720.00,16490.00,15692.00,15804.00,370436859919,23439908,3928,D,16177.00,15692.00
Azadegan.Co.,20210913,16166.00,16497.00,16166.00,16177.00,172494333155,10662963,1073,D,16665.00,16166.00
Azadegan.Co.,20210912,16700.00,17070.00,16634.00,16665.00,64525516796,3871831,850,D,17148.00,16634.00
Azadegan.Co.,20210911,17246.00,17246.00,16367.00,17148.00,537658151724,31353944,3663,D,16744.00,16700.00
Azadegan.Co.,20210908,16745.00,16745.00,16500.00,16744.00,202705921142,12106248,1308,D,16258.00,16745.00
Azadegan.Co.,20210907,15730.00,16323.00,15400.00,16258.00,465006249102,28602074,2639,D,15546.00,16323.00
Azadegan.Co.,20210906,15400.00,15586.00,14910.00,15546.00,358667902121,23071645,3557,D,15133.00,15586.00
Azadegan.Co.,20210905,15150.00,15165.00,14851.00,15133.00,107372667285,7095244,1262,D,14724.00,15165.00
Azadegan.Co.,20210904,14318.00,14743.00,14318.00,14724.00,159035284744,10800874,1529,D,14314.00,14743.00
Azadegan.Co.,20210901,14220.00,14800.00,14142.00,14314.00,157023543402,10969689,2388,D,14535.00,14300.00
Azadegan.Co.,20210831,14474.00,15000.00,14474.00,14535.00,204706560236,14083435,2197,D,14921.00,14475.00
Azadegan.Co.,20210830,14625.00,14625.00,14625.00,14921.00,10832459625,740681,262,D,15077.00,14625.00
Azadegan.Co.,20210829,15110.00,15410.00,14658.00,15077.00,195534226486,12968617,3512,D,15111.00,14658.00
Azadegan.Co.,20210828,14920.00,15200.00,14920.00,15111.00,184551963938,12213264,2875,D,14916.00,15110.00
Azadegan.Co.,20210825,15110.00,15300.00,14666.00,14916.00,205811830817,13797898,3181,D,15106.00,15100.00
Azadegan.Co.,20210824,15000.00,15470.00,15000.00,15106.00,240770476667,15938715,4075,D,15390.00,15050.00
Azadegan.Co.,20210823,16100.00,16100.00,15301.00,15390.00,118089148726,7673273,1499,D,15774.00,15301.00
Azadegan.Co.,20210822,15661.00,16120.00,15400.00,15774.00,247039487060,15661506,2295,D,15651.00,15800.00
Azadegan.Co.,20210815,15625.00,15658.00,15450.00,15651.00,249762482113,15958139,1929,D,15202.00,15658.00
Azadegan.Co.,20210814,15050.00,15265.00,15000.00,15202.00,138443257205,9107105,1438,D,14821.00,15265.00
Azadegan.Co.,20210811,14600.00,15036.00,14599.00,14821.00,124658843610,8410755,1779,D,14599.00,14850.00
Azadegan.Co.,20210810,14679.00,14679.00,14286.00,14599.00,118655630402,8127848,2003,D,14252.00,14495.00
Azadegan.Co.,20210809,14210.00,14286.00,14000.00,14252.00,46720546140,3278251,820,D,13870.00,14286.00
Azadegan.Co.,20210808,13860.00,14040.00,13580.00,13870.00,108816988426,7845311,1738,D,13632.00,14040.00
Azadegan.Co.,20210807,13750.00,13857.00,13462.00,13632.00,87893798583,6447451,1807,D,13457.00,13670.00
Azadegan.Co.,20210804,13523.00,13850.00,13257.00,13457.00,136494479677,10143212,2341,D,13952.00,13520.00
Azadegan.Co.,20210803,13930.00,14280.00,13922.00,13952.00,145726845103,10444782,2006,D,14352.00,13922.00
Azadegan.Co.,20210802,14350.00,14550.00,14312.00,14352.00,68819700910,4795111,960,D,14754.00,14312.00
Azadegan.Co.,20210801,14727.00,15150.00,14727.00,14754.00,128933982489,8738873,2032,D,15182.00,14727.00
Azadegan.Co.,20210731,15163.00,15500.00,15163.00,15182.00,132124991909,8703018,1897,D,15631.00,15163.00
Azadegan.Co.,20210728,15590.00,15900.00,15590.00,15631.00,88063982331,5633891,1228,D,16072.00,15590.00
Azadegan.Co.,20210727,16750.00,16750.00,15793.00,16072.00,122599391514,7628278,1710,D,16281.00,15793.00
Azadegan.Co.,20210726,15900.00,16539.00,15740.00,16281.00,241107834222,14809424,2945,D,16058.00,16539.00
Azadegan.Co.,20210719,16081.00,16081.00,15850.00,16058.00,167396093053,10424507,2244,D,15613.00,16081.00
Azadegan.Co.,20210718,15221.00,16161.00,15221.00,15613.00,245480030120,15722838,3514,D,15691.00,16149.00
Azadegan.Co.,20210717,16000.00,16199.00,15582.00,15691.00,121354703834,7734091,2133,D,16063.00,15582.00
Azadegan.Co.,20210714,16051.00,16442.00,16042.00,16063.00,170642579809,10623403,2573,D,16538.00,16042.00
Azadegan.Co.,20210713,16660.00,17000.00,16443.00,16538.00,135894843791,8217216,2224,D,16951.00,16443.00
Azadegan.Co.,20210712,16900.00,17270.00,16888.00,16951.00,155580283100,9178121,2528,D,17410.00,16888.00
Azadegan.Co.,20210711,17400.00,18000.00,17321.00,17410.00,76435441915,4390394,918,D,17856.00,17321.00
Azadegan.Co.,20210710,17511.00,18036.00,17430.00,17856.00,183556289930,10279646,2147,D,16756.00,17581.00
Azadegan.Co.,20210628,17000.00,17220.00,16539.00,16956.00,120406512944,7101029,1872,D,16964.00,16970.00
Azadegan.Co.,20210627,16930.00,17440.00,16923.00,16964.00,106700898128,6289719,1666,D,17446.00,17000.00
Azadegan.Co.,20210626,17220.00,17549.00,17040.00,17446.00,78882396867,4521512,1352,D,17038.00,17310.00
Azadegan.Co.,20210623,17000.00,17340.00,16650.00,17038.00,79939369393,4691870,1356,D,16920.00,17010.00
Azadegan.Co.,20210622,17000.00,17110.00,16625.00,16920.00,70747354406,4181234,1049,D,16874.00,16920.00
Azadegan.Co.,20210621,17150.00,17300.00,16612.00,16874.00,81945854602,4856201,1424,D,17125.00,16612.00
Azadegan.Co.,20210620,17200.00,17680.00,16750.00,17125.00,83169787970,4856759,1242,D,17174.00,17000.00
