<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Yazd.Steel.CO.,20210921,36000.00,36500.00,35511.00,36156.00,70708577214,1955662,1079,D,35485.00,36461.00
Yazd.Steel.CO.,20210920,35000.00,36400.00,34388.00,35485.00,69443451502,1957004,1078,D,35383.00,35879.00
Yazd.Steel.CO.,20210919,35360.00,36145.00,34041.00,35383.00,138078177708,3902359,2306,D,35093.00,35050.00
Yazd.Steel.CO.,20210918,35096.00,35096.00,34430.00,35093.00,73841042762,2104149,529,D,34074.00,35096.00
Yazd.Steel.CO.,20210915,32856.00,34191.00,32856.00,34074.00,65607438598,1925465,742,D,33196.00,34191.00
Yazd.Steel.CO.,20210908,33870.00,34716.00,32854.00,33196.00,70824319840,2133534,1255,D,33870.00,32854.00
Yazd.Steel.CO.,20210907,33000.00,34112.00,32241.00,33870.00,128603149353,3796970,1560,D,33119.00,33700.00
Yazd.Steel.CO.,20210906,32875.00,34500.00,32875.00,33119.00,186245412255,5623461,1850,D,33891.00,33000.00
Yazd.Steel.CO.,20210905,33841.00,34770.00,33111.00,33891.00,121374726086,3581348,1610,D,33117.00,33470.00
Yazd.Steel.CO.,20210904,33422.00,33422.00,31479.00,33117.00,313640492838,9470770,2986,D,32449.00,33422.00
Yazd.Steel.CO.,20210901,32449.00,32449.00,32449.00,32449.00,20628543178,635722,166,D,31504.00,32449.00
Yazd.Steel.CO.,20210831,31520.00,31520.00,31000.00,31504.00,24808628460,787486,236,D,30602.00,31520.00
Yazd.Steel.CO.,20210830,30355.00,30683.00,29310.00,30602.00,93682057447,3061320,1129,D,29222.00,30683.00
Yazd.Steel.CO.,20210829,29200.00,29315.00,28462.00,29222.00,89397043770,3059230,1144,D,28462.00,29315.00
Yazd.Steel.CO.,20210828,28520.00,28520.00,28100.00,28462.00,100666492202,3536847,1297,D,27690.00,28520.00
Yazd.Steel.CO.,20210825,27640.00,27840.00,27050.00,27690.00,63267858742,2284898,710,D,27030.00,27840.00
Yazd.Steel.CO.,20210824,26479.00,27850.00,26479.00,27030.00,167151453562,6184008,2923,D,27297.00,27290.00
Yazd.Steel.CO.,20210823,28400.00,28400.00,26944.00,27297.00,11751922834,430516,291,D,27777.00,26944.00
Yazd.Steel.CO.,20210814,27960.00,27960.00,27146.00,27777.00,159812077887,5753472,2471,D,27146.00,27400.00
Yazd.Steel.CO.,20210811,25591.00,28283.00,25591.00,27146.00,311607352175,11478900,4343,D,26937.00,28277.00
Yazd.Steel.CO.,20210810,26314.00,26314.00,26314.00,26937.00,2153537760,81840,48,D,27127.00,26314.00
