<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tak.Cable,20210915,34990.00,34990.00,34990.00,34321.00,38139100,1090,5,D,34304.00,34990.00
Tak.Cable,20210907,35660.00,35660.00,35660.00,34304.00,17830000,500,1,D,34289.00,35660.00
Tak.Cable,20210824,35648.00,35648.00,35648.00,34289.00,13546240,380,3,D,34277.00,35648.00
Tak.Cable,20210807,34959.00,34959.00,34959.00,34277.00,23737161,679,2,D,34274.00,34959.00
Tak.Cable,20210726,34959.00,34959.00,34959.00,34274.00,2167458,62,2,D,34274.00,34959.00
Tak.Cable,20210707,34958.00,34958.00,34958.00,34274.00,10487400,300,1,D,34273.00,34958.00
Tak.Cable,20210522,34949.00,34949.00,34949.00,34273.00,64166364,1836,2,D,34264.00,34949.00
Tak.Cable,20210517,35602.00,35602.00,35602.00,34264.00,118910680,3340,1,D,34233.00,35602.00
Tak.Cable,20210426,35598.00,35598.00,35598.00,34233.00,32038200,900,3,D,34229.00,35598.00
Tak.Cable,20210424,34912.00,34912.00,34912.00,34229.00,17805120,510,1,D,34228.00,34912.00
Tak.Cable,20210417,34912.00,34912.00,34912.00,34228.00,3491200,100,1,D,34228.00,34912.00
Tak.Cable,20210410,35215.00,35215.00,35215.00,34228.00,2815897045,79963,8,D,33861.00,35215.00
Tak.Cable,20210407,34536.00,34536.00,34536.00,33861.00,29528280,855,2,D,33859.00,34536.00
Tak.Cable,20210405,34536.00,34536.00,34536.00,33859.00,34536,1,1,D,33859.00,34536.00
Tak.Cable,20210307,34533.00,34533.00,34533.00,33859.00,42406524,1228,3,D,33856.00,34533.00
Tak.Cable,20210223,34530.00,34530.00,34530.00,33856.00,52209360,1512,4,D,33853.00,34530.00
Tak.Cable,20210208,35206.00,35206.00,35206.00,33853.00,5280900,150,1,D,33852.00,35206.00
Tak.Cable,20210207,34528.00,34528.00,34528.00,33852.00,20716800,600,1,D,33851.00,34528.00
Tak.Cable,20210202,35202.00,35202.00,35202.00,33851.00,12743124,362,2,D,33849.00,35202.00
Tak.Cable,20210201,34525.00,34525.00,34525.00,33849.00,3452500,100,1,D,33849.00,34525.00
Tak.Cable,20210130,34525.00,34525.00,34525.00,33849.00,3452500,100,1,D,33849.00,34525.00
Tak.Cable,20210119,35197.00,35197.00,35197.00,33849.00,36640077,1041,3,D,33844.00,35197.00
Tak.Cable,20210112,35194.00,35194.00,35194.00,33844.00,24495024,696,1,D,33841.00,35194.00
Tak.Cable,20210109,34515.00,34515.00,34515.00,33841.00,32961825,955,13,D,33839.00,34515.00
Tak.Cable,20201229,35188.00,35188.00,35188.00,33839.00,33358224,948,2,D,33835.00,35188.00
Tak.Cable,20201227,34511.00,34511.00,34511.00,33835.00,1035330,30,1,D,33835.00,34511.00
Tak.Cable,20201226,34510.00,34510.00,34510.00,33835.00,9179660,266,2,D,33834.00,34510.00
Tak.Cable,20201223,35186.00,35186.00,35186.00,33834.00,4222320,120,1,D,33833.00,35186.00
Tak.Cable,20201222,34507.00,34507.00,34507.00,33833.00,29192922,846,2,D,33831.00,34507.00
Tak.Cable,20201220,34506.00,34506.00,34506.00,33831.00,10524330,305,2,D,33830.00,34506.00
Tak.Cable,20201215,34506.00,34506.00,34506.00,33830.00,3450600,100,1,D,33830.00,34506.00
Tak.Cable,20201214,34505.00,34505.00,34505.00,33830.00,7591100,220,1,D,33829.00,34505.00
Tak.Cable,20201206,35149.00,35149.00,35149.00,33829.00,238485965,6785,3,D,33798.00,35149.00
Tak.Cable,20201205,34470.00,34470.00,34470.00,33798.00,48258000,1400,2,D,33795.00,34470.00
Tak.Cable,20201202,34469.00,34469.00,34469.00,33795.00,10202824,296,1,D,33794.00,34469.00
Tak.Cable,20201129,35096.00,35096.00,35096.00,33794.00,362506584,10329,4,D,33747.00,35096.00
Tak.Cable,20201128,34405.00,34405.00,34405.00,33747.00,240835000,7000,2,D,33731.00,34405.00
Tak.Cable,20201124,34404.00,34404.00,34404.00,33731.00,17511636,509,1,D,33730.00,34404.00
Tak.Cable,20201123,35034.00,35034.00,35034.00,33730.00,333138306,9509,3,D,33687.00,35034.00
Tak.Cable,20201121,34356.00,34356.00,34356.00,33687.00,59470236,1731,3,D,33683.00,34356.00
Tak.Cable,20201118,34354.00,34354.00,34354.00,33683.00,27964156,814,2,D,33681.00,34354.00
Tak.Cable,20201110,35023.00,35023.00,35023.00,33681.00,35513322,1014,1,D,33676.00,35023.00
Tak.Cable,20201109,34348.00,34348.00,34348.00,33676.00,21982720,640,1,D,33675.00,34348.00
Tak.Cable,20201108,34346.00,34346.00,34346.00,33675.00,23904816,696,1,D,33673.00,34346.00
Tak.Cable,20201107,34344.00,34344.00,34344.00,33673.00,32661144,951,2,D,33671.00,34344.00
Tak.Cable,20201028,35012.00,35012.00,35012.00,33671.00,42399532,1211,2,D,33666.00,35012.00
Tak.Cable,20201027,34338.00,34338.00,34338.00,33666.00,8241120,240,2,D,33665.00,34338.00
Tak.Cable,20201026,34336.00,34336.00,34336.00,33665.00,26885088,783,2,D,33663.00,34336.00
Tak.Cable,20201024,34332.00,34332.00,34332.00,33663.00,56647800,1650,3,D,33659.00,34332.00
Tak.Cable,20201020,34330.00,34330.00,34330.00,33659.00,28528230,831,3,D,33657.00,34330.00
Tak.Cable,20201014,35000.00,35000.00,35000.00,33657.00,23625000,675,2,D,33654.00,35000.00
Tak.Cable,20201013,34325.00,34325.00,34325.00,33654.00,37242625,1085,6,D,33652.00,34325.00
Tak.Cable,20201007,34953.00,34953.00,34953.00,33652.00,331808829,9493,20,D,33609.00,34953.00
Tak.Cable,20201004,34279.00,34279.00,34279.00,33609.00,31296727,913,3,D,33607.00,34279.00
Tak.Cable,20201003,34262.00,34262.00,34262.00,33607.00,245281658,7159,7,D,33591.00,34262.00
Tak.Cable,20200930,34262.00,34262.00,34262.00,33591.00,2398340,70,1,D,33591.00,34262.00
Tak.Cable,20200825,34261.00,34261.00,34261.00,33591.00,18021286,526,2,D,33590.00,34261.00
Tak.Cable,20200823,34919.00,34919.00,34919.00,33590.00,105036352,3008,3,D,33576.00,34919.00
Tak.Cable,20200819,34247.00,34247.00,34247.00,33576.00,1438374,42,1,D,33576.00,34247.00
Tak.Cable,20200817,34908.00,34908.00,34908.00,33576.00,78926988,2261,3,D,33566.00,34908.00
Tak.Cable,20200816,34236.00,34236.00,34236.00,33566.00,20541600,600,2,D,33565.00,34236.00
Tak.Cable,20200815,34232.00,34232.00,34232.00,33565.00,55455840,1620,4,D,33561.00,34232.00
