<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Man-madeFibres.MFR,20210104,61442.00,61442.00,61442.00,61294.00,19686385452,320406,202,D,59653.00,61442.00
Man-madeFibres.MFR,20210103,60000.00,60218.00,58510.00,59653.00,62128846651,1041507,1013,D,58465.00,60218.00
Man-madeFibres.MFR,20210102,58986.00,58986.00,55570.00,58465.00,73344377415,1254509,1238,D,57268.00,58986.00
Man-madeFibres.MFR,20201230,54800.00,57581.00,54228.00,57268.00,76783440226,1340770,918,D,55904.00,57100.00
Man-madeFibres.MFR,20201229,55810.00,57536.00,55810.00,55904.00,22478028261,402080,305,D,57536.00,55810.00
Man-madeFibres.MFR,20201228,57500.00,59770.00,57478.00,57536.00,52883120380,919127,695,D,59255.00,57478.00
Man-madeFibres.MFR,20201227,61220.00,61220.00,57654.00,59255.00,91472949794,1543726,1498,D,59437.00,58970.00
Man-madeFibres.MFR,20201226,59455.00,59455.00,57049.00,59437.00,42654579171,717638,550,D,56624.00,59455.00
Man-madeFibres.MFR,20201223,57049.00,57049.00,57049.00,56624.00,15099672271,264679,174,D,55388.00,57049.00
Man-madeFibres.MFR,20201222,55566.00,55566.00,55566.00,55388.00,17594307108,316638,167,D,53948.00,55566.00
Man-madeFibres.MFR,20201221,53010.00,56186.00,52914.00,53948.00,98109767329,1818599,1572,D,54550.00,56186.00
Man-madeFibres.MFR,20201220,54500.00,56708.00,53406.00,54550.00,76566245930,1403597,1412,D,55057.00,53406.00
Man-madeFibres.MFR,20201219,54560.00,57500.00,54546.00,55057.00,89590141257,1627237,1456,D,56232.00,54552.00
Man-madeFibres.MFR,20201216,56206.00,57900.00,56206.00,56232.00,47344264034,841943,641,D,57944.00,56206.00
Man-madeFibres.MFR,20201215,57944.00,57944.00,57944.00,57944.00,17914256760,309165,180,D,60993.00,57944.00
Man-madeFibres.MFR,20201214,60110.00,63669.00,59964.00,60993.00,65305674798,1070706,1031,D,61818.00,59964.00
Man-madeFibres.MFR,20201213,61574.00,63172.00,61574.00,61818.00,117604826509,1902437,1583,D,63478.00,61574.00
Man-madeFibres.MFR,20201212,66800.00,66800.00,62999.00,63478.00,137785146918,2170596,2719,D,64947.00,62999.00
Man-madeFibres.MFR,20201209,65373.00,65373.00,62800.00,64947.00,180030485026,2771952,2857,D,62260.00,65373.00
Man-madeFibres.MFR,20201208,62264.00,62264.00,62033.00,62260.00,29989998509,481689,610,D,60451.00,62264.00
Man-madeFibres.MFR,20201207,60615.00,60615.00,58851.00,60451.00,122359150292,2024110,1567,D,58850.00,60615.00
Man-madeFibres.MFR,20201206,56929.00,60449.00,56929.00,58850.00,318463782182,5411414,4360,D,58689.00,60449.00
Man-madeFibres.MFR,20201205,58555.00,58880.00,58555.00,58689.00,17986370029,307157,297,D,60365.00,58555.00
Man-madeFibres.MFR,20201202,60700.00,61687.00,60293.00,60365.00,122334564936,2026592,1901,D,62157.00,60293.00
Man-madeFibres.MFR,20201201,60000.00,62613.00,60000.00,62157.00,375194765072,6036283,5445,D,60790.00,60790.00
Man-madeFibres.MFR,20201130,59177.00,63800.00,59177.00,60790.00,913377300557,15025134,11111,D,62291.00,60800.00
Man-madeFibres.MFR,20201129,62291.00,62291.00,62291.00,62291.00,19469114341,312551,70,D,64217.00,62291.00
Man-madeFibres.MFR,20201128,62361.00,62361.00,62361.00,64217.00,723761766,11606,20,D,64289.00,62361.00
