<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Minoo.Industry,20200928,33558.00,33558.00,32649.00,33533.00,230945267066,6887185,2035,D,32581.00,33558.00
Minoo.Industry,20200927,32649.00,32649.00,31000.00,32581.00,163527023817,5019065,1291,D,31699.00,32649.00
Minoo.Industry,20200926,31989.00,31989.00,31600.00,31699.00,38845903166,1215096,609,D,31058.00,31989.00
Minoo.Industry,20200923,30010.00,31606.00,29766.00,31058.00,170298617309,5483176,1770,D,30686.00,31606.00
Minoo.Industry,20200922,31778.00,31778.00,29987.00,30686.00,153089552103,4988929,1372,D,30914.00,30915.00
Minoo.Industry,20200921,30824.00,31990.00,30824.00,30914.00,96171205573,3110887,609,D,31777.00,31778.00
Minoo.Industry,20200920,32035.00,32450.00,31073.00,31777.00,32682417969,1034090,271,D,32034.00,31073.00
Minoo.Industry,20200919,32969.00,32969.00,31049.00,32034.00,201491151028,6289877,2191,D,32009.00,31049.00
Minoo.Industry,20200916,33500.00,33500.00,31648.00,32009.00,101080342971,3157848,1410,D,32626.00,31648.00
Minoo.Industry,20200915,32611.00,33298.00,32611.00,32626.00,378394713971,11597996,2496,D,34327.00,32611.00
Minoo.Industry,20200914,34292.00,34292.00,34292.00,34327.00,57276453044,1670257,296,D,35352.00,34292.00
Minoo.Industry,20200913,34343.00,34343.00,34343.00,35352.00,2963869586,86302,57,D,35405.00,34343.00
Minoo.Industry,20200912,34518.00,34518.00,34518.00,35405.00,10040595840,290880,195,D,35585.00,34518.00
Minoo.Industry,20200909,34160.00,34160.00,34160.00,35585.00,12218280480,357678,575,D,35957.00,34160.00
Minoo.Industry,20200908,34894.00,34894.00,34894.00,35957.00,875909188,25102,24,D,35973.00,34894.00
Minoo.Industry,20200907,34933.00,34933.00,34933.00,35973.00,2262156281,64757,30,D,36013.00,34933.00
Minoo.Industry,20200906,35061.00,35061.00,35061.00,36013.00,7379428914,210474,100,D,36145.00,35061.00
Minoo.Industry,20200905,34920.00,34920.00,34920.00,36145.00,20111754960,575938,182,D,36757.00,34920.00
Minoo.Industry,20200902,35693.00,35693.00,35693.00,36757.00,2171383655,60835,27,D,36796.00,35693.00
Minoo.Industry,20200901,35713.00,35713.00,35713.00,36796.00,1173350615,32855,48,D,36817.00,35713.00
Minoo.Industry,20200831,36268.00,37900.00,36263.00,36817.00,53211870655,1449574,802,D,37384.00,36263.00
Minoo.Industry,20200826,37064.00,39356.00,37064.00,37384.00,671861623455,17971960,4933,D,38210.00,37064.00
Minoo.Industry,20200825,37782.00,37782.00,37782.00,38210.00,51209496108,1355394,573,D,39770.00,37782.00
Minoo.Industry,20200824,38700.00,38700.00,38700.00,39770.00,7037324100,181843,87,D,39896.00,38700.00
Minoo.Industry,20200823,38758.00,38758.00,38758.00,39896.00,3338652878,86141,56,D,39956.00,38758.00
Minoo.Industry,20200822,38862.00,38862.00,38862.00,39956.00,5991976332,154186,102,D,40063.00,38862.00
Minoo.Industry,20200819,38409.00,38409.00,38409.00,40063.00,12051015795,313755,157,D,40430.00,38409.00
Minoo.Industry,20200818,39782.00,39782.00,39782.00,40430.00,32542272730,818015,280,D,41012.00,39782.00
Minoo.Industry,20200817,40277.00,40277.00,40277.00,41012.00,28504838440,707720,163,D,41522.00,40277.00
Minoo.Industry,20200816,40365.00,40365.00,40365.00,41522.00,5094143730,126202,107,D,41613.00,40365.00
Minoo.Industry,20200815,40244.00,40244.00,40244.00,41613.00,24577171776,610704,301,D,42362.00,40244.00
Minoo.Industry,20200812,41677.00,41677.00,41677.00,42362.00,33706898905,808765,333,D,42965.00,41677.00
Minoo.Industry,20200811,41866.00,41866.00,41866.00,42965.00,10871093024,259664,222,D,43160.00,41866.00
Minoo.Industry,20200810,43640.00,43640.00,42389.00,43160.00,41253151680,965347,813,D,43700.00,42389.00
Minoo.Industry,20200809,44347.00,44347.00,41765.00,43700.00,368835320370,8440200,3911,D,43056.00,42860.00
Minoo.Industry,20200805,43056.00,43056.00,43056.00,43056.00,74370801024,1727304,786,D,41802.00,43056.00
Minoo.Industry,20200804,41812.00,41812.00,41010.00,41802.00,134202252417,3210456,1782,D,40595.00,41812.00
Minoo.Industry,20200803,40480.00,40603.00,40000.00,40595.00,135099219042,3328002,1710,D,39421.00,40603.00
Minoo.Industry,20200802,39534.00,39534.00,38000.00,39421.00,249009503162,6316629,2660,D,37652.00,39534.00
Minoo.Industry,20200801,37652.00,37652.00,37652.00,37652.00,65507175512,1739806,662,D,36556.00,37652.00
Minoo.Industry,20200729,36912.00,36912.00,36912.00,36556.00,42674184672,1156106,612,D,35837.00,36912.00
Minoo.Industry,20200728,36067.00,36067.00,36067.00,35837.00,48659720916,1349148,563,D,35017.00,36067.00
Minoo.Industry,20200727,35032.00,35032.00,34300.00,35017.00,229228736627,6546146,2446,D,34012.00,35032.00
Minoo.Industry,20200726,34243.00,34243.00,32500.00,34012.00,251431067086,7392473,3366,D,33246.00,34243.00
Minoo.Industry,20200725,33202.00,34000.00,33202.00,33246.00,488195331599,14684121,3997,D,34228.00,33350.00
Minoo.Industry,20200722,34228.00,34228.00,34228.00,34228.00,95152642020,2779965,518,D,35286.00,34228.00
Minoo.Industry,20200721,35284.00,35649.00,35284.00,35286.00,98436509253,2789654,1245,D,36375.00,35284.00
Minoo.Industry,20200720,36758.00,36758.00,34618.00,36375.00,660297842524,18152423,5589,D,35688.00,34900.00
Minoo.Industry,20200719,35688.00,35688.00,35688.00,35688.00,231498991248,6486746,1724,D,34649.00,35688.00
Minoo.Industry,20200718,33782.00,36930.00,33782.00,34649.00,991064085308,28602708,9376,D,35559.00,35800.00
Minoo.Industry,20200715,34984.00,34984.00,34984.00,35559.00,28289881568,808652,395,D,36065.00,34984.00
Minoo.Industry,20200714,35338.00,35338.00,35338.00,36065.00,20428544420,578090,332,D,36430.00,35338.00
Minoo.Industry,20200713,36067.00,36067.00,36067.00,36430.00,42020579690,1165070,526,D,37009.00,36067.00
Minoo.Industry,20200712,37024.00,37803.00,37024.00,37182.00,1045279001056,28112520,7053,D,38972.00,37024.00
Minoo.Industry,20200711,38230.00,38230.00,38230.00,38972.00,24604942690,643603,342,D,39412.00,38230.00
Minoo.Industry,20200708,38649.00,38649.00,38649.00,39412.00,24124203363,624187,436,D,39844.00,38649.00
Minoo.Industry,20200707,39417.00,39417.00,39417.00,39844.00,44227371846,1122038,776,D,40636.00,39417.00
Minoo.Industry,20200706,41300.00,42539.00,40061.00,40636.00,256364078207,6308817,1809,D,40201.00,40061.00
Minoo.Industry,20200630,40205.00,41411.00,40205.00,40781.00,388084565924,9516285,1858,D,37041.00,41411.00
Minoo.Industry,20200615,159969.00,159969.00,159969.00,159969.00,262456979106,1640674,2011,D,164916.00,159969.00
