<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melat.Investment,20210921,3198.00,3198.00,3198.00,3327.00,129813216,40592,16,D,3331.00,3198.00
Melat.Investment,20210920,3276.00,3276.00,3276.00,3331.00,821358720,250720,30,D,3342.00,3276.00
Melat.Investment,20210919,3282.00,3282.00,3282.00,3342.00,431113674,131357,20,D,3348.00,3282.00
Melat.Investment,20210918,3294.00,3294.00,3294.00,3348.00,939906666,285339,26,D,3361.00,3294.00
Melat.Investment,20210915,3315.00,3315.00,3315.00,3361.00,1465143810,441974,34,D,3382.00,3315.00
Melat.Investment,20210914,3368.00,3580.00,3368.00,3382.00,22677172075,6704913,476,D,3508.00,3368.00
Melat.Investment,20210913,3439.00,3439.00,3439.00,3508.00,97038263,28217,10,D,3509.00,3439.00
Melat.Investment,20210912,3462.00,3462.00,3462.00,3509.00,1593015066,460143,49,D,3532.00,3462.00
Melat.Investment,20210911,3530.00,3630.00,3530.00,3532.00,11652701958,3299396,324,D,3602.00,3530.00
Melat.Investment,20210908,3605.00,3648.00,3595.00,3602.00,22140520489,6146947,713,D,3668.00,3598.00
Melat.Investment,20210907,3675.00,3720.00,3667.00,3668.00,15575224281,4245851,442,D,3741.00,3667.00
Melat.Investment,20210906,3744.00,3744.00,3599.00,3741.00,9374084690,2505650,221,D,3671.00,3720.00
Melat.Investment,20210904,3583.00,3819.00,3580.00,3671.00,38788362953,10567278,1417,D,3714.00,3750.00
Melat.Investment,20210901,3714.00,3720.00,3714.00,3714.00,11813550804,3180736,284,D,3789.00,3714.00
Melat.Investment,20210831,3735.00,3735.00,3735.00,3789.00,1395750825,373695,53,D,3811.00,3735.00
Melat.Investment,20210830,3890.00,3890.00,3802.00,3811.00,7171420023,1881525,234,D,3879.00,3802.00
Melat.Investment,20210829,3919.00,3919.00,3767.00,3879.00,83857478209,21618795,1781,D,3843.00,3870.00
Melat.Investment,20210828,3780.00,3934.00,3780.00,3843.00,53804671453,14000903,783,D,3857.00,3900.00
Melat.Investment,20210823,3857.00,3857.00,3857.00,3857.00,9550437267,2476131,203,D,4017.00,3857.00
Melat.Investment,20210822,4017.00,4020.00,4017.00,4017.00,38036569200,9468868,613,D,4098.00,4017.00
Melat.Investment,20210815,4025.00,4025.00,4025.00,4098.00,514894100,127924,20,D,4107.00,4025.00
Melat.Investment,20210814,4027.00,4027.00,4027.00,4107.00,100397137,24931,13,D,4109.00,4027.00
Melat.Investment,20210811,3996.00,3996.00,3996.00,4109.00,1519471008,380248,56,D,4162.00,3996.00
Melat.Investment,20210810,4083.00,4083.00,4083.00,4162.00,258249750,63250,15,D,4166.00,4083.00
Melat.Investment,20210809,4109.00,4109.00,4109.00,4166.00,1518205647,369483,15,D,4192.00,4109.00
Melat.Investment,20210808,4111.00,4111.00,4111.00,4192.00,94553000,23000,4,D,4194.00,4111.00
Melat.Investment,20210807,4060.00,4060.00,4060.00,4194.00,1003368100,247135,33,D,4229.00,4060.00
Melat.Investment,20210804,4155.00,4155.00,4155.00,4229.00,579244395,139409,13,D,4239.00,4155.00
Melat.Investment,20210803,4155.00,4155.00,4155.00,4239.00,19262580,4636,3,D,4239.00,4155.00
Melat.Investment,20210802,4155.00,4155.00,4155.00,4239.00,19528500,4700,3,D,4239.00,4155.00
Melat.Investment,20210731,4079.00,4079.00,4079.00,4239.00,242443523,59437,16,D,4248.00,4079.00
Melat.Investment,20210728,4164.00,4164.00,4164.00,4248.00,28315200,6800,4,D,4248.00,4164.00
Melat.Investment,20210727,4166.00,4166.00,4166.00,4248.00,171639200,41200,2,D,4251.00,4166.00
Melat.Investment,20210726,4167.00,4167.00,4167.00,4251.00,43799337,10511,4,D,4252.00,4167.00
Melat.Investment,20210719,4088.00,4088.00,4088.00,4252.00,171450720,41940,18,D,4258.00,4088.00
Melat.Investment,20210718,4177.00,4177.00,4177.00,4258.00,208561787,49931,8,D,4262.00,4177.00
Melat.Investment,20210717,4179.00,4179.00,4179.00,4262.00,90893250,21750,7,D,4264.00,4179.00
Melat.Investment,20210714,4183.00,4183.00,4183.00,4264.00,220749459,52773,12,D,4268.00,4183.00
Melat.Investment,20210713,4111.00,4111.00,4111.00,4268.00,382935539,93149,20,D,4282.00,4111.00
Melat.Investment,20210712,4198.00,4198.00,4198.00,4282.00,82490700,19650,5,D,4283.00,4198.00
Melat.Investment,20210711,4199.00,4199.00,4199.00,4283.00,57858021,13779,8,D,4284.00,4199.00
