<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tractor.Machine,20170506,1900.00,1916.00,1749.00,1803.00,202656770,112419,23,D,1742.00,1916.00
Tractor.Machine,20170503,1725.00,1950.00,1718.00,1742.00,11955334,6863,4,D,1908.00,1950.00
Tractor.Machine,20170502,2136.00,2136.00,1800.00,1908.00,88656270,46454,11,D,1957.00,1800.00
Tractor.Machine,20170501,2081.00,2081.00,1730.00,1957.00,14289256,7300,7,D,1897.00,1999.00
Tractor.Machine,20170430,1897.00,1897.00,1897.00,1897.00,55013000,29000,13,D,1725.00,1897.00
Tractor.Machine,20170429,1725.00,1725.00,1724.00,1725.00,75955163,44032,15,D,1569.00,1725.00
Tractor.Machine,20170426,1569.00,1569.00,1569.00,1569.00,48639000,31000,3,D,1427.00,1569.00
Tractor.Machine,20170415,1427.00,1427.00,1427.00,1427.00,12293605,8615,2,D,1298.00,1427.00
Tractor.Machine,20170409,1298.00,1298.00,1298.00,1298.00,11182270,8615,3,D,1180.00,1298.00
Tractor.Machine,20170404,1180.00,1180.00,1180.00,1180.00,12980000,11000,1,D,1073.00,1180.00
Tractor.Machine,20170328,1073.00,1073.00,1073.00,1073.00,2146000,2000,4,D,976.00,1073.00
Tractor.Machine,20170305,980.00,980.00,970.00,976.00,15696390,16087,3,D,980.00,970.00
Tractor.Machine,20170211,981.00,981.00,980.00,980.00,5882600,6000,2,D,980.00,980.00
Tractor.Machine,20170131,980.00,980.00,980.00,980.00,7252000,7400,1,D,980.00,980.00
Tractor.Machine,20170129,980.00,980.00,980.00,980.00,8281000,8450,1,D,992.00,980.00
Tractor.Machine,20170118,1000.00,1000.00,990.00,992.00,59513060,60006,6,D,1000.00,990.00
Tractor.Machine,20170116,1000.00,1000.00,1000.00,1000.00,9289000,9289,1,D,1000.00,1000.00
Tractor.Machine,20170114,1000.00,1000.00,1000.00,1000.00,10000000,10000,1,D,1000.00,1000.00
Tractor.Machine,20170111,1000.00,1000.00,1000.00,1000.00,5000000,5000,1,D,1000.00,1000.00
Tractor.Machine,20170109,1000.00,1000.00,1000.00,1000.00,10000000,10000,1,D,988.00,1000.00
Tractor.Machine,20161206,990.00,990.00,981.00,988.00,6325200,6400,3,D,994.00,990.00
Tractor.Machine,20161122,1000.00,1000.00,990.00,994.00,7343120,7390,2,D,1000.00,990.00
Tractor.Machine,20161113,1023.00,1023.00,1000.00,1000.00,7249150,7248,2,D,1004.00,1000.00
Tractor.Machine,20161102,1022.00,1022.00,1000.00,1004.00,12044000,12000,3,D,1022.00,1000.00
Tractor.Machine,20161002,1022.00,1022.00,1022.00,1022.00,1655640,1620,1,D,1021.00,1022.00
Tractor.Machine,20160925,1021.00,1021.00,1021.00,1021.00,2042000,2000,1,D,1050.00,1021.00
Tractor.Machine,20160914,1050.00,1050.00,1050.00,1050.00,32641350,31087,1,D,1000.00,1050.00
Tractor.Machine,20160907,1000.00,1000.00,1000.00,1000.00,100000,100,1,D,1000.00,1000.00
Tractor.Machine,20160906,1000.00,1000.00,1000.00,1000.00,20000000,20000,1,D,995.00,1000.00
Tractor.Machine,20160816,1000.00,1000.00,991.00,995.00,23577700,23700,3,D,1000.00,991.00
Tractor.Machine,20160718,1000.00,1000.00,1000.00,1000.00,1000000,1000,1,D,991.00,1000.00
Tractor.Machine,20160629,991.00,991.00,991.00,991.00,1783800,1800,1,D,976.00,991.00
Tractor.Machine,20160628,1000.00,1000.00,960.00,976.00,29950800,30700,5,D,1200.00,960.00
Tractor.Machine,20160607,1200.00,1200.00,1200.00,1200.00,21915600,18263,1,D,1200.00,1200.00
Tractor.Machine,20160417,1200.00,1200.00,1200.00,1200.00,6000000,5000,2,D,1198.00,1200.00
Tractor.Machine,20160411,1200.00,1200.00,1195.00,1198.00,56900110,47498,4,D,1200.00,1195.00
Tractor.Machine,20160316,1198.00,1205.00,1198.00,1200.00,63688913,53087,4,D,1191.00,1205.00
Tractor.Machine,20160308,1198.00,1198.00,1120.00,1191.00,1303280,1094,3,D,1100.00,1120.00
Tractor.Machine,20160301,1100.00,1100.00,1100.00,1100.00,20900000,19000,1,D,1118.00,1100.00
Tractor.Machine,20160229,1100.00,1180.00,1100.00,1118.00,1454000,1300,2,D,1067.00,1180.00
Tractor.Machine,20160209,1100.00,1100.00,1009.00,1067.00,11736000,11000,5,D,986.00,1100.00
Tractor.Machine,20160208,900.00,999.00,900.00,986.00,30460113,30887,2,D,912.00,999.00
Tractor.Machine,20160206,771.00,926.00,771.00,912.00,27263119,29887,5,D,740.00,926.00
Tractor.Machine,20160124,740.00,740.00,740.00,740.00,592000,800,1,D,741.00,740.00
Tractor.Machine,20160117,750.00,750.00,736.00,741.00,22220000,30000,2,D,900.00,736.00
Tractor.Machine,20151213,900.00,900.00,900.00,900.00,9499500,10555,1,D,716.00,900.00
Tractor.Machine,20151012,750.00,750.00,706.00,716.00,21476000,30000,4,D,787.00,706.00
Tractor.Machine,20151004,800.00,800.00,750.00,787.00,86600000,110000,3,D,796.00,750.00
Tractor.Machine,20150919,800.00,800.00,790.00,796.00,3980000,5000,2,D,822.00,790.00
Tractor.Machine,20150916,830.00,830.00,820.00,822.00,106900000,130000,3,D,771.00,820.00
Tractor.Machine,20150907,771.00,771.00,771.00,771.00,77100000,100000,1,D,822.00,771.00
Tractor.Machine,20150902,822.00,822.00,822.00,822.00,45210000,55000,1,D,824.00,822.00
Tractor.Machine,20150824,824.00,825.00,824.00,824.00,71736016,87034,4,D,850.00,824.00
Tractor.Machine,20150801,850.00,850.00,850.00,850.00,4062150,4779,1,D,850.00,850.00
Tractor.Machine,20150712,850.00,850.00,850.00,850.00,6173550,7263,1,D,866.00,850.00
Tractor.Machine,20150711,870.00,870.00,861.00,866.00,14727000,17000,2,D,848.00,861.00
Tractor.Machine,20150707,846.00,860.00,846.00,848.00,101800000,120000,2,D,849.00,860.00
Tractor.Machine,20150706,851.00,851.00,846.00,849.00,135920000,160000,12,D,848.00,846.00
Tractor.Machine,20150624,848.00,848.00,848.00,848.00,20135760,23745,1,D,846.00,848.00
Tractor.Machine,20150527,846.00,846.00,846.00,846.00,1692000,2000,1,D,816.00,846.00
Tractor.Machine,20150413,816.00,816.00,816.00,816.00,6120000,7500,1,D,813.00,816.00
Tractor.Machine,20150412,813.00,813.00,813.00,813.00,1300800,1600,1,D,1169.00,813.00
Tractor.Machine,20150405,1090.00,1200.00,1090.00,1169.00,61965000,53000,6,D,954.00,1200.00
Tractor.Machine,20150404,920.00,1000.00,911.00,954.00,58208520,61031,4,D,920.00,1000.00
Tractor.Machine,20150318,920.00,920.00,920.00,920.00,1811480,1969,1,D,910.00,920.00
Tractor.Machine,20150316,910.00,910.00,910.00,910.00,27300000,30000,1,D,910.00,910.00
Tractor.Machine,20150315,910.00,910.00,910.00,910.00,4550000,5000,1,D,856.00,910.00
Tractor.Machine,20150314,900.00,900.00,853.00,856.00,54550800,63712,3,D,1000.00,853.00
Tractor.Machine,20150304,999.00,1000.00,999.00,1000.00,44980000,45000,2,D,914.00,1000.00
Tractor.Machine,20150214,870.00,1150.00,870.00,914.00,148852300,162880,11,D,789.00,1150.00
Tractor.Machine,20150209,800.00,800.00,784.00,789.00,11840000,15000,2,D,930.00,784.00
Tractor.Machine,20150207,930.00,930.00,930.00,930.00,1860000,2000,1,D,820.00,930.00
Tractor.Machine,20150202,820.00,820.00,820.00,820.00,6560000,8000,2,D,843.00,820.00
Tractor.Machine,20150128,800.00,940.00,780.00,843.00,51217450,60785,8,D,790.00,781.00
Tractor.Machine,20150124,790.00,790.00,790.00,790.00,1990800,2520,1,D,823.00,790.00
Tractor.Machine,20150120,834.00,834.00,821.00,823.00,24298680,29520,4,D,800.00,821.00
Tractor.Machine,20150118,800.00,800.00,800.00,800.00,24000000,30000,1,D,829.00,800.00
Tractor.Machine,20150117,821.00,831.00,821.00,829.00,12433000,15000,3,D,834.00,831.00
Tractor.Machine,20150113,834.00,834.00,834.00,834.00,834000,1000,1,D,831.00,834.00
Tractor.Machine,20150111,831.00,831.00,831.00,831.00,2792160,3360,1,D,900.00,831.00
Tractor.Machine,20150110,900.00,900.00,900.00,900.00,6300000,7000,1,D,939.00,900.00
Tractor.Machine,20150107,921.00,982.00,920.00,939.00,35704784,38012,7,D,1088.00,920.00
Tractor.Machine,20150104,1088.00,1088.00,1088.00,1088.00,755072,694,1,D,1072.00,1088.00
Tractor.Machine,20150103,1080.00,1089.00,1000.00,1072.00,37525000,35000,4,D,1000.00,1000.00
Tractor.Machine,20141231,1000.00,1000.00,1000.00,1000.00,5000000,5000,1,D,922.00,1000.00
Tractor.Machine,20141228,922.00,922.00,922.00,922.00,1844000,2000,1,D,1089.00,922.00
Tractor.Machine,20141227,1089.00,1089.00,1089.00,1089.00,5445000,5000,1,D,1089.00,1089.00
