<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Naghsh.Jahan.Sugar,20210921,84805.00,84805.00,84805.00,84805.00,43240967035,509887,131,D,81544.00,84805.00
Naghsh.Jahan.Sugar,20210920,81544.00,81544.00,81544.00,81544.00,5565378000,68250,36,D,79946.00,81544.00
Naghsh.Jahan.Sugar,20210919,79946.00,79946.00,79946.00,79946.00,5974444526,74731,35,D,78379.00,79946.00
Naghsh.Jahan.Sugar,20210918,78379.00,78379.00,78379.00,78379.00,8911770679,113701,55,D,76843.00,78379.00
Naghsh.Jahan.Sugar,20210915,76843.00,76843.00,76843.00,76843.00,6361140383,82781,85,D,75337.00,76843.00
Naghsh.Jahan.Sugar,20210914,75340.00,75340.00,73200.00,75337.00,99220962780,1317034,285,D,72443.00,75340.00
Naghsh.Jahan.Sugar,20210913,72443.00,72443.00,72443.00,72443.00,18897770752,260864,71,D,71023.00,72443.00
Naghsh.Jahan.Sugar,20210912,71148.00,71148.00,68375.00,71023.00,22441522989,315974,261,D,69753.00,71148.00
Naghsh.Jahan.Sugar,20210911,69766.00,69766.00,68399.00,69753.00,36393504356,521745,154,D,68399.00,69766.00
Naghsh.Jahan.Sugar,20210908,68399.00,68399.00,68399.00,68399.00,13589650118,198682,52,D,67058.00,68399.00
Naghsh.Jahan.Sugar,20210905,67133.00,67133.00,67133.00,67058.00,4901380330,73010,46,D,65817.00,67133.00
Naghsh.Jahan.Sugar,20210904,63333.00,65855.00,63333.00,65817.00,10048044137,152667,141,D,64564.00,65855.00
Naghsh.Jahan.Sugar,20210901,62300.00,64833.00,62300.00,64564.00,21639647303,335168,286,D,63562.00,64833.00
Naghsh.Jahan.Sugar,20210831,63532.00,64700.00,63532.00,63562.00,6589390848,103668,156,D,64828.00,63532.00
Naghsh.Jahan.Sugar,20210830,64023.00,66367.00,63765.00,64828.00,23516523833,362750,339,D,65066.00,63765.00
Naghsh.Jahan.Sugar,20210829,65527.00,65527.00,62959.00,65066.00,48162540915,740211,717,D,64243.00,65527.00
Naghsh.Jahan.Sugar,20210828,64243.00,64243.00,64243.00,64243.00,15037166281,234067,171,D,62984.00,64243.00
Naghsh.Jahan.Sugar,20210825,61530.00,64035.00,61525.00,62984.00,54457053235,864615,963,D,62780.00,64035.00
Naghsh.Jahan.Sugar,20210824,62556.00,64121.00,62556.00,62780.00,140192884750,2233092,1757,D,65162.00,62556.00
Naghsh.Jahan.Sugar,20210823,65047.00,65047.00,65047.00,65162.00,4387159962,67446,16,D,66374.00,65047.00
Naghsh.Jahan.Sugar,20210822,66374.00,66374.00,66374.00,66374.00,16438450336,247664,72,D,67728.00,66374.00
Naghsh.Jahan.Sugar,20210815,67728.00,67728.00,67728.00,67728.00,5212685520,76965,20,D,69110.00,67728.00
