<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
N..Pouneh.Mashhad,20210921,15071.00,15071.00,15071.00,15463.00,1480077697,98207,63,D,15537.00,15071.00
N..Pouneh.Mashhad,20210920,15209.00,15210.00,15209.00,15537.00,2851924506,187515,76,D,15679.00,15209.00
N..Pouneh.Mashhad,20210919,15300.00,15490.00,15296.00,15679.00,1840300340,120243,71,D,15769.00,15296.00
N..Pouneh.Mashhad,20210918,15786.00,15786.00,15618.00,15769.00,6697067639,428753,111,D,16101.00,15700.00
N..Pouneh.Mashhad,20210915,16030.00,16510.00,16015.00,16101.00,10883866506,675975,295,D,16510.00,16015.00
N..Pouneh.Mashhad,20210914,16999.00,16999.00,16140.00,16510.00,8180015043,495430,302,D,16506.00,16430.00
N..Pouneh.Mashhad,20210913,16100.00,16762.00,16000.00,16506.00,14481449336,877327,336,D,16274.00,16762.00
N..Pouneh.Mashhad,20210912,16800.00,16910.00,15926.00,16274.00,11639698751,715227,369,D,16418.00,16265.00
N..Pouneh.Mashhad,20210911,15801.00,16558.00,15801.00,16418.00,23523620184,1432806,399,D,16076.00,16558.00
N..Pouneh.Mashhad,20210908,16700.00,16700.00,15977.00,16076.00,15247810591,948471,457,D,16471.00,16000.00
N..Pouneh.Mashhad,20210907,16460.00,16900.00,16452.00,16471.00,18855619752,1144790,341,D,16960.00,16452.00
N..Pouneh.Mashhad,20210906,17890.00,17890.00,16850.00,16960.00,11233755823,662353,222,D,17371.00,16850.00
N..Pouneh.Mashhad,20210905,17288.00,17625.00,17000.00,17371.00,13891768114,799699,196,D,17112.00,17625.00
N..Pouneh.Mashhad,20210904,16330.00,17285.00,16330.00,17112.00,41155775643,2405065,861,D,16782.00,17258.00
N..Pouneh.Mashhad,20210901,16900.00,16923.00,16240.00,16782.00,17646941873,1051527,527,D,16431.00,16880.00
