<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Broker,20210921,147518.00,147518.00,146104.00,147486.00,15950282688,108148,211,D,140494.00,147518.00
Pars.Broker,20210920,140505.00,140505.00,137200.00,140494.00,13841027616,98517,75,D,136413.00,140505.00
Pars.Broker,20210919,136582.00,136582.00,130002.00,136413.00,15759769320,115530,257,D,132604.00,136582.00
Pars.Broker,20210918,133652.00,133652.00,126800.00,132604.00,7656142318,57325,100,D,129760.00,133652.00
Pars.Broker,20210915,126665.00,130462.00,126665.00,129760.00,8594404874,66007,146,D,126663.00,130462.00
Pars.Broker,20210914,125000.00,131340.00,124100.00,126663.00,8135514740,64305,188,D,127515.00,131340.00
Pars.Broker,20210913,125766.00,133000.00,125764.00,127515.00,5512986323,43766,136,D,129653.00,126700.00
Pars.Broker,20210912,127380.00,133700.00,127380.00,129653.00,21704074813,167401,140,D,131319.00,127380.00
Pars.Broker,20210911,132469.00,132469.00,128495.00,131319.00,2838620983,22084,66,D,132469.00,128495.00
Pars.Broker,20210908,129025.00,136800.00,129025.00,132469.00,15103558118,114016,180,D,133015.00,130170.00
Pars.Broker,20210907,136890.00,136890.00,129112.00,133015.00,12900701679,96987,287,D,133105.00,129112.00
Pars.Broker,20210906,134066.00,134066.00,131510.00,133105.00,16073850830,120761,232,D,130162.00,131530.00
Pars.Broker,20210905,125188.00,137500.00,125188.00,130162.00,19770763565,151893,470,D,131776.00,135892.00
Pars.Broker,20210904,128393.00,128393.00,128393.00,131776.00,1435305347,11179,36,D,132363.00,128393.00
Pars.Broker,20210901,130017.00,133420.00,130017.00,132363.00,4217480158,32421,117,D,134038.00,130017.00
Pars.Broker,20210831,141000.00,141000.00,133602.00,134038.00,23401488586,174588,493,D,137733.00,133602.00
Pars.Broker,20210830,137774.00,137774.00,133439.00,137733.00,33799210018,245396,328,D,131214.00,137774.00
Pars.Broker,20210829,133439.00,133439.00,133439.00,131214.00,4364255934,32706,73,D,129553.00,133439.00
Pars.Broker,20210828,131964.00,131964.00,131964.00,129553.00,3762953460,28515,46,D,128121.00,131964.00
Pars.Broker,20210825,131136.00,131136.00,131136.00,128121.00,2113912320,16120,35,D,127317.00,131136.00
Pars.Broker,20210824,127317.00,127317.00,127317.00,127317.00,11797193220,92660,146,D,121255.00,127317.00
Pars.Broker,20210823,122608.00,122608.00,117618.00,121255.00,6577574605,53659,109,D,119037.00,122608.00
Pars.Broker,20210822,120142.00,120142.00,120142.00,119037.00,7046568584,58652,65,D,116643.00,120142.00
Pars.Broker,20210815,119346.00,119346.00,119346.00,116643.00,2340852444,19614,35,D,115870.00,119346.00
Pars.Broker,20210814,119001.00,119001.00,119000.00,115870.00,4697326379,39473,89,D,113335.00,119001.00
Pars.Broker,20210811,115020.00,115020.00,112000.00,113335.00,5362489101,46695,134,D,111670.00,115020.00
Pars.Broker,20210810,113518.00,113518.00,113517.00,111670.00,4451267596,39212,106,D,110212.00,113518.00
Pars.Broker,20210809,112453.00,112453.00,110860.00,110212.00,3165189132,28149,72,D,109178.00,112453.00
Pars.Broker,20210808,106883.00,111849.00,106880.00,109178.00,8277666097,75938,202,D,110185.00,110860.00
Pars.Broker,20210807,109091.00,112463.00,109090.00,110185.00,9117103161,82869,182,D,112463.00,112463.00
Pars.Broker,20210804,110255.00,112889.00,110255.00,112463.00,3274398329,29692,88,D,113664.00,110400.00
Pars.Broker,20210803,110923.00,113343.00,110917.00,113664.00,2065217746,18561,92,D,114347.00,112449.00
Pars.Broker,20210802,111587.00,115478.00,111587.00,114347.00,2328043933,20740,102,D,115038.00,111599.00
Pars.Broker,20210801,113010.00,117400.00,112779.00,115038.00,3516242046,31128,145,D,116267.00,112779.00
Pars.Broker,20210731,115857.00,120000.00,115857.00,116267.00,9769696764,84028,307,D,119440.00,115857.00
Pars.Broker,20210728,117978.00,121600.00,117978.00,119440.00,6251094696,52881,120,D,121626.00,117978.00
Pars.Broker,20210727,124655.00,126368.00,119206.00,121626.00,4469297995,37219,194,D,122892.00,119206.00
Pars.Broker,20210726,121100.00,124655.00,117395.00,122892.00,14137731084,115042,367,D,121025.00,122006.00
Pars.Broker,20210719,121030.00,121050.00,120000.00,121025.00,19191288125,158573,317,D,117525.00,121050.00
Pars.Broker,20210718,115724.00,122000.00,115724.00,117525.00,5357838829,46152,55,D,119303.00,122000.00
Pars.Broker,20210717,116323.00,116682.00,116323.00,119303.00,1664730881,14311,39,D,119920.00,116323.00
Pars.Broker,20210714,119876.00,123500.00,119868.00,119920.00,12767045286,106463,240,D,123575.00,119868.00
Pars.Broker,20210713,122683.00,129915.00,122683.00,123575.00,14682221380,118812,331,D,129139.00,122683.00
Pars.Broker,20210712,125635.00,125635.00,125635.00,129139.00,931709160,7416,27,D,129520.00,125635.00
Pars.Broker,20210711,127407.00,127410.00,127407.00,129520.00,4472751415,35106,91,D,131347.00,127407.00
Pars.Broker,20210710,136048.00,136048.00,128124.00,131347.00,4661616870,35716,177,D,132086.00,128124.00
Pars.Broker,20210707,125280.00,132996.00,125250.00,132086.00,18475500134,139875,383,D,129123.00,132996.00
Pars.Broker,20210706,124690.00,135199.00,124690.00,129123.00,31360507026,242873,715,D,131252.00,131900.00
Pars.Broker,20210705,127346.00,127346.00,127346.00,131252.00,75388832,592,3,D,131284.00,127346.00
Pars.Broker,20210704,128151.00,128151.00,128151.00,131284.00,1973012796,15396,19,D,132114.00,128151.00
Pars.Broker,20210703,131945.00,136000.00,131945.00,132114.00,13536136128,102458,251,D,136025.00,131945.00
Pars.Broker,20210630,135774.00,138626.00,135774.00,136025.00,71655352346,526780,830,D,139973.00,135821.00
Pars.Broker,20210629,135800.00,135800.00,135800.00,139973.00,41147400,303,5,D,140000.00,135800.00
Pars.Broker,20210628,140000.00,140000.00,140000.00,140000.00,23542820000,168163,65,D,208534.00,140000.00
Pars.Broker,20210609,202325.00,202325.00,202325.00,208579.00,5058125,25,1,D,208582.00,202325.00
Pars.Broker,20210608,202332.00,202332.00,202332.00,208582.00,10116600,50,2,D,208589.00,202332.00
Pars.Broker,20210531,202335.00,202335.00,202335.00,208589.00,5058375,25,1,D,208592.00,202335.00
Pars.Broker,20210530,202344.00,202344.00,202344.00,208592.00,15378144,76,2,D,208602.00,202344.00
Pars.Broker,20210523,198178.00,198178.00,198178.00,208602.00,5350806,27,1,D,208608.00,198178.00
Pars.Broker,20210519,202360.00,202360.00,202360.00,208608.00,14974640,74,2,D,208618.00,202360.00
Pars.Broker,20210518,202370.00,202370.00,202370.00,208618.00,15987230,79,2,D,208628.00,202370.00
Pars.Broker,20210512,200285.00,200285.00,200285.00,208628.00,4806840,24,1,D,208630.00,200285.00
Pars.Broker,20210510,204459.00,204459.00,204459.00,208630.00,6133770,30,1,D,208631.00,204459.00
Pars.Broker,20210508,200305.00,200305.00,200305.00,208631.00,45068625,225,2,D,208651.00,200305.00
Pars.Broker,20210428,204479.00,204479.00,204479.00,208651.00,5316454,26,1,D,208652.00,204479.00
Pars.Broker,20210417,200313.00,200313.00,200313.00,208652.00,15023475,75,2,D,208659.00,200313.00
Pars.Broker,20210411,200315.00,200315.00,200315.00,208659.00,5007875,25,1,D,208661.00,200315.00
Pars.Broker,20210407,204495.00,204495.00,204495.00,208661.00,31696725,155,1,D,208668.00,204495.00
Pars.Broker,20210406,204497.00,204497.00,204497.00,208668.00,10224850,50,2,D,208670.00,204497.00
Pars.Broker,20210405,200327.00,200327.00,200327.00,208670.00,6610791,33,1,D,208673.00,200327.00
Pars.Broker,20210404,204504.00,204504.00,204504.00,208673.00,20450400,100,1,D,208677.00,204504.00
Pars.Broker,20210330,200388.00,200388.00,200388.00,208677.00,137666556,687,10,D,208737.00,200388.00
Pars.Broker,20210328,204567.00,204567.00,204567.00,208737.00,20456700,100,2,D,208741.00,204567.00
Pars.Broker,20210327,204592.00,204592.00,204592.00,208741.00,120709280,590,6,D,208767.00,204592.00
Pars.Broker,20210317,204595.00,204595.00,204595.00,208767.00,13503270,66,2,D,208770.00,204595.00
Pars.Broker,20210316,200448.00,200448.00,200448.00,208770.00,66749184,333,7,D,208799.00,200448.00
Pars.Broker,20210315,204625.00,204625.00,204625.00,208799.00,8185000,40,1,D,208801.00,204625.00
Pars.Broker,20210314,204632.00,204632.00,204632.00,208801.00,30694800,150,2,D,208808.00,204632.00
Pars.Broker,20210313,204652.00,204652.00,204652.00,208808.00,92912008,454,8,D,208828.00,204652.00
Pars.Broker,20210310,200795.00,200795.00,200795.00,208828.00,763221795,3801,11,D,209161.00,200795.00
Pars.Broker,20210309,205023.00,205023.00,205023.00,209161.00,214044012,1044,8,D,209207.00,205023.00
Pars.Broker,20210308,205065.00,205065.00,205065.00,209207.00,201373830,982,4,D,209250.00,205065.00
Pars.Broker,20210306,200939.00,200939.00,200939.00,209250.00,139451666,694,7,D,209311.00,200939.00
Pars.Broker,20210303,205144.00,205144.00,205144.00,209311.00,87186200,425,4,D,209330.00,205144.00
Pars.Broker,20210302,205149.00,205149.00,205149.00,209330.00,23592135,115,4,D,209335.00,205149.00
Pars.Broker,20210301,205160.00,205160.00,205160.00,209335.00,51495160,251,4,D,209346.00,205160.00
Pars.Broker,20210228,201337.00,201337.00,201337.00,209346.00,868769155,4315,15,D,209726.00,201337.00
Pars.Broker,20210227,205538.00,205538.00,205538.00,209726.00,26925478,131,3,D,209732.00,205538.00
Pars.Broker,20210224,205571.00,205571.00,205571.00,209732.00,156233960,760,13,D,209766.00,205571.00
Pars.Broker,20210223,205598.00,205598.00,205598.00,209766.00,127881956,622,4,D,209793.00,205598.00
Pars.Broker,20210222,201740.00,201740.00,201740.00,209793.00,803732160,3984,20,D,210145.00,201740.00
Pars.Broker,20210221,205958.00,205958.00,205958.00,210145.00,76410418,371,6,D,210161.00,205958.00
Pars.Broker,20210220,206041.00,206041.00,206041.00,210161.00,393126228,1908,14,D,210245.00,206041.00
Pars.Broker,20210217,206162.00,206162.00,206162.00,210245.00,571893388,2774,24,D,210369.00,206162.00
Pars.Broker,20210216,203866.00,203866.00,203866.00,210369.00,4491371846,22031,61,D,212360.00,203866.00
Pars.Broker,20210215,208209.00,208209.00,208209.00,212360.00,453270993,2177,20,D,212458.00,208209.00
Pars.Broker,20210214,208780.00,208780.00,208780.00,212458.00,2680735200,12840,37,D,213040.00,208780.00
Pars.Broker,20210213,219157.00,219157.00,208519.00,213040.00,50813137285,238515,577,D,212774.00,208519.00
Pars.Broker,20210209,217628.00,217628.00,217628.00,212774.00,5080525660,23345,42,D,211290.00,217628.00
Pars.Broker,20210208,218113.00,218113.00,218113.00,211290.00,7462081956,34212,68,D,207727.00,218113.00
Pars.Broker,20210207,211612.00,211612.00,211612.00,207727.00,7799171872,36856,64,D,205449.00,211612.00
Pars.Broker,20210206,206590.00,206590.00,206590.00,205449.00,16695364260,80814,78,D,200573.00,206590.00
Pars.Broker,20210203,204933.00,204933.00,204933.00,200573.00,5851042083,28551,53,D,198965.00,204933.00
Pars.Broker,20210202,206491.00,206491.00,206491.00,198965.00,5131301350,24850,92,D,196659.00,206491.00
Pars.Broker,20210201,201204.00,201204.00,201204.00,196659.00,4784429916,23779,108,D,195344.00,201204.00
Pars.Broker,20210131,197631.00,197631.00,197631.00,195344.00,12619332243,63853,157,D,191875.00,197631.00
Pars.Broker,20210130,194442.00,194442.00,194442.00,191875.00,11260525104,57912,145,D,188779.00,194442.00
Pars.Broker,20210127,193775.00,193775.00,190000.00,188779.00,9662089575,49863,172,D,184548.00,193775.00
Pars.Broker,20210126,189628.00,189628.00,189628.00,184548.00,1652608020,8715,62,D,184105.00,189628.00
