<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Fasa.Petro.,20210921,1355.00,1355.00,1336.00,1350.00,6362561015,4758564,144,D,1377.00,1336.00
Fasa.Petro.,20210920,1385.00,1424.00,1375.00,1377.00,13804739053,10027504,326,D,1417.00,1375.00
Fasa.Petro.,20210919,1388.00,1389.00,1388.00,1417.00,2924098650,2106672,113,D,1430.00,1388.00
Fasa.Petro.,20210918,1409.00,1468.00,1403.00,1430.00,3914323930,2782302,147,D,1446.00,1403.00
Fasa.Petro.,20210915,1440.00,1489.00,1406.00,1446.00,11008779962,7615850,408,D,1447.00,1420.00
Fasa.Petro.,20210914,1379.00,1461.00,1379.00,1447.00,14061750904,9718339,488,D,1419.00,1450.00
Fasa.Petro.,20210913,1405.00,1459.00,1401.00,1419.00,6129415582,4361287,209,D,1444.00,1401.00
Fasa.Petro.,20210912,1487.00,1487.00,1423.00,1444.00,5551558631,3888761,198,D,1466.00,1423.00
Fasa.Petro.,20210911,1461.00,1490.00,1430.00,1466.00,8032432904,5477130,307,D,1464.00,1430.00
Fasa.Petro.,20210908,1463.00,1500.00,1461.00,1464.00,11445922318,7819473,416,D,1506.00,1461.00
Fasa.Petro.,20210907,1555.00,1555.00,1483.00,1506.00,17678617405,11736838,483,D,1528.00,1483.00
Fasa.Petro.,20210906,1577.00,1577.00,1502.00,1528.00,11467080160,7502743,462,D,1547.00,1510.00
Fasa.Petro.,20210905,1619.00,1619.00,1532.00,1547.00,17441052816,11273679,580,D,1579.00,1552.00
Fasa.Petro.,20210904,1594.00,1597.00,1540.00,1579.00,15027709629,9515280,569,D,1552.00,1580.00
Fasa.Petro.,20210901,1530.00,1560.00,1521.00,1552.00,14545082954,9370423,490,D,1515.00,1560.00
Fasa.Petro.,20210831,1490.00,1570.00,1484.00,1515.00,9189678545,6072759,433,D,1529.00,1541.00
Fasa.Petro.,20210830,1560.00,1585.00,1493.00,1529.00,28237869259,18470848,862,D,1539.00,1493.00
Fasa.Petro.,20210829,1546.00,1546.00,1500.00,1539.00,27188941431,17667390,728,D,1501.00,1546.00
Fasa.Petro.,20210828,1519.00,1519.00,1519.00,1501.00,6047148114,3981006,204,D,1475.00,1519.00
Fasa.Petro.,20210825,1466.00,1482.00,1450.00,1475.00,15464842496,10482630,451,D,1439.00,1482.00
Fasa.Petro.,20210824,1430.00,1455.00,1420.00,1439.00,8768860262,6075585,436,D,1418.00,1448.00
Fasa.Petro.,20210823,1400.00,1423.00,1385.00,1418.00,14841321336,10463295,452,D,1382.00,1423.00
Fasa.Petro.,20210822,1351.00,1405.00,1350.00,1382.00,12211230550,8833745,568,D,1389.00,1398.00
Fasa.Petro.,20210815,1392.00,1430.00,1379.00,1389.00,15614523459,11237809,659,D,1421.00,1379.00
Fasa.Petro.,20210814,1400.00,1450.00,1395.00,1421.00,8834013387,6224750,475,D,1435.00,1434.00
Fasa.Petro.,20210811,1463.00,1465.00,1406.00,1435.00,10545644232,7346638,632,D,1442.00,1410.00
Fasa.Petro.,20210810,1421.00,1499.00,1421.00,1442.00,24631153520,17078847,955,D,1464.00,1446.00
Fasa.Petro.,20210809,1433.00,1457.00,1433.00,1464.00,2861865480,1996012,126,D,1477.00,1433.00
Fasa.Petro.,20210808,1528.00,1548.00,1459.00,1477.00,13426408050,9088634,485,D,1504.00,1459.00
Fasa.Petro.,20210807,1494.00,1515.00,1436.00,1504.00,18640361287,12392480,623,D,1471.00,1515.00
Fasa.Petro.,20210804,1470.00,1472.00,1432.00,1471.00,19013207087,12928287,713,D,1430.00,1472.00
Fasa.Petro.,20210803,1417.00,1431.00,1400.00,1430.00,11811911982,8259805,394,D,1390.00,1431.00
Fasa.Petro.,20210802,1404.00,1404.00,1327.00,1390.00,17355061311,12489737,718,D,1364.00,1404.00
Fasa.Petro.,20210801,1366.00,1366.00,1337.00,1364.00,9676821663,7087884,415,D,1327.00,1366.00
Fasa.Petro.,20210731,1319.00,1371.00,1316.00,1327.00,14058817867,10594626,525,D,1356.00,1349.00
Fasa.Petro.,20210728,1354.00,1380.00,1354.00,1356.00,8889156220,6563694,369,D,1395.00,1354.00
Fasa.Petro.,20210727,1447.00,1447.00,1380.00,1395.00,6207043754,4493396,261,D,1422.00,1380.00
Fasa.Petro.,20210726,1488.00,1488.00,1417.00,1422.00,20812629575,14641222,668,D,1460.00,1417.00
Fasa.Petro.,20210719,1460.00,1460.00,1460.00,1460.00,10891751840,7460104,264,D,1418.00,1460.00
Fasa.Petro.,20210718,1389.00,1418.00,1389.00,1418.00,9987595555,7045241,364,D,1377.00,1418.00
Fasa.Petro.,20210717,1353.00,1422.00,1352.00,1377.00,20986863382,15236984,1000,D,1422.00,1398.00
Fasa.Petro.,20210714,1396.00,1396.00,1396.00,1422.00,3467939012,2484197,209,D,1439.00,1396.00
Fasa.Petro.,20210713,1440.00,1465.00,1434.00,1439.00,8039495401,5602513,339,D,1478.00,1434.00
Fasa.Petro.,20210712,1491.00,1515.00,1470.00,1478.00,13627247455,9221598,651,D,1515.00,1470.00
