<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Persian.Gulf.Inv.,20210921,2260.00,2260.00,2130.00,2185.00,139558672013,63871445,1962,D,2195.00,2168.00
Persian.Gulf.Inv.,20210920,2080.00,2204.00,2080.00,2195.00,96877430216,44134871,735,D,2140.00,2204.00
Persian.Gulf.Inv.,20210919,2099.00,2227.00,2099.00,2140.00,64296851721,30041922,1140,D,2163.00,2099.00
Persian.Gulf.Inv.,20210918,2052.00,2178.00,2052.00,2163.00,94140263438,43524842,1411,D,2115.00,2167.00
Persian.Gulf.Inv.,20210915,2194.00,2194.00,2109.00,2115.00,19569092172,9252076,637,D,2174.00,2109.00
Persian.Gulf.Inv.,20210914,2104.00,2224.00,2102.00,2174.00,61802789081,28424914,1100,D,2167.00,2148.00
Persian.Gulf.Inv.,20210913,2240.00,2240.00,2146.00,2167.00,51710583248,23863718,874,D,2212.00,2146.00
Persian.Gulf.Inv.,20210912,2247.00,2247.00,2130.00,2212.00,68610008121,31011493,1572,D,2182.00,2190.00
Persian.Gulf.Inv.,20210911,2182.00,2182.00,2165.00,2182.00,37724465423,17289284,472,D,2119.00,2182.00
Persian.Gulf.Inv.,20210908,2040.00,2132.00,2040.00,2119.00,53543967982,25268895,1089,D,2070.00,2132.00
Persian.Gulf.Inv.,20210906,2072.00,2072.00,2034.00,2070.00,26910477593,12997825,407,D,2032.00,2071.00
Persian.Gulf.Inv.,20210905,2032.00,2032.00,2032.00,2032.00,54491890000,26816875,543,D,1993.00,2032.00
Persian.Gulf.Inv.,20210904,1993.00,1993.00,1993.00,1993.00,26744304167,13419119,277,D,1954.00,1993.00
Persian.Gulf.Inv.,20210901,1946.00,2019.00,1946.00,1954.00,49554765945,25354631,1028,D,2027.00,1960.00
Persian.Gulf.Inv.,20210831,2024.00,2070.00,2024.00,2027.00,4576917630,2260863,117,D,2065.00,2024.00
Persian.Gulf.Inv.,20210830,2034.00,2034.00,2034.00,2065.00,1172643714,576521,53,D,2075.00,2034.00
Persian.Gulf.Inv.,20210829,2133.00,2133.00,2051.00,2075.00,44002632923,21206886,936,D,2092.00,2051.00
Persian.Gulf.Inv.,20210828,2092.00,2092.00,2080.00,2092.00,5563999256,2659937,127,D,2051.00,2092.00
Persian.Gulf.Inv.,20210825,2040.00,2054.00,2011.00,2051.00,25761761016,12561827,558,D,2014.00,2054.00
Persian.Gulf.Inv.,20210824,1990.00,2066.00,1990.00,2014.00,34509626583,17131876,1045,D,2030.00,2035.00
Persian.Gulf.Inv.,20210823,2001.00,2001.00,2001.00,2030.00,1390803054,695054,47,D,2041.00,2001.00
