<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jahrom.Petro.,20210921,1262.00,1318.00,1256.00,1276.00,4796926045,3810127,255,D,1294.00,1256.00
Jahrom.Petro.,20210920,1300.00,1333.00,1269.00,1294.00,9524486889,7362567,390,D,1308.00,1269.00
Jahrom.Petro.,20210919,1339.00,1339.00,1292.00,1308.00,5899075866,4560601,315,D,1331.00,1292.00
Jahrom.Petro.,20210918,1321.00,1379.00,1312.00,1331.00,5795817935,4402033,326,D,1352.00,1312.00
Jahrom.Petro.,20210915,1390.00,1390.00,1343.00,1352.00,15019684254,11112610,654,D,1384.00,1343.00
Jahrom.Petro.,20210914,1390.00,1418.00,1374.00,1384.00,32425904927,23423254,1052,D,1416.00,1390.00
Jahrom.Petro.,20210913,1470.00,1474.00,1397.00,1416.00,16062205913,11345505,507,D,1440.00,1397.00
Jahrom.Petro.,20210912,1450.00,1498.00,1418.00,1440.00,24232491113,16828276,627,D,1461.00,1439.00
Jahrom.Petro.,20210911,1460.00,1498.00,1438.00,1461.00,5919581917,4048508,341,D,1460.00,1458.00
Jahrom.Petro.,20210908,1461.00,1491.00,1455.00,1460.00,13693041501,9376550,732,D,1500.00,1455.00
Jahrom.Petro.,20210907,1550.00,1550.00,1491.00,1500.00,12522176030,8346189,550,D,1537.00,1491.00
Jahrom.Petro.,20210906,1512.00,1566.00,1503.00,1537.00,11701982164,7612549,554,D,1539.00,1511.00
Jahrom.Petro.,20210905,1559.00,1559.00,1517.00,1539.00,15856416205,10304544,566,D,1531.00,1530.00
Jahrom.Petro.,20210904,1549.00,1549.00,1513.00,1531.00,13958625402,9120151,627,D,1507.00,1540.00
Jahrom.Petro.,20210901,1490.00,1537.00,1472.00,1507.00,12383720098,8219374,523,D,1516.00,1527.00
Jahrom.Petro.,20210831,1514.00,1553.00,1514.00,1516.00,13507688824,8911590,555,D,1560.00,1514.00
Jahrom.Petro.,20210830,1603.00,1603.00,1555.00,1560.00,9748695470,6251418,280,D,1603.00,1555.00
Jahrom.Petro.,20210829,1601.00,1642.00,1561.00,1603.00,47658607556,29735345,1348,D,1609.00,1564.00
Jahrom.Petro.,20210828,1628.00,1628.00,1590.00,1609.00,34529333656,21456822,1081,D,1581.00,1604.00
Jahrom.Petro.,20210825,1586.00,1586.00,1551.00,1581.00,23567896631,14909701,774,D,1540.00,1586.00
Jahrom.Petro.,20210824,1548.00,1552.00,1500.00,1540.00,31401275254,20386301,1120,D,1507.00,1552.00
Jahrom.Petro.,20210823,1499.00,1535.00,1470.00,1507.00,22651497446,15034087,910,D,1509.00,1500.00
Jahrom.Petro.,20210822,1511.00,1547.00,1475.00,1509.00,22545155152,14944237,968,D,1512.00,1485.00
Jahrom.Petro.,20210815,1519.00,1536.00,1499.00,1512.00,21813192325,14425201,974,D,1545.00,1521.00
Jahrom.Petro.,20210814,1610.00,1610.00,1527.00,1545.00,52415983829,33929727,1838,D,1574.00,1527.00
Jahrom.Petro.,20210811,1545.00,1630.00,1545.00,1574.00,129676039638,82385742,3937,D,1592.00,1601.00
Jahrom.Petro.,20210810,1589.00,1620.00,1589.00,1592.00,99719866601,62652883,2262,D,1638.00,1589.00
Jahrom.Petro.,20210809,1592.00,1592.00,1592.00,1638.00,652551248,409894,27,D,1641.00,1592.00
Jahrom.Petro.,20210808,1565.00,1565.00,1565.00,1641.00,672912440,429976,54,D,1647.00,1565.00
Jahrom.Petro.,20210807,1599.00,1599.00,1599.00,1647.00,192390081,120319,17,D,1648.00,1599.00
Jahrom.Petro.,20210804,1601.00,1601.00,1601.00,1648.00,347051972,216772,18,D,1650.00,1601.00
Jahrom.Petro.,20210803,1602.00,1602.00,1602.00,1650.00,101965698,63649,14,D,1651.00,1602.00
Jahrom.Petro.,20210802,1572.00,1572.00,1572.00,1651.00,303061164,192787,22,D,1654.00,1572.00
Jahrom.Petro.,20210801,1606.00,1606.00,1606.00,1654.00,106368592,66232,11,D,1655.00,1606.00
Jahrom.Petro.,20210731,1607.00,1607.00,1607.00,1655.00,178364144,110992,12,D,1656.00,1607.00
Jahrom.Petro.,20210728,1607.00,1607.00,1607.00,1656.00,24747800,15400,4,D,1656.00,1607.00
Jahrom.Petro.,20210727,1575.00,1575.00,1575.00,1656.00,95528475,60653,12,D,1657.00,1575.00
Jahrom.Petro.,20210726,1609.00,1609.00,1609.00,1657.00,272785033,169537,20,D,1658.00,1609.00
Jahrom.Petro.,20210719,1610.00,1610.00,1610.00,1658.00,253866410,157681,24,D,1659.00,1610.00
