<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Padideh.Shandiz,20210921,22301.00,22570.00,21508.00,21607.00,129672710565,6001416,2823,D,22640.00,21508.00
Padideh.Shandiz,20210920,22611.00,23000.00,22611.00,22640.00,126081537997,5569085,2924,D,23310.00,22611.00
Padideh.Shandiz,20210919,23268.00,23606.00,23268.00,23310.00,52758271610,2263337,928,D,23987.00,23268.00
Padideh.Shandiz,20210918,24794.00,25000.00,23606.00,23987.00,146276560214,6098173,2421,D,24336.00,23606.00
Padideh.Shandiz,20210915,23700.00,24612.00,23400.00,24336.00,255956566958,10517519,4897,D,23896.00,24612.00
Padideh.Shandiz,20210914,23800.00,24402.00,23695.00,23896.00,269163460065,11263738,4636,D,24427.00,24130.00
Padideh.Shandiz,20210913,24402.00,25000.00,24402.00,24427.00,111944841763,4582890,1542,D,25156.00,24402.00
Padideh.Shandiz,20210912,25320.00,25400.00,25053.00,25156.00,46449502587,1846425,1039,D,25827.00,25053.00
Padideh.Shandiz,20210911,24870.00,25944.00,24870.00,25827.00,271252215788,10502699,3736,D,25189.00,25300.00
Padideh.Shandiz,20210908,25461.00,25461.00,24200.00,25189.00,486601974249,19317691,7472,D,24720.00,25410.00
Padideh.Shandiz,20210907,24720.00,24720.00,24720.00,24720.00,26050084320,1053806,173,D,23187.00,24720.00
Padideh.Shandiz,20210906,23187.00,23187.00,23187.00,23187.00,32122991556,1385388,412,D,22733.00,23187.00
Padideh.Shandiz,20210905,22733.00,22733.00,22733.00,22733.00,31817174999,1399603,534,D,22288.00,22733.00
Padideh.Shandiz,20210904,22288.00,22288.00,22288.00,22288.00,67170170256,3013737,758,D,21851.00,22288.00
Padideh.Shandiz,20210901,21730.00,22388.00,21501.00,21851.00,172852926064,7910427,4016,D,22388.00,21849.00
