<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Meyar.Sanat,20210921,51227.00,51227.00,48561.00,50145.00,22877538201,456225,528,D,50056.00,50550.00
Meyar.Sanat,20210920,48322.00,51298.00,48322.00,50056.00,28301990143,565407,428,D,49816.00,50599.00
Meyar.Sanat,20210919,49802.00,50500.00,49802.00,49816.00,10918574761,219176,167,D,51342.00,49802.00
Meyar.Sanat,20210918,53392.00,53392.00,50570.00,51342.00,5471436375,107863,227,D,52134.00,50570.00
Meyar.Sanat,20210915,50611.00,53324.00,50611.00,52134.00,14672879573,281446,493,D,52103.00,52900.00
Meyar.Sanat,20210914,53200.00,53897.00,51113.00,52103.00,28164057678,540542,598,D,52693.00,52000.00
Meyar.Sanat,20210913,54000.00,54000.00,51000.00,52693.00,16022854142,304080,510,D,52482.00,53500.00
Meyar.Sanat,20210912,53475.00,53475.00,50361.00,52482.00,23860419107,454636,812,D,51918.00,53475.00
Meyar.Sanat,20210911,51918.00,51918.00,51918.00,51918.00,12047052720,232040,190,D,50406.00,51918.00
Meyar.Sanat,20210908,50407.00,50407.00,50001.00,50406.00,24371087706,483497,580,D,48939.00,50407.00
Meyar.Sanat,20210907,50340.00,50340.00,50340.00,48939.00,464789220,9233,18,D,48874.00,50340.00
Meyar.Sanat,20210905,49000.00,49960.00,47410.00,48874.00,14752382703,301844,347,D,48843.00,49000.00
Meyar.Sanat,20210904,49610.00,49610.00,47803.00,48843.00,15129590329,309758,377,D,48231.00,48800.00
Meyar.Sanat,20210901,46001.00,48712.00,46001.00,48231.00,18792004579,389623,391,D,47294.00,48712.00
Meyar.Sanat,20210831,46519.00,49000.00,46519.00,47294.00,17555588202,371202,424,D,47957.00,46519.00
Meyar.Sanat,20210830,50000.00,50000.00,47634.00,47957.00,12620459222,263160,356,D,49107.00,47634.00
Meyar.Sanat,20210829,48710.00,51000.00,48580.00,49107.00,32738289737,666666,904,D,50082.00,48580.00
Meyar.Sanat,20210828,50350.00,50350.00,48511.00,50082.00,12066692562,240938,345,D,48884.00,49950.00
Meyar.Sanat,20210825,49300.00,49336.00,47620.00,48884.00,46422482170,949643,790,D,46987.00,48690.00
Meyar.Sanat,20210824,47000.00,47102.00,45850.00,46987.00,11245899948,239341,339,D,45731.00,47102.00
Meyar.Sanat,20210823,44600.00,45842.00,44507.00,45731.00,18598319314,406690,370,D,44507.00,45842.00
Meyar.Sanat,20210822,45200.00,45200.00,43040.00,44507.00,41125027871,924022,976,D,43884.00,45200.00
Meyar.Sanat,20210815,43884.00,43884.00,43880.00,43884.00,11538418040,262930,238,D,42606.00,43884.00
Meyar.Sanat,20210814,41600.00,43513.00,41480.00,42606.00,28025188022,657776,786,D,42246.00,43050.00
Meyar.Sanat,20210811,42700.00,42990.00,41788.00,42246.00,19146028036,453205,501,D,41789.00,41900.00
Meyar.Sanat,20210810,41000.00,41977.00,40855.00,41789.00,25152938305,601899,481,D,40755.00,41977.00
Meyar.Sanat,20210809,41735.00,41735.00,40483.00,40755.00,18419924389,451970,498,D,41735.00,41100.00
Meyar.Sanat,20210808,41628.00,42870.00,41111.00,41735.00,15558186798,372781,360,D,42233.00,41910.00
Meyar.Sanat,20210807,42600.00,43443.00,41800.00,42233.00,9882275336,233993,295,D,42727.00,41810.00
Meyar.Sanat,20210804,41500.00,43448.00,41368.00,42727.00,32317079641,756359,610,D,42275.00,43290.00
Meyar.Sanat,20210803,40300.00,42443.00,40211.00,42275.00,27323738522,646336,510,D,41207.00,42443.00
Meyar.Sanat,20210802,40262.00,42300.00,40262.00,41207.00,12666039808,307378,270,D,41454.00,41455.00
Meyar.Sanat,20210801,41323.00,42800.00,41022.00,41454.00,32977075523,795513,609,D,42290.00,41500.00
Meyar.Sanat,20210731,41005.00,43450.00,40925.00,42290.00,46491447320,1099359,860,D,42190.00,41629.00
Meyar.Sanat,20210728,43030.00,43040.00,41789.00,42190.00,31880088106,755627,648,D,43081.00,41989.00
Meyar.Sanat,20210727,44000.00,44055.00,41500.00,43081.00,29788419208,691456,754,D,42772.00,42870.00
Meyar.Sanat,20210726,43020.00,43020.00,42100.00,42772.00,16631766113,388845,474,D,41767.00,43020.00
Meyar.Sanat,20210719,41880.00,42421.00,39951.00,41767.00,64079217313,1534219,1383,D,41186.00,42400.00
