<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tous.Woolen,20210921,12490.00,12490.00,12490.00,13126.00,292565760,23424,18,D,13147.00,12490.00
Tous.Woolen,20210920,12767.00,12767.00,12767.00,13147.00,336908363,26389,14,D,13161.00,12767.00
Tous.Woolen,20210919,12778.00,12778.00,12778.00,13161.00,292705646,22907,13,D,13173.00,12778.00
Tous.Woolen,20210918,12926.00,12926.00,12926.00,13173.00,3683457590,284965,34,D,13325.00,12926.00
Tous.Woolen,20210915,13987.00,13987.00,13248.00,13325.00,8740748163,657293,368,D,13657.00,13248.00
Tous.Woolen,20210914,13585.00,14200.00,13585.00,13657.00,17909933622,1311455,467,D,14005.00,13780.00
Tous.Woolen,20210913,13728.00,13750.00,13728.00,14005.00,3398079740,247474,93,D,14152.00,13728.00
Tous.Woolen,20210912,13950.00,14300.00,13869.00,14152.00,3582236886,257774,142,D,14297.00,13869.00
Tous.Woolen,20210911,14508.00,14508.00,13950.00,14297.00,14761885504,1032488,537,D,14086.00,13950.00
Tous.Woolen,20210908,13900.00,14333.00,13499.00,14086.00,34605521313,2456760,935,D,13916.00,14333.00
Tous.Woolen,20210907,14200.00,14200.00,13862.00,13916.00,16426716209,1180459,486,D,14290.00,13862.00
Tous.Woolen,20210906,14690.00,14999.00,14159.00,14290.00,22647451780,1584866,611,D,14596.00,14159.00
Tous.Woolen,20210905,14800.00,15100.00,14369.00,14596.00,17274659050,1183488,459,D,14813.00,14690.00
Tous.Woolen,20210904,15100.00,15500.00,14770.00,14813.00,35782666113,2415588,745,D,15226.00,14770.00
Tous.Woolen,20210901,15071.00,15710.00,14966.00,15226.00,31489977886,2068185,667,D,15428.00,15120.00
Tous.Woolen,20210831,15090.00,15980.00,15071.00,15428.00,48876278282,3167980,1262,D,15537.00,15071.00
Tous.Woolen,20210830,15123.00,15652.00,14753.00,15537.00,57779337080,3718808,998,D,15197.00,15469.00
Tous.Woolen,20210829,15855.00,15855.00,15123.00,15197.00,70002240559,4606313,1077,D,15590.00,15123.00
Tous.Woolen,20210828,15674.00,15674.00,15060.00,15590.00,72302775188,4637716,1208,D,14928.00,15674.00
Tous.Woolen,20210825,14962.00,14962.00,14962.00,14928.00,9838936390,657595,120,D,14527.00,14962.00
Tous.Woolen,20210824,14528.00,14528.00,14350.00,14527.00,21000721201,1445661,253,D,14105.00,14528.00
