<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Payam.Ind.,20210915,47020.00,47022.00,45700.00,47012.00,113296216903,2409954,1082,D,45653.00,47022.00
Payam.Ind.,20210914,45653.00,45653.00,45653.00,45653.00,13455445649,294733,177,D,44324.00,45653.00
Payam.Ind.,20210913,44000.00,44601.00,43004.00,44324.00,57520570038,1297718,663,D,43302.00,44601.00
Payam.Ind.,20210912,44522.00,44522.00,43186.00,43302.00,75188583046,1736382,689,D,44521.00,44150.00
Payam.Ind.,20210911,46940.00,46940.00,44429.00,44521.00,91333528084,2051481,882,D,45803.00,44429.00
Payam.Ind.,20210908,47290.00,47290.00,44959.00,45803.00,98553900364,2151680,1799,D,46349.00,45250.00
Payam.Ind.,20210907,46394.00,46394.00,45565.00,46349.00,189962091406,4098547,2011,D,45043.00,46394.00
Payam.Ind.,20210906,45047.00,45047.00,44000.00,45043.00,79428319495,1763400,718,D,43735.00,45047.00
Payam.Ind.,20210905,41500.00,44833.00,40701.00,43735.00,211324461263,4831949,3063,D,42699.00,44833.00
Payam.Ind.,20210904,42558.00,43870.00,42558.00,42699.00,74328994989,1740777,1103,D,43874.00,42558.00
Payam.Ind.,20210901,43852.00,45820.00,43851.00,43874.00,29311329331,668085,466,D,45207.00,43851.00
Payam.Ind.,20210831,45164.00,46700.00,45164.00,45207.00,85909458738,1900340,942,D,46560.00,45164.00
Payam.Ind.,20210830,46000.00,48500.00,45809.00,46560.00,112165830419,2409075,1900,D,47225.00,45809.00
Payam.Ind.,20210829,46500.00,47957.00,45200.00,47225.00,433668077118,9183114,6080,D,46561.00,46990.00
Payam.Ind.,20210828,46261.00,47770.00,46261.00,46561.00,480350197929,10316612,4416,D,48695.00,46261.00
Payam.Ind.,20210825,47272.00,47272.00,47272.00,48695.00,240472664,5087,11,D,48733.00,47272.00
Payam.Ind.,20210824,47401.00,47401.00,47401.00,48733.00,839566512,17712,9,D,48866.00,47401.00
Payam.Ind.,20210823,47779.00,47779.00,47779.00,48866.00,2459710699,51481,11,D,49256.00,47779.00
