<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Asia.Cement,20210921,4236.00,4236.00,4236.00,4361.00,402957972,95127,12,D,4366.00,4236.00
Asia.Cement,20210920,4244.00,4244.00,4244.00,4366.00,692395868,163147,31,D,4375.00,4244.00
Asia.Cement,20210919,4256.00,4256.00,4256.00,4375.00,917687232,215622,32,D,4387.00,4256.00
Asia.Cement,20210918,4266.00,4350.00,4266.00,4387.00,785684950,183992,48,D,4397.00,4266.00
Asia.Cement,20210915,4327.00,4420.00,4327.00,4397.00,4509826222,1040912,175,D,4460.00,4350.00
Asia.Cement,20210914,4407.00,4550.00,4406.00,4460.00,6510467495,1471707,254,D,4542.00,4460.00
Asia.Cement,20210913,4667.00,4667.00,4535.00,4542.00,13327828783,2934360,154,D,4675.00,4535.00
Asia.Cement,20210912,4811.00,4926.00,4667.00,4675.00,13885890437,2970080,143,D,4811.00,4667.00
Asia.Cement,20210911,4655.00,4940.00,4655.00,4811.00,5323781525,1103897,166,D,4798.00,4770.00
Asia.Cement,20210908,4810.00,4880.00,4720.00,4798.00,6700048850,1399873,243,D,4820.00,4879.00
Asia.Cement,20210907,4786.00,4979.00,4734.00,4820.00,9872785976,2049080,210,D,4880.00,4790.00
Asia.Cement,20210906,4800.00,4971.00,4786.00,4880.00,6384893229,1317399,215,D,4934.00,4880.00
Asia.Cement,20210905,5000.00,5130.00,4900.00,4934.00,18735877777,3796944,371,D,5051.00,4901.00
Asia.Cement,20210904,5100.00,5146.00,5000.00,5051.00,7022704229,1383065,220,D,5000.00,5012.00
Asia.Cement,20210901,4999.00,5000.00,4894.00,5000.00,21033092323,4206977,260,D,4855.00,5000.00
Asia.Cement,20210831,4810.00,5100.00,4810.00,4855.00,42997586993,8855602,497,D,4958.00,4810.00
Asia.Cement,20210830,4947.00,5090.00,4947.00,4958.00,31439112553,6341439,332,D,5100.00,4947.00
Asia.Cement,20210829,5167.00,5167.00,4800.00,5100.00,34952908983,6853573,376,D,4921.00,5000.00
Asia.Cement,20210828,4985.00,4985.00,4985.00,4921.00,5884657905,1180473,73,D,4840.00,4985.00
Asia.Cement,20210825,4872.00,4872.00,4872.00,4840.00,8762111736,1798463,65,D,4731.00,4872.00
Asia.Cement,20210824,4767.00,4767.00,4767.00,4731.00,8144734122,1708566,49,D,4629.00,4767.00
Asia.Cement,20210823,4629.00,4629.00,4629.00,4629.00,10789226910,2330790,106,D,4409.00,4629.00
Asia.Cement,20210822,4435.00,4435.00,4435.00,4409.00,8249547935,1860101,59,D,4306.00,4435.00
Asia.Cement,20210815,4309.00,4309.00,4309.00,4306.00,10299811318,2390302,70,D,4184.00,4309.00
Asia.Cement,20210814,4196.00,4196.00,4196.00,4184.00,9328144384,2223104,82,D,4074.00,4196.00
Asia.Cement,20210811,4129.00,4129.00,4129.00,4074.00,8052375800,1950200,73,D,3933.00,4129.00
Asia.Cement,20210810,3992.00,3992.00,3992.00,3933.00,5271819232,1320596,46,D,3876.00,3992.00
Asia.Cement,20210809,3930.00,3930.00,3930.00,3876.00,5618929290,1429753,59,D,3816.00,3930.00
Asia.Cement,20210808,3888.00,3888.00,3888.00,3816.00,3858649488,992451,69,D,3775.00,3888.00
Asia.Cement,20210807,3722.00,3806.00,3610.00,3775.00,12268559581,3250177,232,D,3696.00,3806.00
Asia.Cement,20210804,3630.00,3744.00,3620.00,3696.00,2624539884,713844,126,D,3703.00,3699.00
Asia.Cement,20210803,3630.00,3699.00,3626.00,3703.00,3284372810,903261,172,D,3738.00,3630.00
Asia.Cement,20210802,3759.00,3759.00,3670.00,3738.00,3107729819,841352,138,D,3759.00,3673.00
Asia.Cement,20210801,3700.00,3837.00,3700.00,3759.00,9659206044,2570029,224,D,3803.00,3780.00
Asia.Cement,20210731,3750.00,3847.00,3722.00,3803.00,8316807879,2188044,287,D,3810.00,3763.00
Asia.Cement,20210728,3800.00,3901.00,3701.00,3810.00,11171582685,2932003,430,D,3808.00,3815.00
Asia.Cement,20210727,3890.00,3901.00,3675.00,3808.00,13443804104,3530407,489,D,3788.00,3766.00
Asia.Cement,20210726,3790.00,3790.00,3750.00,3788.00,20002750964,5280958,497,D,3680.00,3790.00
Asia.Cement,20210719,3640.00,3682.00,3640.00,3680.00,14440404301,3923606,321,D,3575.00,3682.00
Asia.Cement,20210718,3457.00,3637.00,3457.00,3575.00,5536964479,1535641,307,D,3538.00,3576.00
Asia.Cement,20210717,3462.00,3590.00,3458.00,3538.00,2546222489,722375,172,D,3542.00,3460.00
Asia.Cement,20210714,3580.00,3588.00,3462.00,3542.00,3664839242,1048430,168,D,3569.00,3465.00
Asia.Cement,20210713,3551.00,3659.00,3495.00,3569.00,3722960866,1059555,185,D,3603.00,3538.00
Asia.Cement,20210712,3644.00,3671.00,3511.00,3603.00,4577559715,1253704,190,D,3565.00,3600.00
Asia.Cement,20210711,3448.00,3640.00,3437.00,3565.00,6490693459,1814671,310,D,3543.00,3630.00
Asia.Cement,20210710,3543.00,3543.00,3448.00,3543.00,1266583615,365235,112,D,3554.00,3448.00
Asia.Cement,20210707,3500.00,3564.00,3471.00,3554.00,2321941269,667647,185,D,3578.00,3471.00
Asia.Cement,20210706,3580.00,3611.00,3500.00,3578.00,2838499865,799019,156,D,3588.00,3525.00
Asia.Cement,20210705,3510.00,3593.00,3493.00,3588.00,1572057719,445210,100,D,3599.00,3527.00
Asia.Cement,20210704,3533.00,3587.00,3510.00,3599.00,1753378583,499168,101,D,3618.00,3511.00
Asia.Cement,20210703,3750.00,3750.00,3533.00,3618.00,2647322690,745287,128,D,3642.00,3590.00
Asia.Cement,20210630,3600.00,3719.00,3533.00,3642.00,3499085413,959605,136,D,3639.00,3628.00
Asia.Cement,20210629,3600.00,3650.00,3551.00,3639.00,1758450197,493774,140,D,3657.00,3553.00
Asia.Cement,20210628,3566.00,3699.00,3564.00,3657.00,4425665941,1216672,226,D,3674.00,3698.00
Asia.Cement,20210627,3640.00,3737.00,3603.00,3674.00,3893299541,1076808,200,D,3714.00,3603.00
Asia.Cement,20210626,3825.00,3825.00,3638.00,3714.00,3921823009,1071694,222,D,3750.00,3660.00
Asia.Cement,20210623,3875.00,3875.00,3683.00,3750.00,5606420212,1509141,271,D,3796.00,3702.00
Asia.Cement,20210622,3900.00,3920.00,3695.00,3796.00,3750273807,993740,236,D,3809.00,3695.00
Asia.Cement,20210621,3884.00,3884.00,3700.00,3809.00,4349760255,1126772,214,D,3771.00,3877.00
Asia.Cement,20210620,3600.00,3822.00,3600.00,3771.00,7339421711,1934777,229,D,3711.00,3822.00
Asia.Cement,20210619,3622.00,3635.00,3622.00,3711.00,2008002693,554313,87,D,3734.00,3624.00
Asia.Cement,20210616,3692.00,3692.00,3634.00,3734.00,1056379992,290158,83,D,3746.00,3635.00
Asia.Cement,20210615,3837.00,3900.00,3692.00,3746.00,17681728932,4720541,189,D,3806.00,3692.00
Asia.Cement,20210614,3745.00,3840.00,3745.00,3806.00,4927858052,1312614,144,D,3860.00,3833.00
Asia.Cement,20210613,3746.00,3746.00,3746.00,3860.00,113155422,30207,9,D,3861.00,3746.00
Asia.Cement,20210612,3747.00,3747.00,3747.00,3861.00,45799581,12223,7,D,3862.00,3747.00
Asia.Cement,20210609,3751.00,3751.00,3751.00,3862.00,373505825,99575,17,D,3867.00,3751.00
Asia.Cement,20210608,3762.00,3800.00,3761.00,3867.00,838337951,222661,90,D,3877.00,3761.00
Asia.Cement,20210607,3799.00,3888.00,3783.00,3877.00,1924169319,508209,126,D,3900.00,3784.00
Asia.Cement,20210602,3799.00,3990.00,3799.00,3900.00,3179061242,822009,216,D,3916.00,3846.00
Asia.Cement,20210601,3800.00,3800.00,3800.00,3916.00,92545200,24354,14,D,3917.00,3800.00
Asia.Cement,20210531,3807.00,3807.00,3807.00,3917.00,551181267,144781,24,D,3924.00,3807.00
Asia.Cement,20210530,3823.00,3823.00,3823.00,3924.00,1426518043,373141,26,D,3941.00,3823.00
Asia.Cement,20210529,3834.00,3869.00,3834.00,3941.00,910479414,237372,106,D,3952.00,3834.00
Asia.Cement,20210526,3869.00,3899.00,3869.00,3952.00,2932065829,757726,93,D,3988.00,3869.00
Asia.Cement,20210525,3871.00,3871.00,3871.00,3988.00,137915988,35628,17,D,3990.00,3871.00
Asia.Cement,20210524,3871.00,3871.00,3871.00,3990.00,26307316,6796,5,D,3990.00,3871.00
Asia.Cement,20210523,3871.00,3871.00,3871.00,3990.00,37138374,9594,5,D,3990.00,3871.00
Asia.Cement,20210522,3872.00,3872.00,3872.00,3990.00,47540416,12278,8,D,3991.00,3872.00
Asia.Cement,20210519,3873.00,3873.00,3873.00,3991.00,109950597,28389,12,D,3992.00,3873.00
Asia.Cement,20210518,3884.00,4000.00,3884.00,3992.00,960755109,246771,87,D,4004.00,3884.00
Asia.Cement,20210517,3921.00,4080.00,3921.00,4004.00,3183790960,809903,130,D,4042.00,4000.00
Asia.Cement,20210516,4042.00,4042.00,4042.00,4042.00,11821952676,2924778,77,D,4254.00,4042.00
Asia.Cement,20210515,4127.00,4127.00,4127.00,4254.00,9888292,2396,1,D,4254.00,4127.00
Asia.Cement,20210512,4169.00,4169.00,4169.00,4254.00,51979092,12468,6,D,4254.00,4169.00
Asia.Cement,20210511,4180.00,4180.00,4180.00,4254.00,2565704900,613805,11,D,4265.00,4180.00
Asia.Cement,20210510,4096.00,4096.00,4096.00,4265.00,79372288,19378,10,D,4266.00,4096.00
Asia.Cement,20210509,4181.00,4181.00,4181.00,4266.00,19491822,4662,2,D,4266.00,4181.00
Asia.Cement,20210508,4181.00,4181.00,4181.00,4266.00,33100977,7917,4,D,4266.00,4181.00
Asia.Cement,20210505,4181.00,4181.00,4181.00,4266.00,111239686,26606,9,D,4266.00,4181.00
Asia.Cement,20210503,4224.00,4224.00,4224.00,4266.00,14550961920,3444830,104,D,4399.00,4224.00
Asia.Cement,20210502,4312.00,4312.00,4312.00,4399.00,29843352,6921,5,D,4399.00,4312.00
Asia.Cement,20210501,4312.00,4312.00,4312.00,4399.00,58121448,13479,8,D,4399.00,4312.00
Asia.Cement,20210428,4314.00,4314.00,4314.00,4399.00,550884858,127697,37,D,4402.00,4314.00
Asia.Cement,20210427,4339.00,4423.00,4339.00,4402.00,12538752185,2889665,122,D,4519.00,4423.00
Asia.Cement,20210426,4429.00,4429.00,4429.00,4519.00,31640776,7144,3,D,4519.00,4429.00
Asia.Cement,20210425,4429.00,4429.00,4429.00,4519.00,76267380,17220,7,D,4519.00,4429.00
Asia.Cement,20210424,4430.00,4430.00,4430.00,4519.00,280379130,63291,26,D,4520.00,4430.00
Asia.Cement,20210420,4512.00,4512.00,4512.00,4520.00,18392333280,4076315,176,D,4700.00,4512.00
Asia.Cement,20210419,4607.00,4607.00,4607.00,4700.00,121744582,26426,8,D,4701.00,4607.00
Asia.Cement,20210418,4607.00,4607.00,4607.00,4701.00,94153259,20437,6,D,4701.00,4607.00
Asia.Cement,20210417,4608.00,4608.00,4608.00,4701.00,110338560,23945,8,D,4702.00,4608.00
Asia.Cement,20210414,4674.00,4772.00,4674.00,4702.00,15574776552,3331901,241,D,4868.00,4674.00
Asia.Cement,20210413,4772.00,4772.00,4772.00,4868.00,254901152,53416,22,D,4869.00,4772.00
Asia.Cement,20210412,4839.00,4839.00,4839.00,4869.00,13075568358,2702122,89,D,4937.00,4839.00
Asia.Cement,20210411,4905.00,4905.00,4905.00,4937.00,12905849610,2631162,135,D,5005.00,4905.00
Asia.Cement,20210410,4944.00,4944.00,4944.00,5005.00,13492818720,2729130,100,D,5150.00,4944.00
Asia.Cement,20210407,5047.00,5047.00,5047.00,5150.00,55517000,11000,2,D,5150.00,5047.00
Asia.Cement,20210406,5047.00,5047.00,5047.00,5150.00,84819882,16806,9,D,5150.00,5047.00
Asia.Cement,20210405,5050.00,5050.00,5050.00,5150.00,640764200,126884,17,D,5153.00,5050.00
Asia.Cement,20210404,4951.00,4951.00,4951.00,5153.00,390460615,78865,23,D,5157.00,4951.00
Asia.Cement,20210403,5055.00,5055.00,5055.00,5157.00,118747005,23491,12,D,5158.00,5055.00
Asia.Cement,20210331,5056.00,5056.00,5056.00,5158.00,119842368,23703,11,D,5159.00,5056.00
Asia.Cement,20210330,5057.00,5057.00,5057.00,5159.00,276830294,54742,22,D,5160.00,5057.00
Asia.Cement,20210328,4966.00,4966.00,4966.00,5160.00,1097421442,220987,57,D,5172.00,4966.00
Asia.Cement,20210327,5071.00,5071.00,5071.00,5172.00,307125115,60565,21,D,5174.00,5071.00
Asia.Cement,20210317,5073.00,5073.00,5073.00,5174.00,388586727,76599,31,D,5176.00,5073.00
Asia.Cement,20210316,5075.00,5075.00,5075.00,5176.00,289006025,56947,23,D,5178.00,5075.00
Asia.Cement,20210315,5077.00,5077.00,5077.00,5178.00,342042567,67371,16,D,5180.00,5077.00
Asia.Cement,20210308,5077.00,5077.00,5077.00,5180.00,91182920,17960,10,D,5180.00,5077.00
Asia.Cement,20210307,4978.00,4978.00,4978.00,5180.00,477001916,95822,27,D,5185.00,4978.00
Asia.Cement,20210306,5082.00,5082.00,5082.00,5185.00,55409046,10903,8,D,5185.00,5082.00
Asia.Cement,20210303,5083.00,5083.00,5083.00,5185.00,105563744,20768,16,D,5186.00,5083.00
Asia.Cement,20210302,5084.00,5084.00,5084.00,5186.00,103057764,20271,15,D,5187.00,5084.00
Asia.Cement,20210301,4981.00,4981.00,4981.00,5187.00,93084928,18688,11,D,5188.00,4981.00
Asia.Cement,20210228,5085.00,5085.00,5085.00,5188.00,48582090,9554,8,D,5188.00,5085.00
Asia.Cement,20210227,5088.00,5088.00,5088.00,5188.00,494960640,97280,12,D,5191.00,5088.00
Asia.Cement,20210224,5090.00,5090.00,5090.00,5191.00,297780270,58503,10,D,5193.00,5090.00
Asia.Cement,20210223,4992.00,4992.00,4992.00,5193.00,682516224,136722,13,D,5200.00,4992.00
Asia.Cement,20210222,5096.00,5096.00,5096.00,5200.00,74651304,14649,9,D,5200.00,5096.00
Asia.Cement,20210221,5097.00,5097.00,5097.00,5200.00,148643811,29163,11,D,5201.00,5097.00
Asia.Cement,20210220,5098.00,5098.00,5098.00,5201.00,273558680,53660,25,D,5202.00,5098.00
Asia.Cement,20210217,5024.00,5024.00,5024.00,5202.00,2750187840,547410,58,D,5233.00,5024.00
Asia.Cement,20210216,5130.00,5130.00,5130.00,5233.00,231963210,45217,20,D,5234.00,5130.00
Asia.Cement,20210215,5133.00,5133.00,5133.00,5234.00,540479235,105295,32,D,5237.00,5133.00
Asia.Cement,20210214,5141.00,5141.00,5141.00,5237.00,1430591211,278271,46,D,5245.00,5141.00
Asia.Cement,20210213,5226.00,5342.00,5226.00,5245.00,17946207284,3430633,484,D,5443.00,5226.00
Asia.Cement,20210209,5342.00,5342.00,5342.00,5443.00,7208345224,1349372,137,D,5507.00,5342.00
Asia.Cement,20210208,5415.00,5500.00,5415.00,5507.00,8587560317,1585000,139,D,5582.00,5415.00
Asia.Cement,20210207,5527.00,5800.00,5527.00,5582.00,18286190319,3279715,482,D,5697.00,5527.00
Asia.Cement,20210206,5616.00,5899.00,5616.00,5697.00,14083893243,2487930,399,D,5789.00,5616.00
Asia.Cement,20210203,5652.00,5999.00,5652.00,5789.00,15481846510,2699942,520,D,5949.00,5652.00
Asia.Cement,20210202,6164.00,6164.00,5806.00,5949.00,47366406990,7961475,1379,D,5985.00,5811.00
Asia.Cement,20210201,5985.00,5985.00,5890.00,5985.00,45355106100,7578676,556,D,5811.00,5985.00
Asia.Cement,20210131,5827.00,5827.00,5600.00,5811.00,45031437380,7748894,618,D,5658.00,5827.00
Asia.Cement,20210130,5676.00,5676.00,5675.00,5658.00,18309172396,3225721,228,D,5511.00,5676.00
Asia.Cement,20210109,13181.00,13181.00,12417.00,12617.00,41802441814,3313273,952,D,12801.00,12560.00
Asia.Cement,20210106,12801.00,12801.00,12801.00,12801.00,42474191637,3318037,437,D,12429.00,12801.00
Asia.Cement,20210105,12022.00,12764.00,12022.00,12429.00,52574979727,4229977,547,D,12393.00,12764.00
Asia.Cement,20210104,12319.00,12550.00,12319.00,12393.00,16159863556,1309746,492,D,12699.00,12319.00
