<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SADRA,20210921,3549.00,3549.00,3549.00,3587.00,24093060810,6788690,190,D,3658.00,3549.00
SADRA,20210920,3670.00,3700.00,3653.00,3658.00,40903634449,11181119,676,D,3765.00,3653.00
SADRA,20210919,3748.00,3811.00,3651.00,3765.00,359476649129,95476158,5648,D,3700.00,3670.00
SADRA,20210918,3699.00,3710.00,3617.00,3700.00,452423587743,122281107,5604,D,3602.00,3710.00
SADRA,20210915,3568.00,3617.00,3453.00,3602.00,259927088383,72152529,3276,D,3512.00,3617.00
SADRA,20210914,3482.00,3563.00,3451.00,3512.00,282192323777,80345048,5052,D,3557.00,3522.00
SADRA,20210913,3630.00,3630.00,3420.00,3557.00,1013237010123,284886652,10680,D,3525.00,3440.00
SADRA,20210912,3525.00,3525.00,3525.00,3525.00,70882737450,20108578,637,D,3423.00,3525.00
SADRA,20210907,3472.00,3472.00,3472.00,3423.00,18647053040,5370695,547,D,3371.00,3472.00
SADRA,20210906,3397.00,3397.00,3397.00,3371.00,26012408605,7657465,518,D,3299.00,3397.00
SADRA,20210905,3325.00,3325.00,3325.00,3299.00,25571996450,7690826,329,D,3229.00,3325.00
SADRA,20210815,3160.00,3242.00,3150.00,3229.00,150618051206,46644136,2247,D,3148.00,3242.00
SADRA,20210814,3155.00,3155.00,3010.00,3148.00,395667036251,125672376,4163,D,3005.00,3155.00
SADRA,20210811,3013.00,3013.00,3013.00,3005.00,28566017986,9480922,366,D,2926.00,3013.00
SADRA,20210810,2955.00,2955.00,2955.00,2926.00,20607401700,6973740,283,D,2869.00,2955.00
SADRA,20210809,2760.00,2877.00,2760.00,2869.00,213056965199,74257450,2029,D,2794.00,2877.00
SADRA,20210808,2880.00,2890.00,2743.00,2794.00,262432028963,93921099,4263,D,2827.00,2750.00
SADRA,20210807,2829.00,2829.00,2759.00,2827.00,427819361445,151357393,4301,D,2747.00,2829.00
SADRA,20210804,2730.00,2758.00,2693.00,2747.00,62588088624,22787883,995,D,2678.00,2758.00
SADRA,20210803,2639.00,2691.00,2560.00,2678.00,224496112234,83845266,2658,D,2613.00,2691.00
SADRA,20210802,2621.00,2621.00,2533.00,2613.00,358847046374,137338922,4415,D,2497.00,2621.00
SADRA,20210801,2501.00,2501.00,2501.00,2497.00,24733972133,9889633,435,D,2429.00,2501.00
SADRA,20210731,2420.00,2435.00,2365.00,2429.00,31260624824,12867333,542,D,2365.00,2435.00
SADRA,20210728,2334.00,2374.00,2279.00,2365.00,158240244873,66906908,2249,D,2305.00,2374.00
SADRA,20210727,2279.00,2279.00,2279.00,2305.00,3126687724,1371956,27,D,2309.00,2279.00
SADRA,20210719,2331.00,2351.00,2304.00,2309.00,125668850048,54435179,2661,D,2375.00,2305.00
SADRA,20210718,2480.00,2480.00,2346.00,2375.00,110529591024,46542962,1902,D,2418.00,2346.00
SADRA,20210717,2400.00,2422.00,2365.00,2418.00,169255445592,69991505,3000,D,2352.00,2422.00
SADRA,20210714,2250.00,2364.00,2241.00,2352.00,128713115735,54729246,2079,D,2296.00,2364.00
SADRA,20210713,2351.00,2361.00,2280.00,2296.00,74721660405,32546750,1661,D,2350.00,2280.00
SADRA,20210712,2330.00,2390.00,2321.00,2350.00,58144326076,24747241,1517,D,2348.00,2326.00
SADRA,20210711,2385.00,2409.00,2323.00,2348.00,102630200914,43713176,2256,D,2394.00,2345.00
SADRA,20210710,2434.00,2450.00,2370.00,2394.00,48797280499,20385784,1278,D,2435.00,2389.00
SADRA,20210707,2490.00,2490.00,2386.00,2435.00,63574370895,26107800,1355,D,2459.00,2440.00
SADRA,20210706,2441.00,2495.00,2424.00,2459.00,64299791855,26143877,1257,D,2434.00,2480.00
SADRA,20210705,2420.00,2470.00,2374.00,2434.00,60873223198,25009680,1197,D,2425.00,2446.00
SADRA,20210704,2432.00,2463.00,2421.00,2425.00,56703033496,23385399,1171,D,2495.00,2423.00
SADRA,20210703,2525.00,2582.00,2432.00,2495.00,105815114593,42412425,2037,D,2507.00,2432.00
SADRA,20210630,2508.00,2510.00,2460.00,2507.00,137678702114,54926029,2309,D,2437.00,2508.00
SADRA,20210629,2445.00,2490.00,2434.00,2437.00,147050124407,60335921,2264,D,2509.00,2434.00
SADRA,20210628,2555.00,2660.00,2428.00,2509.00,213149212173,84945564,3545,D,2555.00,2481.00
SADRA,20210627,2555.00,2555.00,2555.00,2555.00,29649415740,11604468,494,D,2481.00,2555.00
SADRA,20210626,2492.00,2492.00,2492.00,2481.00,22039041164,8843917,290,D,2420.00,2492.00
SADRA,20210623,2380.00,2428.00,2371.00,2420.00,50300499587,20781594,946,D,2358.00,2428.00
SADRA,20210622,2320.00,2362.00,2314.00,2358.00,79954192341,33905776,1376,D,2294.00,2362.00
