<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Majd.Khaf,20210920,10402.00,10402.00,10402.00,10673.00,1499760360,144180,48,D,10723.00,10402.00
Majd.Khaf,20210919,10420.00,10420.00,10420.00,10723.00,565357940,54257,15,D,10742.00,10420.00
Majd.Khaf,20210918,10447.00,10447.00,10447.00,10742.00,843866872,80776,42,D,10770.00,10447.00
Majd.Khaf,20210915,10675.00,10675.00,10675.00,10770.00,7238130375,678045,146,D,11236.00,10675.00
Majd.Khaf,20210914,10989.00,10989.00,10989.00,11236.00,2439525033,221997,81,D,11328.00,10989.00
Majd.Khaf,20210913,11051.00,11051.00,11051.00,11328.00,1689311115,152865,73,D,11392.00,11051.00
Majd.Khaf,20210912,11386.00,11550.00,11386.00,11392.00,64463909640,5658892,805,D,11738.00,11386.00
Majd.Khaf,20210911,11637.00,12086.00,11637.00,11738.00,178450731667,15203414,2808,D,12249.00,11637.00
Majd.Khaf,20210908,12089.00,12089.00,12089.00,12249.00,5320284277,440093,190,D,12462.00,12089.00
Majd.Khaf,20210907,12451.00,12800.00,12449.00,12462.00,39710922370,3186448,852,D,12834.00,12449.00
Majd.Khaf,20210906,12821.00,13100.00,12820.00,12834.00,157204053232,12249209,3266,D,13216.00,12820.00
Majd.Khaf,20210905,13345.00,13345.00,13000.00,13216.00,160469097821,12141602,2748,D,12957.00,13010.00
Majd.Khaf,20210904,12700.00,13377.00,12599.00,12957.00,582458123602,44953432,9710,D,12988.00,13377.00
Majd.Khaf,20210901,13000.00,13616.00,12824.00,12988.00,256988657595,19786696,2234,D,13220.00,12824.00
Majd.Khaf,20210830,13220.00,13220.00,13220.00,13220.00,19635864300,1485315,246,D,13915.00,13220.00
Majd.Khaf,20210829,13885.00,14100.00,13885.00,13915.00,514595304851,36981664,4694,D,14314.00,13885.00
Majd.Khaf,20210828,14264.00,14264.00,14264.00,14314.00,8593589288,602467,151,D,14705.00,14264.00
Majd.Khaf,20210825,14329.00,14329.00,14329.00,14705.00,1409027886,98334,41,D,14772.00,14329.00
Majd.Khaf,20210824,14575.00,14575.00,14575.00,14772.00,7036984900,482812,94,D,15342.00,14575.00
Majd.Khaf,20210823,14934.00,14934.00,14934.00,15342.00,1117884570,74855,15,D,15395.00,14934.00
Majd.Khaf,20210822,14939.00,14939.00,14939.00,15395.00,117614747,7873,12,D,15401.00,14939.00
