<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Farsit.Drood,20210921,16157.00,16157.00,16157.00,16480.00,88249534,5462,7,D,16486.00,16157.00
Farsit.Drood,20210920,16159.00,16159.00,16159.00,16486.00,35776026,2214,7,D,16488.00,16159.00
Farsit.Drood,20210919,16160.00,16160.00,16160.00,16488.00,12750240,789,2,D,16489.00,16160.00
Farsit.Drood,20210918,15864.00,15864.00,15864.00,16489.00,255489720,16105,22,D,16524.00,15864.00
Farsit.Drood,20210915,16211.00,16211.00,16211.00,16524.00,258468184,15944,5,D,16541.00,16211.00
Farsit.Drood,20210914,16214.00,16214.00,16214.00,16541.00,49420272,3048,6,D,16544.00,16214.00
Farsit.Drood,20210913,16216.00,16216.00,16216.00,16544.00,22702400,1400,3,D,16546.00,16216.00
Farsit.Drood,20210912,15898.00,15898.00,15898.00,16546.00,101731302,6399,11,D,16560.00,15898.00
Farsit.Drood,20210911,16231.00,16231.00,16231.00,16560.00,32088687,1977,5,D,16562.00,16231.00
Farsit.Drood,20210908,16238.00,16238.00,16238.00,16562.00,99701320,6140,9,D,16569.00,16238.00
Farsit.Drood,20210907,16242.00,16242.00,16242.00,16569.00,51422172,3166,7,D,16573.00,16242.00
Farsit.Drood,20210906,16292.00,16292.00,16292.00,16573.00,2810207080,172490,65,D,16970.00,16292.00
Farsit.Drood,20210905,16633.00,16633.00,16633.00,16970.00,30721151,1847,4,D,16972.00,16633.00
Farsit.Drood,20210904,16638.00,16638.00,16638.00,16972.00,73673064,4428,10,D,16977.00,16638.00
Farsit.Drood,20210901,16644.00,16644.00,16644.00,16977.00,92890164,5581,11,D,16983.00,16644.00
Farsit.Drood,20210831,16329.00,16329.00,16329.00,16983.00,183570618,11242,16,D,17009.00,16329.00
Farsit.Drood,20210830,16672.00,16672.00,16672.00,17009.00,42880384,2572,6,D,17012.00,16672.00
Farsit.Drood,20210829,16682.00,16682.00,16682.00,17012.00,147802520,8860,6,D,17022.00,16682.00
Farsit.Drood,20210828,16707.00,16707.00,16707.00,17022.00,356627622,21346,28,D,17047.00,16707.00
Farsit.Drood,20210825,16476.00,16476.00,16476.00,17047.00,804111180,48805,33,D,17162.00,16476.00
Farsit.Drood,20210824,16832.00,16832.00,16832.00,17162.00,186835200,11100,9,D,17175.00,16832.00
Farsit.Drood,20210823,16835.00,16835.00,16835.00,17175.00,48619480,2888,7,D,17178.00,16835.00
Farsit.Drood,20210822,16837.00,16837.00,16837.00,17178.00,34414828,2044,5,D,17180.00,16837.00
Farsit.Drood,20210815,16507.00,16507.00,16507.00,17180.00,99388647,6021,11,D,17194.00,16507.00
Farsit.Drood,20210814,16853.00,16853.00,16853.00,17194.00,31818464,1888,4,D,17196.00,16853.00
Farsit.Drood,20210811,16863.00,16863.00,16863.00,17196.00,156724722,9294,9,D,17207.00,16863.00
Farsit.Drood,20210810,16866.00,16866.00,16866.00,17207.00,48084966,2851,6,D,17210.00,16866.00
