<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ahvaz.Farsit,20210921,5600.00,5950.00,5462.00,5583.00,65784353755,11782735,2180,D,5749.00,5510.00
Ahvaz.Farsit,20210920,5644.00,5644.00,5644.00,5749.00,3695504948,654767,148,D,5818.00,5644.00
Ahvaz.Farsit,20210919,5706.00,5706.00,5706.00,5818.00,3430059192,601132,114,D,5882.00,5706.00
Ahvaz.Farsit,20210918,5860.00,6030.00,5847.00,5882.00,15937802969,2709548,585,D,6027.00,5847.00
Ahvaz.Farsit,20210915,5900.00,6150.00,5872.00,6027.00,43161230381,7161262,1987,D,6022.00,6000.00
Ahvaz.Farsit,20210914,5928.00,6210.00,5928.00,6022.00,70501910973,11707827,2535,D,6111.00,6101.00
Ahvaz.Farsit,20210913,6093.00,6093.00,6093.00,6111.00,8710796520,1429640,294,D,6281.00,6093.00
Ahvaz.Farsit,20210912,6400.00,6404.00,6259.00,6281.00,13202208382,2101895,474,D,6452.00,6259.00
Ahvaz.Farsit,20210911,6484.00,6506.00,6317.00,6452.00,52800279136,8184105,1552,D,6317.00,6400.00
Ahvaz.Farsit,20210908,6350.00,6550.00,6285.00,6317.00,60151980618,9522883,2513,D,6479.00,6399.00
Ahvaz.Farsit,20210907,6500.00,6595.00,6475.00,6479.00,52228656081,8061301,1805,D,6675.00,6475.00
Ahvaz.Farsit,20210906,6766.00,6766.00,6410.00,6675.00,83414142123,12496554,2529,D,6569.00,6484.00
Ahvaz.Farsit,20210905,6430.00,6673.00,6360.00,6569.00,63964179925,9737421,1728,D,6479.00,6673.00
Ahvaz.Farsit,20210904,6600.00,6747.00,6390.00,6479.00,96391489297,14877837,3097,D,6587.00,6430.00
Ahvaz.Farsit,20210901,6450.00,6812.00,6380.00,6587.00,94170426368,14297169,3093,D,6715.00,6645.00
Ahvaz.Farsit,20210831,6696.00,6848.00,6696.00,6715.00,45033289465,6706114,1388,D,6903.00,6696.00
Ahvaz.Farsit,20210830,6930.00,7000.00,6901.00,6903.00,40869504690,5920129,1309,D,7114.00,6901.00
Ahvaz.Farsit,20210829,7130.00,7359.00,7069.00,7114.00,211218791801,29689685,5808,D,7287.00,7069.00
Ahvaz.Farsit,20210828,7540.00,7542.00,7104.00,7287.00,236184497803,32412517,7754,D,7323.00,7180.00
Ahvaz.Farsit,20210825,7358.00,7358.00,7020.00,7323.00,170317852355,23258009,4421,D,7144.00,7358.00
Ahvaz.Farsit,20210824,6809.00,7500.00,6809.00,7144.00,514215461521,71978310,13224,D,7167.00,7429.00
Ahvaz.Farsit,20210823,6961.00,6961.00,6961.00,7167.00,426820676,61316,29,D,7176.00,6961.00
Ahvaz.Farsit,20210822,6986.00,6986.00,6986.00,7176.00,1185132984,169644,71,D,7202.00,6986.00
Ahvaz.Farsit,20210815,7202.00,7202.00,7202.00,7202.00,14602573544,2027572,344,D,7424.00,7202.00
Ahvaz.Farsit,20210814,7114.00,7114.00,7114.00,7424.00,1622226762,228033,62,D,7488.00,7114.00
Ahvaz.Farsit,20210811,7270.00,7270.00,7270.00,7488.00,274013570,37691,16,D,7494.00,7270.00
Ahvaz.Farsit,20210810,7275.00,7275.00,7275.00,7494.00,229162500,31500,18,D,7499.00,7275.00
Ahvaz.Farsit,20210809,7279.00,7279.00,7279.00,7499.00,231137366,31754,13,D,7504.00,7279.00
Ahvaz.Farsit,20210808,7148.00,7148.00,7148.00,7504.00,500388592,70004,28,D,7524.00,7148.00
Ahvaz.Farsit,20210807,7301.00,7301.00,7301.00,7524.00,77040152,10552,12,D,7526.00,7301.00
Ahvaz.Farsit,20210804,7309.00,7309.00,7309.00,7526.00,355794811,48679,24,D,7535.00,7309.00
Ahvaz.Farsit,20210803,7535.00,7535.00,7535.00,7535.00,10402029825,1380495,118,D,7768.00,7535.00
Ahvaz.Farsit,20210802,7424.00,7424.00,7424.00,7768.00,1111350528,149697,23,D,7814.00,7424.00
Ahvaz.Farsit,20210801,7581.00,7581.00,7581.00,7814.00,24812613,3273,4,D,7815.00,7581.00
Ahvaz.Farsit,20210731,7582.00,7582.00,7582.00,7815.00,31844400,4200,5,D,7816.00,7582.00
Ahvaz.Farsit,20210728,7586.00,7586.00,7586.00,7816.00,156817792,20672,6,D,7820.00,7586.00
Ahvaz.Farsit,20210727,7441.00,7441.00,7441.00,7820.00,282787764,38004,19,D,7832.00,7441.00
Ahvaz.Farsit,20210726,7602.00,7602.00,7602.00,7832.00,187039608,24604,25,D,7837.00,7602.00
Ahvaz.Farsit,20210719,7634.00,7634.00,7634.00,7837.00,1270595326,166439,67,D,7870.00,7634.00
Ahvaz.Farsit,20210718,7870.00,7870.00,7870.00,7870.00,21519633560,2734388,280,D,8113.00,7870.00
Ahvaz.Farsit,20210717,7979.00,7979.00,7979.00,8113.00,6451444387,808553,179,D,8398.00,7979.00
Ahvaz.Farsit,20210714,8149.00,8149.00,8149.00,8398.00,118510907,14543,6,D,8401.00,8149.00
Ahvaz.Farsit,20210713,8160.00,8160.00,8160.00,8401.00,414821760,50836,10,D,8412.00,8160.00
Ahvaz.Farsit,20210712,8161.00,8161.00,8161.00,8412.00,46109650,5650,3,D,8413.00,8161.00
Ahvaz.Farsit,20210711,8048.00,8048.00,8048.00,8413.00,1310681184,162858,27,D,8471.00,8048.00
Ahvaz.Farsit,20210710,8218.00,8218.00,8218.00,8471.00,49308000,6000,2,D,8472.00,8218.00
Ahvaz.Farsit,20210707,8218.00,8218.00,8218.00,8472.00,17290672,2104,3,D,8472.00,8218.00
Ahvaz.Farsit,20210706,8222.00,8222.00,8222.00,8472.00,151769898,18459,7,D,8476.00,8222.00
Ahvaz.Farsit,20210705,8059.00,8059.00,8059.00,8476.00,154458794,19166,8,D,8483.00,8059.00
Ahvaz.Farsit,20210704,8230.00,8230.00,8230.00,8483.00,32179300,3910,4,D,8484.00,8230.00
Ahvaz.Farsit,20210703,8232.00,8232.00,8232.00,8484.00,80591280,9790,5,D,8486.00,8232.00
Ahvaz.Farsit,20210630,8234.00,8234.00,8234.00,8486.00,60009392,7288,11,D,8488.00,8234.00
Ahvaz.Farsit,20210629,8070.00,8070.00,8070.00,8488.00,126247080,15644,10,D,8494.00,8070.00
Ahvaz.Farsit,20210628,8243.00,8243.00,8243.00,8494.00,125969526,15282,7,D,8497.00,8243.00
Ahvaz.Farsit,20210627,8256.00,8256.00,8256.00,8497.00,513589248,62208,20,D,8511.00,8256.00
Ahvaz.Farsit,20210626,8270.00,8270.00,8270.00,8511.00,538782230,65149,26,D,8525.00,8270.00
Ahvaz.Farsit,20210623,8643.00,8643.00,8384.00,8525.00,17981059405,2109201,286,D,14405.00,8384.00
Ahvaz.Farsit,20210621,13974.00,13974.00,13974.00,14405.00,21268428,1522,3,D,14406.00,13974.00
Ahvaz.Farsit,20210619,13687.00,13687.00,13687.00,14406.00,16424400,1200,1,D,14407.00,13687.00
Ahvaz.Farsit,20210615,13976.00,13976.00,13976.00,14407.00,12005384,859,2,D,14408.00,13976.00
Ahvaz.Farsit,20210614,13978.00,13978.00,13978.00,14408.00,38565302,2759,3,D,14410.00,13978.00
Ahvaz.Farsit,20210612,13695.00,13695.00,13695.00,14410.00,66365970,4846,7,D,14415.00,13695.00
Ahvaz.Farsit,20210609,13983.00,13983.00,13983.00,14415.00,5033880,360,1,D,14415.00,13983.00
Ahvaz.Farsit,20210608,13984.00,13984.00,13984.00,14415.00,20556480,1470,3,D,14416.00,13984.00
Ahvaz.Farsit,20210602,13697.00,13697.00,13697.00,14416.00,7903169,577,1,D,14417.00,13697.00
Ahvaz.Farsit,20210531,13985.00,13985.00,13985.00,14417.00,5733850,410,1,D,14417.00,13985.00
Ahvaz.Farsit,20210530,13986.00,13986.00,13986.00,14417.00,27972000,2000,1,D,14418.00,13986.00
Ahvaz.Farsit,20210529,13699.00,13699.00,13699.00,14418.00,14959308,1092,1,D,14419.00,13699.00
Ahvaz.Farsit,20210524,13987.00,13987.00,13987.00,14419.00,10196523,729,2,D,14419.00,13987.00
Ahvaz.Farsit,20210509,14132.00,14132.00,14132.00,14419.00,91858000,6500,2,D,14420.00,14132.00
Ahvaz.Farsit,20210501,13845.00,13845.00,13845.00,14420.00,46657650,3370,3,D,14421.00,13845.00
Ahvaz.Farsit,20210426,14136.00,14136.00,14136.00,14421.00,224225232,15862,4,D,14424.00,14136.00
Ahvaz.Farsit,20210424,14136.00,14136.00,14136.00,14424.00,5018280,355,1,D,14424.00,14136.00
Ahvaz.Farsit,20210420,14136.00,14136.00,14136.00,14424.00,20087256,1421,3,D,14424.00,14136.00
Ahvaz.Farsit,20210417,13855.00,13855.00,13855.00,14424.00,259365600,18720,5,D,14432.00,13855.00
Ahvaz.Farsit,20210414,14144.00,14144.00,14144.00,14432.00,5021120,355,1,D,14432.00,14144.00
Ahvaz.Farsit,20210413,14144.00,14144.00,14144.00,14432.00,17750720,1255,2,D,14432.00,14144.00
Ahvaz.Farsit,20210412,14144.00,14144.00,14144.00,14432.00,5657600,400,1,D,14432.00,14144.00
Ahvaz.Farsit,20210411,13856.00,13856.00,13856.00,14432.00,17015168,1228,3,D,14433.00,13856.00
Ahvaz.Farsit,20210410,14145.00,14145.00,14145.00,14433.00,14145000,1000,1,D,14433.00,14145.00
Ahvaz.Farsit,20210407,14145.00,14145.00,14145.00,14433.00,4950750,350,1,D,14433.00,14145.00
Ahvaz.Farsit,20210406,14145.00,14145.00,14145.00,14433.00,8218245,581,2,D,14433.00,14145.00
Ahvaz.Farsit,20210405,13861.00,13861.00,13861.00,14433.00,153011579,11039,9,D,14438.00,13861.00
Ahvaz.Farsit,20210404,14150.00,14150.00,14150.00,14438.00,10612500,750,1,D,14438.00,14150.00
Ahvaz.Farsit,20210331,14150.00,14150.00,14150.00,14438.00,15027300,1062,3,D,14438.00,14150.00
Ahvaz.Farsit,20210330,13876.00,13876.00,13876.00,14438.00,538041900,38775,10,D,14454.00,13876.00
Ahvaz.Farsit,20210327,14167.00,14167.00,14167.00,14454.00,106904182,7546,5,D,14456.00,14167.00
Ahvaz.Farsit,20210317,14168.00,14168.00,14168.00,14456.00,42263144,2983,7,D,14457.00,14168.00
Ahvaz.Farsit,20210316,13892.00,13892.00,13892.00,14457.00,418274228,30109,29,D,14470.00,13892.00
Ahvaz.Farsit,20210315,14181.00,14181.00,14181.00,14470.00,23639727,1667,4,D,14470.00,14181.00
Ahvaz.Farsit,20210314,14181.00,14181.00,14181.00,14470.00,14039190,990,2,D,14470.00,14181.00
Ahvaz.Farsit,20210313,14184.00,14184.00,14184.00,14470.00,216405288,15257,7,D,14473.00,14184.00
Ahvaz.Farsit,20210310,13903.00,13903.00,13903.00,14473.00,300221382,21594,12,D,14482.00,13903.00
Ahvaz.Farsit,20210309,14229.00,14229.00,14229.00,14482.00,2475319527,173963,8,D,14519.00,14229.00
Ahvaz.Farsit,20210308,14229.00,14229.00,14229.00,14519.00,15651900,1100,2,D,14519.00,14229.00
Ahvaz.Farsit,20210307,14230.00,14230.00,14230.00,14519.00,46375570,3259,5,D,14520.00,14230.00
Ahvaz.Farsit,20210306,13949.00,13949.00,13949.00,14520.00,327480673,23477,7,D,14530.00,13949.00
Ahvaz.Farsit,20210303,14241.00,14241.00,14241.00,14530.00,47707350,3350,5,D,14531.00,14241.00
Ahvaz.Farsit,20210302,14254.00,14254.00,14254.00,14531.00,877633034,61571,10,D,14544.00,14254.00
Ahvaz.Farsit,20210301,14254.00,14254.00,14254.00,14544.00,5701600,400,1,D,14544.00,14254.00
Ahvaz.Farsit,20210228,13973.00,13973.00,13973.00,14544.00,346879725,24825,7,D,14555.00,13973.00
Ahvaz.Farsit,20210227,14264.00,14264.00,14264.00,14555.00,14763240,1035,2,D,14555.00,14264.00
Ahvaz.Farsit,20210224,14264.00,14264.00,14264.00,14555.00,21267624,1491,3,D,14555.00,14264.00
Ahvaz.Farsit,20210223,14266.00,14266.00,14266.00,14555.00,104897898,7353,8,D,14557.00,14266.00
Ahvaz.Farsit,20210222,13983.00,13983.00,13983.00,14557.00,275814675,19725,7,D,14565.00,13983.00
Ahvaz.Farsit,20210221,14275.00,14275.00,14275.00,14565.00,46279550,3242,2,D,14566.00,14275.00
Ahvaz.Farsit,20210220,14277.00,14277.00,14277.00,14566.00,118970241,8333,5,D,14568.00,14277.00
Ahvaz.Farsit,20210217,14287.00,14287.00,14287.00,14568.00,660988055,46265,14,D,14578.00,14287.00
Ahvaz.Farsit,20210216,14052.00,14052.00,14052.00,14578.00,1938262620,137935,24,D,14637.00,14052.00
Ahvaz.Farsit,20210215,14354.00,14354.00,14354.00,14637.00,629336776,43844,16,D,14646.00,14354.00
Ahvaz.Farsit,20210214,14367.00,14367.00,14367.00,14646.00,906528966,63098,17,D,14660.00,14367.00
Ahvaz.Farsit,20210213,14383.00,14383.00,14383.00,14660.00,1078609936,74992,36,D,14676.00,14383.00
Ahvaz.Farsit,20210209,14087.00,14087.00,14087.00,14676.00,3876925531,275213,94,D,14828.00,14087.00
Ahvaz.Farsit,20210208,14420.00,14420.00,14420.00,14828.00,1600793040,111012,29,D,14865.00,14420.00
Ahvaz.Farsit,20210207,14440.00,14440.00,14440.00,14865.00,929704960,64384,58,D,14886.00,14440.00
Ahvaz.Farsit,20210206,14454.00,14454.00,14454.00,14886.00,662614722,45843,22,D,14901.00,14454.00
Ahvaz.Farsit,20210203,14286.00,14286.00,14286.00,14901.00,3336552444,233554,110,D,15037.00,14286.00
Ahvaz.Farsit,20210202,14597.00,14597.00,14597.00,15037.00,471921010,32330,32,D,15048.00,14597.00
Ahvaz.Farsit,20210201,14611.00,14611.00,14611.00,15048.00,602236198,41218,29,D,15062.00,14611.00
Ahvaz.Farsit,20210131,14676.00,14676.00,14676.00,15062.00,2778005364,189289,62,D,15129.00,14676.00
Ahvaz.Farsit,20210130,14772.00,14772.00,14772.00,15129.00,10272419256,695398,244,D,15549.00,14772.00
Ahvaz.Farsit,20210127,15133.00,15133.00,15133.00,15549.00,2004759308,132476,56,D,15601.00,15133.00
Ahvaz.Farsit,20210126,15170.00,15170.00,15170.00,15601.00,1490680050,98265,44,D,15639.00,15170.00
Ahvaz.Farsit,20210125,15264.00,15264.00,15264.00,15639.00,3758363136,246224,88,D,15736.00,15264.00
Ahvaz.Farsit,20210124,15604.00,16219.00,15604.00,15736.00,343099356951,21803576,4141,D,16425.00,15604.00
Ahvaz.Farsit,20210123,16152.00,16152.00,16152.00,16425.00,8805601992,545171,132,D,16651.00,16152.00
Ahvaz.Farsit,20210120,16529.00,16529.00,16529.00,16651.00,14712016617,890073,164,D,17040.00,16529.00
Ahvaz.Farsit,20210119,16577.00,16577.00,16577.00,17040.00,1854352951,111863,88,D,17089.00,16577.00
Ahvaz.Farsit,20210118,16587.00,16587.00,16587.00,17089.00,418738815,25245,8,D,17100.00,16587.00
Ahvaz.Farsit,20210112,17700.00,17700.00,16935.00,17100.00,334677313096,19571219,5637,D,17458.00,16935.00
Ahvaz.Farsit,20210111,17488.00,17488.00,17000.00,17458.00,348033164430,19935852,4911,D,16979.00,17488.00
Ahvaz.Farsit,20210110,16665.00,17164.00,16500.00,16979.00,359921141837,21197451,5655,D,16665.00,17164.00
Ahvaz.Farsit,20210109,17000.00,17333.00,16402.00,16665.00,800288687122,48021322,13915,D,17265.00,16402.00
Ahvaz.Farsit,20210106,17360.00,17900.00,17118.00,17265.00,295666724981,17125176,4769,D,17647.00,17118.00
Ahvaz.Farsit,20210105,17502.00,18200.00,17502.00,17647.00,1031997432247,58479347,12525,D,18043.00,17502.00
Ahvaz.Farsit,20210104,18043.00,18043.00,18043.00,18043.00,41209742882,2283974,975,D,18601.00,18043.00
