<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lordegan.Petr.,20210921,8550.00,8550.00,8152.00,8178.00,58749690033,7183440,800,D,8404.00,8152.00
Lordegan.Petr.,20210920,8430.00,8635.00,8377.00,8404.00,107265966056,12763540,1878,D,8636.00,8377.00
Lordegan.Petr.,20210919,8865.00,8885.00,8561.00,8636.00,128735133149,14907268,2120,D,8825.00,8561.00
Lordegan.Petr.,20210918,8865.00,8865.00,8349.00,8825.00,320648420675,36333913,3262,D,8607.00,8865.00
Lordegan.Petr.,20210915,8600.00,8695.00,8220.00,8607.00,103208137119,11991657,2239,D,8442.00,8695.00
Lordegan.Petr.,20210914,8310.00,8532.00,8066.00,8442.00,144175953910,17079139,1778,D,8284.00,8532.00
Lordegan.Petr.,20210913,8277.00,8449.00,8277.00,8284.00,122361099557,14770163,1575,D,8532.00,8310.00
Lordegan.Petr.,20210912,8590.00,8817.00,8518.00,8532.00,53227964617,6238445,694,D,8781.00,8518.00
Lordegan.Petr.,20210911,8802.00,8802.00,8550.00,8781.00,247424956544,28178868,2513,D,8546.00,8550.00
Lordegan.Petr.,20210908,8450.00,8554.00,8450.00,8546.00,49904844379,5839674,996,D,8305.00,8554.00
Lordegan.Petr.,20210907,8280.00,8460.00,8256.00,8305.00,171907294680,20700445,2595,D,8511.00,8317.00
Lordegan.Petr.,20210906,8610.00,8737.00,8491.00,8511.00,224712101583,26403519,2959,D,8753.00,8491.00
Lordegan.Petr.,20210905,8810.00,8950.00,8737.00,8753.00,226059842381,25827885,4023,D,9007.00,8737.00
Lordegan.Petr.,20210904,9100.00,9260.00,8868.00,9007.00,146158856738,16226654,2809,D,9025.00,8969.00
Lordegan.Petr.,20210901,8759.00,9195.00,8759.00,9025.00,178850033878,19817431,2447,D,9182.00,9110.00
Lordegan.Petr.,20210831,9179.00,9294.00,9179.00,9182.00,215126493839,23428133,1498,D,9462.00,9179.00
Lordegan.Petr.,20210830,9410.00,9410.00,9410.00,9462.00,27828936390,2957379,175,D,9701.00,9410.00
Lordegan.Petr.,20210829,9731.00,9940.00,9643.00,9701.00,268929984761,27722604,2552,D,9941.00,9643.00
Lordegan.Petr.,20210828,10100.00,10110.00,9781.00,9941.00,193429474989,19457237,3123,D,9969.00,9782.00
Lordegan.Petr.,20210825,9974.00,9974.00,9831.00,9969.00,185934828371,18651644,1425,D,9684.00,9974.00
Lordegan.Petr.,20210824,9685.00,9685.00,9603.00,9684.00,59701888741,6164886,581,D,9403.00,9685.00
Lordegan.Petr.,20210823,9220.00,9493.00,9040.00,9403.00,216256366835,22998501,1929,D,9217.00,9493.00
Lordegan.Petr.,20210822,9340.00,9390.00,9010.00,9217.00,150228339439,16298546,2113,D,9140.00,9260.00
Lordegan.Petr.,20210815,9240.00,9370.00,9010.00,9140.00,177540988961,19424051,2920,D,9285.00,9142.00
Lordegan.Petr.,20210814,9350.00,9350.00,8901.00,9285.00,473331749880,50976256,4527,D,8905.00,9220.00
Lordegan.Petr.,20210811,8905.00,8905.00,8905.00,8905.00,32310456750,3628350,276,D,8646.00,8905.00
Lordegan.Petr.,20210810,8646.00,8646.00,8646.00,8646.00,38413235586,4442891,234,D,8395.00,8646.00
Lordegan.Petr.,20210809,8140.00,8443.00,8140.00,8395.00,160434604415,19110773,1038,D,8198.00,8443.00
Lordegan.Petr.,20210808,8135.00,8300.00,8030.00,8198.00,82460372725,10058034,1198,D,8216.00,8200.00
Lordegan.Petr.,20210807,8367.00,8460.00,8130.00,8216.00,109542962103,13332484,1663,D,8296.00,8168.00
Lordegan.Petr.,20210804,8165.00,8332.00,8010.00,8296.00,123919606134,14936967,1468,D,8090.00,8332.00
Lordegan.Petr.,20210803,7999.00,8250.00,7880.00,8090.00,159341230501,19697251,2067,D,8120.00,8112.00
Lordegan.Petr.,20210802,8480.00,8480.00,7900.00,8120.00,201769324261,24849643,3234,D,8169.00,7902.00
Lordegan.Petr.,20210801,8169.00,8169.00,8169.00,8169.00,51184143864,6265656,376,D,7932.00,8169.00
Lordegan.Petr.,20210731,7937.00,7937.00,7810.00,7932.00,56668114355,7144164,737,D,7706.00,7937.00
Lordegan.Petr.,20210728,7400.00,7799.00,7400.00,7706.00,132028313346,17132375,1434,D,7572.00,7799.00
Lordegan.Petr.,20210727,7580.00,7580.00,7580.00,7572.00,20614431560,2719582,84,D,7546.00,7580.00
Lordegan.Petr.,20210717,7579.00,7579.00,7378.00,7546.00,166085046988,22010602,2342,D,7359.00,7534.00
Lordegan.Petr.,20210714,7280.00,7378.00,7171.00,7359.00,111819046492,15195482,1185,D,7164.00,7378.00
Lordegan.Petr.,20210713,7089.00,7170.00,7049.00,7164.00,121650872744,16981623,908,D,6962.00,7170.00
Lordegan.Petr.,20210712,6797.00,6965.00,6797.00,6962.00,155908523657,22395429,1198,D,6763.00,6965.00
Lordegan.Petr.,20210711,6670.00,6864.00,6605.00,6763.00,80595145356,11917096,1252,D,6781.00,6863.00
Lordegan.Petr.,20210710,6840.00,6920.00,6640.00,6781.00,47406339752,6990918,1029,D,6779.00,6670.00
Lordegan.Petr.,20210707,6775.00,6841.00,6500.00,6779.00,94122303751,13884466,1450,D,6642.00,6830.00
Lordegan.Petr.,20210706,6549.00,6666.00,6460.00,6642.00,97436569051,14670045,1021,D,6472.00,6666.00
Lordegan.Petr.,20210705,6430.00,6580.00,6310.00,6472.00,60264313059,9311037,893,D,6443.00,6500.00
Lordegan.Petr.,20210704,6428.00,6562.00,6300.00,6443.00,58318195555,9051841,1119,D,6443.00,6370.00
Lordegan.Petr.,20210703,6300.00,6448.00,6300.00,6443.00,219150926868,34014445,1689,D,6261.00,6395.00
Lordegan.Petr.,20210630,6255.00,6326.00,6120.00,6261.00,60238890935,9620789,1150,D,6142.00,6250.00
Lordegan.Petr.,20210629,6060.00,6157.00,6001.00,6142.00,103034991466,16775932,1305,D,5978.00,6157.00
Lordegan.Petr.,20210628,5970.00,6130.00,5896.00,5978.00,68344198322,11431804,988,D,6078.00,5970.00
Lordegan.Petr.,20210627,6160.00,6220.00,6035.00,6078.00,72233840042,11883703,1242,D,6221.00,6035.00
Lordegan.Petr.,20210626,6310.00,6390.00,6098.00,6221.00,90946577918,14618171,1615,D,6286.00,6110.00
Lordegan.Petr.,20210623,6243.00,6409.00,6151.00,6286.00,73241842227,11650798,1008,D,6235.00,6210.00
Lordegan.Petr.,20210622,6000.00,6243.00,6000.00,6235.00,92560267010,14844565,962,D,6062.00,6243.00
Lordegan.Petr.,20210621,6000.00,6230.00,5962.00,6062.00,70239202595,11586131,1127,D,6138.00,6000.00
Lordegan.Petr.,20210620,6144.00,6154.00,5980.00,6138.00,111374015941,18144495,1290,D,5975.00,6104.00
Lordegan.Petr.,20210619,5950.00,5980.00,5900.00,5975.00,76835847981,12860531,687,D,5806.00,5980.00
Lordegan.Petr.,20210616,5650.00,5841.00,5611.00,5806.00,44513125283,7666778,768,D,5671.00,5841.00
Lordegan.Petr.,20210615,5710.00,5801.00,5601.00,5671.00,17364261008,3058215,516,D,5633.00,5690.00
Lordegan.Petr.,20210614,5501.00,5701.00,5501.00,5633.00,16185173955,2863291,560,D,5557.00,5700.00
Lordegan.Petr.,20210613,5689.00,5689.00,5440.00,5557.00,19072088278,3432934,541,D,5586.00,5535.00
Lordegan.Petr.,20210612,5565.00,5740.00,5562.00,5586.00,33212041426,5945209,832,D,5733.00,5562.00
Lordegan.Petr.,20210609,5898.00,5900.00,5716.00,5733.00,47649334538,8310814,779,D,5892.00,5750.00
Lordegan.Petr.,20210608,5820.00,5948.00,5787.00,5892.00,64080746034,10875359,1088,D,5775.00,5879.00
Lordegan.Petr.,20210607,5749.00,5787.00,5531.00,5775.00,81365259001,14088885,679,D,5619.00,5787.00
Lordegan.Petr.,20210602,5450.00,5638.00,5445.00,5619.00,52675508031,9374220,1016,D,5474.00,5638.00
Lordegan.Petr.,20210601,5430.00,5660.00,5423.00,5474.00,51849885049,9472223,864,D,5590.00,5520.00
Lordegan.Petr.,20210531,5600.00,5690.00,5532.00,5590.00,15817413490,2844610,508,D,5703.00,5532.00
Lordegan.Petr.,20210530,5870.00,5912.00,5580.00,5703.00,55414803134,9717382,1104,D,5741.00,5689.00
Lordegan.Petr.,20210529,5565.00,5746.00,5560.00,5741.00,119910613393,20885395,1375,D,5579.00,5746.00
Lordegan.Petr.,20210526,5768.00,5768.00,5552.00,5579.00,44732901334,8017939,1199,D,5723.00,5561.00
Lordegan.Petr.,20210525,5640.00,5988.00,5640.00,5723.00,83839439067,14650687,1586,D,5814.00,5640.00
