<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Qazvin.Glass,20210921,8349.00,8349.00,7874.00,7948.00,25790185661,3244866,357,D,8117.00,8093.00
Qazvin.Glass,20210920,8099.00,8256.00,7900.00,8117.00,25149569449,3098539,398,D,8016.00,8256.00
Qazvin.Glass,20210919,8090.00,8340.00,7931.00,8016.00,27063843670,3376304,451,D,8176.00,8099.00
Qazvin.Glass,20210918,8223.00,8223.00,7822.00,8176.00,57727459959,7060869,687,D,7984.00,8220.00
Qazvin.Glass,20210915,8090.00,8090.00,8090.00,7984.00,5627946030,695667,172,D,7855.00,8090.00
Qazvin.Glass,20210914,7720.00,7865.00,7720.00,7855.00,10773784844,1371613,178,D,7636.00,7865.00
Qazvin.Glass,20210913,7600.00,7771.00,7331.00,7636.00,26487290546,3468540,466,D,7545.00,7720.00
Qazvin.Glass,20210912,7531.00,7749.00,7522.00,7545.00,20536581862,2721753,299,D,7754.00,7570.00
Qazvin.Glass,20210911,7665.00,8024.00,7631.00,7754.00,24817810695,3200758,371,D,7867.00,7631.00
Qazvin.Glass,20210908,7866.00,8112.00,7842.00,7867.00,26025409949,3308076,589,D,8084.00,7842.00
Qazvin.Glass,20210907,8150.00,8388.00,8030.00,8084.00,26429454825,3269446,433,D,8259.00,8054.00
Qazvin.Glass,20210906,8600.00,8600.00,8186.00,8259.00,40095129649,4854889,603,D,8439.00,8187.00
Qazvin.Glass,20210905,8332.00,8590.00,8332.00,8439.00,22332604747,2646224,397,D,8454.00,8402.00
Qazvin.Glass,20210904,8270.00,8599.00,8270.00,8454.00,23760796531,2810701,402,D,8411.00,8510.00
Qazvin.Glass,20210901,8150.00,8633.00,8150.00,8411.00,16331157159,1941593,333,D,8383.00,8490.00
Qazvin.Glass,20210831,8343.00,8601.00,8343.00,8383.00,18187391886,2169594,312,D,8601.00,8410.00
Qazvin.Glass,20210830,8600.00,8840.00,8600.00,8601.00,46117261194,5361956,329,D,8865.00,8600.00
Qazvin.Glass,20210829,9040.00,9200.00,8685.00,8865.00,21288169225,2401423,491,D,8953.00,8685.00
Qazvin.Glass,20210828,8970.00,8974.00,8718.00,8953.00,33309936753,3720551,469,D,8713.00,8974.00
Qazvin.Glass,20210825,8713.00,8713.00,8533.00,8713.00,18516658960,2125270,205,D,8460.00,8713.00
Qazvin.Glass,20210824,8363.00,8532.00,8116.00,8460.00,15243965311,1801857,206,D,8284.00,8532.00
Qazvin.Glass,20210823,8150.00,8449.00,8080.00,8284.00,23792886152,2872293,454,D,8319.00,8410.00
Qazvin.Glass,20210822,8305.00,8550.00,8291.00,8319.00,35717831187,4293641,658,D,8547.00,8370.00
Qazvin.Glass,20210815,8576.00,8680.00,8430.00,8547.00,18925620023,2214207,491,D,8465.00,8581.00
Qazvin.Glass,20210814,8400.00,8576.00,8173.00,8465.00,19193662973,2267380,591,D,8168.00,8575.00
Qazvin.Glass,20210811,8180.00,8180.00,7960.00,8168.00,16994615405,2080670,420,D,7942.00,8180.00
Qazvin.Glass,20210810,7730.00,8023.00,7710.00,7942.00,27754306056,3494609,428,D,7790.00,8023.00
Qazvin.Glass,20210809,7600.00,7833.00,7452.00,7790.00,17053685469,2189246,286,D,7605.00,7833.00
Qazvin.Glass,20210808,7352.00,7760.00,7352.00,7605.00,13374965317,1758803,261,D,7573.00,7619.00
Qazvin.Glass,20210807,7300.00,7726.00,7300.00,7573.00,12828882085,1693957,231,D,7501.00,7599.00
Qazvin.Glass,20210804,7600.00,7727.00,7380.00,7501.00,29970774313,3995632,445,D,7578.00,7660.00
Qazvin.Glass,20210803,7420.00,7690.00,7420.00,7578.00,8828019503,1165498,246,D,7601.00,7618.00
Qazvin.Glass,20210802,7820.00,7820.00,7397.00,7601.00,12554614958,1651621,233,D,7610.00,7610.00
Qazvin.Glass,20210801,7914.00,7914.00,7512.00,7610.00,22275093725,2927188,500,D,7684.00,7629.00
Qazvin.Glass,20210731,7335.00,7753.00,7313.00,7684.00,24411182279,3176960,277,D,7528.00,7753.00
Qazvin.Glass,20210728,7275.00,7689.00,7275.00,7528.00,16303777741,2165671,266,D,7489.00,7600.00
Qazvin.Glass,20210727,7320.00,7599.00,7320.00,7489.00,15750966400,2103325,299,D,7544.00,7450.00
Qazvin.Glass,20210726,7746.00,7800.00,7496.00,7544.00,34033086968,4511125,453,D,7727.00,7500.00
Qazvin.Glass,20210719,7761.00,7880.00,7560.00,7727.00,13718580489,1775295,338,D,7746.00,7817.00
Qazvin.Glass,20210718,7610.00,7748.00,7523.00,7746.00,43327048099,5593732,482,D,7523.00,7748.00
Qazvin.Glass,20210717,7350.00,7650.00,7306.00,7523.00,18055538738,2400076,398,D,7524.00,7602.00
Qazvin.Glass,20210714,7797.00,7797.00,7491.00,7524.00,28584065356,3798837,682,D,7722.00,7550.00
Qazvin.Glass,20210713,8020.00,8020.00,7400.00,7722.00,48202654570,6242551,949,D,7676.00,7599.00
Qazvin.Glass,20210712,7683.00,7683.00,7500.00,7676.00,48140758802,6271881,764,D,7460.00,7683.00
Qazvin.Glass,20210711,7525.00,7525.00,7525.00,7460.00,7271437600,966304,93,D,7306.00,7525.00
Qazvin.Glass,20210710,7228.00,7497.00,7070.00,7306.00,22047176396,3017560,456,D,7279.00,7497.00
Qazvin.Glass,20210707,7330.00,7330.00,7159.00,7279.00,42560595085,5847379,752,D,7117.00,7275.00
Qazvin.Glass,20210706,7192.00,7192.00,7192.00,7117.00,6636777600,922800,93,D,6983.00,7192.00
Qazvin.Glass,20210705,6983.00,6983.00,6983.00,6983.00,10174335745,1457015,156,D,6780.00,6983.00
Qazvin.Glass,20210704,6722.00,6995.00,6722.00,6780.00,23741510051,3501953,339,D,6929.00,6960.00
Qazvin.Glass,20210703,7158.00,7158.00,6742.00,6929.00,16261122633,2346693,303,D,6950.00,6742.00
Qazvin.Glass,20210630,6950.00,6950.00,6950.00,6950.00,11796950850,1697403,167,D,6748.00,6950.00
Qazvin.Glass,20210629,6680.00,6794.00,6501.00,6748.00,10170966063,1504101,167,D,6597.00,6794.00
Qazvin.Glass,20210628,6450.00,6732.00,6131.00,6597.00,53987013090,8183759,991,D,6412.00,6650.00
Qazvin.Glass,20210627,6415.00,6415.00,6212.00,6412.00,36908236170,5756201,458,D,6229.00,6415.00
Qazvin.Glass,20210626,6270.00,6270.00,6270.00,6229.00,7960354380,1269594,142,D,6088.00,6270.00
Qazvin.Glass,20210623,5900.00,6152.00,5900.00,6088.00,41162359191,6760973,720,D,5973.00,6152.00
Qazvin.Glass,20210622,5880.00,6242.00,5880.00,5973.00,108142138439,18106551,1940,D,6061.00,5948.00
Qazvin.Glass,20210621,6089.00,6260.00,5907.00,6061.00,34891553382,5757077,528,D,10147.00,5907.00
Qazvin.Glass,20210530,9846.00,9846.00,9846.00,10147.00,82982088,8428,7,D,10150.00,9846.00
Qazvin.Glass,20210529,9853.00,9853.00,9853.00,10150.00,215524522,21874,23,D,10157.00,9853.00
Qazvin.Glass,20210526,9651.00,9651.00,9651.00,10157.00,23712507,2457,2,D,10158.00,9651.00
