<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tamin.Javanan,20210921,8238.00,8240.00,7777.00,7810.00,10935140455,1400057,170,D,8017.00,7949.00
Tamin.Javanan,20210920,7718.00,8194.00,7718.00,8017.00,32976362627,4113456,667,D,7956.00,8070.00
Tamin.Javanan,20210919,7731.00,7731.00,7731.00,7956.00,580242474,75054,18,D,7970.00,7731.00
Tamin.Javanan,20210918,7738.00,7738.00,7738.00,7970.00,267850870,34615,17,D,7977.00,7738.00
Tamin.Javanan,20210915,7848.00,7848.00,7848.00,7977.00,4352626368,554616,69,D,8090.00,7848.00
Tamin.Javanan,20210914,8090.00,8240.00,8090.00,8090.00,18145479762,2242836,331,D,8340.00,8090.00
Tamin.Javanan,20210913,8380.00,8380.00,8123.00,8340.00,1397156016,171646,54,D,8374.00,8123.00
Tamin.Javanan,20210912,8718.00,8722.00,8214.00,8374.00,11088472375,1324079,451,D,8468.00,8214.00
Tamin.Javanan,20210911,8329.00,8649.00,8329.00,8468.00,12217296567,1442711,358,D,8429.00,8620.00
Tamin.Javanan,20210908,8410.00,8700.00,8328.00,8429.00,16657002555,1976049,516,D,8585.00,8328.00
Tamin.Javanan,20210907,8500.00,8800.00,8424.00,8585.00,15057256408,1753821,369,D,8683.00,8597.00
Tamin.Javanan,20210906,8979.00,8980.00,8649.00,8683.00,20851173965,2401486,545,D,8916.00,8655.00
Tamin.Javanan,20210905,9110.00,9110.00,8780.00,8916.00,23123644865,2593623,510,D,8897.00,8960.00
Tamin.Javanan,20210904,8800.00,9070.00,8800.00,8897.00,13279420530,1492650,534,D,8866.00,8830.00
Tamin.Javanan,20210901,8822.00,9239.00,8822.00,8866.00,16566669696,1868617,328,D,9094.00,8900.00
Tamin.Javanan,20210831,8888.00,8888.00,8888.00,9094.00,2465717848,277421,78,D,9162.00,8888.00
Tamin.Javanan,20210830,9540.00,9540.00,9005.00,9162.00,5528932774,610139,187,D,9283.00,9005.00
Tamin.Javanan,20210829,9210.00,9370.00,8930.00,9283.00,21472487531,2313193,381,D,9098.00,9113.00
Tamin.Javanan,20210828,9200.00,9200.00,8900.00,9098.00,23693612123,2604269,428,D,8985.00,9169.00
Tamin.Javanan,20210825,9199.00,9220.00,8830.00,8985.00,8962969373,998623,293,D,9070.00,8940.00
Tamin.Javanan,20210824,9089.00,9131.00,8883.00,9070.00,16863076573,1859232,386,D,8866.00,9100.00
Tamin.Javanan,20210823,8760.00,9010.00,8752.00,8866.00,8285355791,937592,261,D,9021.00,8890.00
Tamin.Javanan,20210822,8780.00,9207.00,8733.00,9021.00,16168917572,1792289,428,D,9003.00,8760.00
Tamin.Javanan,20210815,8712.00,9240.00,8712.00,9003.00,5801068187,643253,210,D,8981.00,8801.00
Tamin.Javanan,20210814,9221.00,9221.00,8945.00,8981.00,10735791084,1195348,326,D,9221.00,9135.00
Tamin.Javanan,20210811,9240.00,9240.00,8761.00,9221.00,15868192925,1720897,519,D,8971.00,9205.00
Tamin.Javanan,20210810,9019.00,9019.00,8550.00,8971.00,13611903304,1517293,264,D,8757.00,9019.00
Tamin.Javanan,20210809,8440.00,8860.00,8440.00,8757.00,9082627294,1036027,224,D,8602.00,8860.00
Tamin.Javanan,20210808,8970.00,8970.00,8555.00,8602.00,16770665864,1949675,402,D,8819.00,8676.00
Tamin.Javanan,20210807,9100.00,9100.00,8789.00,8819.00,12901243850,1462852,309,D,9060.00,8789.00
Tamin.Javanan,20210804,9059.00,9570.00,9059.00,9060.00,13050152665,1440480,154,D,9339.00,9059.00
Tamin.Javanan,20210803,9300.00,9670.00,9297.00,9339.00,10551338355,1129817,226,D,9584.00,9297.00
Tamin.Javanan,20210802,9550.00,9960.00,9511.00,9584.00,11014299680,1149201,268,D,9805.00,9511.00
Tamin.Javanan,20210801,10161.00,10259.00,9719.00,9805.00,7435328059,763896,219,D,10019.00,9719.00
Tamin.Javanan,20210731,10506.00,10506.00,9932.00,10019.00,14565289929,1453742,364,D,10239.00,10160.00
Tamin.Javanan,20210728,9809.00,10398.00,9808.00,10239.00,13285480069,1297543,422,D,10104.00,10360.00
Tamin.Javanan,20210727,10118.00,10118.00,9845.00,10104.00,52175000098,5163932,734,D,9824.00,9890.00
Tamin.Javanan,20210726,9800.00,9844.00,9510.00,9824.00,27534770492,2802722,537,D,9558.00,9844.00
Tamin.Javanan,20210719,9511.00,9775.00,9511.00,9558.00,59793786651,6255792,1316,D,9805.00,9650.00
Tamin.Javanan,20210718,9805.00,9805.00,9805.00,9805.00,17253368250,1759650,380,D,10108.00,9805.00
Tamin.Javanan,20210717,10108.00,10108.00,10108.00,10108.00,12568913896,1243462,397,D,10420.00,10108.00
Tamin.Javanan,20210714,9912.00,9912.00,9912.00,10420.00,245599536,24778,7,D,10433.00,9912.00
Tamin.Javanan,20210713,10121.00,10121.00,10121.00,10433.00,15181500,1500,1,D,10433.00,10121.00
Tamin.Javanan,20210712,10124.00,10124.00,10124.00,10433.00,131612000,13000,2,D,10437.00,10124.00
Tamin.Javanan,20210711,10133.00,10133.00,10133.00,10437.00,308103998,30406,4,D,10446.00,10133.00
Tamin.Javanan,20210710,9926.00,9926.00,9926.00,10446.00,42681800,4300,3,D,10448.00,9926.00
Tamin.Javanan,20210707,10137.00,10137.00,10137.00,10448.00,50685000,5000,3,D,10450.00,10137.00
Tamin.Javanan,20210706,10139.00,10139.00,10139.00,10450.00,68945200,6800,2,D,10452.00,10139.00
