<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shoko.pars.Co.,20210920,29290.00,29582.00,28721.00,29409.00,86436247462,2939148,1266,D,28721.00,29582.00
Shoko.pars.Co.,20210919,28730.00,28730.00,28016.00,28721.00,66650588962,2320618,483,D,27894.00,28730.00
Shoko.pars.Co.,20210918,27901.00,27901.00,27350.00,27894.00,42923170054,1538797,404,D,27089.00,27901.00
Shoko.pars.Co.,20210915,25881.00,27348.00,25880.00,27089.00,15018390794,554412,385,D,26552.00,27348.00
Shoko.pars.Co.,20210914,27000.00,27499.00,26399.00,26552.00,23432567378,882501,723,D,27215.00,26690.00
Shoko.pars.Co.,20210913,28290.00,28290.00,26763.00,27215.00,23832504713,875711,673,D,27590.00,27279.00
Shoko.pars.Co.,20210912,29118.00,29118.00,27467.00,27590.00,24067852567,872336,448,D,28316.00,27600.00
Shoko.pars.Co.,20210911,28111.00,28900.00,27401.00,28316.00,32285909805,1140186,688,D,28067.00,28290.00
Shoko.pars.Co.,20210908,27769.00,28853.00,27769.00,28067.00,87582704132,3120460,1390,D,29230.00,27769.00
Shoko.pars.Co.,20210907,28635.00,28635.00,28635.00,29230.00,3009939390,105114,46,D,29520.00,28635.00
Shoko.pars.Co.,20210906,29500.00,30373.00,29487.00,29520.00,16165748727,547619,279,D,30398.00,29487.00
Shoko.pars.Co.,20210905,31229.00,31229.00,30374.00,30398.00,25027146590,823321,464,D,31313.00,30374.00
Shoko.pars.Co.,20210904,31200.00,32089.00,30700.00,31313.00,35492029212,1133457,775,D,31156.00,31240.00
Shoko.pars.Co.,20210901,31094.00,31720.00,31094.00,31156.00,54323709734,1743604,480,D,32730.00,31094.00
Shoko.pars.Co.,20210831,31996.00,31996.00,31996.00,32730.00,2446702124,76469,67,D,32985.00,31996.00
Shoko.pars.Co.,20210830,32074.00,32074.00,32074.00,32985.00,773207918,24107,28,D,33065.00,32074.00
Shoko.pars.Co.,20210829,33599.00,33720.00,31756.00,33065.00,60900855231,1841834,575,D,32738.00,31756.00
Shoko.pars.Co.,20210828,33677.00,34000.00,32667.00,32738.00,48169887769,1471393,1142,D,33677.00,32950.00
Shoko.pars.Co.,20210825,33653.00,34693.00,33653.00,33677.00,32132240556,954124,636,D,34693.00,33653.00
Shoko.pars.Co.,20210824,35576.00,35576.00,33504.00,34693.00,29565256292,852196,702,D,34540.00,34000.00
Shoko.pars.Co.,20210823,34591.00,34591.00,33587.00,34540.00,23027955831,666707,325,D,33584.00,34591.00
Shoko.pars.Co.,20210822,33400.00,33622.00,33394.00,33584.00,26662816245,793906,353,D,32643.00,33622.00
Shoko.pars.Co.,20210815,32621.00,33377.00,32621.00,32643.00,27849183641,853150,428,D,33629.00,32621.00
Shoko.pars.Co.,20210814,33597.00,34600.00,32590.00,33629.00,13335266032,396544,263,D,33597.00,32590.00
Shoko.pars.Co.,20210811,33247.00,33787.00,32703.00,33597.00,22780383270,678043,450,D,32803.00,33000.00
Shoko.pars.Co.,20210810,32759.00,32827.00,32595.00,32803.00,24488370799,746536,364,D,31871.00,32827.00
Shoko.pars.Co.,20210809,32000.00,32644.00,30744.00,31871.00,41501447642,1302158,726,D,31694.00,32380.00
Shoko.pars.Co.,20210808,31700.00,32000.00,31392.00,31694.00,15231388826,480580,365,D,31387.00,31764.00
Shoko.pars.Co.,20210807,29720.00,31535.00,29720.00,31387.00,29426304191,937517,579,D,30617.00,31535.00
Shoko.pars.Co.,20210804,30510.00,31320.00,30510.00,30617.00,43253960610,1412762,642,D,32115.00,30750.00
Shoko.pars.Co.,20210803,31188.00,31188.00,31188.00,32115.00,372852540,11955,17,D,32152.00,31188.00
Shoko.pars.Co.,20210802,31311.00,32290.00,31311.00,32152.00,1290639791,41213,41,D,32279.00,31311.00
Shoko.pars.Co.,20210801,32866.00,32999.00,31568.00,32279.00,16787392322,520078,348,D,32544.00,31568.00
Shoko.pars.Co.,20210731,33094.00,33094.00,31168.00,32544.00,27898697567,857267,602,D,32131.00,32494.00
Shoko.pars.Co.,20210728,32136.00,32136.00,31220.00,32131.00,23849621421,742264,296,D,31200.00,32136.00
Shoko.pars.Co.,20210727,31200.00,31200.00,31200.00,31200.00,12010252800,384944,147,D,30292.00,31200.00
Shoko.pars.Co.,20210719,31670.00,31676.00,28660.00,30292.00,55143308642,1820376,855,D,30168.00,31300.00
Shoko.pars.Co.,20210718,29442.00,30292.00,29442.00,30168.00,16213213033,537422,345,D,29410.00,30292.00
Shoko.pars.Co.,20210717,28685.00,29442.00,28685.00,29410.00,19337918997,657536,370,D,28585.00,29442.00
Shoko.pars.Co.,20210714,28100.00,28876.00,28000.00,28585.00,18076968032,632388,388,D,28035.00,28876.00
Shoko.pars.Co.,20210713,28749.00,28749.00,27143.00,28035.00,25697346499,916632,646,D,27982.00,28619.00
Shoko.pars.Co.,20210712,28162.00,28162.00,27344.00,27982.00,17129091500,612148,433,D,27342.00,28162.00
Shoko.pars.Co.,20210711,27361.00,27361.00,26895.00,27342.00,33498643107,1225158,421,D,26059.00,27361.00
Shoko.pars.Co.,20210710,26662.00,26665.00,26410.00,26059.00,2411862643,90632,97,D,25889.00,26665.00
Shoko.pars.Co.,20210707,25688.00,25988.00,25232.00,25889.00,11978798427,462706,318,D,25232.00,25988.00
Shoko.pars.Co.,20210706,24556.00,25291.00,24002.00,25232.00,19836830658,786169,474,D,24555.00,25291.00
Shoko.pars.Co.,20210705,23973.00,24691.00,23972.00,24555.00,13193354829,537293,377,D,23972.00,24691.00
Shoko.pars.Co.,20210704,24778.00,24778.00,23410.00,23972.00,14217691374,593097,318,D,24112.00,24200.00
Shoko.pars.Co.,20210703,23950.00,24335.00,23220.00,24112.00,22223806941,921681,632,D,23627.00,24335.00
Shoko.pars.Co.,20210630,23466.00,24479.00,23275.00,23627.00,8824628578,374084,347,D,23991.00,23947.00
Shoko.pars.Co.,20210629,24800.00,24800.00,23463.00,23991.00,11730158478,488948,445,D,24187.00,24186.00
Shoko.pars.Co.,20210628,23650.00,24986.00,23650.00,24187.00,11854834131,490142,333,D,24336.00,24390.00
Shoko.pars.Co.,20210627,24201.00,24950.00,24194.00,24336.00,20910918603,859245,499,D,24942.00,24621.00
Shoko.pars.Co.,20210626,24985.00,24985.00,23580.00,24942.00,23695695998,950032,379,D,24258.00,24650.00
Shoko.pars.Co.,20210623,24275.00,24276.00,23670.00,24258.00,11358131639,468213,271,D,23569.00,24276.00
Shoko.pars.Co.,20210622,23200.00,23884.00,23200.00,23569.00,22952116676,973819,527,D,23189.00,23884.00
Shoko.pars.Co.,20210621,24180.00,24180.00,22772.00,23189.00,15603238204,672883,395,D,23476.00,23080.00
Shoko.pars.Co.,20210620,23432.00,24000.00,23432.00,23476.00,30753496811,1309996,467,D,24665.00,23980.00
Shoko.pars.Co.,20210619,24068.00,24461.00,24068.00,24665.00,3215811290,131989,50,D,24812.00,24068.00
Shoko.pars.Co.,20210616,24450.00,25090.00,24440.00,24812.00,4891796270,200130,119,D,25195.00,24440.00
Shoko.pars.Co.,20210615,24729.00,25800.00,24728.00,25195.00,25889494755,1027545,265,D,25492.00,24728.00
Shoko.pars.Co.,20210614,25701.00,26000.00,24849.00,25492.00,38422198773,1507236,419,D,25617.00,24859.00
Shoko.pars.Co.,20210613,25500.00,26251.00,25000.00,25617.00,16338397590,637793,229,D,25463.00,25550.00
Shoko.pars.Co.,20210607,25967.00,25967.00,24455.00,25463.00,62845780899,2468153,669,D,25211.00,25200.00
Shoko.pars.Co.,20210602,25095.00,25334.00,24610.00,25211.00,13687358406,542903,352,D,24597.00,25334.00
Shoko.pars.Co.,20210601,24596.00,25333.00,24596.00,24597.00,37347503724,1518396,425,D,25356.00,24596.00
Shoko.pars.Co.,20210531,25482.00,26150.00,24711.00,25356.00,47693512729,1880973,822,D,25475.00,24711.00
Shoko.pars.Co.,20210530,25431.00,26060.00,25431.00,25475.00,154621395898,6069559,1700,D,26769.00,25431.00
Shoko.pars.Co.,20210529,26769.00,26769.00,26769.00,26769.00,20340504957,759853,152,D,27596.00,26769.00
Shoko.pars.Co.,20210526,27596.00,27596.00,27596.00,27596.00,19552621476,708531,40,D,28449.00,27596.00
Shoko.pars.Co.,20210525,27598.00,27598.00,27598.00,28449.00,24810602,899,4,D,28451.00,27598.00
