<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shirin.Sugar,20210921,17080.00,18128.00,17075.00,18066.00,172340683649,9539562,892,D,17600.00,18128.00
Shirin.Sugar,20210915,17627.00,17627.00,16705.00,17600.00,123858016634,7037388,821,D,17114.00,17627.00
Shirin.Sugar,20210914,16600.00,17144.00,16550.00,17114.00,94363194179,5513888,859,D,16645.00,17144.00
Shirin.Sugar,20210913,16640.00,17140.00,16637.00,16645.00,123563085936,7423341,793,D,17151.00,16637.00
Shirin.Sugar,20210912,17760.00,17760.00,17142.00,17151.00,20121150007,1173193,295,D,17672.00,17142.00
Shirin.Sugar,20210911,18310.00,18940.00,17390.00,17672.00,150738195416,8529958,1421,D,18305.00,17390.00
Shirin.Sugar,20210908,18200.00,19170.00,18128.00,18305.00,103518098499,5655321,1233,D,18688.00,18128.00
Shirin.Sugar,20210907,18668.00,19219.00,18668.00,18688.00,124459814714,6659951,1161,D,19245.00,18668.00
Shirin.Sugar,20210906,19260.00,19551.00,19234.00,19245.00,162129906316,8424638,904,D,19828.00,19234.00
Shirin.Sugar,20210905,20500.00,20600.00,19502.00,19828.00,163116665772,8226443,1901,D,20528.00,19590.00
Shirin.Sugar,20210904,20528.00,20528.00,20528.00,20528.00,184495461584,8987503,597,D,19931.00,20528.00
Shirin.Sugar,20210901,19949.00,19949.00,19470.00,19931.00,222016470349,11139086,805,D,19368.00,19949.00
Shirin.Sugar,20210831,18390.00,19470.00,18336.00,19368.00,258890371246,13367239,1539,D,18903.00,19470.00
Shirin.Sugar,20210830,18827.00,19938.00,18827.00,18903.00,252863108046,13376749,908,D,19409.00,18829.00
Shirin.Sugar,20210815,19448.00,19919.00,18759.00,19409.00,247262644141,12739452,2410,D,19339.00,18759.00
Shirin.Sugar,20210814,19318.00,19834.00,19318.00,19339.00,423900828353,21919925,2202,D,19915.00,19499.00
Shirin.Sugar,20210811,20440.00,20446.00,19834.00,19915.00,105958964272,5320438,792,D,20447.00,19834.00
Shirin.Sugar,20210810,20268.00,21487.00,20268.00,20447.00,644037652967,31498176,4699,D,20894.00,20269.00
Shirin.Sugar,20210809,21035.00,21035.00,19033.00,20894.00,620931626619,29717854,2894,D,20034.00,20031.00
Shirin.Sugar,20210808,20034.00,20034.00,20034.00,20034.00,60841575144,3036916,189,D,19451.00,20034.00
Shirin.Sugar,20210807,19451.00,19451.00,19451.00,19451.00,19262714320,990320,160,D,18885.00,19451.00
Shirin.Sugar,20210804,18885.00,18885.00,18885.00,18885.00,22495169910,1191166,126,D,18335.00,18885.00
Shirin.Sugar,20210803,18335.00,18335.00,18335.00,18335.00,20584301130,1122678,156,D,17801.00,18335.00
Shirin.Sugar,20210802,17533.00,18046.00,16996.00,17801.00,223388979071,12549356,1667,D,17521.00,18046.00
Shirin.Sugar,20210801,17533.00,17533.00,17030.00,17521.00,163697830823,9343059,808,D,17023.00,17533.00
Shirin.Sugar,20210731,17023.00,17023.00,17023.00,17023.00,13370562143,785441,142,D,16528.00,17023.00
Shirin.Sugar,20210728,16528.00,16528.00,16528.00,16528.00,11104237632,671844,63,D,16047.00,16528.00
Shirin.Sugar,20210726,16000.00,16062.00,15530.00,16047.00,241460035142,15047417,1022,D,15595.00,16062.00
Shirin.Sugar,20210719,15605.00,15605.00,15300.00,15595.00,447658873715,28706100,2207,D,15151.00,15604.00
Shirin.Sugar,20210718,15182.00,15182.00,14797.00,15151.00,137256257948,9059137,507,D,14740.00,15182.00
Shirin.Sugar,20210717,14740.00,14740.00,14740.00,14740.00,12164022860,825239,125,D,14039.00,14740.00
Shirin.Sugar,20210714,14171.00,14171.00,14171.00,14039.00,7848268246,553826,129,D,13759.00,14171.00
Shirin.Sugar,20210713,13759.00,13759.00,13759.00,13759.00,11276105896,819544,138,D,13359.00,13759.00
Shirin.Sugar,20210712,13360.00,13360.00,13350.00,13359.00,46537911820,3483677,292,D,12971.00,13360.00
Shirin.Sugar,20210711,12798.00,12990.00,12718.00,12971.00,23374280109,1801976,395,D,12612.00,12990.00
Shirin.Sugar,20210710,12624.00,12624.00,12360.00,12612.00,83251623962,6600924,679,D,12257.00,12624.00
Shirin.Sugar,20210707,12130.00,12829.00,12052.00,12257.00,32254210752,2631465,715,D,12647.00,12250.00
Shirin.Sugar,20210706,12634.00,12950.00,12634.00,12647.00,64036116228,5063504,765,D,13024.00,12634.00
Shirin.Sugar,20210705,12930.00,13290.00,12914.00,13024.00,8821993926,678750,205,D,13313.00,12914.00
Shirin.Sugar,20210704,13340.00,13350.00,13311.00,13313.00,16034279240,1204388,277,D,13722.00,13311.00
Shirin.Sugar,20210703,13880.00,13880.00,13400.00,13722.00,21702906698,1581639,484,D,13476.00,13401.00
Shirin.Sugar,20210630,13316.00,13990.00,13230.00,13476.00,27375166465,2031390,506,D,13632.00,13910.00
Shirin.Sugar,20210629,13632.00,13632.00,13630.00,13632.00,39198803384,2875501,302,D,13235.00,13632.00
Shirin.Sugar,20210628,13235.00,13235.00,13232.00,13235.00,67719510517,5116706,201,D,12850.00,13235.00
Shirin.Sugar,20210623,13013.00,13200.00,12835.00,12850.00,29190958529,2271587,477,D,13231.00,12835.00
Shirin.Sugar,20210622,13220.00,13596.00,12921.00,13231.00,13103135856,990308,367,D,13200.00,13050.00
Shirin.Sugar,20210621,13105.00,13700.00,13105.00,13200.00,27945029552,2116992,479,D,13510.00,13181.00
Shirin.Sugar,20210620,13622.00,13890.00,13484.00,13510.00,33818608670,2503165,203,D,13901.00,13484.00
Shirin.Sugar,20210619,14380.00,14380.00,13558.00,13901.00,27807319392,2000362,426,D,13977.00,13751.00
Shirin.Sugar,20210616,13865.00,13978.00,13865.00,13977.00,17109141855,1224053,197,D,13571.00,13978.00
Shirin.Sugar,20210614,13325.00,14089.00,13325.00,13571.00,54337744827,4004076,919,D,13737.00,13730.00
Shirin.Sugar,20210613,14289.00,14289.00,12929.00,13737.00,86462300647,6294019,1335,D,13609.00,13112.00
Shirin.Sugar,20210612,13609.00,13609.00,13609.00,13609.00,10719401030,787670,89,D,13213.00,13609.00
