<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Touse.Omran.Naeen,20210921,3909.00,3909.00,3909.00,3797.00,102341529,26181,1,D,3796.00,3909.00
Touse.Omran.Naeen,20210920,3980.00,3980.00,3980.00,3796.00,277752260,69787,5,D,3791.00,3980.00
Touse.Omran.Naeen,20210919,3904.00,3904.00,3904.00,3791.00,25551680,6545,1,D,3791.00,3904.00
Touse.Omran.Naeen,20210918,3904.00,3904.00,3904.00,3791.00,30693248,7862,2,D,3791.00,3904.00
Touse.Omran.Naeen,20210915,3901.00,3901.00,3901.00,3791.00,277279179,71079,5,D,3788.00,3901.00
Touse.Omran.Naeen,20210712,32434.00,32434.00,32434.00,30992.00,693795694,21391,9,D,30890.00,32434.00
Touse.Omran.Naeen,20210711,31815.00,31815.00,31815.00,30890.00,8112825,255,1,D,30889.00,31815.00
Touse.Omran.Naeen,20210710,31812.00,31812.00,31812.00,30889.00,32702736,1028,1,D,30886.00,31812.00
Touse.Omran.Naeen,20210707,31811.00,31811.00,31811.00,30886.00,6362200,200,2,D,30885.00,31811.00
Touse.Omran.Naeen,20210706,31770.00,31770.00,31770.00,30885.00,4357509660,137158,15,D,30258.00,31770.00
Touse.Omran.Naeen,20210705,31163.00,31163.00,31163.00,30258.00,22780153,731,1,D,30256.00,31163.00
Touse.Omran.Naeen,20210630,31035.00,31035.00,31035.00,30256.00,4969262130,160118,18,D,29558.00,31035.00
Touse.Omran.Naeen,20210629,30427.00,30427.00,30427.00,29558.00,200909481,6603,3,D,29541.00,30427.00
Touse.Omran.Naeen,20210628,30421.00,30421.00,30421.00,29541.00,69968300,2300,2,D,29535.00,30421.00
Touse.Omran.Naeen,20210627,30398.00,30398.00,30398.00,29535.00,257075886,8457,4,D,29513.00,30398.00
Touse.Omran.Naeen,20210626,30978.00,30978.00,30978.00,29513.00,67872798,2191,7,D,29503.00,30978.00
Touse.Omran.Naeen,20210623,30319.00,30319.00,30319.00,29503.00,791386538,26102,6,D,29436.00,30319.00
Touse.Omran.Naeen,20210622,30175.00,30175.00,30175.00,29436.00,1650572500,54700,5,D,29297.00,30175.00
Touse.Omran.Naeen,20210621,30156.00,30156.00,30156.00,29297.00,227104836,7531,3,D,29278.00,30156.00
Touse.Omran.Naeen,20210620,30429.00,30429.00,30429.00,29278.00,2158754976,70944,9,D,28980.00,30429.00
Touse.Omran.Naeen,20210619,29844.00,29844.00,29844.00,28980.00,60523632,2028,2,D,28975.00,29844.00
