<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Merat.Poolad,20210921,26026.00,26690.00,25922.00,26324.00,7533099738,287953,179,D,26723.00,25922.00
Merat.Poolad,20210920,26301.00,26924.00,25590.00,26723.00,46951574307,1756997,819,D,26140.00,26400.00
Merat.Poolad,20210919,26147.00,26147.00,25416.00,26140.00,33912405735,1297348,501,D,25386.00,26147.00
Merat.Poolad,20210918,25413.00,25413.00,24674.00,25386.00,15437058564,608091,275,D,24673.00,25413.00
Merat.Poolad,20210915,24369.00,24726.00,23360.00,24673.00,33832169483,1371238,585,D,24006.00,24726.00
Merat.Poolad,20210914,23850.00,24799.00,23842.00,24006.00,33510733456,1395935,610,D,24579.00,24420.00
Merat.Poolad,20210913,25501.00,25501.00,24017.00,24579.00,41535728731,1689901,832,D,24759.00,24017.00
Merat.Poolad,20210912,24630.00,24909.00,23700.00,24759.00,36349164980,1468110,489,D,24184.00,24909.00
Merat.Poolad,20210911,24101.00,24188.00,23703.00,24184.00,42412116524,1753693,508,D,23484.00,24188.00
Merat.Poolad,20210908,23350.00,24253.00,23265.00,23484.00,22066097742,939629,618,D,23984.00,24107.00
Merat.Poolad,20210907,24199.00,24470.00,23669.00,23984.00,11967180305,498973,391,D,24400.00,23710.00
Merat.Poolad,20210906,24470.00,24470.00,23047.00,24400.00,53097736921,2176132,668,D,23758.00,24390.00
Merat.Poolad,20210905,23102.00,24072.00,23102.00,23758.00,16857773591,709570,202,D,23371.00,24072.00
Merat.Poolad,20210904,23778.00,23778.00,23000.00,23371.00,19708523667,843277,558,D,22997.00,23101.00
Merat.Poolad,20210901,23492.00,23820.00,22864.00,22997.00,31156795515,1354825,770,D,23571.00,22864.00
Merat.Poolad,20210831,23493.00,24190.00,23493.00,23571.00,18750474787,795493,462,D,24219.00,23493.00
Merat.Poolad,20210830,24215.00,24700.00,24197.00,24219.00,10905772197,450295,298,D,24945.00,24197.00
Merat.Poolad,20210829,25230.00,25230.00,24003.00,24945.00,91643311922,3673862,1460,D,24496.00,24420.00
Merat.Poolad,20210828,24030.00,24688.00,24030.00,24496.00,99124272338,4046572,698,D,23969.00,24688.00
Merat.Poolad,20210825,23969.00,23969.00,23969.00,23969.00,9743182779,406491,72,D,24710.00,23969.00
Merat.Poolad,20210824,23654.00,23654.00,23654.00,24710.00,1432226046,60549,34,D,24898.00,23654.00
Merat.Poolad,20210823,24154.00,24154.00,24154.00,24898.00,42027960,1740,3,D,24901.00,24154.00
Merat.Poolad,20210822,24159.00,24159.00,24159.00,24901.00,64117986,2654,5,D,24906.00,24159.00
Merat.Poolad,20210815,24171.00,24171.00,24171.00,24906.00,161051373,6663,7,D,24918.00,24171.00
Merat.Poolad,20210814,23700.00,23700.00,23700.00,24918.00,218893200,9236,12,D,24947.00,23700.00
Merat.Poolad,20210811,24244.00,24244.00,24244.00,24947.00,442598464,18256,8,D,24993.00,24244.00
Merat.Poolad,20210810,24269.00,24269.00,24269.00,24993.00,247980642,10218,9,D,25019.00,24269.00
Merat.Poolad,20210809,24314.00,24314.00,24314.00,25019.00,437019836,17974,21,D,25065.00,24314.00
Merat.Poolad,20210808,25100.00,25853.00,24347.00,25065.00,54055090469,2156575,615,D,33976.00,24347.00
Merat.Poolad,20210713,33060.00,33060.00,33060.00,33976.00,1004197500,30375,10,D,34082.00,33060.00
Merat.Poolad,20210712,32439.00,32439.00,32439.00,34082.00,354882660,10940,9,D,34146.00,32439.00
Merat.Poolad,20210711,33218.00,33218.00,33218.00,34146.00,930402962,28009,5,D,34245.00,33218.00
Merat.Poolad,20210710,33222.00,33222.00,33222.00,34245.00,35946204,1082,4,D,34249.00,33222.00
Merat.Poolad,20210707,33227.00,33227.00,33227.00,34249.00,48345285,1455,5,D,34254.00,33227.00
Merat.Poolad,20210706,32548.00,32548.00,32548.00,34254.00,36095732,1109,4,D,34261.00,32548.00
Merat.Poolad,20210705,33239.00,33239.00,33239.00,34261.00,43509851,1309,5,D,34266.00,33239.00
Merat.Poolad,20210704,33239.00,33239.00,33239.00,34266.00,5052328,152,1,D,34267.00,33239.00
Merat.Poolad,20210703,33260.00,33260.00,33260.00,34267.00,193739500,5825,3,D,34288.00,33260.00
Merat.Poolad,20210630,32615.00,32615.00,32615.00,34288.00,236752285,7259,10,D,34331.00,32615.00
Merat.Poolad,20210627,33307.00,33307.00,33307.00,34331.00,60352284,1812,5,D,34337.00,33307.00
Merat.Poolad,20210615,33309.00,33309.00,33309.00,34337.00,16654500,500,1,D,34339.00,33309.00
Merat.Poolad,20210614,33311.00,33311.00,33311.00,34339.00,16655500,500,1,D,34341.00,33311.00
Merat.Poolad,20210612,33993.00,33993.00,33993.00,34341.00,6488515854,190878,12,D,35044.00,33993.00
Merat.Poolad,20210609,33994.00,33994.00,33994.00,35044.00,9518320,280,2,D,35045.00,33994.00
Merat.Poolad,20210608,33995.00,33995.00,33995.00,35045.00,5099250,150,1,D,35046.00,33995.00
Merat.Poolad,20210607,33296.00,33296.00,33296.00,35046.00,9988800,300,1,D,35048.00,33296.00
Merat.Poolad,20210530,33300.00,33300.00,33300.00,35048.00,23409900,703,3,D,35052.00,33300.00
Merat.Poolad,20210529,34004.00,34004.00,34004.00,35052.00,27475232,808,5,D,35055.00,34004.00
Merat.Poolad,20210518,33395.00,33395.00,33395.00,35055.00,522331195,15641,10,D,35152.00,33395.00
Merat.Poolad,20210516,34099.00,34099.00,34099.00,35152.00,5251246,154,1,D,35153.00,34099.00
Merat.Poolad,20210512,33748.00,33748.00,33748.00,35153.00,10968100,325,2,D,35154.00,33748.00
Merat.Poolad,20210511,34451.00,34451.00,34451.00,35154.00,10231947,297,2,D,35154.00,34451.00
Merat.Poolad,20210419,33750.00,33750.00,33750.00,35154.00,33750000,1000,1,D,35156.00,33750.00
Merat.Poolad,20210407,33752.00,33752.00,33752.00,35156.00,20521216,608,3,D,35158.00,33752.00
Merat.Poolad,20210403,33753.00,33753.00,33753.00,35158.00,10463430,310,2,D,35159.00,33753.00
Merat.Poolad,20210331,34698.00,34698.00,34698.00,35159.00,6612918330,190585,11,D,35406.00,34698.00
Merat.Poolad,20210330,34699.00,34699.00,34699.00,35406.00,33519234,966,2,D,35407.00,34699.00
Merat.Poolad,20210328,34699.00,34699.00,34699.00,35407.00,12144650,350,2,D,35407.00,34699.00
