<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Herbicides.Prod,20210920,101235.00,101235.00,101235.00,99253.00,7086450,70,2,D,99250.00,101235.00
Herbicides.Prod,20210919,103218.00,103218.00,103218.00,99250.00,1548270,15,1,D,99249.00,103218.00
Herbicides.Prod,20210915,101233.00,101233.00,101233.00,99249.00,101233,1,1,D,99249.00,101233.00
Herbicides.Prod,20210914,101213.00,101213.00,101213.00,99249.00,50606500,500,1,D,99229.00,101213.00
Herbicides.Prod,20210913,103121.00,103121.00,103121.00,99229.00,96830619,939,5,D,99155.00,103121.00
Herbicides.Prod,20210912,101136.00,101136.00,101136.00,99155.00,4551120,45,2,D,99153.00,101136.00
Herbicides.Prod,20210911,101020.00,101020.00,101020.00,99153.00,287907000,2850,3,D,99040.00,101020.00
Herbicides.Prod,20210908,101010.00,101010.00,101010.00,99040.00,26565630,263,3,D,99030.00,101010.00
Herbicides.Prod,20210907,102738.00,102738.00,102738.00,99030.00,315919350,3075,5,D,98787.00,102738.00
Herbicides.Prod,20210906,100742.00,100742.00,100742.00,98787.00,50371000,500,1,D,98767.00,100742.00
Herbicides.Prod,20210905,100698.00,100698.00,100698.00,98767.00,110667102,1099,3,D,98724.00,100698.00
Herbicides.Prod,20210904,100697.00,100697.00,100697.00,98724.00,2114637,21,1,D,98723.00,100697.00
Herbicides.Prod,20210901,102553.00,102553.00,102553.00,98723.00,147676320,1440,10,D,98609.00,102553.00
Herbicides.Prod,20210831,100539.00,100539.00,100539.00,98609.00,105465411,1049,4,D,98568.00,100539.00
Herbicides.Prod,20210830,100396.00,100396.00,100396.00,98568.00,357208968,3558,4,D,98428.00,100396.00
Herbicides.Prod,20210829,100309.00,100309.00,100309.00,98428.00,215664350,2150,6,D,98343.00,100309.00
Herbicides.Prod,20210828,102047.00,102047.00,102047.00,98343.00,285833647,2801,5,D,98123.00,102047.00
Herbicides.Prod,20210822,102047.00,102047.00,102047.00,98123.00,102047,1,1,D,98123.00,102047.00
Herbicides.Prod,20210815,99954.00,99954.00,99954.00,98123.00,335845440,3360,6,D,97995.00,99954.00
Herbicides.Prod,20210814,99566.00,99566.00,99566.00,97995.00,996356962,10007,4,D,97614.00,99566.00
Herbicides.Prod,20210811,99565.00,99565.00,99565.00,97614.00,1493475,15,1,D,97613.00,99565.00
Herbicides.Prod,20210810,101202.00,101202.00,101202.00,97613.00,406730838,4019,3,D,97310.00,101202.00
Herbicides.Prod,20210809,98864.00,98864.00,98864.00,97310.00,1009698032,10213,7,D,96926.00,98864.00
Herbicides.Prod,20210808,98860.00,98860.00,98860.00,96926.00,11665480,118,1,D,96922.00,98860.00
Herbicides.Prod,20210807,98838.00,98838.00,98838.00,96922.00,57622554,583,4,D,96900.00,98838.00
Herbicides.Prod,20210804,98251.00,98251.00,98251.00,96900.00,1522890500,15500,4,D,96325.00,98251.00
Herbicides.Prod,20210717,98131.00,98131.00,98131.00,96325.00,312449104,3184,2,D,96207.00,98131.00
Herbicides.Prod,20210714,98020.00,98020.00,98020.00,96207.00,287590680,2934,7,D,96099.00,98020.00
Herbicides.Prod,20210707,99819.00,99819.00,99819.00,96099.00,162804789,1631,6,D,95980.00,99819.00
Herbicides.Prod,20210706,97709.00,97709.00,97709.00,95980.00,496459429,5081,5,D,95794.00,97709.00
Herbicides.Prod,20210703,99185.00,99185.00,99185.00,95794.00,576463220,5812,4,D,95371.00,99185.00
Herbicides.Prod,20210630,97263.00,97263.00,97263.00,95371.00,38905200,400,1,D,95356.00,97263.00
Herbicides.Prod,20210629,97222.00,97222.00,97222.00,95356.00,107624754,1107,4,D,95316.00,97222.00
Herbicides.Prod,20210628,97221.00,97221.00,97221.00,95316.00,1944420,20,1,D,95315.00,97221.00
Herbicides.Prod,20210627,99047.00,99047.00,99047.00,95315.00,104890773,1059,5,D,95238.00,99047.00
Herbicides.Prod,20210626,97138.00,97138.00,97138.00,95238.00,11170870,115,2,D,95234.00,97138.00
Herbicides.Prod,20210621,98837.00,98837.00,98837.00,95234.00,271999424,2752,5,D,95036.00,98837.00
Herbicides.Prod,20210620,96721.00,96721.00,96721.00,95036.00,568719480,5880,5,D,94825.00,96721.00
Herbicides.Prod,20210614,98495.00,98495.00,98495.00,94825.00,162221265,1647,2,D,94707.00,98495.00
Herbicides.Prod,20210608,98477.00,98477.00,98477.00,94707.00,23240572,236,3,D,94690.00,98477.00
Herbicides.Prod,20210602,96512.00,96512.00,96512.00,94690.00,193024000,2000,1,D,94620.00,96512.00
Herbicides.Prod,20210601,96422.00,96422.00,96422.00,94620.00,241055000,2500,6,D,94532.00,96422.00
Herbicides.Prod,20210531,96868.00,96868.00,96868.00,94532.00,1942687740,20055,3,D,93143.00,96868.00
Herbicides.Prod,20210530,94823.00,94823.00,94823.00,93143.00,490424556,5172,4,D,92964.00,94823.00
Herbicides.Prod,20210529,94815.00,94815.00,94815.00,92964.00,21617820,228,1,D,92956.00,94815.00
Herbicides.Prod,20210526,94809.00,94809.00,94809.00,92956.00,17444856,184,2,D,92950.00,94809.00
Herbicides.Prod,20210525,96176.00,96176.00,96176.00,92950.00,665153216,6916,12,D,92477.00,96176.00
Herbicides.Prod,20210524,94318.00,94318.00,94318.00,92477.00,23013592,244,2,D,92469.00,94318.00
Herbicides.Prod,20210522,94293.00,94293.00,94293.00,92469.00,66099393,701,2,D,92445.00,94293.00
Herbicides.Prod,20210519,95582.00,95582.00,95582.00,92445.00,778706554,8147,5,D,91906.00,95582.00
Herbicides.Prod,20210517,93715.00,93715.00,93715.00,91906.00,79376605,847,3,D,91878.00,93715.00
Herbicides.Prod,20210516,91878.00,91878.00,91878.00,91878.00,5837744364,63538,11,D,90077.00,91878.00
Herbicides.Prod,20210515,93622.00,93622.00,93622.00,90077.00,79391456,848,4,D,90022.00,93622.00
Herbicides.Prod,20210511,91821.00,91821.00,91821.00,90022.00,7345680,80,1,D,90021.00,91821.00
Herbicides.Prod,20210510,91820.00,91820.00,91820.00,90021.00,6151940,67,1,D,90020.00,91820.00
Herbicides.Prod,20210509,93584.00,93584.00,93584.00,90020.00,100134880,1070,11,D,89985.00,93584.00
Herbicides.Prod,20210508,91716.00,91716.00,91716.00,89985.00,381997140,4165,6,D,89918.00,91716.00
Herbicides.Prod,20210505,91714.00,91714.00,91714.00,89918.00,9629970,105,6,D,89916.00,91714.00
Herbicides.Prod,20210503,91710.00,91710.00,91710.00,89916.00,22927500,250,2,D,89912.00,91710.00
Herbicides.Prod,20210502,93506.00,93506.00,93506.00,89912.00,6358408,68,2,D,89910.00,93506.00
Herbicides.Prod,20210501,91707.00,91707.00,91707.00,89910.00,5502420,60,1,D,89909.00,91707.00
Herbicides.Prod,20210425,91704.00,91704.00,91704.00,89909.00,16873536,184,1,D,89906.00,91704.00
Herbicides.Prod,20210424,91688.00,91688.00,91688.00,89906.00,87286976,952,6,D,89891.00,91688.00
Herbicides.Prod,20210420,93298.00,93298.00,93298.00,89891.00,524614654,5623,30,D,89710.00,93298.00
Herbicides.Prod,20210419,91495.00,91495.00,91495.00,89710.00,51054210,558,1,D,89701.00,91495.00
Herbicides.Prod,20210418,91495.00,91495.00,91495.00,89701.00,182990,2,1,D,89701.00,91495.00
Herbicides.Prod,20210417,91343.00,91343.00,91343.00,89701.00,847663040,9280,8,D,89552.00,91343.00
Herbicides.Prod,20210414,93121.00,93121.00,93121.00,89552.00,34920375,375,3,D,89540.00,93121.00
Herbicides.Prod,20210412,91322.00,91322.00,91322.00,89540.00,43469272,476,2,D,89532.00,91322.00
Herbicides.Prod,20210411,91316.00,91316.00,91316.00,89532.00,36526400,400,1,D,89526.00,91316.00
Herbicides.Prod,20210410,93107.00,93107.00,93107.00,89526.00,93107,1,1,D,89526.00,93107.00
Herbicides.Prod,20210406,91309.00,91309.00,91309.00,89526.00,40175960,440,4,D,89519.00,91309.00
Herbicides.Prod,20210405,91260.00,91260.00,91260.00,89519.00,273780000,3000,2,D,89471.00,91260.00
Herbicides.Prod,20210404,92996.00,92996.00,92996.00,89471.00,149909552,1612,7,D,89420.00,92996.00
Herbicides.Prod,20210403,91126.00,91126.00,91126.00,89420.00,455630000,5000,5,D,89340.00,91126.00
Herbicides.Prod,20210331,91091.00,91091.00,91091.00,89340.00,202768566,2226,15,D,89305.00,91091.00
Herbicides.Prod,20210328,92835.00,92835.00,92835.00,89305.00,116043750,1250,5,D,89265.00,92835.00
Herbicides.Prod,20210327,91033.00,91033.00,91033.00,89265.00,91124033,1001,3,D,89249.00,91033.00
Herbicides.Prod,20210315,92796.00,92796.00,92796.00,89249.00,65606772,707,3,D,89227.00,92796.00
Herbicides.Prod,20210314,91001.00,91001.00,91001.00,89227.00,58695645,645,5,D,89217.00,91001.00
