<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ehya.Sepahan.Co,20210921,161610.00,165000.00,160439.00,160464.00,294389068574,1834608,579,D,165401.00,160439.00
Ehya.Sepahan.Co,20210920,165260.00,170344.00,165251.00,165401.00,184654014507,1116402,869,D,170361.00,165252.00
Ehya.Sepahan.Co,20210919,170345.00,172000.00,170345.00,170361.00,145484474061,853976,408,D,175613.00,170345.00
Ehya.Sepahan.Co,20210918,178000.00,178000.00,175077.00,175613.00,63509821714,362683,207,D,180491.00,175077.00
Ehya.Sepahan.Co,20210915,185000.00,185000.00,178315.00,180491.00,90761221681,502857,764,D,183829.00,179910.00
Ehya.Sepahan.Co,20210914,178418.00,184742.00,177093.00,183829.00,119469913872,649898,731,D,179362.00,184742.00
Ehya.Sepahan.Co,20210913,179100.00,183688.00,178824.00,179362.00,169713317807,946207,662,D,184354.00,179768.00
Ehya.Sepahan.Co,20210912,188000.00,188301.00,183977.00,184354.00,139578138687,757121,620,D,189667.00,183977.00
Ehya.Sepahan.Co,20210911,188000.00,194000.00,187000.00,189667.00,49120949529,258763,463,D,189370.00,189000.00
Ehya.Sepahan.Co,20210908,190020.00,198990.00,189064.00,189370.00,322537211155,1703216,1047,D,194911.00,189071.00
Ehya.Sepahan.Co,20210907,196600.00,199999.00,194800.00,194911.00,148942273023,764157,705,D,200824.00,194800.00
Ehya.Sepahan.Co,20210906,200000.00,202500.00,197440.00,200824.00,594462012040,2960119,708,D,201471.00,199800.00
Ehya.Sepahan.Co,20210905,207674.00,207674.00,199000.00,201471.00,209913450688,1041903,951,D,201626.00,199996.00
Ehya.Sepahan.Co,20210904,198690.00,205500.00,198690.00,201626.00,86978686698,431387,702,D,202565.00,201001.00
Ehya.Sepahan.Co,20210901,195000.00,206700.00,195000.00,202565.00,293422592737,1448537,1038,D,200716.00,202791.00
Ehya.Sepahan.Co,20210831,200211.00,208000.00,200211.00,200716.00,362730912144,1807181,857,D,206403.00,200250.00
Ehya.Sepahan.Co,20210830,206402.00,209990.00,206402.00,206403.00,113313167674,548991,363,D,212785.00,206402.00
Ehya.Sepahan.Co,20210829,210500.00,216500.00,208182.00,212785.00,369239291937,1735271,1312,D,214620.00,208182.00
Ehya.Sepahan.Co,20210828,214818.00,214818.00,210000.00,214620.00,564868894640,2631954,807,D,208562.00,210500.00
Ehya.Sepahan.Co,20210825,208562.00,208562.00,208562.00,208562.00,245313752830,1176215,183,D,202488.00,208562.00
Ehya.Sepahan.Co,20210824,202488.00,202488.00,202488.00,202488.00,168300331056,831162,139,D,196591.00,202488.00
Ehya.Sepahan.Co,20210823,193012.00,200200.00,193000.00,196591.00,247903447040,1261011,1012,D,198948.00,197780.00
Ehya.Sepahan.Co,20210822,200000.00,204539.00,198074.00,198948.00,351496968026,1766774,983,D,204200.00,198074.00
Ehya.Sepahan.Co,20210815,199609.00,206890.00,199602.00,204200.00,106129895516,519734,581,D,204909.00,203780.00
Ehya.Sepahan.Co,20210814,206539.00,209799.00,200343.00,204909.00,250952574520,1224703,908,D,206539.00,204900.00
Ehya.Sepahan.Co,20210811,204131.00,209900.00,202014.00,206539.00,166637810824,806810,710,D,204131.00,205216.00
Ehya.Sepahan.Co,20210810,203000.00,207450.00,202009.00,204131.00,140993289127,690700,832,D,205527.00,205940.00
Ehya.Sepahan.Co,20210809,208999.00,208999.00,203225.00,205527.00,222117454382,1080724,1011,D,205274.00,206420.00
Ehya.Sepahan.Co,20210808,200000.00,206071.00,195010.00,205274.00,301486817880,1468704,1232,D,200069.00,205001.00
Ehya.Sepahan.Co,20210807,200230.00,200230.00,197100.00,200069.00,610498746287,3051436,1426,D,194399.00,200230.00
Ehya.Sepahan.Co,20210804,194399.00,194399.00,194399.00,194399.00,140628430999,723401,155,D,188737.00,194399.00
Ehya.Sepahan.Co,20210803,181710.00,189454.00,181710.00,188737.00,512621959691,2716058,999,D,183936.00,189454.00
Ehya.Sepahan.Co,20210802,180000.00,184970.00,180000.00,183936.00,694057612628,3773369,1013,D,183956.00,184350.00
Ehya.Sepahan.Co,20210801,181000.00,186557.00,180200.00,183956.00,266014592667,1446080,812,D,181124.00,182300.00
Ehya.Sepahan.Co,20210731,180000.00,182956.00,175000.00,181124.00,289037791741,1595800,827,D,177628.00,182956.00
Ehya.Sepahan.Co,20210728,175486.00,180300.00,172500.00,177628.00,83022015372,467393,575,D,175307.00,177000.00
Ehya.Sepahan.Co,20210727,169000.00,175476.00,169000.00,175307.00,251855787475,1436654,734,D,170366.00,175470.00
Ehya.Sepahan.Co,20210726,171602.00,173000.00,168000.00,170366.00,118778799262,697198,549,D,171737.00,172100.00
Ehya.Sepahan.Co,20210719,170375.00,173800.00,169520.00,171737.00,185346721234,1079250,603,D,170375.00,171602.00
Ehya.Sepahan.Co,20210718,170483.00,174000.00,167000.00,170375.00,121819083878,715004,675,D,170483.00,170000.00
Ehya.Sepahan.Co,20210717,171000.00,171279.00,161303.00,170483.00,384072220686,2252854,1074,D,166291.00,171279.00
Ehya.Sepahan.Co,20210710,169200.00,171999.00,164102.00,166291.00,61765583199,371781,304,D,168355.00,165588.00
Ehya.Sepahan.Co,20210707,164460.00,171000.00,164460.00,168355.00,58245972361,345883,372,D,168083.00,166701.00
Ehya.Sepahan.Co,20210706,165989.00,168759.00,163845.00,168083.00,129942260152,773086,526,D,163844.00,168759.00
Ehya.Sepahan.Co,20210705,164000.00,166990.00,163000.00,163844.00,33801853147,205642,270,D,163285.00,165100.00
Ehya.Sepahan.Co,20210704,161000.00,166427.00,160400.00,163285.00,83242839001,509800,362,D,164722.00,165000.00
Ehya.Sepahan.Co,20210703,170190.00,170190.00,162000.00,164722.00,99578018314,604522,497,D,165326.00,162111.00
Ehya.Sepahan.Co,20210630,165500.00,165550.00,161500.00,165326.00,122098716992,738531,828,D,160729.00,164900.00
Ehya.Sepahan.Co,20210629,160900.00,160999.00,156840.00,160729.00,205423816677,1278074,512,D,156310.00,160999.00
Ehya.Sepahan.Co,20210628,156300.00,156311.00,156300.00,156310.00,130778388730,836658,186,D,151759.00,156311.00
Ehya.Sepahan.Co,20210623,149505.00,153255.00,149000.00,151759.00,81421989706,536523,384,D,148792.00,153255.00
Ehya.Sepahan.Co,20210622,146200.00,151804.00,146200.00,148792.00,104759753800,704070,400,D,147383.00,150113.00
Ehya.Sepahan.Co,20210621,146708.00,148000.00,145000.00,147383.00,19376989853,133126,238,D,148295.00,145560.00
Ehya.Sepahan.Co,20210620,148000.00,150000.00,147000.00,148295.00,39490894731,267346,234,D,149464.00,147000.00
Ehya.Sepahan.Co,20210619,148100.00,151000.00,148000.00,149464.00,37304621002,249288,192,D,149164.00,148036.00
Ehya.Sepahan.Co,20210616,149000.00,149995.00,148000.00,149164.00,41837479305,280884,202,D,149670.00,148000.00
Ehya.Sepahan.Co,20210615,153290.00,153290.00,149000.00,149670.00,36921908996,246644,161,D,149627.00,149620.00
Ehya.Sepahan.Co,20210614,150000.00,155000.00,148252.00,149627.00,102000147851,681694,362,D,151245.00,151980.00
Ehya.Sepahan.Co,20210613,154480.00,154480.00,149004.00,151245.00,39020326512,259610,173,D,152987.00,151250.00
Ehya.Sepahan.Co,20210612,152010.00,155000.00,151910.00,152987.00,57203049517,374193,235,D,154679.00,152000.00
Ehya.Sepahan.Co,20210609,155000.00,155970.00,152000.00,154679.00,126391240943,817120,291,D,155285.00,154490.00
Ehya.Sepahan.Co,20210608,150020.00,156410.00,150020.00,155285.00,85398548173,549946,368,D,151857.00,154000.00
Ehya.Sepahan.Co,20210607,150001.00,153998.00,150001.00,151857.00,52864596437,347567,397,D,150252.00,153051.00
Ehya.Sepahan.Co,20210602,148001.00,152000.00,148001.00,150252.00,45880281555,304763,235,D,149316.00,151100.00
Ehya.Sepahan.Co,20210601,147000.00,151000.00,147000.00,149316.00,28737258861,192800,212,D,149561.00,149001.00
Ehya.Sepahan.Co,20210531,151700.00,152222.00,148131.00,149561.00,68940341764,460951,288,D,151100.00,148309.00
Ehya.Sepahan.Co,20210530,149990.00,151339.00,148100.00,151100.00,138448427279,916272,442,D,146932.00,151339.00
Ehya.Sepahan.Co,20210529,140003.00,147302.00,140003.00,146932.00,66141670194,450151,370,D,143012.00,147302.00
Ehya.Sepahan.Co,20210526,142950.00,147000.00,139958.00,143012.00,30494995712,213248,279,D,143023.00,143997.00
Ehya.Sepahan.Co,20210525,140010.00,144999.00,140010.00,143023.00,35790696817,249838,272,D,142635.00,142950.00
Ehya.Sepahan.Co,20210524,139500.00,145000.00,139260.00,142635.00,145995366127,1023557,262,D,143384.00,141100.00
Ehya.Sepahan.Co,20210523,141000.00,144000.00,141000.00,143384.00,32211333566,226163,220,D,144632.00,142500.00
Ehya.Sepahan.Co,20210522,148900.00,148900.00,144587.00,144632.00,90956538418,628884,259,D,149058.00,144587.00
Ehya.Sepahan.Co,20210519,151700.00,154000.00,147102.00,149058.00,78867835013,529107,363,D,151044.00,149000.00
Ehya.Sepahan.Co,20210518,150000.00,153870.00,150000.00,151044.00,81752722942,541251,375,D,149426.00,152607.00
Ehya.Sepahan.Co,20210517,151000.00,152980.00,147002.00,149426.00,50093734306,336148,329,D,151548.00,149990.00
Ehya.Sepahan.Co,20210516,155793.00,155793.00,150618.00,151548.00,146341337320,965641,636,D,155276.00,150700.00
Ehya.Sepahan.Co,20210515,151000.00,155862.00,150000.00,155276.00,175717207928,1131644,758,D,151323.00,154000.00
Ehya.Sepahan.Co,20210512,152805.00,152805.00,146046.00,151323.00,175616616722,1160544,861,D,148355.00,150070.00
Ehya.Sepahan.Co,20210511,148373.00,148373.00,147000.00,148355.00,62149413942,418925,318,D,144052.00,148373.00
Ehya.Sepahan.Co,20210510,139000.00,144162.00,139000.00,144052.00,394497744235,2738573,681,D,139964.00,144162.00
Ehya.Sepahan.Co,20210509,141549.00,141549.00,137265.00,139964.00,240532615116,1718534,1333,D,137427.00,138120.00
Ehya.Sepahan.Co,20210508,134211.00,139257.00,134211.00,137427.00,88435867433,643510,602,D,135201.00,139257.00
Ehya.Sepahan.Co,20210505,134330.00,137000.00,134320.00,135201.00,73594309672,544333,428,D,134419.00,135300.00
Ehya.Sepahan.Co,20210503,136999.00,136999.00,132900.00,134419.00,160125400625,1191237,378,D,134815.00,134340.00
Ehya.Sepahan.Co,20210502,131559.00,136790.00,131555.00,134815.00,107238745758,795452,561,D,134239.00,136720.00
Ehya.Sepahan.Co,20210501,133050.00,137000.00,130621.00,134239.00,103115973082,768151,484,D,133269.00,130800.00
Ehya.Sepahan.Co,20210428,130030.00,134694.00,130030.00,133269.00,64325312572,482671,402,D,130771.00,133000.00
Ehya.Sepahan.Co,20210427,126001.00,131058.00,126001.00,130771.00,218001304231,1667040,664,D,127241.00,131058.00
Ehya.Sepahan.Co,20210426,124183.00,129580.00,124183.00,127241.00,56421499319,443424,374,D,126713.00,127755.00
Ehya.Sepahan.Co,20210425,126635.00,129898.00,126635.00,126713.00,49151784725,388132,214,D,129219.00,126635.00
Ehya.Sepahan.Co,20210424,129155.00,131000.00,129149.00,129219.00,60197562256,465856,306,D,131784.00,129149.00
Ehya.Sepahan.Co,20210421,131747.00,134400.00,131747.00,131784.00,78322118088,594324,321,D,134435.00,132490.00
Ehya.Sepahan.Co,20210420,134038.00,136790.00,134038.00,134435.00,222699093061,1656551,763,D,139622.00,134038.00
Ehya.Sepahan.Co,20210419,139567.00,141570.00,139567.00,139622.00,161185910680,1154447,426,D,142415.00,139567.00
Ehya.Sepahan.Co,20210418,140680.00,140680.00,140680.00,142415.00,22272598280,158321,34,D,143551.00,140680.00
Ehya.Sepahan.Co,20210417,145000.00,145000.00,142561.00,143551.00,37831593585,265340,230,D,145470.00,142561.00
Ehya.Sepahan.Co,20210414,145300.00,146841.00,145300.00,145470.00,73328832300,504082,367,D,146917.00,145306.00
Ehya.Sepahan.Co,20210413,144431.00,151000.00,144431.00,146917.00,271493649591,1847945,1034,D,150448.00,146840.00
Ehya.Sepahan.Co,20210412,149245.00,149245.00,149245.00,150448.00,36104007195,241911,85,D,152290.00,149245.00
Ehya.Sepahan.Co,20210411,149275.00,149275.00,149275.00,152290.00,612176775,4101,11,D,152321.00,149275.00
Ehya.Sepahan.Co,20210410,149593.00,152642.00,149593.00,152321.00,6391073167,42719,52,D,152645.00,149593.00
Ehya.Sepahan.Co,20210407,151620.00,154680.00,151619.00,152645.00,40634565072,267992,285,D,154713.00,151619.00
Ehya.Sepahan.Co,20210406,155000.00,159000.00,151600.00,154713.00,54358060728,351332,599,D,154659.00,152210.00
Ehya.Sepahan.Co,20210405,154221.00,157331.00,154221.00,154659.00,220260685313,1424167,948,D,157368.00,157100.00
Ehya.Sepahan.Co,20210404,154275.00,154275.00,154275.00,157368.00,1075913850,6974,19,D,157423.00,154275.00
Ehya.Sepahan.Co,20210403,157360.00,160000.00,157360.00,157423.00,126777521441,805332,474,D,160571.00,157360.00
Ehya.Sepahan.Co,20210331,161349.00,161349.00,154539.00,160571.00,377815707515,2352948,1455,D,153666.00,157496.00
Ehya.Sepahan.Co,20210330,155842.00,155842.00,155842.00,153666.00,32450044608,208224,91,D,151303.00,155842.00
Ehya.Sepahan.Co,20210328,152626.00,152626.00,152626.00,151303.00,42884242976,280976,105,D,148181.00,152626.00
Ehya.Sepahan.Co,20210327,145769.00,150263.00,145769.00,148181.00,42027406955,281791,163,D,145887.00,150263.00
Ehya.Sepahan.Co,20210317,148213.00,148213.00,144100.00,145887.00,38990486895,265428,412,D,143897.00,146100.00
Ehya.Sepahan.Co,20210316,139500.00,146314.00,139500.00,143897.00,199820674565,1388634,671,D,142053.00,146314.00
Ehya.Sepahan.Co,20210315,140001.00,143000.00,140001.00,142053.00,97366426835,685425,476,D,141605.00,141003.00
