<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Zamin.Bank,20210921,10987.00,11426.00,10981.00,11069.00,14268960514,1299189,96,D,11438.00,11413.00
Iran.Zamin.Bank,20210920,11987.00,11987.00,11065.00,11438.00,5382129129,479191,102,D,11526.00,11170.00
Iran.Zamin.Bank,20210919,11526.00,11550.00,11526.00,11526.00,27535359508,2388955,101,D,12006.00,11526.00
Iran.Zamin.Bank,20210918,12700.00,12700.00,11966.00,12006.00,21246230000,1769666,119,D,12464.00,11966.00
Iran.Zamin.Bank,20210915,12890.00,12890.00,12200.00,12464.00,3182750002,258354,136,D,12492.00,12200.00
Iran.Zamin.Bank,20210914,12796.00,12796.00,12080.00,12492.00,15931905562,1277439,151,D,12572.00,12500.00
Iran.Zamin.Bank,20210913,12998.00,12999.00,12470.00,12572.00,5399966344,425820,100,D,12533.00,12558.00
Iran.Zamin.Bank,20210912,12810.00,12990.00,12492.00,12533.00,24249373413,1934803,124,D,13012.00,12492.00
Iran.Zamin.Bank,20210911,12900.00,13010.00,12865.00,13012.00,13785176448,1063206,127,D,13104.00,12910.00
Iran.Zamin.Bank,20210908,12810.00,13392.00,12810.00,13104.00,9807546129,752826,215,D,13172.00,12900.00
Iran.Zamin.Bank,20210907,13050.00,13657.00,12646.00,13172.00,22879879596,1736974,357,D,13171.00,12651.00
Iran.Zamin.Bank,20210906,12981.00,13499.00,12805.00,13171.00,29175202583,2215166,357,D,12988.00,13450.00
Iran.Zamin.Bank,20210905,13000.00,13400.00,12800.00,12988.00,14506003023,1117172,193,D,12996.00,13000.00
Iran.Zamin.Bank,20210904,13436.00,13436.00,12857.00,12996.00,25290265608,1946042,237,D,12920.00,13000.00
Iran.Zamin.Bank,20210901,13066.00,13066.00,12450.00,12920.00,30791897110,2383218,387,D,12564.00,13059.00
Iran.Zamin.Bank,20210831,11890.00,12863.00,11890.00,12564.00,19403606813,1543534,246,D,12369.00,12863.00
Iran.Zamin.Bank,20210830,12367.00,12415.00,12367.00,12369.00,63693893037,5149553,252,D,12882.00,12367.00
Iran.Zamin.Bank,20210829,13169.00,13200.00,12587.00,12882.00,25352229050,1968055,354,D,13111.00,12590.00
Iran.Zamin.Bank,20210828,12984.00,13426.00,12910.00,13111.00,37483331179,2858844,424,D,12910.00,13169.00
Iran.Zamin.Bank,20210825,12931.00,12931.00,12120.00,12910.00,29250808996,2265728,334,D,12434.00,12931.00
Iran.Zamin.Bank,20210824,12432.00,12434.00,11479.00,12434.00,67766424292,5450141,160,D,11956.00,12434.00
Iran.Zamin.Bank,20210823,12030.00,12034.00,11584.00,11956.00,29392624717,2458333,331,D,11572.00,12034.00
Iran.Zamin.Bank,20210822,11339.00,11584.00,11339.00,11572.00,22216792110,1919871,225,D,11139.00,11584.00
Iran.Zamin.Bank,20210815,11338.00,11338.00,10909.00,11139.00,130317809354,11699641,382,D,10903.00,11200.00
Iran.Zamin.Bank,20210814,10504.00,10924.00,10485.00,10903.00,119003919777,10914419,478,D,10504.00,10924.00
Iran.Zamin.Bank,20210811,10495.00,10640.00,10400.00,10504.00,109828152808,10455752,296,D,10492.00,10412.00
Iran.Zamin.Bank,20210810,10507.00,10780.00,10300.00,10492.00,22182021107,2114189,283,D,10507.00,10507.00
Iran.Zamin.Bank,20210809,10768.00,10950.00,10168.00,10507.00,22022263802,2095998,258,D,10591.00,10300.00
Iran.Zamin.Bank,20210808,10260.00,10690.00,10260.00,10591.00,47726223093,4506495,340,D,10279.00,10690.00
Iran.Zamin.Bank,20210807,10271.00,10650.00,10060.00,10279.00,5999626536,582942,128,D,10271.00,10333.00
Iran.Zamin.Bank,20210804,10400.00,10450.00,10200.00,10271.00,81972361313,7980571,218,D,10268.00,10400.00
Iran.Zamin.Bank,20210803,10300.00,10350.00,10200.00,10268.00,59223704408,5767830,226,D,10284.00,10284.00
Iran.Zamin.Bank,20210802,10279.00,10400.00,10220.00,10284.00,34049365422,3310776,192,D,10279.00,10260.00
