<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zangan.Equip.,20210921,111000.00,121324.00,111000.00,120219.00,72384110464,602101,911,D,115547.00,121324.00
Zangan.Equip.,20210920,116102.00,118731.00,115171.00,115547.00,28662683695,248060,597,D,118732.00,115171.00
Zangan.Equip.,20210919,118385.00,124410.00,118385.00,118732.00,11769107119,99123,237,D,122046.00,118385.00
Zangan.Equip.,20210918,121416.00,127900.00,120669.00,122046.00,24678007141,202203,496,D,124401.00,120669.00
Zangan.Equip.,20210915,123980.00,124481.00,120870.00,124401.00,48446480431,389438,568,D,120856.00,124481.00
Zangan.Equip.,20210914,116000.00,121448.00,116000.00,120856.00,23817123607,197071,482,D,117911.00,121448.00
Zangan.Equip.,20210913,117809.00,121200.00,117809.00,117911.00,28410129041,240946,403,D,121452.00,117809.00
Zangan.Equip.,20210912,120929.00,120929.00,120929.00,121452.00,7950356176,65744,200,D,124669.00,120929.00
Zangan.Equip.,20210911,126320.00,130630.00,124306.00,124669.00,31397305810,251846,625,D,130848.00,124306.00
Zangan.Equip.,20210908,130900.00,134175.00,130765.00,130848.00,15298447753,116918,431,D,134809.00,130765.00
Zangan.Equip.,20210907,139500.00,139950.00,134490.00,134809.00,34863081749,258611,607,D,138649.00,134490.00
Zangan.Equip.,20210906,142682.00,144632.00,136344.00,138649.00,69770631603,503218,1419,D,140560.00,136344.00
Zangan.Equip.,20210905,137065.00,141176.00,134001.00,140560.00,83676841050,595312,1375,D,137065.00,141176.00
Zangan.Equip.,20210904,132150.00,139500.00,132150.00,137065.00,46572253462,339781,824,D,135884.00,138000.00
Zangan.Equip.,20210901,141800.00,142000.00,134384.00,135884.00,68646714826,505187,1209,D,138527.00,135220.00
Zangan.Equip.,20210831,139000.00,139512.00,131639.00,138527.00,69984140551,505203,912,D,135449.00,139512.00
Zangan.Equip.,20210830,131321.00,139441.00,131319.00,135449.00,88412223617,652732,1504,D,135380.00,137390.00
Zangan.Equip.,20210829,137889.00,137889.00,129857.00,135380.00,196519237316,1451616,2009,D,133873.00,130013.00
Zangan.Equip.,20210828,135168.00,135168.00,135168.00,133873.00,6909923328,51121,91,D,131232.00,135168.00
Zangan.Equip.,20210825,133739.00,133739.00,133739.00,131232.00,6873515905,51395,105,D,127371.00,133739.00
Zangan.Equip.,20210824,128517.00,128517.00,128517.00,127371.00,7559241423,58819,88,D,124774.00,128517.00
Zangan.Equip.,20210823,124824.00,124824.00,121600.00,124774.00,16314738290,130754,215,D,121189.00,124824.00
Zangan.Equip.,20210822,115500.00,121516.00,115500.00,121189.00,71241276890,587851,859,D,117977.00,121516.00
Zangan.Equip.,20210815,117911.00,121000.00,117894.00,117977.00,25271662475,214209,425,D,121540.00,117894.00
Zangan.Equip.,20210814,126431.00,126431.00,119067.00,121540.00,115369230698,949225,1378,D,122749.00,119067.00
Zangan.Equip.,20210811,122817.00,122817.00,121070.00,122749.00,46489743297,378738,621,D,119240.00,122817.00
Zangan.Equip.,20210810,111000.00,121339.00,111000.00,119240.00,295208250849,2475744,2733,D,115561.00,121339.00
