<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zanjan.Co.,20210921,5716.00,5716.00,5716.00,5845.00,2494645312,436432,75,D,5892.00,5716.00
Zanjan.Co.,20210920,5910.00,6020.00,5875.00,5892.00,17377838502,2949217,410,D,6056.00,5875.00
Zanjan.Co.,20210919,6140.00,6239.00,5948.00,6056.00,22799515022,3764876,563,D,6131.00,5948.00
Zanjan.Co.,20210918,6322.00,6322.00,5970.00,6131.00,103583801527,16894645,2150,D,6138.00,6138.00
Zanjan.Co.,20210915,6100.00,6144.00,5990.00,6138.00,71591822373,11662944,1471,D,5966.00,6144.00
Zanjan.Co.,20210914,5900.00,6190.00,5839.00,5966.00,169286857134,28374378,4181,D,6019.00,6080.00
Zanjan.Co.,20210913,6019.00,6020.00,6019.00,6019.00,42729596704,7099116,627,D,6205.00,6019.00
Zanjan.Co.,20210912,6202.00,6295.00,6202.00,6205.00,51561017837,8310144,713,D,6528.00,6202.00
Zanjan.Co.,20210911,6513.00,6658.00,6513.00,6528.00,49013392836,7507875,721,D,6714.00,6513.00
Zanjan.Co.,20210908,6710.00,7000.00,6658.00,6714.00,29885644568,4451007,834,D,6863.00,6658.00
Zanjan.Co.,20210907,7129.00,7129.00,6715.00,6863.00,308150590416,44901954,4731,D,6922.00,6715.00
Zanjan.Co.,20210906,6922.00,6922.00,6922.00,6922.00,11745519558,1696839,261,D,6721.00,6922.00
Zanjan.Co.,20210905,6721.00,6721.00,6721.00,6721.00,15487489303,2304343,214,D,6401.00,6721.00
Zanjan.Co.,20210904,6401.00,6401.00,6401.00,6401.00,14696913634,2296034,268,D,6215.00,6401.00
Zanjan.Co.,20210901,6215.00,6215.00,6215.00,6215.00,17161591370,2761318,278,D,6034.00,6215.00
Zanjan.Co.,20210831,5850.00,6164.00,5806.00,6034.00,201211442222,33345173,4204,D,5985.00,6164.00
Zanjan.Co.,20210830,5917.00,6240.00,5917.00,5985.00,263891388081,44094686,4737,D,6100.00,5917.00
Zanjan.Co.,20210829,6100.00,6100.00,6100.00,6100.00,51338813900,8416199,350,D,8146.00,6100.00
Zanjan.Co.,20210814,7994.00,7994.00,7994.00,8155.00,3882557896,485684,21,D,8241.00,7994.00
Zanjan.Co.,20210811,8013.00,8013.00,8013.00,8241.00,865524195,108015,26,D,8260.00,8013.00
Zanjan.Co.,20210810,8101.00,8101.00,8101.00,8260.00,4139124940,510940,46,D,8351.00,8101.00
Zanjan.Co.,20210809,8351.00,8351.00,8351.00,8351.00,17721356464,2122064,388,D,8790.00,8351.00
Zanjan.Co.,20210808,8588.00,8588.00,8588.00,8790.00,2847952560,331620,13,D,8853.00,8588.00
Zanjan.Co.,20210807,8644.00,8644.00,8644.00,8853.00,2614637120,302480,9,D,8911.00,8644.00
Zanjan.Co.,20210804,8769.00,8769.00,8769.00,8911.00,5850115584,667136,31,D,9040.00,8769.00
Zanjan.Co.,20210803,8611.00,8611.00,8611.00,9040.00,631892402,73382,27,D,9064.00,8611.00
Zanjan.Co.,20210802,8795.00,8795.00,8795.00,9064.00,141080595,16041,9,D,9067.00,8795.00
Zanjan.Co.,20210801,8796.00,8796.00,8796.00,9067.00,31665600,3600,2,D,9068.00,8796.00
Zanjan.Co.,20210731,8808.00,8808.00,8808.00,9068.00,558612168,63421,13,D,9080.00,8808.00
Zanjan.Co.,20210728,8809.00,8809.00,8809.00,9080.00,38037262,4318,4,D,9081.00,8809.00
Zanjan.Co.,20210719,8842.00,8842.00,8842.00,9081.00,1532177128,173284,31,D,9115.00,8842.00
Zanjan.Co.,20210718,8843.00,8843.00,8843.00,9115.00,34752990,3930,3,D,9116.00,8843.00
Zanjan.Co.,20210717,8669.00,8669.00,8669.00,9116.00,226468956,26124,17,D,9125.00,8669.00
Zanjan.Co.,20210714,8860.00,8860.00,8860.00,9125.00,392187900,44265,21,D,9134.00,8860.00
Zanjan.Co.,20210713,8863.00,8863.00,8863.00,9134.00,140301290,15830,12,D,9137.00,8863.00
Zanjan.Co.,20210712,8865.00,8865.00,8865.00,9137.00,106255890,11986,10,D,9139.00,8865.00
Zanjan.Co.,20210711,8692.00,8692.00,8692.00,9139.00,263350216,30298,11,D,9149.00,8692.00
Zanjan.Co.,20210710,8877.00,8877.00,8877.00,9149.00,69950760,7880,5,D,9151.00,8877.00
Zanjan.Co.,20210707,8883.00,8883.00,8883.00,9151.00,285730578,32166,13,D,9157.00,8883.00
Zanjan.Co.,20210706,0.00,8892.00,8892.00,9157.00,411041592,46226,19,D,9166.00,8892.00
Zanjan.Co.,20210705,8732.00,8732.00,8732.00,9166.00,661326752,75736,24,D,9191.00,8732.00
Zanjan.Co.,20210704,8917.00,8917.00,8917.00,9191.00,62213909,6977,9,D,9192.00,8917.00
Zanjan.Co.,20210703,8918.00,8918.00,8918.00,9192.00,67687620,7590,4,D,9193.00,8918.00
Zanjan.Co.,20210630,8932.00,8932.00,8932.00,9193.00,684843236,76673,26,D,9208.00,8932.00
Zanjan.Co.,20210629,8806.00,8806.00,8806.00,9208.00,1621140570,184095,68,D,9269.00,8806.00
Zanjan.Co.,20210628,8992.00,8992.00,8992.00,9269.00,28414720,3160,2,D,9270.00,8992.00
Zanjan.Co.,20210627,8995.00,8995.00,8995.00,9270.00,145674025,16195,4,D,9273.00,8995.00
Zanjan.Co.,20210626,8999.00,8999.00,8999.00,9273.00,199849792,22208,5,D,9277.00,8999.00
Zanjan.Co.,20210623,8826.00,8826.00,8826.00,9277.00,341142552,38652,12,D,9290.00,8826.00
