<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BMLT-O-990828,20201118,2.00,2.00,1.00,1.00,840623,183,5,D,4.00,1.00
BMLT-O-990828,20201117,4.00,4.00,4.00,4.00,1441068,87,3,D,1.00,4.00
BMLT-O-990828,20201116,1.00,1.00,1.00,1.00,215332,52,2,D,1.00,1.00
BMLT-O-990828,20201114,1.00,1.00,1.00,1.00,103525,25,1,D,1.00,1.00
BMLT-O-990828,20201111,1.00,1.00,1.00,1.00,12423,3,1,D,1.00,1.00
BMLT-O-990828,20201110,1.00,1.00,1.00,1.00,8282,2,1,D,276.00,1.00
BMLT-O-990828,20201102,200.00,398.00,200.00,276.00,14866190,13,2,D,160.00,398.00
BMLT-O-990828,20201101,160.00,160.00,160.00,160.00,6625600,10,1,D,301.00,160.00
BMLT-O-990828,20201028,300.00,310.00,300.00,301.00,137067100,110,3,D,300.00,300.00
BMLT-O-990828,20201027,300.00,300.00,300.00,300.00,43480500,35,1,D,350.00,300.00
BMLT-O-990828,20201018,350.00,350.00,350.00,350.00,21740250,15,1,D,1432.00,350.00
BMLT-O-990828,20201012,1502.00,1502.00,1300.00,1432.00,468305690,79,8,D,1550.00,1440.00
BMLT-O-990828,20201007,1600.00,1600.00,1500.00,1550.00,128371000,20,5,D,1500.00,1500.00
BMLT-O-990828,20200930,1500.00,1500.00,1500.00,1500.00,6211500,1,1,D,1696.00,1500.00
BMLT-O-990828,20200923,1700.00,1700.00,1690.00,1696.00,182618100,26,4,D,990.00,1690.00
BMLT-O-990828,20200921,990.00,990.00,990.00,990.00,102489750,25,3,D,2000.00,990.00
BMLT-O-990828,20200915,2000.00,2000.00,2000.00,2000.00,124230000,15,1,D,1677.00,2000.00
BMLT-O-990828,20200913,2400.00,2400.00,1000.00,1677.00,215332000,31,2,D,14884.00,1000.00
BMLT-O-990828,20200719,14140.00,15800.00,14140.00,14884.00,3155367000,212,20,D,14488.00,15000.00
BMLT-O-990828,20200715,14488.00,14488.00,14488.00,14488.00,14488000,1,1,D,13242.00,14488.00
BMLT-O-990828,20200714,13954.00,13955.00,12100.00,13242.00,2317270000,175,9,D,17000.00,12300.00
BMLT-O-990828,20200713,17000.00,17000.00,17000.00,17000.00,255000000,15,1,D,18000.00,17000.00
BMLT-O-990828,20200705,18000.00,18000.00,18000.00,18000.00,18000000,1,1,D,11000.00,18000.00
BMLT-O-990828,20200701,11000.00,11000.00,11000.00,11000.00,88000000,8,1,D,11000.00,11000.00
BMLT-O-990828,20200628,11000.00,11000.00,11000.00,11000.00,44000000,4,1,D,9976.00,11000.00
BMLT-O-990828,20200627,9976.00,9977.00,9976.00,9976.00,119716000,12,2,D,8700.00,9977.00
BMLT-O-990828,20200622,8400.00,8900.00,8400.00,8700.00,5220000000,600,12,D,8750.00,8900.00
BMLT-O-990828,20200621,8700.00,9000.00,8700.00,8750.00,1050000000,120,2,D,8555.00,9000.00
BMLT-O-990828,20200615,8900.00,8900.00,8500.00,8555.00,496200000,58,3,D,8500.00,8500.00
BMLT-O-990828,20200614,8500.00,8500.00,8500.00,8500.00,42500000,5,1,D,6394.00,8500.00
BMLT-O-990828,20200610,6388.00,6400.00,6388.00,6394.00,1221200000,191,6,D,1.00,6400.00
