<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BSDR-O-990811,20201028,1.00,1.00,1.00,1.00,100000,100,1,D,2.00,1.00
BSDR-O-990811,20201027,2.00,2.00,2.00,2.00,100000,50,2,D,2.00,2.00
BSDR-O-990811,20201026,1.00,3.00,1.00,2.00,1045000,434,14,D,16.00,1.00
BSDR-O-990811,20201024,16.00,16.00,15.00,16.00,2050000,130,4,D,20.00,15.00
BSDR-O-990811,20201020,10.00,30.00,10.00,20.00,6000000,300,3,D,87.00,20.00
BSDR-O-990811,20201018,100.00,100.00,75.00,87.00,3500000,40,3,D,163.00,75.00
BSDR-O-990811,20201014,201.00,201.00,150.00,163.00,8009000,49,4,D,443.00,150.00
BSDR-O-990811,20201013,400.00,490.00,250.00,443.00,31000000,70,3,D,300.00,490.00
BSDR-O-990811,20201011,300.00,300.00,300.00,300.00,15000000,50,1,D,200.00,300.00
BSDR-O-990811,20201010,200.00,200.00,200.00,200.00,2000000,10,2,D,90.00,200.00
BSDR-O-990811,20201007,90.00,90.00,90.00,90.00,90000,1,1,D,52.00,90.00
BSDR-O-990811,20201006,100.00,100.00,50.00,52.00,1100000,21,2,D,50.00,50.00
BSDR-O-990811,20201003,200.00,200.00,11.00,50.00,11734000,237,5,D,102.00,21.00
BSDR-O-990811,20200930,102.00,102.00,102.00,102.00,102000,1,1,D,20.00,102.00
BSDR-O-990811,20200929,20.00,20.00,20.00,20.00,40000,2,1,D,583.00,20.00
BSDR-O-990811,20200919,550.00,699.00,550.00,583.00,74572000,128,6,D,578.00,699.00
BSDR-O-990811,20200916,500.00,700.00,500.00,578.00,13300000,23,3,D,550.00,700.00
BSDR-O-990811,20200915,550.00,550.00,550.00,550.00,32450000,59,12,D,600.00,550.00
BSDR-O-990811,20200906,600.00,600.00,600.00,600.00,6000000,10,1,D,355.00,600.00
BSDR-O-990811,20200905,355.00,355.00,355.00,355.00,14200000,40,1,D,105.00,355.00
BSDR-O-990811,20200902,105.00,105.00,105.00,105.00,4200000,40,1,D,700.00,105.00
BSDR-O-990811,20200831,700.00,700.00,700.00,700.00,7000000,10,1,D,750.00,700.00
BSDR-O-990811,20200826,750.00,750.00,750.00,750.00,3750000,5,1,D,300.00,750.00
BSDR-O-990811,20200823,300.00,300.00,300.00,300.00,18300000,61,2,D,800.00,300.00
BSDR-O-990811,20200822,800.00,800.00,800.00,800.00,137600000,172,6,D,950.00,800.00
BSDR-O-990811,20200816,950.00,950.00,950.00,950.00,950000,1,1,D,1108.00,950.00
BSDR-O-990811,20200810,1500.00,1500.00,1100.00,1108.00,57600000,52,3,D,1200.00,1100.00
BSDR-O-990811,20200809,1200.00,1200.00,1200.00,1200.00,34800000,29,2,D,1200.00,1200.00
BSDR-O-990811,20200802,1200.00,1200.00,1200.00,1200.00,88800000,74,1,D,1300.00,1200.00
BSDR-O-990811,20200801,1300.00,1300.00,1300.00,1300.00,131300000,101,4,D,1413.00,1300.00
BSDR-O-990811,20200728,1480.00,1480.00,1400.00,1413.00,169600000,120,3,D,1551.00,1400.00
BSDR-O-990811,20200725,1700.00,1700.00,1550.00,1551.00,210950000,136,5,D,1284.00,1550.00
BSDR-O-990811,20200719,1000.00,1900.00,1000.00,1284.00,513760000,400,10,D,950.00,1900.00
BSDR-O-990811,20200718,950.00,950.00,950.00,950.00,285000000,300,4,D,1.00,950.00
