<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BTEJ-O-991021,20210110,1200.00,1300.00,1200.00,1237.00,256121000,207,12,D,1861.00,1231.00
BTEJ-O-991021,20210105,1995.00,1995.00,1700.00,1861.00,20470000,11,3,D,1500.00,1995.00
BTEJ-O-991021,20201227,1500.00,1500.00,1500.00,1500.00,1500000,1,1,D,1522.00,1500.00
BTEJ-O-991021,20201226,1600.00,1600.00,1500.00,1522.00,68500000,45,4,D,2000.00,1500.00
BTEJ-O-991021,20201223,2000.00,2000.00,2000.00,2000.00,4000000,2,2,D,1753.00,2000.00
BTEJ-O-991021,20201221,2000.00,2000.00,1485.00,1753.00,43815000,25,5,D,2500.00,1485.00
BTEJ-O-991021,20201220,2500.00,2500.00,2500.00,2500.00,5000000,2,1,D,1502.00,2500.00
BTEJ-O-991021,20201219,1502.00,1502.00,1502.00,1502.00,1502000,1,1,D,2200.00,1502.00
BTEJ-O-991021,20201216,2200.00,2200.00,2200.00,2200.00,2200000,1,1,D,1420.00,2200.00
BTEJ-O-991021,20201215,1420.00,1420.00,1420.00,1420.00,1420000,1,1,D,2730.00,1420.00
BTEJ-O-991021,20201209,2730.00,2730.00,2730.00,2730.00,16380000,6,1,D,2747.00,2730.00
BTEJ-O-991021,20201206,2750.00,2750.00,2745.00,2747.00,41212000,15,5,D,2469.00,2745.00
BTEJ-O-991021,20201205,1000.00,3499.00,1000.00,2469.00,96276000,39,4,D,1450.00,3049.00
BTEJ-O-991021,20201202,1200.00,2700.00,1200.00,1450.00,26100000,18,2,D,2512.00,2700.00
BTEJ-O-991021,20201130,2512.00,2513.00,2512.00,2512.00,27634000,11,3,D,2250.00,2513.00
BTEJ-O-991021,20201128,2250.00,2250.00,2250.00,2250.00,11250000,5,1,D,2251.00,2250.00
BTEJ-O-991021,20201124,2250.00,2300.00,2114.00,2251.00,384891000,171,9,D,2178.00,2269.00
BTEJ-O-991021,20201123,2250.00,2250.00,2150.00,2178.00,326750000,150,8,D,2062.00,2200.00
BTEJ-O-991021,20201122,2000.00,2200.00,2000.00,2062.00,482600000,234,7,D,1702.00,2200.00
BTEJ-O-991021,20201121,1702.00,1702.00,1702.00,1702.00,3404000,2,1,D,1700.00,1702.00
BTEJ-O-991021,20201020,1700.00,1700.00,1700.00,1700.00,37400000,22,1,D,1648.00,1700.00
BTEJ-O-991021,20201019,1800.00,1800.00,1640.00,1648.00,69200000,42,3,D,2489.00,1640.00
BTEJ-O-991021,20201012,2500.00,2500.00,2000.00,2489.00,109500000,44,14,D,2177.00,2000.00
BTEJ-O-991021,20201011,3000.00,3000.00,1990.00,2177.00,58780000,27,2,D,2344.00,1990.00
BTEJ-O-991021,20201010,2360.00,2360.00,2200.00,2344.00,428915000,183,16,D,1980.00,2355.00
BTEJ-O-991021,20201007,1980.00,1980.00,1980.00,1980.00,53460000,27,1,D,1833.00,1980.00
BTEJ-O-991021,20201006,1900.00,1900.00,1800.00,1833.00,5500000,3,2,D,1660.00,1800.00
BTEJ-O-991021,20201005,1650.00,1850.00,1650.00,1660.00,34850000,21,2,D,1717.00,1850.00
BTEJ-O-991021,20201004,1700.00,1800.00,1700.00,1717.00,20600000,12,2,D,1.00,1800.00
