<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
CHML-O-991002,20201222,8800.00,10400.00,8800.00,9384.00,93842000,10,5,D,10287.00,10400.00
CHML-O-991002,20201220,10999.00,10999.00,10000.00,10287.00,82299000,8,8,D,9993.00,10599.00
CHML-O-991002,20201219,9990.00,10000.00,9990.00,9993.00,29980000,3,2,D,8915.00,10000.00
CHML-O-991002,20201216,8915.00,8915.00,8915.00,8915.00,44575000,5,1,D,8010.00,8915.00
CHML-O-991002,20201214,8010.00,8010.00,8010.00,8010.00,8010000,1,1,D,6200.00,8010.00
CHML-O-991002,20201212,7001.00,7001.00,5000.00,6200.00,31001000,5,3,D,10967.00,5000.00
CHML-O-991002,20201209,10500.00,11100.00,10500.00,10967.00,65800000,6,3,D,11207.00,11100.00
CHML-O-991002,20201208,11200.00,11250.00,11200.00,11207.00,156900000,14,5,D,11300.00,11250.00
CHML-O-991002,20201207,12099.00,12099.00,10900.00,11300.00,33899000,3,3,D,12000.00,10900.00
CHML-O-991002,20201206,12000.00,12000.00,12000.00,12000.00,120000000,10,1,D,8922.00,12000.00
CHML-O-991002,20201205,5005.00,12000.00,5005.00,8922.00,107059000,12,7,D,7250.00,11012.00
CHML-O-991002,20201202,4099.00,10401.00,4099.00,7250.00,28999000,4,3,D,11527.00,10400.00
CHML-O-991002,20201130,11900.00,11900.00,10688.00,11527.00,80686000,7,4,D,10680.00,10688.00
CHML-O-991002,20201124,10500.00,12000.00,9847.00,10680.00,138843000,13,8,D,11014.00,10000.00
CHML-O-991002,20201123,11000.00,12000.00,10400.00,11014.00,77100000,7,4,D,10986.00,12000.00
CHML-O-991002,20201122,11000.00,11000.00,10700.00,10986.00,230700000,21,5,D,9868.00,10700.00
CHML-O-991002,20201121,9500.00,10000.00,9204.00,9868.00,1865045000,189,24,D,8200.00,9550.00
CHML-O-991002,20201118,8000.00,8400.00,8000.00,8200.00,16400000,2,2,D,7496.00,8400.00
CHML-O-991002,20201117,7400.00,7500.00,7400.00,7496.00,194900000,26,2,D,7000.00,7500.00
CHML-O-991002,20201116,7000.00,7000.00,7000.00,7000.00,35000000,5,1,D,6158.00,7000.00
CHML-O-991002,20201115,7156.00,7156.00,6001.00,6158.00,98532000,16,3,D,7085.00,6001.00
CHML-O-991002,20201114,6427.00,7300.00,6427.00,7085.00,56679000,8,4,D,6400.00,6552.00
CHML-O-991002,20201111,6400.00,6400.00,6400.00,6400.00,6400000,1,1,D,5500.00,6400.00
CHML-O-991002,20201110,5500.00,5500.00,5500.00,5500.00,5500000,1,1,D,5900.00,5500.00
CHML-O-991002,20201109,5900.00,5900.00,5900.00,5900.00,29500000,5,1,D,4000.00,5900.00
CHML-O-991002,20201108,4000.00,4000.00,4000.00,4000.00,100000000,25,2,D,5000.00,4000.00
CHML-O-991002,20201107,5001.00,5001.00,5000.00,5000.00,130005000,26,6,D,6447.00,5000.00
CHML-O-991002,20201104,7000.00,7000.00,6000.00,6447.00,122501000,19,7,D,6100.00,7000.00
CHML-O-991002,20201102,6100.00,6100.00,6100.00,6100.00,18300000,3,1,D,5674.00,6100.00
CHML-O-991002,20201101,5500.00,6200.00,5200.00,5674.00,226941000,40,15,D,5846.00,5750.00
CHML-O-991002,20201028,5400.00,5900.00,5400.00,5846.00,216300000,37,5,D,5000.00,5900.00
CHML-O-991002,20201027,5000.00,5000.00,5000.00,5000.00,50000000,10,1,D,6500.00,5000.00
CHML-O-991002,20201021,5500.00,7500.00,5500.00,6500.00,130000000,20,2,D,8000.00,7500.00
CHML-O-991002,20201019,8000.00,8000.00,8000.00,8000.00,8000000,1,1,D,9975.00,8000.00
CHML-O-991002,20201018,10000.00,10000.00,9950.00,9975.00,19950000,2,2,D,12000.00,9950.00
CHML-O-991002,20201013,12000.00,12000.00,12000.00,12000.00,48000000,4,2,D,11950.00,12000.00
CHML-O-991002,20201012,11950.00,11950.00,11950.00,11950.00,23900000,2,1,D,12000.00,11950.00
CHML-O-991002,20201011,12000.00,12000.00,12000.00,12000.00,12000000,1,1,D,11000.00,12000.00
CHML-O-991002,20201010,11000.00,11000.00,11000.00,11000.00,11000000,1,1,D,11999.00,11000.00
CHML-O-991002,20201006,11999.00,11999.00,11999.00,11999.00,11999000,1,1,D,11500.00,11999.00
CHML-O-991002,20201005,11500.00,11500.00,11500.00,11500.00,57500000,5,1,D,11000.00,11500.00
CHML-O-991002,20201003,11000.00,11000.00,11000.00,11000.00,11000000,1,1,D,13500.00,11000.00
CHML-O-991002,20200930,13500.00,13500.00,13500.00,13500.00,40500000,3,1,D,13205.00,13500.00
CHML-O-991002,20200929,13458.00,13458.00,13000.00,13205.00,158458000,12,3,D,12500.00,13000.00
CHML-O-991002,20200921,12500.00,12500.00,12500.00,12500.00,650000000,52,9,D,13000.00,12500.00
CHML-O-991002,20200920,13000.00,13000.00,13000.00,13000.00,143000000,11,3,D,14000.00,13000.00
CHML-O-991002,20200916,14000.00,14000.00,14000.00,14000.00,336000000,24,4,D,13900.00,14000.00
CHML-O-991002,20200915,13900.00,13900.00,13900.00,13900.00,27800000,2,2,D,1.00,13900.00
