<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
FKHZ-O-990720,20201011,5500.00,5500.00,1.00,257.00,11041000,43,3,D,3.00,1.00
FKHZ-O-990720,20201010,3.00,6.00,2.00,3.00,426000,149,20,D,158.00,2.00
FKHZ-O-990720,20201007,500.00,500.00,53.00,158.00,12976000,82,12,D,490.00,53.00
FKHZ-O-990720,20201006,490.00,490.00,490.00,490.00,980000,2,1,D,2137.00,490.00
FKHZ-O-990720,20201003,3690.00,3800.00,690.00,2137.00,42740000,20,6,D,3450.00,2990.00
FKHZ-O-990720,20200930,3450.00,3450.00,3450.00,3450.00,10350000,3,1,D,100.00,3450.00
FKHZ-O-990720,20200929,100.00,100.00,100.00,100.00,2600000,26,1,D,2000.00,100.00
FKHZ-O-990720,20200928,2000.00,2000.00,2000.00,2000.00,4000000,2,2,D,3829.00,2000.00
FKHZ-O-990720,20200927,1001.00,6000.00,1001.00,3829.00,26803000,7,3,D,6231.00,6000.00
FKHZ-O-990720,20200923,6600.00,6600.00,6000.00,6231.00,162000000,26,6,D,6004.00,6000.00
FKHZ-O-990720,20200922,6000.00,6890.00,5050.00,6004.00,588410000,98,16,D,10925.00,6890.00
FKHZ-O-990720,20200919,12000.00,12000.00,7000.00,10925.00,437000000,40,4,D,11262.00,7000.00
FKHZ-O-990720,20200916,12000.00,12000.00,10500.00,11262.00,405426000,36,10,D,10442.00,12000.00
FKHZ-O-990720,20200915,1650.00,13000.00,1650.00,10442.00,553451000,53,8,D,9775.00,11650.00
FKHZ-O-990720,20200914,9600.00,11000.00,9600.00,9775.00,312800000,32,6,D,8795.00,11000.00
FKHZ-O-990720,20200913,10900.00,11000.00,8500.00,8795.00,325400000,37,4,D,9442.00,8800.00
FKHZ-O-990720,20200912,9700.00,9750.00,9000.00,9442.00,56650000,6,5,D,9087.00,9000.00
FKHZ-O-990720,20200909,9000.00,9999.00,9000.00,9087.00,208999000,23,6,D,5651.00,9500.00
FKHZ-O-990720,20200908,7000.00,7000.00,5111.00,5651.00,39555000,7,3,D,8690.00,5111.00
FKHZ-O-990720,20200907,9000.00,9000.00,8000.00,8690.00,86900000,10,6,D,8886.00,8300.00
FKHZ-O-990720,20200906,10000.00,12000.00,7000.00,8886.00,1146250000,129,35,D,9862.00,9000.00
FKHZ-O-990720,20200905,10500.00,10500.00,9000.00,9862.00,384600000,39,12,D,10244.00,9000.00
FKHZ-O-990720,20200901,10000.00,11000.00,10000.00,10244.00,440500000,43,5,D,14333.00,10000.00
FKHZ-O-990720,20200803,18000.00,18000.00,13500.00,14333.00,1978000000,138,19,D,15377.00,14300.00
FKHZ-O-990720,20200802,18000.00,18000.00,2000.00,15377.00,199900000,13,6,D,16929.00,16000.00
FKHZ-O-990720,20200801,17000.00,17000.00,16000.00,16929.00,237000000,14,2,D,14800.00,16000.00
FKHZ-O-990720,20200729,14800.00,14800.00,14800.00,14800.00,74000000,5,1,D,16957.00,14800.00
FKHZ-O-990720,20200728,18400.00,19000.00,14000.00,16957.00,1644800000,97,23,D,18308.00,14000.00
FKHZ-O-990720,20200727,18000.00,19000.00,17500.00,18308.00,476000000,26,5,D,20460.00,17500.00
FKHZ-O-990720,20200726,21999.00,22000.00,18000.00,20460.00,1595886000,78,11,D,19000.00,18000.00
FKHZ-O-990720,20200725,19000.00,19000.00,19000.00,19000.00,1121000000,59,3,D,18000.00,19000.00
FKHZ-O-990720,20200721,18000.00,18000.00,18000.00,18000.00,360000000,20,3,D,12000.00,18000.00
FKHZ-O-990720,20200719,12000.00,12000.00,12000.00,12000.00,24000000,2,1,D,8266.00,12000.00
FKHZ-O-990720,20200718,7800.00,8500.00,7800.00,8266.00,2479900000,300,18,D,1.00,8500.00
