<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
FOLD-O-990828,20201118,1.00,1.00,1.00,1.00,202000,202,6,D,5.00,1.00
FOLD-O-990828,20201117,10.00,10.00,3.00,5.00,784000,154,8,D,1.00,3.00
FOLD-O-990828,20201116,1.00,1.00,1.00,1.00,2000,2,1,D,12.00,1.00
FOLD-O-990828,20201115,20.00,20.00,1.00,12.00,2332000,193,11,D,50.00,1.00
FOLD-O-990828,20201114,50.00,50.00,41.00,50.00,5123000,103,5,D,169.00,41.00
FOLD-O-990828,20201107,249.00,249.00,149.00,169.00,846000,5,3,D,799.00,150.00
FOLD-O-990828,20201104,799.00,799.00,799.00,799.00,9588000,12,2,D,790.00,799.00
FOLD-O-990828,20201028,790.00,790.00,790.00,790.00,3160000,4,2,D,790.00,790.00
FOLD-O-990828,20201027,500.00,890.00,483.00,790.00,6322000,8,4,D,642.00,890.00
FOLD-O-990828,20201026,410.00,1000.00,400.00,642.00,23100000,36,5,D,1014.00,900.00
FOLD-O-990828,20201024,1200.00,1200.00,1008.00,1014.00,69953000,69,10,D,1500.00,1008.00
FOLD-O-990828,20201021,1000.00,1560.00,1203.00,1500.00,147025000,98,10,D,1001.00,1203.00
FOLD-O-990828,20201020,1001.00,1001.00,1001.00,1001.00,21021000,21,2,D,1168.00,1001.00
FOLD-O-990828,20201019,925.00,1400.00,925.00,1168.00,70075000,60,3,D,1611.00,1325.00
FOLD-O-990828,20201018,2000.00,2000.00,1329.00,1611.00,323768000,201,15,D,3050.00,1800.00
FOLD-O-990828,20201013,3050.00,3050.00,3050.00,3050.00,15250000,5,1,D,2500.00,3050.00
FOLD-O-990828,20201012,2500.00,2500.00,2500.00,2500.00,2500000,1,1,D,3284.00,2500.00
FOLD-O-990828,20201010,3000.00,3300.00,3000.00,3284.00,315300000,96,5,D,4000.00,3300.00
FOLD-O-990828,20201007,4000.00,4000.00,4000.00,4000.00,40000000,10,3,D,3012.00,4000.00
FOLD-O-990828,20201006,3015.00,3015.00,3011.00,3012.00,36140000,12,2,D,4139.00,3011.00
FOLD-O-990828,20201005,4000.00,4500.00,4000.00,4139.00,252500000,61,7,D,6609.00,4500.00
FOLD-O-990828,20200926,6666.00,6666.00,6600.00,6609.00,138798000,21,3,D,7000.00,6666.00
FOLD-O-990828,20200920,7000.00,7000.00,7000.00,7000.00,14000000,2,2,D,6629.00,7000.00
FOLD-O-990828,20200919,7500.00,7500.00,1400.00,6629.00,46400000,7,2,D,6125.00,1400.00
FOLD-O-990828,20200916,6000.00,7000.00,6000.00,6125.00,49000000,8,3,D,5902.00,7000.00
FOLD-O-990828,20200914,5800.00,6000.00,5500.00,5902.00,283300000,48,13,D,4909.00,5500.00
FOLD-O-990828,20200913,4500.00,4950.00,4500.00,4909.00,54000000,11,2,D,1500.00,4950.00
FOLD-O-990828,20200912,1500.00,1500.00,1500.00,1500.00,1500000,1,1,D,3959.00,1500.00
FOLD-O-990828,20200908,3600.00,4000.00,3600.00,3959.00,269200000,68,4,D,4499.00,4000.00
FOLD-O-990828,20200907,4500.00,4500.00,4499.00,4499.00,143970000,32,2,D,5000.00,4499.00
FOLD-O-990828,20200906,5000.00,5000.00,5000.00,5000.00,50000000,10,1,D,4000.00,5000.00
FOLD-O-990828,20200902,4000.00,4000.00,4000.00,4000.00,40000000,10,1,D,1250.00,4000.00
FOLD-O-990828,20200831,1250.00,1250.00,1250.00,1250.00,3750000,3,2,D,5000.00,1250.00
FOLD-O-990828,20200825,5000.00,5000.00,5000.00,5000.00,20000000,4,1,D,4800.00,5000.00
FOLD-O-990828,20200824,4800.00,4800.00,4800.00,4800.00,240000000,50,3,D,4958.00,4800.00
FOLD-O-990828,20200823,5000.00,5000.00,4900.00,4958.00,292500000,59,8,D,5500.00,4950.00
FOLD-O-990828,20200819,5500.00,5500.00,5500.00,5500.00,275000000,50,9,D,8923.00,5500.00
FOLD-O-990828,20200811,8000.00,9000.00,8000.00,8923.00,116000000,13,2,D,9999.00,9000.00
FOLD-O-990828,20200803,9999.00,9999.00,9999.00,9999.00,9999000,1,1,D,11000.00,9999.00
FOLD-O-990828,20200802,11000.00,11000.00,11000.00,11000.00,11000000,1,1,D,9962.00,11000.00
FOLD-O-990828,20200729,9900.00,10000.00,9900.00,9962.00,478200000,48,3,D,12800.00,10000.00
FOLD-O-990828,20200728,13000.00,13000.00,10999.00,12800.00,127999000,10,2,D,11535.00,10999.00
FOLD-O-990828,20200725,12000.00,12500.00,11000.00,11535.00,265300000,23,8,D,11000.00,11000.00
FOLD-O-990828,20200722,11000.00,11000.00,11000.00,11000.00,110000000,10,1,D,11900.00,11000.00
FOLD-O-990828,20200721,12000.00,12000.00,11001.00,11900.00,119001000,10,10,D,12171.00,11001.00
FOLD-O-990828,20200720,12900.00,13000.00,11800.00,12171.00,1643150000,135,10,D,10892.00,11800.00
FOLD-O-990828,20200719,10000.00,11500.00,10000.00,10892.00,1829790000,168,23,D,7000.00,11000.00
FOLD-O-990828,20200718,7000.00,7000.00,7000.00,7000.00,49000000,7,2,D,11736.00,7000.00
FOLD-O-990828,20200714,11000.00,11900.00,11000.00,11736.00,129100000,11,2,D,11904.00,11900.00
FOLD-O-990828,20200713,11790.00,12000.00,11790.00,11904.00,464270000,39,7,D,11604.00,11990.00
FOLD-O-990828,20200712,12000.00,13000.00,10000.00,11604.00,1172050000,101,27,D,10004.00,11000.00
FOLD-O-990828,20200711,10000.00,12000.00,10000.00,10004.00,5672000000,567,19,D,11250.00,12000.00
FOLD-O-990828,20200708,11000.00,11500.00,11000.00,11250.00,22500000,2,2,D,10500.00,11500.00
FOLD-O-990828,20200707,10500.00,10500.00,10500.00,10500.00,787500000,75,5,D,10000.00,10500.00
FOLD-O-990828,20200706,10000.00,10000.00,10000.00,10000.00,60000000,6,2,D,7250.00,10000.00
FOLD-O-990828,20200704,7250.00,7250.00,7250.00,7250.00,181250000,25,1,D,6319.00,7250.00
FOLD-O-990828,20200701,7000.00,7000.00,6199.00,6319.00,1902000000,301,7,D,6080.00,6277.00
