<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GDIR-O-990826,20201116,1.00,1.00,1.00,1.00,157000,157,5,D,5.00,1.00
GDIR-O-990826,20201115,10.00,10.00,1.00,5.00,230000,50,3,D,1.00,1.00
GDIR-O-990826,20201114,1.00,1.00,1.00,1.00,11000,11,4,D,1.00,1.00
GDIR-O-990826,20201111,10000.00,2.00,1.00,1.00,48000,47,3,D,1.00,1.00
GDIR-O-990826,20201110,1.00,2.00,1.00,1.00,27000,26,2,D,800.00,2.00
GDIR-O-990826,20201104,800.00,800.00,800.00,800.00,4000000,5,1,D,104.00,800.00
GDIR-O-990826,20201102,90.00,900.00,90.00,104.00,6120000,59,3,D,100.00,900.00
GDIR-O-990826,20201027,100.00,100.00,100.00,100.00,1600000,16,1,D,925.00,100.00
GDIR-O-990826,20201026,500.00,1100.00,500.00,925.00,47150000,51,4,D,1000.00,1100.00
GDIR-O-990826,20201024,1000.00,1000.00,1000.00,1000.00,6000000,6,1,D,2350.00,1000.00
GDIR-O-990826,20201018,2500.00,2500.00,2300.00,2350.00,117500000,50,5,D,3500.00,2500.00
GDIR-O-990826,20201010,3500.00,3500.00,3500.00,3500.00,80500000,23,4,D,4275.00,3500.00
GDIR-O-990826,20201007,3500.00,4390.00,3500.00,4275.00,47020000,11,4,D,4604.00,4390.00
GDIR-O-990826,20201006,4900.00,5000.00,4400.00,4604.00,87470000,19,8,D,3806.00,4490.00
GDIR-O-990826,20201005,3700.00,4000.00,3600.00,3806.00,346364000,91,8,D,3000.00,3630.00
GDIR-O-990826,20201004,3000.00,3000.00,3000.00,3000.00,270000000,90,1,D,5500.00,3000.00
GDIR-O-990826,20201003,5500.00,5500.00,5500.00,5500.00,55000000,10,1,D,4800.00,5500.00
GDIR-O-990826,20200930,5000.00,5000.00,4650.00,4800.00,792000000,165,6,D,4950.00,4690.00
GDIR-O-990826,20200929,4500.00,5400.00,4500.00,4950.00,9900000,2,2,D,3500.00,5400.00
GDIR-O-990826,20200928,3500.00,3500.00,3500.00,3500.00,157500000,45,3,D,2285.00,3500.00
GDIR-O-990826,20200927,823.00,3500.00,823.00,2285.00,11426000,5,3,D,6000.00,3500.00
GDIR-O-990826,20200926,6000.00,6000.00,6000.00,6000.00,66000000,11,2,D,5006.00,6000.00
GDIR-O-990826,20200923,5000.00,5008.00,5000.00,5006.00,50057000,10,4,D,5695.00,5008.00
GDIR-O-990826,20200921,5700.00,5700.00,5600.00,5695.00,119600000,21,2,D,6400.00,5600.00
GDIR-O-990826,20200919,6400.00,6400.00,6400.00,6400.00,70400000,11,1,D,6800.00,6400.00
GDIR-O-990826,20200916,6500.00,7000.00,6500.00,6800.00,340000000,50,3,D,6000.00,7000.00
GDIR-O-990826,20200914,6000.00,6000.00,6000.00,6000.00,60000000,10,1,D,4467.00,6000.00
GDIR-O-990826,20200913,4400.00,4500.00,4400.00,4467.00,268000000,60,3,D,5575.00,4500.00
GDIR-O-990826,20200912,5500.00,5700.00,5500.00,5575.00,89200000,16,3,D,5686.00,5700.00
GDIR-O-990826,20200909,5000.00,5900.00,5000.00,5686.00,1063300000,187,10,D,6000.00,5850.00
GDIR-O-990826,20200908,6000.00,6000.00,6000.00,6000.00,6000000,1,1,D,5600.00,6000.00
GDIR-O-990826,20200906,5600.00,5600.00,5600.00,5600.00,56000000,10,1,D,6690.00,5600.00
GDIR-O-990826,20200905,8780.00,8000.00,6600.00,6690.00,1023602000,153,18,D,6761.00,7000.00
GDIR-O-990826,20200901,6800.00,7500.00,6600.00,6761.00,121700000,18,4,D,7788.00,6600.00
