<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GOLG-O-990821,20201108,1.00,1.00,1.00,1.00,100000,100,1,D,1.00,1.00
GOLG-O-990821,20201101,1.00,1.00,1.00,1.00,15000,15,2,D,200.00,1.00
GOLG-O-990821,20201026,200.00,200.00,200.00,200.00,10000000,50,1,D,4000.00,200.00
GOLG-O-990821,20200922,4000.00,4000.00,4000.00,4000.00,4000000,1,1,D,3567.00,4000.00
GOLG-O-990821,20200915,3500.00,3700.00,3500.00,3567.00,535000000,150,2,D,4000.00,3700.00
GOLG-O-990821,20200913,4000.00,4000.00,4000.00,4000.00,20000000,5,1,D,4000.00,4000.00
GOLG-O-990821,20200912,4000.00,4000.00,4000.00,4000.00,4000000,1,1,D,2256.00,4000.00
GOLG-O-990821,20200826,3000.00,3000.00,2100.00,2256.00,383539000,170,9,D,5000.00,2111.00
GOLG-O-990821,20200809,5000.00,5000.00,5000.00,5000.00,500000000,100,1,D,5500.00,5000.00
GOLG-O-990821,20200804,5500.00,5500.00,5500.00,5500.00,121000000,22,4,D,6961.00,5500.00
GOLG-O-990821,20200801,8000.00,8000.00,6000.00,6961.00,1044160000,150,30,D,6200.00,6000.00
GOLG-O-990821,20200728,6200.00,6200.00,6200.00,6200.00,310000000,50,1,D,1.00,6200.00
