<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MAPN-O-991009,20201229,11.00,28.00,1.00,6.00,15442387,1716,67,D,249.00,1.00
MAPN-O-991009,20201228,500.00,600.00,150.00,249.00,304232944,824,50,D,255.00,250.00
MAPN-O-991009,20201227,400.00,450.00,200.00,255.00,86445970,229,11,D,721.00,200.00
MAPN-O-991009,20201226,2200.00,2200.00,600.00,721.00,40560147,38,8,D,1660.00,617.00
MAPN-O-991009,20201223,1000.00,1900.00,1000.00,1660.00,361395101,147,15,D,1957.00,1900.00
MAPN-O-991009,20201222,1957.00,1958.00,1957.00,1957.00,66676101,23,4,D,1687.00,1958.00
MAPN-O-991009,20201221,1500.00,2000.00,1500.00,1687.00,39972190,16,4,D,2022.00,1500.00
MAPN-O-991009,20201214,3494.00,3494.00,1950.00,2022.00,185699628,62,9,D,3071.00,1950.00
MAPN-O-991009,20201213,3300.00,3300.00,2945.00,3071.00,213733477,47,10,D,3467.00,2945.00
MAPN-O-991009,20201212,3210.00,3780.00,3200.00,3467.00,2120763861,413,69,D,3117.00,3200.00
MAPN-O-991009,20201209,3198.00,3200.00,3000.00,3117.00,290826932,63,13,D,3288.00,3060.00
MAPN-O-991009,20201208,3300.00,3500.00,3000.00,3288.00,2156897299,443,63,D,3324.00,3000.00
MAPN-O-991009,20201207,3300.00,3650.00,3000.00,3324.00,1373328338,279,40,D,3206.00,3000.00
MAPN-O-991009,20201206,3589.00,3589.00,3051.00,3206.00,2079470619,438,43,D,3079.00,3200.00
MAPN-O-991009,20201205,3200.00,3200.00,2850.00,3079.00,12014492539,2635,148,D,3092.00,3199.00
MAPN-O-991009,20201130,2900.00,3100.00,2900.00,3092.00,1689524800,369,13,D,1917.00,3100.00
MAPN-O-991009,20201129,2700.00,3200.00,700.00,1917.00,687184000,242,9,D,2750.00,2800.00
MAPN-O-991009,20201128,2750.00,2750.00,2750.00,2750.00,24436500,6,1,D,2575.00,2750.00
MAPN-O-991009,20201125,2488.00,2700.00,2400.00,2575.00,1220412126,320,23,D,3510.00,2600.00
MAPN-O-991009,20201122,3750.00,3800.00,3200.00,3510.00,1081130000,208,4,D,2569.00,3200.00
MAPN-O-991009,20201121,3000.00,3000.00,2010.00,2569.00,525024867,138,8,D,2770.00,2010.00
MAPN-O-991009,20201118,2100.00,3000.00,2090.00,2770.00,1916043750,467,28,D,1562.00,2500.00
MAPN-O-991009,20201117,1500.00,1670.00,1500.00,1562.00,474364300,205,12,D,1633.00,1500.00
MAPN-O-991009,20201116,2000.00,2000.00,1500.00,1633.00,181422500,75,4,D,2197.00,1500.00
MAPN-O-991009,20201114,2400.00,2200.00,2180.00,2197.00,846021250,260,6,D,10.00,2180.00
MAPN-O-991009,20201111,10.00,10.00,10.00,10.00,296200,20,1,D,2700.00,10.00
MAPN-O-991009,20201101,2700.00,2700.00,2700.00,2700.00,19993500,5,1,D,1500.00,2700.00
MAPN-O-991009,20201027,1500.00,1500.00,1500.00,1500.00,284352000,128,2,D,2500.00,1500.00
MAPN-O-991009,20201026,2500.00,2500.00,2500.00,2500.00,18512500,5,3,D,3289.00,2500.00
MAPN-O-991009,20201021,3800.00,3800.00,2800.00,3289.00,467559105,96,11,D,2800.00,2800.00
MAPN-O-991009,20201020,2800.00,2800.00,2800.00,2800.00,476882000,115,8,D,3003.00,2800.00
MAPN-O-991009,20201019,3166.00,3166.00,2990.00,3003.00,1205270382,271,25,D,6000.00,2990.00
MAPN-O-991009,20201014,6000.00,6000.00,6000.00,6000.00,26658000,3,1,D,7500.00,6000.00
MAPN-O-991009,20201013,7500.00,7500.00,7500.00,7500.00,88860000,8,1,D,7000.00,7500.00
MAPN-O-991009,20201012,7000.00,7000.00,7000.00,7000.00,10367000,1,1,D,8250.00,7000.00
MAPN-O-991009,20201011,8500.00,8500.00,8000.00,8250.00,122182500,10,2,D,9249.00,8000.00
MAPN-O-991009,20201010,9999.00,9999.00,7000.00,9249.00,54792557,4,2,D,5882.00,7000.00
MAPN-O-991009,20200929,6500.00,6500.00,5500.00,5882.00,1258800000,214,12,D,5180.00,5500.00
MAPN-O-991009,20200928,5500.00,5500.00,4800.00,5180.00,497300000,96,5,D,5651.00,4800.00
MAPN-O-991009,20200927,6000.00,7000.00,5500.00,5651.00,2667240000,472,14,D,7753.00,5800.00
MAPN-O-991009,20200926,7000.00,8007.00,7000.00,7753.00,1046595000,135,10,D,1.00,8000.00
