<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MKBT-O-990730,20201021,10996.00,11000.00,9470.00,10396.00,3836220000,369,27,D,9424.00,10200.00
MKBT-O-990730,20201020,9374.00,9999.00,9009.00,9424.00,3279550000,348,17,D,10113.00,9999.00
MKBT-O-990730,20201019,11001.00,11001.00,10050.00,10113.00,1051721000,104,17,D,10843.00,10370.00
MKBT-O-990730,20201018,7011.00,11000.00,7011.00,10843.00,2548022000,235,11,D,12233.00,10501.00
MKBT-O-990730,20201014,15500.00,15500.00,9837.00,12233.00,305818000,25,8,D,13167.00,12000.00
MKBT-O-990730,20201013,12000.00,13750.00,12000.00,13167.00,39500000,3,2,D,13535.00,13750.00
MKBT-O-990730,20201012,10000.00,14000.00,10000.00,13535.00,311299000,23,5,D,13137.00,14000.00
MKBT-O-990730,20201011,12000.00,14000.00,12000.00,13137.00,1129810000,86,9,D,11000.00,13200.00
MKBT-O-990730,20201007,11000.00,11000.00,11000.00,11000.00,66000000,6,3,D,12780.00,11000.00
MKBT-O-990730,20201006,13903.00,13905.00,12458.00,12780.00,115019000,9,4,D,9793.00,12459.00
MKBT-O-990730,20200929,9000.00,10000.00,9000.00,9793.00,283999000,29,4,D,6517.00,10000.00
MKBT-O-990730,20200928,6110.00,11000.00,6110.00,6517.00,78210000,12,2,D,6107.00,11000.00
MKBT-O-990730,20200927,6107.00,6107.00,6107.00,6107.00,67177000,11,1,D,14455.00,6107.00
MKBT-O-990730,20200923,14500.00,14500.00,14000.00,14455.00,159000000,11,2,D,15517.00,14000.00
MKBT-O-990730,20200922,16500.00,16500.00,15000.00,15517.00,450000000,29,6,D,14000.00,15000.00
MKBT-O-990730,20200920,14000.00,14000.00,14000.00,14000.00,42000000,3,1,D,16071.00,14000.00
MKBT-O-990730,20200914,16000.00,16999.00,15200.00,16071.00,273199000,17,4,D,12000.00,16999.00
MKBT-O-990730,20200908,12000.00,12000.00,12000.00,12000.00,156000000,13,1,D,14315.00,12000.00
MKBT-O-990730,20200907,12500.00,15000.00,12500.00,14315.00,57260000,4,3,D,21459.00,14880.00
MKBT-O-990730,20200826,21000.00,23298.00,21000.00,21459.00,214595000,10,3,D,20305.00,23298.00
MKBT-O-990730,20200825,20000.00,21000.00,19999.00,20305.00,1197992000,59,9,D,14667.00,21000.00
MKBT-O-990730,20200824,15000.00,15000.00,14000.00,14667.00,88000000,6,5,D,17271.00,14000.00
MKBT-O-990730,20200823,17512.00,18000.00,16050.00,17271.00,345424000,20,6,D,17511.00,16050.00
MKBT-O-990730,20200822,17501.00,17599.00,17501.00,17511.00,175108000,10,6,D,17613.00,17501.00
MKBT-O-990730,20200819,20000.00,20000.00,17200.00,17613.00,299418000,17,9,D,23163.00,19009.00
MKBT-O-990730,20200818,24199.00,24200.00,22000.00,23163.00,1227647000,53,14,D,22650.00,22000.00
MKBT-O-990730,20200817,23500.00,23500.00,20006.00,22650.00,543594000,24,12,D,21000.00,20006.00
MKBT-O-990730,20200816,22500.00,22500.00,19000.00,21000.00,168001000,8,7,D,20393.00,20000.00
MKBT-O-990730,20200815,22000.00,22000.00,20000.00,20393.00,6607208000,324,46,D,24552.00,20000.00
MKBT-O-990730,20200812,28000.00,31500.00,22000.00,24552.00,3658313000,149,42,D,25035.00,22000.00
MKBT-O-990730,20200811,23000.00,27192.00,23000.00,25035.00,2303239000,92,20,D,17003.00,25999.00
MKBT-O-990730,20200615,17000.00,18000.00,16800.00,17003.00,1292200000,76,13,D,14084.00,17000.00
MKBT-O-990730,20200614,14000.00,15000.00,13000.00,14084.00,1154917000,82,26,D,16000.00,15000.00
MKBT-O-990730,20200613,16000.00,16000.00,16000.00,16000.00,224000000,14,2,D,16000.00,16000.00
MKBT-O-990730,20200608,16000.00,16000.00,16000.00,16000.00,48000000,3,1,D,15495.00,16000.00
MKBT-O-990730,20200530,15495.00,15495.00,15495.00,15495.00,185940000,12,2,D,15495.00,15495.00
MKBT-O-990730,20200527,15495.00,15495.00,15495.00,15495.00,61980000,4,1,D,14999.00,15495.00
MKBT-O-990730,20200523,14999.00,14999.00,14999.00,14999.00,89994000,6,1,D,17233.00,14999.00
MKBT-O-990730,20200520,2198.00,17950.00,2198.00,17233.00,413598000,24,3,D,17000.00,16500.00
MKBT-O-990730,20200516,17000.00,17000.00,17000.00,17000.00,51000000,3,1,D,14999.00,17000.00
MKBT-O-990730,20200513,15000.00,15000.00,14990.00,14999.00,2234825000,149,13,D,14763.00,15000.00
MKBT-O-990730,20200512,14500.00,15000.00,14500.00,14763.00,295260000,20,4,D,14500.00,15000.00
MKBT-O-990730,20200510,14500.00,14500.00,14500.00,14500.00,58000000,4,1,D,12443.00,14500.00
MKBT-O-990730,20200509,12400.00,12700.00,12400.00,12443.00,174200000,14,4,D,10492.00,12700.00
MKBT-O-990730,20200506,10000.00,10500.00,10000.00,10492.00,639992000,61,8,D,9500.00,10500.00
MKBT-O-990730,20200504,9500.00,9500.00,9500.00,9500.00,1491500000,157,10,D,9500.00,9500.00
MKBT-O-990730,20200503,9500.00,9500.00,9500.00,9500.00,2232500000,235,15,D,9000.00,9500.00
MKBT-O-990730,20200502,9000.00,9000.00,9000.00,9000.00,2475000000,275,34,D,9606.00,9000.00
MKBT-O-990730,20200429,10000.00,10000.00,9499.00,9606.00,403467000,42,9,D,9995.00,9499.00
MKBT-O-990730,20200428,10000.00,10000.00,9800.00,9995.00,429800000,43,8,D,6000.00,10000.00
MKBT-O-990730,20200426,6000.00,6000.00,6000.00,6000.00,102000000,17,1,D,5400.00,6000.00
MKBT-O-990730,20200408,5400.00,5400.00,5400.00,5400.00,270000000,50,1,D,4950.00,5400.00
MKBT-O-990730,20200404,4950.00,4950.00,4950.00,4950.00,247500000,50,1,D,4500.00,4950.00
MKBT-O-990730,20200329,4500.00,4500.00,4500.00,4500.00,229500000,51,2,D,3890.00,4500.00
MKBT-O-990730,20200325,3890.00,3890.00,3890.00,3890.00,194500000,50,1,D,3633.00,3890.00
MKBT-O-990730,20200318,3650.00,3800.00,2910.00,3633.00,385130000,106,4,D,3200.00,2910.00
MKBT-O-990730,20200317,3200.00,3200.00,3200.00,3200.00,704000000,220,4,D,2053.00,3200.00
MKBT-O-990730,20200316,2051.00,2800.00,2051.00,2053.00,618100000,301,4,D,3000.00,2800.00
MKBT-O-990730,20200315,3000.00,3000.00,3000.00,3000.00,9000000,3,1,D,3050.00,3000.00
MKBT-O-990730,20200314,3050.00,3050.00,3050.00,3050.00,9150000,3,1,D,3300.00,3050.00
MKBT-O-990730,20200310,3300.00,3300.00,3300.00,3300.00,141900000,43,2,D,3105.00,3300.00
MKBT-O-990730,20200309,3300.00,3300.00,3100.00,3105.00,114900000,37,2,D,3450.00,3100.00
MKBT-O-990730,20200304,3450.00,3450.00,3450.00,3450.00,58650000,17,1,D,3167.00,3450.00
MKBT-O-990730,20200229,3300.00,3300.00,3150.00,3167.00,57000000,18,2,D,3000.00,3150.00
MKBT-O-990730,20200225,3000.00,3000.00,3000.00,3000.00,6000000,2,1,D,3000.00,3000.00
MKBT-O-990730,20200222,3000.00,3000.00,3000.00,3000.00,6000000,2,1,D,3304.00,3000.00
MKBT-O-990730,20200218,3400.00,3400.00,2990.00,3304.00,241200000,73,5,D,3490.00,3290.00
MKBT-O-990730,20200217,3490.00,3490.00,3490.00,3490.00,3490000,1,1,D,3499.00,3490.00
MKBT-O-990730,20200216,3499.00,3499.00,3499.00,3499.00,3499000,1,1,D,3385.00,3499.00
MKBT-O-990730,20200212,3000.00,3400.00,3000.00,3385.00,88000000,26,3,D,2900.00,3400.00
MKBT-O-990730,20200210,2900.00,2900.00,2900.00,2900.00,2900000,1,1,D,3500.00,2900.00
MKBT-O-990730,20200209,3500.00,3500.00,3500.00,3500.00,80500000,23,2,D,3100.00,3500.00
MKBT-O-990730,20200204,3100.00,3100.00,3100.00,3100.00,341000000,110,2,D,2797.00,3100.00
MKBT-O-990730,20200203,2600.00,3000.00,2600.00,2797.00,559500000,200,3,D,2450.00,3000.00
MKBT-O-990730,20200202,2450.00,2450.00,2450.00,2450.00,2450000,1,1,D,2400.00,2450.00
MKBT-O-990730,20200125,2400.00,2400.00,2400.00,2400.00,26400000,11,2,D,2268.00,2400.00
MKBT-O-990730,20200120,2200.00,2300.00,2200.00,2268.00,81660000,36,5,D,2353.00,2290.00
MKBT-O-990730,20200119,2350.00,2390.00,2350.00,2353.00,508240000,216,3,D,2202.00,2350.00
MKBT-O-990730,20200118,2150.00,2400.00,2150.00,2202.00,689190000,313,19,D,2000.00,2380.00
MKBT-O-990730,20200115,2000.00,2000.00,2000.00,2000.00,200000000,100,2,D,2000.00,2000.00
MKBT-O-990730,20200114,2000.00,2000.00,2000.00,2000.00,100000000,50,1,D,1637.00,2000.00
MKBT-O-990730,20200113,1600.00,1700.00,1400.00,1637.00,49110000,30,12,D,1483.00,1700.00
MKBT-O-990730,20200112,1400.00,1500.00,1400.00,1483.00,118650000,80,5,D,333.00,1500.00
MKBT-O-990730,20200111,320.00,1000.00,320.00,333.00,17000000,51,2,D,1200.00,1000.00
MKBT-O-990730,20200108,1200.00,1200.00,1200.00,1200.00,14400000,12,1,D,1100.00,1200.00
MKBT-O-990730,20200105,1100.00,1100.00,1100.00,1100.00,18700000,17,3,D,804.00,1100.00
MKBT-O-990730,20191231,700.00,900.00,700.00,804.00,20900000,26,4,D,1000.00,900.00
MKBT-O-990730,20191217,1000.00,1000.00,1000.00,1000.00,390000000,390,6,D,900.00,1000.00
MKBT-O-990730,20191210,900.00,900.00,900.00,900.00,45000000,50,1,D,717.00,900.00
MKBT-O-990730,20191209,699.00,733.00,699.00,717.00,247535000,345,4,D,508.00,733.00
MKBT-O-990730,20191130,700.00,700.00,300.00,508.00,305100000,600,6,D,270.00,450.00
MKBT-O-990730,20191125,250.00,376.00,250.00,270.00,80872209000,299710,3007,D,400.00,350.00
MKBT-O-990730,20191123,400.00,400.00,400.00,400.00,4000000,10,1,D,161.00,400.00
MKBT-O-990730,20191120,300.00,300.00,161.00,161.00,80899000000,501700,5020,D,157.00,250.00
MKBT-O-990730,20191119,150.00,161.00,150.00,157.00,54205450000,345950,3617,D,252.00,160.00
MKBT-O-990730,20191026,252.00,252.00,252.00,252.00,12600000,50,1,D,800.00,252.00
MKBT-O-990730,20191021,800.00,800.00,800.00,800.00,80000000,100,1,D,800.00,800.00
MKBT-O-990730,20191015,800.00,800.00,800.00,800.00,80000000,100,1,D,484.00,800.00
MKBT-O-990730,20191014,397.00,500.00,397.00,484.00,169350000,350,4,D,92.00,500.00
MKBT-O-990730,20191013,92.00,110.00,92.00,92.00,7104200000,77200,772,D,1.00,110.00
