<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MSMI-O-990806,20201024,1.00,1.00,1.00,1.00,10000,10,1,D,500.00,1.00
MSMI-O-990806,20201019,500.00,500.00,500.00,500.00,2000000,4,2,D,2500.00,500.00
MSMI-O-990806,20201018,2500.00,2500.00,2500.00,2500.00,2500000,1,1,D,3422.00,2500.00
MSMI-O-990806,20201014,3422.00,3422.00,3422.00,3422.00,3422000,1,1,D,3900.00,3422.00
MSMI-O-990806,20201005,4000.00,4000.00,3800.00,3900.00,39000000,10,3,D,5005.00,3800.00
MSMI-O-990806,20201004,5005.00,5005.00,5005.00,5005.00,40040000,8,2,D,11000.00,5005.00
MSMI-O-990806,20200919,11000.00,11000.00,11000.00,11000.00,66000000,6,2,D,12500.00,11000.00
MSMI-O-990806,20200916,12501.00,12501.00,12500.00,12500.00,25001000,2,2,D,11999.00,12500.00
MSMI-O-990806,20200915,11999.00,11999.00,11999.00,11999.00,59995000,5,3,D,10900.00,11999.00
MSMI-O-990806,20200914,10900.00,10900.00,10900.00,10900.00,381500000,35,1,D,10000.00,10900.00
MSMI-O-990806,20200909,10000.00,10000.00,10000.00,10000.00,60000000,6,1,D,9366.00,10000.00
MSMI-O-990806,20200907,9501.00,9501.00,9000.00,9366.00,384004000,41,5,D,13308.00,9000.00
MSMI-O-990806,20200826,13700.00,13700.00,12000.00,13308.00,1730000000,130,4,D,11700.00,12000.00
MSMI-O-990806,20200825,11699.00,11700.00,11699.00,11700.00,1520970000,130,12,D,16249.00,11700.00
MSMI-O-990806,20200728,16249.00,16249.00,16249.00,16249.00,211237000,13,1,D,17007.00,16249.00
MSMI-O-990806,20200715,17007.00,17007.00,17007.00,17007.00,170070000,10,1,D,13000.00,17007.00
MSMI-O-990806,20200705,13000.00,13000.00,13000.00,13000.00,39000000,3,1,D,11600.00,13000.00
MSMI-O-990806,20200630,11600.00,11600.00,11600.00,11600.00,348000000,30,2,D,9950.00,11600.00
MSMI-O-990806,20200629,9950.00,9950.00,9950.00,9950.00,19900000,2,1,D,9989.00,9950.00
MSMI-O-990806,20200627,10000.00,10000.00,9950.00,9989.00,2357500000,236,11,D,1.00,10000.00
