<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PASN-O-991014,20210102,800.00,800.00,14.00,181.00,8518000,47,2,D,2500.00,14.00
PASN-O-991014,20201220,2500.00,2500.00,2500.00,2500.00,22500000,9,1,D,3100.00,2500.00
PASN-O-991014,20201201,3100.00,3100.00,3100.00,3100.00,31000000,10,1,D,3000.00,3100.00
PASN-O-991014,20201130,3000.00,3000.00,3000.00,3000.00,6000000,2,1,D,1399.00,3000.00
PASN-O-991014,20201122,1399.00,1399.00,1399.00,1399.00,12591000,9,2,D,1273.00,1399.00
PASN-O-991014,20201121,2500.00,2500.00,1000.00,1273.00,14000000,11,3,D,2000.00,1000.00
PASN-O-991014,20201117,2000.00,2000.00,2000.00,2000.00,20000000,10,1,D,1573.00,2000.00
PASN-O-991014,20201101,1500.00,1999.00,1500.00,1573.00,183983000,117,2,D,3983.00,1999.00
PASN-O-991014,20201020,4000.00,4000.00,3900.00,3983.00,239000000,60,6,D,5000.00,3900.00
PASN-O-991014,20201019,5000.00,5000.00,5000.00,5000.00,45000000,9,2,D,21667.00,5000.00
PASN-O-991014,20201012,25000.00,25000.00,20000.00,21667.00,130000000,6,3,D,14000.00,20000.00
PASN-O-991014,20201003,14000.00,14000.00,14000.00,14000.00,70000000,5,5,D,7180.00,14000.00
PASN-O-991014,20200929,7000.00,7300.00,7000.00,7180.00,179500000,25,4,D,6786.00,7300.00
PASN-O-991014,20200928,8500.00,8500.00,6500.00,6786.00,47500000,7,3,D,1.00,6500.00
