<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PKLJ-O-991107,20210126,40.00,40.00,1.00,29.00,18140000,308,16,D,123.00,1.00
PKLJ-O-991107,20210125,100.00,1000.00,100.00,123.00,36170000,147,6,D,182.00,120.00
PKLJ-O-991107,20210124,200.00,200.00,50.00,182.00,29800000,82,9,D,1984.00,200.00
PKLJ-O-991107,20210111,1990.00,2001.00,1980.00,1984.00,51584000,13,4,D,3002.00,2001.00
PKLJ-O-991107,20201229,3003.00,3003.00,3001.00,3002.00,84068000,14,2,D,2835.00,3001.00
PKLJ-O-991107,20201227,3100.00,3100.00,2800.00,2835.00,96400000,17,2,D,4646.00,2800.00
PKLJ-O-991107,20201222,4800.00,4800.00,4300.00,4646.00,120800000,13,2,D,4020.00,4300.00
PKLJ-O-991107,20201219,4100.00,4100.00,4000.00,4020.00,40200000,5,2,D,4045.00,4000.00
PKLJ-O-991107,20201216,4000.00,4100.00,4000.00,4045.00,178000000,22,3,D,5000.00,4100.00
PKLJ-O-991107,20201207,5001.00,5001.00,5000.00,5000.00,50002000,5,2,D,5600.00,5000.00
PKLJ-O-991107,20201206,5600.00,5600.00,5600.00,5600.00,11200000,1,1,D,5600.00,5600.00
PKLJ-O-991107,20201205,5600.00,5600.00,5600.00,5600.00,100800000,9,6,D,4976.00,5600.00
PKLJ-O-991107,20201130,4976.00,4976.00,4976.00,4976.00,9952000,1,1,D,4972.00,4976.00
PKLJ-O-991107,20201129,4170.00,5000.00,4170.00,4972.00,616500000,62,5,D,8500.00,5000.00
PKLJ-O-991107,20201128,8500.00,8500.00,8500.00,8500.00,17000000,1,1,D,3600.00,8500.00
PKLJ-O-991107,20201125,3600.00,3600.00,3600.00,3600.00,86400000,12,3,D,4400.00,3600.00
PKLJ-O-991107,20201122,4400.00,4400.00,4400.00,4400.00,17600000,2,1,D,4500.00,4400.00
PKLJ-O-991107,20201117,4500.00,4500.00,4500.00,4500.00,72000000,8,3,D,4500.00,4500.00
PKLJ-O-991107,20201116,4500.00,4500.00,4500.00,4500.00,9000000,1,1,D,4581.00,4500.00
PKLJ-O-991107,20201104,4600.00,4600.00,4575.00,4581.00,73300000,8,3,D,12000.00,4575.00
PKLJ-O-991107,20201019,12000.00,12000.00,12000.00,12000.00,156000000,13,2,D,13000.00,12000.00
PKLJ-O-991107,20201018,13000.00,13000.00,13000.00,13000.00,26000000,2,1,D,12900.00,13000.00
PKLJ-O-991107,20201012,12000.00,13000.00,12000.00,12900.00,387000000,30,8,D,15200.00,13000.00
PKLJ-O-991107,20201011,15200.00,15200.00,15200.00,15200.00,836000000,55,6,D,15211.00,15200.00
PKLJ-O-991107,20201010,14800.00,15700.00,14800.00,15211.00,714900000,47,4,D,14000.00,15000.00
PKLJ-O-991107,20201004,14000.00,14000.00,14000.00,14000.00,140000000,10,1,D,16350.00,14000.00
PKLJ-O-991107,20201003,16350.00,16350.00,16350.00,16350.00,49050000,3,1,D,12945.00,16350.00
PKLJ-O-991107,20200928,14000.00,14000.00,12000.00,12945.00,142400000,11,3,D,18500.00,12000.00
PKLJ-O-991107,20200922,18500.00,18500.00,18500.00,18500.00,18500000,1,1,D,13100.00,18500.00
PKLJ-O-991107,20200921,13100.00,13100.00,13100.00,13100.00,131000000,10,1,D,17500.00,13100.00
PKLJ-O-991107,20200920,17500.00,17500.00,17500.00,17500.00,192500000,11,3,D,1.00,17500.00
