<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PKOD-O-990818,20201108,1300.00,1300.00,1000.00,1043.00,620595000,595,51,D,1343.00,1001.00
PKOD-O-990818,20201107,2000.00,2000.00,1103.00,1343.00,396170000,295,26,D,2155.00,1300.00
PKOD-O-990818,20201104,2250.00,2250.00,2150.00,2155.00,47400000,22,5,D,2500.00,2150.00
PKOD-O-990818,20201101,2500.00,2500.00,2500.00,2500.00,2500000,1,1,D,2183.00,2500.00
PKOD-O-990818,20201027,2200.00,2500.00,2001.00,2183.00,52402000,24,4,D,2800.00,2500.00
PKOD-O-990818,20201026,2300.00,3000.00,2300.00,2800.00,70000000,25,9,D,2975.00,3000.00
PKOD-O-990818,20201024,3000.00,3000.00,2900.00,2975.00,23800000,8,2,D,4000.00,2900.00
PKOD-O-990818,20201021,4000.00,4000.00,4000.00,4000.00,8000000,2,1,D,4000.00,4000.00
PKOD-O-990818,20201019,4000.00,4000.00,4000.00,4000.00,4000000,1,1,D,6078.00,4000.00
PKOD-O-990818,20201011,6000.00,6500.00,6000.00,6078.00,279600000,46,7,D,4000.00,6000.00
PKOD-O-990818,20201010,4000.00,4000.00,4000.00,4000.00,16000000,4,1,D,5041.00,4000.00
PKOD-O-990818,20201007,4000.00,6000.00,4000.00,5041.00,95779000,19,12,D,4625.00,6000.00
PKOD-O-990818,20201006,4250.00,5000.00,4250.00,4625.00,9250000,2,2,D,3820.00,5000.00
PKOD-O-990818,20201005,3820.00,3820.00,3820.00,3820.00,42020000,11,1,D,5500.00,3820.00
PKOD-O-990818,20201004,5500.00,5500.00,5500.00,5500.00,27500000,5,1,D,6250.00,5500.00
PKOD-O-990818,20201003,7499.00,7499.00,5000.00,6250.00,49997000,8,3,D,3800.00,5000.00
PKOD-O-990818,20200928,3800.00,3800.00,3800.00,3800.00,11400000,3,1,D,2953.00,3800.00
PKOD-O-990818,20200927,3000.00,3000.00,2926.00,2953.00,79742000,27,2,D,2500.00,2926.00
