<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PNBA-O-990818,20201107,1.00,1.00,1.00,1.00,50000,50,2,D,10.00,1.00
PNBA-O-990818,20201031,10.00,10.00,10.00,10.00,170000,17,1,D,10.00,10.00
PNBA-O-990818,20201027,10.00,10.00,10.00,10.00,10000,1,1,D,10.00,10.00
PNBA-O-990818,20201026,10.00,10.00,10.00,10.00,370000,37,1,D,100.00,10.00
PNBA-O-990818,20201021,100.00,100.00,100.00,100.00,900000,9,1,D,169.00,100.00
PNBA-O-990818,20201020,20.00,319.00,20.00,169.00,339000,2,2,D,35.00,319.00
PNBA-O-990818,20201019,35.00,35.00,35.00,35.00,35000,1,1,D,51.00,35.00
PNBA-O-990818,20201013,51.00,51.00,51.00,51.00,2550000,50,1,D,288.00,51.00
PNBA-O-990818,20201007,41.00,300.00,41.00,288.00,6041000,21,3,D,36.00,300.00
PNBA-O-990818,20201006,36.00,36.00,36.00,36.00,72000,2,1,D,1000.00,36.00
PNBA-O-990818,20201004,1000.00,1000.00,1000.00,1000.00,10000000,10,2,D,1090.00,1000.00
PNBA-O-990818,20201003,1080.00,1100.00,1080.00,1090.00,2180000,2,2,D,880.00,1100.00
PNBA-O-990818,20200930,1000.00,1000.00,500.00,880.00,26395000,30,8,D,5000.00,900.00
PNBA-O-990818,20200923,5000.00,5000.00,5000.00,5000.00,10000000,2,1,D,3100.00,5000.00
PNBA-O-990818,20200922,3100.00,3100.00,3100.00,3100.00,3100000,1,1,D,4040.00,3100.00
PNBA-O-990818,20200921,4560.00,4560.00,3000.00,4040.00,24240000,6,2,D,8333.00,3000.00
PNBA-O-990818,20200826,8000.00,8500.00,8000.00,8333.00,25000000,3,2,D,4145.00,8500.00
PNBA-O-990818,20200825,5000.00,5000.00,4000.00,4145.00,257000000,62,8,D,4000.00,5000.00
PNBA-O-990818,20200824,4001.00,4001.00,4000.00,4000.00,24001000,6,2,D,5357.00,4000.00
PNBA-O-990818,20200822,6000.00,6000.00,5000.00,5357.00,225002000,42,4,D,8325.00,5000.00
PNBA-O-990818,20200816,9000.00,9000.00,5500.00,8325.00,166500000,20,7,D,8000.00,5500.00
PNBA-O-990818,20200815,8000.00,8000.00,8000.00,8000.00,32000000,4,2,D,9864.00,8000.00
PNBA-O-990818,20200812,10000.00,10000.00,9501.00,9864.00,217004000,22,5,D,10014.00,9999.00
PNBA-O-990818,20200810,10000.00,12000.00,9500.00,10014.00,2273263000,227,29,D,13200.00,10000.00
PNBA-O-990818,20200809,13200.00,13200.00,13200.00,13200.00,13200000,1,1,D,12849.00,13200.00
PNBA-O-990818,20200805,12500.00,13000.00,12500.00,12849.00,501100000,39,5,D,10933.00,13000.00
PNBA-O-990818,20200804,11000.00,11000.00,10000.00,10933.00,328000000,30,3,D,12660.00,11000.00
PNBA-O-990818,20200803,12900.00,12900.00,12500.00,12660.00,316500000,25,5,D,13372.00,12500.00
PNBA-O-990818,20200802,14000.00,14000.00,13000.00,13372.00,1043000000,78,10,D,15867.00,13000.00
PNBA-O-990818,20200801,16000.00,16000.00,15500.00,15867.00,476000000,30,3,D,10000.00,15500.00
PNBA-O-990818,20200729,10000.00,10000.00,10000.00,10000.00,10000000,1,1,D,16000.00,10000.00
PNBA-O-990818,20200728,16000.00,16000.00,16000.00,16000.00,16000000,1,1,D,17000.00,16000.00
PNBA-O-990818,20200727,17000.00,17000.00,16999.00,17000.00,1801994000,106,11,D,1.00,16999.00
