<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PNES-O-990728,20201014,50.00,50.00,50.00,50.00,149000,2,1,D,38.00,50.00
PNES-O-990728,20201004,38.00,38.00,38.00,38.00,190000,5,1,D,500.00,38.00
PNES-O-990728,20200928,500.00,500.00,500.00,500.00,31000000,62,3,D,60.00,500.00
PNES-O-990728,20200927,60.00,60.00,60.00,60.00,180000,3,1,D,2000.00,60.00
PNES-O-990728,20200923,2000.00,2000.00,2000.00,2000.00,2000000,1,1,D,3000.00,2000.00
PNES-O-990728,20200921,3000.00,3000.00,3000.00,3000.00,3000000,1,1,D,6000.00,3000.00
PNES-O-990728,20200920,6000.00,6000.00,6000.00,6000.00,24000000,4,2,D,4000.00,6000.00
PNES-O-990728,20200901,3000.00,6000.00,3000.00,4000.00,36000000,9,3,D,3103.00,6000.00
PNES-O-990728,20200824,3000.00,4000.00,3000.00,3103.00,90000000,29,10,D,2000.00,4000.00
PNES-O-990728,20200823,1000.00,3000.00,1000.00,2000.00,4000000,2,2,D,10000.00,3000.00
PNES-O-990728,20200822,10000.00,10000.00,10000.00,10000.00,10000000,1,1,D,10000.00,10000.00
PNES-O-990728,20200819,10000.00,10000.00,10000.00,10000.00,10000000,1,1,D,12000.00,10000.00
PNES-O-990728,20200816,12000.00,12000.00,12000.00,12000.00,72000000,6,2,D,19999.00,12000.00
PNES-O-990728,20200802,19999.00,19999.00,19999.00,19999.00,539973000,27,3,D,19999.00,19999.00
PNES-O-990728,20200801,19999.00,19999.00,19999.00,19999.00,99995000,5,1,D,17183.00,19999.00
PNES-O-990728,20200728,19999.00,19999.00,15000.00,17183.00,137468000,8,6,D,14869.00,15000.00
PNES-O-990728,20200727,12000.00,18000.00,12000.00,14869.00,1249000000,84,9,D,1.00,18000.00
