<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PTAP-O-991016,20210105,22.00,22.00,1.00,11.00,16916000,1594,44,D,152.00,1.00
PTAP-O-991016,20210104,200.00,200.00,34.00,152.00,160957000,1060,63,D,151.00,70.00
PTAP-O-991016,20210103,100.00,300.00,100.00,151.00,78871000,522,55,D,187.00,210.00
PTAP-O-991016,20210102,91.00,450.00,91.00,187.00,55625000,297,24,D,453.00,101.00
PTAP-O-991016,20201230,350.00,600.00,350.00,453.00,7700000,17,3,D,754.00,400.00
PTAP-O-991016,20201229,800.00,803.00,700.00,754.00,61817000,82,15,D,1339.00,800.00
PTAP-O-991016,20201228,1350.00,1550.00,1200.00,1339.00,289323000,216,16,D,1160.00,1200.00
PTAP-O-991016,20201227,800.00,1300.00,800.00,1160.00,230822000,199,15,D,615.00,1000.00
PTAP-O-991016,20201226,1000.00,1000.00,500.00,615.00,95315000,155,16,D,1259.00,555.00
PTAP-O-991016,20201223,1399.00,1399.00,1250.00,1259.00,21399000,17,2,D,1500.00,1250.00
PTAP-O-991016,20201222,1500.00,1500.00,1500.00,1500.00,7500000,5,4,D,1284.00,1500.00
PTAP-O-991016,20201221,1350.00,1350.00,1200.00,1284.00,37250000,29,6,D,1415.00,1250.00
PTAP-O-991016,20201220,1510.00,1510.00,1200.00,1415.00,65086000,46,6,D,1959.00,1200.00
PTAP-O-991016,20201219,1500.00,2400.00,1500.00,1959.00,99900000,51,9,D,1988.00,1900.00
PTAP-O-991016,20201216,2200.00,2200.00,1500.00,1988.00,180900000,91,13,D,1964.00,1950.00
PTAP-O-991016,20201215,2400.00,2496.00,1206.00,1964.00,102136000,52,5,D,3040.00,1206.00
PTAP-O-991016,20201214,3100.00,3200.00,3001.00,3040.00,136781000,45,9,D,3397.00,3180.00
PTAP-O-991016,20201213,3500.00,3700.00,3105.00,3397.00,139290000,41,10,D,3547.00,3105.00
PTAP-O-991016,20201212,3900.00,4000.00,3300.00,3547.00,156063000,44,15,D,3694.00,3400.00
PTAP-O-991016,20201209,3500.00,3860.00,3500.00,3694.00,232741000,63,12,D,3446.00,3860.00
PTAP-O-991016,20201208,3600.00,3900.00,3300.00,3446.00,823694000,239,38,D,4052.00,3300.00
PTAP-O-991016,20201207,4321.00,4328.00,3600.00,4052.00,534838000,132,13,D,4113.00,3600.00
PTAP-O-991016,20201206,4099.00,4400.00,4000.00,4113.00,855411000,208,23,D,3900.00,4090.00
PTAP-O-991016,20201205,3800.00,4149.00,3710.00,3900.00,651267000,167,14,D,3989.00,4050.00
PTAP-O-991016,20201202,4350.00,4400.00,3790.00,3989.00,1284338000,322,41,D,4346.00,3799.00
PTAP-O-991016,20201201,4500.00,4900.00,4080.00,4346.00,2946608000,678,68,D,4592.00,4300.00
PTAP-O-991016,20201130,4800.00,4800.00,4300.00,4592.00,684192000,149,41,D,3734.00,4800.00
PTAP-O-991016,20201129,3300.00,3987.00,3300.00,3734.00,8046813000,2155,188,D,2941.00,3800.00
PTAP-O-991016,20201128,2400.00,3200.00,2400.00,2941.00,2731960000,929,49,D,2061.00,3099.00
PTAP-O-991016,20201125,2500.00,2600.00,1700.00,2061.00,78300000,38,13,D,2454.00,2150.00
PTAP-O-991016,20201124,3000.00,3000.00,2000.00,2454.00,1092176000,445,45,D,3589.00,2000.00
PTAP-O-991016,20201123,3589.00,3589.00,3589.00,3589.00,3589000,1,1,D,3088.00,3589.00
PTAP-O-991016,20201122,3780.00,3780.00,2500.00,3088.00,58680000,19,12,D,3302.00,2990.00
PTAP-O-991016,20201121,4200.00,4200.00,2304.00,3302.00,690044000,209,36,D,3100.00,2500.00
PTAP-O-991016,20201118,3100.00,3100.00,3099.00,3100.00,37198000,12,3,D,2574.00,3100.00
PTAP-O-991016,20201117,2800.00,2850.00,2300.00,2574.00,393880000,153,21,D,2395.00,2850.00
PTAP-O-991016,20201116,3500.00,3500.00,2100.00,2395.00,799902000,334,33,D,4280.00,2390.00
PTAP-O-991016,20201031,5000.00,5000.00,2900.00,4280.00,21400000,5,4,D,4000.00,3500.00
PTAP-O-991016,20201028,4000.00,4000.00,4000.00,4000.00,40000000,10,1,D,10500.00,4000.00
PTAP-O-991016,20201005,10500.00,10500.00,10500.00,10500.00,21000000,2,1,D,1.00,10500.00
