<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PTEH-O-990811,20201101,5300.00,6100.00,5300.00,5501.00,806655960,86,26,D,6185.00,5446.00
PTEH-O-990811,20201031,6000.00,6850.00,5001.00,6185.00,833098805,79,12,D,5515.00,6500.00
PTEH-O-990811,20201028,5000.00,6000.00,5000.00,5515.00,319721600,34,6,D,4441.00,5022.00
PTEH-O-990811,20201027,5074.00,5074.00,4000.00,4441.00,45434840,6,4,D,5492.00,4500.00
PTEH-O-990811,20201026,5368.00,5501.00,5368.00,5492.00,149821760,16,5,D,5762.00,5501.00
PTEH-O-990811,20201024,5762.00,5762.00,5762.00,5762.00,19648420,2,1,D,9501.00,5762.00
PTEH-O-990811,20201021,9501.00,9501.00,9501.00,9501.00,16199205,1,1,D,7412.00,9501.00
PTEH-O-990811,20201019,7000.00,8000.00,7000.00,7412.00,214830000,17,3,D,8500.00,8000.00
PTEH-O-990811,20201018,8500.00,8500.00,8500.00,8500.00,14492500,1,1,D,12573.00,8500.00
PTEH-O-990811,20201013,12900.00,13000.00,12400.00,12573.00,1264769000,59,7,D,11109.00,13000.00
PTEH-O-990811,20201012,11000.00,11200.00,11000.00,11109.00,416702000,22,5,D,11200.00,11200.00
PTEH-O-990811,20201011,11200.00,11200.00,11200.00,11200.00,362824000,19,7,D,11538.00,11200.00
PTEH-O-990811,20200928,10000.00,12000.00,10000.00,11538.00,150000000,13,4,D,10000.00,12000.00
PTEH-O-990811,20200927,10000.00,10000.00,10000.00,10000.00,10000000,1,1,D,15833.00,10000.00
PTEH-O-990811,20200922,17500.00,17500.00,15000.00,15833.00,47500000,3,3,D,20000.00,15000.00
PTEH-O-990811,20200902,20000.00,20000.00,20000.00,20000.00,20000000,1,1,D,25000.00,20000.00
PTEH-O-990811,20200831,30000.00,30000.00,24000.00,25000.00,150000000,6,2,D,32000.00,24000.00
PTEH-O-990811,20200825,32000.00,32000.00,32000.00,32000.00,32000000,1,1,D,22000.00,32000.00
PTEH-O-990811,20200823,22000.00,22000.00,22000.00,22000.00,22000000,1,1,D,32000.00,22000.00
PTEH-O-990811,20200816,32000.00,32000.00,32000.00,32000.00,256000000,8,1,D,23750.00,32000.00
PTEH-O-990811,20200815,20000.00,35000.00,20000.00,23750.00,95000000,4,3,D,39000.00,35000.00
PTEH-O-990811,20200809,39000.00,39000.00,39000.00,39000.00,156000000,4,1,D,35634.00,39000.00
PTEH-O-990811,20200804,40000.00,40000.00,33451.00,35634.00,213804000,6,2,D,40310.00,33451.00
PTEH-O-990811,20200802,36000.00,42490.00,36000.00,40310.00,322480000,8,6,D,40821.00,42490.00
PTEH-O-990811,20200801,40000.00,42000.00,40000.00,40821.00,571500000,14,11,D,36667.00,40000.00
PTEH-O-990811,20200729,37000.00,37000.00,36500.00,36667.00,110000000,3,2,D,43800.00,36500.00
PTEH-O-990811,20200728,45000.00,45000.00,42000.00,43800.00,438000000,10,4,D,40214.00,42000.00
PTEH-O-990811,20200727,44500.00,44500.00,32000.00,40214.00,281500000,7,3,D,39579.00,32000.00
PTEH-O-990811,20200726,39010.00,41000.00,39010.00,39579.00,277050000,7,5,D,40000.00,39010.00
PTEH-O-990811,20200725,39000.00,42000.00,39000.00,40000.00,1000000000,25,12,D,27745.00,42000.00
PTEH-O-990811,20200722,3500.00,35000.00,3500.00,27745.00,1831142000,66,22,D,29500.00,35000.00
PTEH-O-990811,20200718,28000.00,30000.00,28000.00,29500.00,1180000000,40,13,D,31744.00,30000.00
PTEH-O-990811,20200715,32000.00,33000.00,26000.00,31744.00,539655000,17,6,D,33000.00,31655.00
PTEH-O-990811,20200714,33000.00,33000.00,33000.00,33000.00,66000000,2,2,D,31000.00,33000.00
PTEH-O-990811,20200713,31000.00,31000.00,31000.00,31000.00,217000000,7,3,D,28211.00,31000.00
PTEH-O-990811,20200712,27999.00,30000.00,27000.00,28211.00,3526317000,125,13,D,25377.00,27500.00
PTEH-O-990811,20200711,2999.00,27999.00,2999.00,25377.00,659796000,26,10,D,26975.00,26989.00
PTEH-O-990811,20200708,26500.00,26999.00,26500.00,26975.00,566480000,21,7,D,24542.00,26999.00
PTEH-O-990811,20200707,24500.00,25000.00,23000.00,24542.00,2601422000,106,10,D,23905.00,24980.00
PTEH-O-990811,20200706,23000.00,24200.00,23000.00,23905.00,16876939000,706,29,D,19849.00,24200.00
PTEH-O-990811,20200705,18000.00,22000.00,18000.00,19849.00,1051998000,53,12,D,17140.00,19200.00
PTEH-O-990811,20200704,17777.00,20000.00,16000.00,17140.00,942700000,55,12,D,17773.00,16000.00
PTEH-O-990811,20200701,17000.00,19000.00,16500.00,17773.00,1741737000,98,33,D,15500.00,19000.00
PTEH-O-990811,20200630,15500.00,15500.00,15500.00,15500.00,46500000,3,3,D,16334.00,15500.00
PTEH-O-990811,20200629,17000.00,17000.00,13839.00,16334.00,114339000,7,5,D,16250.00,13839.00
PTEH-O-990811,20200628,16000.00,16500.00,16000.00,16250.00,162500000,10,2,D,16471.00,16500.00
PTEH-O-990811,20200627,17000.00,17500.00,16000.00,16471.00,280000000,17,7,D,16143.00,17000.00
PTEH-O-990811,20200624,20000.00,20000.00,14000.00,16143.00,113000000,7,4,D,12500.00,14000.00
PTEH-O-990811,20200620,12500.00,12500.00,12500.00,12500.00,100000000,8,2,D,12000.00,12500.00
PTEH-O-990811,20200615,12000.00,12000.00,12000.00,12000.00,12000000,1,1,D,11235.00,12000.00
PTEH-O-990811,20200614,11000.00,12000.00,11000.00,11235.00,191000000,17,6,D,10376.00,12000.00
PTEH-O-990811,20200613,10800.00,11000.00,10000.00,10376.00,435800000,42,8,D,10666.00,10050.00
PTEH-O-990811,20200610,11000.00,11000.00,10000.00,10666.00,31999000,3,3,D,11499.00,10000.00
PTEH-O-990811,20200609,11500.00,11500.00,11499.00,11499.00,22999000,2,2,D,8557.00,11499.00
PTEH-O-990811,20200530,7000.00,10000.00,7000.00,8557.00,179700000,21,3,D,6989.00,9700.00
PTEH-O-990811,20200519,6500.00,7500.00,5000.00,6989.00,454300000,65,6,D,8000.00,7500.00
PTEH-O-990811,20200518,8000.00,8000.00,8000.00,8000.00,32000000,4,1,D,9285.00,8000.00
PTEH-O-990811,20200509,8489.00,10200.00,8489.00,9285.00,594245000,64,6,D,7381.00,10200.00
PTEH-O-990811,20200503,7400.00,7500.00,7200.00,7381.00,1852695000,251,30,D,7635.00,7500.00
PTEH-O-990811,20200502,7500.00,8996.00,7100.00,7635.00,3054173000,400,55,D,1.00,7100.00
