<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Amlah-R,20210309,44200.00,44200.00,44000.00,44060.00,55029769410,1248947,114,D,44200.00,44000.00
Iran.Amlah-R,20210308,44210.00,44210.00,44200.00,44200.00,24977100300,565090,44,D,44820.00,44200.00
Iran.Amlah-R,20210307,45200.00,45200.00,44800.00,44820.00,291922400,6513,4,D,45510.00,44800.00
Iran.Amlah-R,20210306,46000.00,46000.00,45500.00,45510.00,14587492000,320535,28,D,46500.00,45500.00
Iran.Amlah-R,20210303,46500.00,46500.00,46500.00,46500.00,7486500,161,1,D,46500.00,46500.00
Iran.Amlah-R,20210302,46500.00,46500.00,46500.00,46500.00,219480000,4720,5,D,46500.00,46500.00
Iran.Amlah-R,20210301,46700.00,46700.00,46500.00,46500.00,4748430400,102112,9,D,46810.00,46500.00
Iran.Amlah-R,20210228,47200.00,47200.00,46800.00,46810.00,4794398600,102433,10,D,47300.00,46800.00
Iran.Amlah-R,20210227,47300.00,47300.00,47300.00,47300.00,1218731800,25766,7,D,47580.00,47300.00
Iran.Amlah-R,20210224,47600.00,47600.00,47400.00,47580.00,1556350800,32708,8,D,47600.00,47400.00
Iran.Amlah-R,20210223,47700.00,47700.00,47600.00,47600.00,272579600,5726,6,D,48190.00,47600.00
Iran.Amlah-R,20210222,49800.00,49800.00,48180.00,48190.00,31576443800,655245,49,D,50180.00,48180.00
Iran.Amlah-R,20210221,56220.00,56220.00,50000.00,50180.00,393944000,7850,5,D,50200.00,50000.00
Iran.Amlah-R,20210220,51000.00,51000.00,50000.00,50200.00,25140842000,500785,46,D,41350.00,50000.00
Iran.Amlah-R,20201111,44420.00,45000.00,40000.00,41350.00,55372429190,1339218,1184,D,44420.00,40000.00
Iran.Amlah-R,20201110,45100.00,45990.00,43120.00,44420.00,40893558480,920632,997,D,42440.00,43520.00
Iran.Amlah-R,20201109,39880.00,45500.00,39880.00,42440.00,22436295760,528614,351,D,43230.00,43000.00
