<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Int..Mfg.-R,20210310,17320.00,17320.00,14860.00,14860.00,434482109740,29231119,1235,D,15470.00,15400.00
Pars.Int..Mfg.-R,20210309,15500.00,15500.00,15000.00,15470.00,2041786500,131973,37,D,15010.00,15000.00
Pars.Int..Mfg.-R,20210308,15080.00,15080.00,15000.00,15010.00,84822800,5650,10,D,15440.00,15000.00
Pars.Int..Mfg.-R,20210307,15600.00,15600.00,15080.00,15440.00,121962000,7900,6,D,15700.00,15080.00
Pars.Int..Mfg.-R,20210306,15700.00,15700.00,15700.00,15700.00,14130000,900,2,D,15900.00,15700.00
Pars.Int..Mfg.-R,20210303,15900.00,15900.00,15900.00,15900.00,159000000,10000,2,D,16150.00,15900.00
Pars.Int..Mfg.-R,20210301,16750.00,16750.00,16000.00,16150.00,47493750,2940,6,D,15530.00,16000.00
Pars.Int..Mfg.-R,20210228,15530.00,15530.00,15530.00,15530.00,33824340,2178,5,D,16170.00,15530.00
Pars.Int..Mfg.-R,20210227,16340.00,16340.00,16010.00,16170.00,38443980,2378,4,D,16670.00,16010.00
Pars.Int..Mfg.-R,20210224,17500.00,17500.00,16620.00,16670.00,217890500,13070,7,D,17300.00,16620.00
Pars.Int..Mfg.-R,20210223,17300.00,17300.00,17300.00,17300.00,39876500,2305,2,D,18000.00,17300.00
Pars.Int..Mfg.-R,20210222,18000.00,18000.00,18000.00,18000.00,11016000,612,2,D,18400.00,18000.00
Pars.Int..Mfg.-R,20210221,18500.00,18500.00,18000.00,18400.00,125186000,6804,11,D,18000.00,18000.00
Pars.Int..Mfg.-R,20210220,18000.00,18000.00,18000.00,18000.00,234954000,13053,8,D,17950.00,18000.00
Pars.Int..Mfg.-R,20210217,17900.00,18000.00,17510.00,17950.00,346091800,19279,6,D,18230.00,18000.00
Pars.Int..Mfg.-R,20210216,17500.00,18500.00,17500.00,18230.00,956150510,52445,42,D,17000.00,18000.00
Pars.Int..Mfg.-R,20210215,17000.00,17000.00,17000.00,17000.00,243950000,14350,9,D,10480.00,17000.00
Pars.Int..Mfg.-R,20201014,10010.00,11340.00,9650.00,10485.00,94931988451,9054092,2235,D,10653.00,10700.00
Pars.Int..Mfg.-R,20201013,11110.00,11700.00,10490.00,10653.00,49443235752,4641074,1254,D,11659.00,10679.00
Pars.Int..Mfg.-R,20201012,12000.00,12500.00,11310.00,11659.00,53247794670,4567015,1146,D,12569.00,11310.00
Pars.Int..Mfg.-R,20201011,12200.00,12810.00,12140.00,12569.00,52006463197,4137835,1161,D,11721.00,12150.00
Pars.Int..Mfg.-R,20201010,12279.00,12279.00,11250.00,11721.00,46092306304,3932326,778,D,12180.00,12140.00
Pars.Int..Mfg.-R,20201007,12150.00,12500.00,11570.00,12180.00,26964084371,2213866,702,D,11967.00,12289.00
Pars.Int..Mfg.-R,20201006,11800.00,12280.00,11520.00,11967.00,36970587063,3089328,832,D,11521.00,12150.00
Pars.Int..Mfg.-R,20201005,10411.00,11860.00,10314.00,11521.00,42597936682,3697316,951,D,10785.00,11860.00
Pars.Int..Mfg.-R,20201004,11400.00,11400.00,10120.00,10785.00,27138762930,2516398,674,D,11005.00,10800.00
Pars.Int..Mfg.-R,20201003,10000.00,11500.00,10000.00,11005.00,40420790668,3673091,1053,D,10676.00,11330.00
Pars.Int..Mfg.-R,20200930,10970.00,11000.00,10011.00,10676.00,12931739108,1211323,565,D,10359.00,10870.00
Pars.Int..Mfg.-R,20200929,9040.00,10890.00,9040.00,10359.00,18040663934,1741614,648,D,9998.00,10620.00
Pars.Int..Mfg.-R,20200928,10130.00,10500.00,9950.00,9998.00,12535692412,1253829,397,D,11057.00,9950.00
Pars.Int..Mfg.-R,20200927,12010.00,12450.00,10760.00,11057.00,31445960365,2844001,664,D,11959.00,11000.00
Pars.Int..Mfg.-R,20200926,11800.00,12610.00,10910.00,11959.00,55377184213,4630400,1159,D,11467.00,12610.00
Pars.Int..Mfg.-R,20200923,11380.00,11880.00,10901.00,11467.00,29755588389,2594824,768,D,11108.00,11599.00
Pars.Int..Mfg.-R,20200922,11100.00,11730.00,10600.00,11108.00,57102164508,5140719,1105,D,11029.00,11380.00
Pars.Int..Mfg.-R,20200921,11100.00,12034.00,10890.00,11029.00,26994814726,2447684,676,D,12095.00,11030.00
Pars.Int..Mfg.-R,20200920,12700.00,12700.00,11750.00,12095.00,25971030633,2147226,783,D,12803.00,11901.00
Pars.Int..Mfg.-R,20200919,13180.00,13200.00,12200.00,12803.00,37450588595,2925138,886,D,13492.00,12610.00
