<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abouraihan.P.-R,20210921,24670.00,25320.00,24000.00,24550.00,8026170160,326897,169,D,25320.00,24550.00
Abouraihan.P.-R,20210920,24350.00,25990.00,24350.00,25320.00,9243617860,365038,344,D,24660.00,25400.00
Abouraihan.P.-R,20210919,25190.00,25700.00,24240.00,24660.00,6938964770,281422,150,D,25190.00,24430.00
Abouraihan.P.-R,20210918,24020.00,26000.00,24010.00,25190.00,21460726720,852105,413,D,25110.00,25750.00
Abouraihan.P.-R,20210915,24200.00,25600.00,23810.00,25110.00,13592682550,541344,366,D,24200.00,25250.00
Abouraihan.P.-R,20210914,23310.00,24750.00,23310.00,24200.00,2605823600,107696,214,D,23520.00,24220.00
Abouraihan.P.-R,20210913,23250.00,25350.00,23250.00,23520.00,4306600220,183140,159,D,23900.00,23990.00
Abouraihan.P.-R,20210912,24000.00,25090.00,23550.00,23900.00,4468515200,186967,125,D,24870.00,23770.00
Abouraihan.P.-R,20210911,24160.00,25990.00,24150.00,24870.00,3443130620,138435,169,D,24850.00,24550.00
Abouraihan.P.-R,20210908,24150.00,25640.00,24150.00,24850.00,7483937050,301187,303,D,25490.00,24970.00
Abouraihan.P.-R,20210907,25000.00,25800.00,25000.00,25490.00,6505157240,255242,250,D,25970.00,25260.00
Abouraihan.P.-R,20210906,26020.00,26950.00,25280.00,25970.00,9650829630,371563,367,D,26030.00,25450.00
Abouraihan.P.-R,20210905,26140.00,26800.00,24830.00,26030.00,18065919270,694141,427,D,25280.00,26520.00
Abouraihan.P.-R,20210904,24250.00,26000.00,24250.00,25280.00,11787872220,466209,401,D,24230.00,25690.00
Abouraihan.P.-R,20210901,23800.00,24560.00,23540.00,24230.00,4944009010,204049,206,D,23430.00,24340.00
Abouraihan.P.-R,20210831,23110.00,24750.00,22500.00,23430.00,20741841420,885447,311,D,23330.00,23760.00
Abouraihan.P.-R,20210830,23410.00,24470.00,23100.00,23330.00,7338739270,314624,186,D,24400.00,23110.00
Abouraihan.P.-R,20210829,24600.00,25340.00,23500.00,24400.00,14421701750,591090,369,D,24500.00,23600.00
Abouraihan.P.-R,20210828,24230.00,25260.00,23200.00,24500.00,31963238040,1304592,651,D,23830.00,24870.00
