<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khorasan.Steel-R,20210213,25250.00,25250.00,22500.00,22660.00,207448528750,9156356,941,D,22550.00,23500.00
Khorasan.Steel-R,20210209,23000.00,23500.00,22500.00,22550.00,228134709260,10118725,970,D,24000.00,23000.00
Khorasan.Steel-R,20210208,24000.00,24000.00,24000.00,24000.00,2699688000,112487,9,D,32160.00,24000.00
Khorasan.Steel-R,20200930,30100.00,33010.00,30100.00,32160.00,355202158710,11045270,2351,D,30010.00,33010.00
Khorasan.Steel-R,20200929,26100.00,30380.00,26100.00,30010.00,155368974360,5176556,1423,D,27620.00,30200.00
Khorasan.Steel-R,20200928,28880.00,28880.00,27570.00,27620.00,31450806040,1138828,473,D,30630.00,27570.00
Khorasan.Steel-R,20200927,33050.00,33050.00,28760.00,30630.00,67242282720,2195335,768,D,31960.00,29520.00
Khorasan.Steel-R,20200926,31330.00,33500.00,30000.00,31960.00,281486228480,8808061,2245,D,30740.00,33470.00
Khorasan.Steel-R,20200923,30400.00,30890.00,29510.00,30740.00,203346003690,6616027,1925,D,28080.00,30890.00
Khorasan.Steel-R,20200922,28900.00,29720.00,25600.00,28080.00,144510718530,5147024,1259,D,27020.00,29720.00
Khorasan.Steel-R,20200921,26720.00,28580.00,26720.00,27020.00,155847742150,5768928,1188,D,29690.00,27610.00
Khorasan.Steel-R,20200920,30120.00,31700.00,29580.00,29690.00,24712940530,832317,449,D,32870.00,29580.00
Khorasan.Steel-R,20200919,32010.00,34790.00,31350.00,32870.00,56818847740,1728422,1216,D,34810.00,32000.00
Khorasan.Steel-R,20200916,36180.00,37320.00,32000.00,34810.00,85900896180,2467764,1845,D,34500.00,33110.00
Khorasan.Steel-R,20200915,33480.00,34770.00,33000.00,34500.00,105559578870,3059295,1576,D,31610.00,34770.00
Khorasan.Steel-R,20200914,29950.00,32150.00,29950.00,31610.00,71754499610,2269647,1249,D,29230.00,32150.00
Khorasan.Steel-R,20200913,30270.00,31600.00,27410.00,29230.00,87126497370,2980544,1364,D,30450.00,30890.00
Khorasan.Steel-R,20200912,30000.00,30890.00,29900.00,30450.00,146522764670,4812423,1458,D,28080.00,30540.00
Khorasan.Steel-R,20200909,24710.00,30190.00,24710.00,28080.00,79521378310,2831663,1130,D,27460.00,29950.00
Khorasan.Steel-R,20200908,27410.00,28940.00,27410.00,27460.00,17571022930,639903,292,D,30460.00,27410.00
Khorasan.Steel-R,20200907,32090.00,32210.00,30410.00,30460.00,27023630790,887207,377,D,33790.00,30410.00
Khorasan.Steel-R,20200906,35680.00,35680.00,31020.00,33790.00,82231025980,2433710,1418,D,32440.00,32000.00
Khorasan.Steel-R,20200905,32500.00,32900.00,30080.00,32440.00,29618574940,912949,723,D,29910.00,32900.00
Khorasan.Steel-R,20200902,29640.00,30900.00,29640.00,29910.00,51467751790,1720669,611,D,32930.00,30670.00
Khorasan.Steel-R,20200901,32990.00,34500.00,32720.00,32930.00,22665121600,688293,372,D,36350.00,32720.00
Khorasan.Steel-R,20200831,36850.00,36850.00,33500.00,36350.00,120344915320,3310625,1961,D,33500.00,36850.00
Khorasan.Steel-R,20200826,33500.00,33500.00,33500.00,33500.00,5259198500,156991,216,D,30450.00,33500.00
Khorasan.Steel-R,20200825,29500.00,30600.00,28600.00,30450.00,16999855410,558204,448,D,27820.00,30600.00
Khorasan.Steel-R,20200824,28510.00,31000.00,27000.00,27820.00,28314674650,1017914,786,D,28900.00,28200.00
Khorasan.Steel-R,20200823,30000.00,30950.00,27870.00,28900.00,24323972180,841731,897,D,30960.00,28180.00
Khorasan.Steel-R,20200822,33500.00,33500.00,29100.00,30960.00,47572380260,1536541,1788,D,31690.00,30120.00
Khorasan.Steel-R,20200819,31000.00,34100.00,28000.00,31690.00,105399794280,3325789,2491,D,8800.00,32900.00
Khorasan.Steel-R,20181017,8800.00,8800.00,8800.00,8800.00,944970400,107383,11,D,3910.00,8800.00
Khorasan.Steel-R,20180722,3811.00,4347.00,3810.00,3910.00,39626580,10134,14,D,4000.00,4000.00
